This file was generated by Console at 2021:06:12-00:00:01



[2021:06:12-00:00:01]  (Local) -> (LOCAL)[1]NexoFX: lol
[2021:06:12-03:28:37]  (Team - Unemployed) -> (TEAM)DANIELITA[CDG]: ahh pero yo
[2021:06:12-03:28:38]  (Global) -> eljuan1900: que significa loao
[2021:06:12-03:28:38]  (Local) -> (LOCAL)[1]ghostemane|CDG: oe
[2021:06:12-03:28:39]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Ocampro: escondanse hp
[2021:06:12-03:28:39]  (Team - Unemployed) -> (TEAM)DANIELITA[CDG]: bobo hpta
[2021:06:12-03:28:40]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: (LOCAL)[3]EL_PUTAS: ey es mi primera vez 
[2021:06:12-03:28:43]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: oe
[2021:06:12-03:28:43]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: a ver
[2021:06:12-03:28:44]  (Team - Unemployed) -> (TEAM)DANIELITA[CDG]: matando a todos
[2021:06:12-03:28:44]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: agale
[2021:06:12-03:28:45]  (Global) -> Stitches!~>||(CDG)|||#9D12D1í ½í¸ˆ: #FF00FF COMPRO HUSTLER
[2021:06:12-03:28:45]  (Local) -> (LOCAL)[1]Joselito: vamos a trabjar mejorr necesito plata
[2021:06:12-03:28:46]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: y vida con vendas ?
[2021:06:12-03:28:46]  (Global) -> ^bblin|#BE15B9í µí³©: #FF0000 Ê˜â€¿Ê˜?
[2021:06:12-03:28:48]  (Local) -> (LOCAL)[1]ghostemane|CDG: le vendo hr2 o hr1
[2021:06:12-03:28:48]  (Local) -> (LOCAL)[7]SEXO~>Catre^: danos chaleco malparido
[2021:06:12-03:28:48]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: y vida con vendas ?
[2021:06:12-03:28:50]  (Global) -> FrightenedLyre54: subite arriba pa dispara
[2021:06:12-03:28:50]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: caunto
[2021:06:12-03:28:51]  (Global) -> ALFONSO_GAVIRIA: tombo esta bien?
[2021:06:12-03:28:51]  (Team - Unemployed) -> (TEAM)DANIELITA[CDG]: esa matadura que
[2021:06:12-03:28:52]  (Global) -> Fluency{AK}: digo loago
[2021:06:12-03:28:53]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: jshjhdhsj
[2021:06:12-03:28:53]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: diga ps
[2021:06:12-03:28:53]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: el 2
[2021:06:12-03:28:57]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: me interesa
[2021:06:12-03:28:59]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: se puede curar con vendas ?
[2021:06:12-03:28:59]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: a quien los tepeo
[2021:06:12-03:28:59]  (Global) -> Juan_Convoy: quiten anuel
[2021:06:12-03:29:00]  (Global) -> TAM|ALEXIS|2cB: santa una pregunta
[2021:06:12-03:29:02]  (Local) -> (LOCAL)[1]ghostemane|CDG: cuanto da para ya
[2021:06:12-03:29:02]  (Global) -> eljuan1900: a bueno
[2021:06:12-03:29:03]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: eyey era chimbeando
[2021:06:12-03:29:06]  (Local) -> (LOCAL)[1]POPEYE[CDG]: la proxima me voy adelante y aviso si esta ese toposo
[2021:06:12-03:29:10]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: ummmmmmmmmmmmmmmmmmmmmmmm
[2021:06:12-03:29:11]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: caunto pide rey{
[2021:06:12-03:29:13]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: inseria
[2021:06:12-03:29:13]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: ...
[2021:06:12-03:29:15]  (Global) -> cacharrito.HP: campo
[2021:06:12-03:29:16]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: que chistosa
[2021:06:12-03:29:18]  (Local) -> (LOCAL)[1]ghostemane|CDG: pida usted ombe
[2021:06:12-03:29:20]  (Local) -> (LOCAL)[2]POPEYE[CDG]: llevame alla pa cojer el heli
[2021:06:12-03:29:21]  (Local) -> (LOCAL)[1]LuxuriantPillbox79: hola
[2021:06:12-03:29:22]  (Local) -> (LOCAL)[1]ghostemane|CDG: cuanto das
[2021:06:12-03:29:22]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: entonces si quieren saber
[2021:06:12-03:29:22]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: 40 ya
[2021:06:12-03:29:23]  (Global) -> FrightenedLyre54: me poncharon la llanta
[2021:06:12-03:29:24]  (Local) -> (LOCAL)[1]DARKAR[DARK]: F
[2021:06:12-03:29:25]  (Local) -> (LOCAL)[1]DeadpanLemon38: MANO
[2021:06:12-03:29:26]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: jummmmm
[2021:06:12-03:29:27]  ([Msg] de Valak para Dayer<3: me quieren matar, me persiguen) -> nil
[2021:06:12-03:29:27]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: sip
[2021:06:12-03:29:28]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: espere al tussy
[2021:06:12-03:29:31]  (Local) -> (LOCAL)[1]LuxuriantPillbox79: tengo de la buena
[2021:06:12-03:29:31]  (Local) -> (LOCAL)[1]ghostemane|CDG: y que me encima?
[2021:06:12-03:29:31]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: que fue a mea
[2021:06:12-03:29:31]  (Local) -> (LOCAL)[1]Joselito: ay parce
[2021:06:12-03:29:32]  (Local) -> (LOCAL)[1]DARKAR[DARK]: tiene vip?
[2021:06:12-03:29:32]  (Global) -> GreenComputer22: pare
[2021:06:12-03:29:33]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: mear
[2021:06:12-03:29:35]  (Local) -> (LOCAL)[1]SoyDe_MiTio[CDG]: DECILO
[2021:06:12-03:29:35]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: ya llega
[2021:06:12-03:29:37]  ([Msg] de Valak para Dayer<3: envidia en el corazon del onvre) -> nil
[2021:06:12-03:29:37]  (Global) -> TAM|ALEXIS|2cB: caceriho
[2021:06:12-03:29:38]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: no dioga bobadas
[2021:06:12-03:29:39]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: nah
[2021:06:12-03:29:39]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: espeeeeee
[2021:06:12-03:29:40]  (Local) -> (LOCAL)[1]ghostemane|CDG: pille pa
[2021:06:12-03:29:42]  (Global) -> TAM~>CACERINHO|CDG|#5EF5F7í ½í±»: dime
[2021:06:12-03:29:42]  (Local) -> (LOCAL)[1]DeadpanLemon38: COMO ENTRO AL CDG
[2021:06:12-03:29:42]  (Global) -> jaime/2cb:  esperemos
[2021:06:12-03:29:42]  (Local) -> (LOCAL)[0]^bblin: ale
[2021:06:12-03:29:45]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: le bajo volumen al discord
[2021:06:12-03:29:46]  (Global) -> ghostemane|CDG: oeeeeeeeeeeeeeeeeeeeeeeee
[2021:06:12-03:29:47]  (Local) -> (LOCAL)[2]LuxuriantPillbox79: tengo de la buena
[2021:06:12-03:29:49]  (Global) -> TAM|ALEXIS|2cB: una pregunta
[2021:06:12-03:29:49]  (Team - Unemployed) -> (TEAM)Joselito: subite
[2021:06:12-03:29:52]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: shhhhhhhhhhhhhhhhhhhhhhhhh
[2021:06:12-03:29:53]  (Global) -> ghostemane|CDG: alcapone 40 de one
[2021:06:12-03:29:53]  (Local) -> (LOCAL)[1]DARKAR[DARK]: tiene vip?
[2021:06:12-03:29:54]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: ya
[2021:06:12-03:29:55]  (Local) -> (LOCAL)[1]SoyDe_MiTio[CDG]: HABLALE A
[2021:06:12-03:29:56]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: ehg cabezona
[2021:06:12-03:29:57]  (Local) -> (LOCAL)[2]Joselito: normal
[2021:06:12-03:29:59]  (Local) -> (LOCAL)[7]snyder_david: minipu
[2021:06:12-03:30:00]  (Local) -> (LOCAL)[0]Valak: ?
[2021:06:12-03:30:02]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: ah breve
[2021:06:12-03:30:02]  (Global) -> jaime/2cb: no
[2021:06:12-03:30:02]  ([Msg] de Dayer<3 para Valak: onvres) -> nil
[2021:06:12-03:30:03]  (Global) -> SEXO~>Oreo|#CBFF00âœ˜ : ok
[2021:06:12-03:30:03]  (Global) -> TAM~>CACERINHO|CDG|#5EF5F7í ½í±»: DIME TAM|ALEXIS|2cB
[2021:06:12-03:30:03]  (Global) -> TAM|ALEXIS|2cB: si oq que uno puede drif en la misma parte cuanto quiera
[2021:06:12-03:30:05]  (Team - Law Enforcement) -> (TEAM)DARKER(TDF): t
[2021:06:12-03:30:06]  (Global) -> SEXO~>Oreo|#CBFF00âœ˜ : sin drogas @
[2021:06:12-03:30:07]  (Local) -> (LOCAL)[1]LuxuriantPillbox79: tengo de la buena
[2021:06:12-03:30:07]  (Global) -> FrightenedLyre54: subite
[2021:06:12-03:30:09]  (Global) -> DARKER(TDF): Junior908
[2021:06:12-03:30:13]  (Global) -> ghostemane|CDG: alcapone deme 40
[2021:06:12-03:30:13]  (Local) -> (LOCAL)[7]#7F7F7F|LG|#FF8C00CuriosoGaming|CAPU: yo
[2021:06:12-03:30:15]  ([Msg] de Dayer<3 para Valak: la mejor salida es matarse) -> nil
[2021:06:12-03:30:16]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: oe
[2021:06:12-03:30:17]  (Local) -> (LOCAL)[1]SoyDe_MiTio[CDG]: BUENO AHORUITA NO ESTA ONLINE
[2021:06:12-03:30:17]  (Global) -> LuxuriantPillbox79: tengo de la buena
[2021:06:12-03:30:18]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Ocampro: jjjjjjjjjjjj aj
[2021:06:12-03:30:18]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: hable pues
[2021:06:12-03:30:21]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Ocampro: chupeme el pipi
[2021:06:12-03:30:23]  (Global) -> GreenComputer22: pere
[2021:06:12-03:30:24]  (Local) -> (LOCAL)[2]SoyDe_MiTio[CDG]: PERO EL RECLUTA
[2021:06:12-03:30:24]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF0000ripd'tussy: se me
[2021:06:12-03:30:25]  (Local) -> (LOCAL)[2]TAM-Alcapone"2cb: llegue ps
[2021:06:12-03:30:25]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: vea mor
[2021:06:12-03:30:26]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF0000ripd'tussy: cayo el lente
[2021:06:12-03:30:27]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF8C00CuriosoGaming|CAPU: saque lo
[2021:06:12-03:30:28]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF0000ripd'tussy: de contacto
[2021:06:12-03:30:28]  (Team - Unemployed) -> (TEAM)ghostemane|CDG: espere
[2021:06:12-03:30:29]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: ut nme kiere
[2021:06:12-03:30:29]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF0000ripd'tussy: :CV
[2021:06:12-03:30:29]  (Local) -> (LOCAL)[1]Naruto|CDG|: MONTESE EN ESE
[2021:06:12-03:30:29]  (Local) -> (LOCAL)[2]SoyDe_MiTio[CDG]: yo te digo
[2021:06:12-03:30:31]  (Local) -> (LOCAL)[4]maike.2cb: estramÃ±o
[2021:06:12-03:30:31]  (Local) -> (LOCAL)[3]DeadpanLemon38: manoiu a breve
[2021:06:12-03:30:31]  (Local) -> (LOCAL)[1]ghostemane|CDG: espere
[2021:06:12-03:30:32]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00GORDOBM: deme tp
[2021:06:12-03:30:32]  (Global) -> jaime/2cb: o vamos a otra alli
[2021:06:12-03:30:33]  (Global) -> Fluency{AK}: por locaÃ§
[2021:06:12-03:30:34]  (Local) -> (LOCAL)[3]Ikaris'2cb: go por valak
[2021:06:12-03:30:36]  (Global) -> DARKER(TDF): Junior908 DONDE  ANDAD
[2021:06:12-03:30:36]  (Local) -> (LOCAL)[1]POPEYE[CDG]: que regalo
[2021:06:12-03:30:37]  (Local) -> (LOCAL)[3]maike.2cb: s
[2021:06:12-03:30:38]  ([Msg] de Valak para Dayer<3: lo mejor es correr) -> nil
[2021:06:12-03:30:38]  (Local) -> (LOCAL)[3]SoyDe_MiTio[CDG]: ale
[2021:06:12-03:30:38]  (Local) -> (LOCAL)[2]ghostemane|CDG: espere
[2021:06:12-03:30:39]  (Local) -> (LOCAL)[2]TAM-Alcapone"2cb: ahahhh
[2021:06:12-03:30:40]  (Team - Criminals) -> (TEAM)DeadpanLemon38: u
[2021:06:12-03:30:41]  (Local) -> (LOCAL)[2]ghostemane|CDG: espere
[2021:06:12-03:30:41]  (Local) -> (LOCAL)[1]POPEYE[CDG]: nos vemos alla
[2021:06:12-03:30:43]  (Local) -> (LOCAL)[1]DARKAR[DARK]: esperemos
[2021:06:12-03:30:46]  (Global) -> TAM|ALEXIS|2cB: me contestas porfa
[2021:06:12-03:30:47]  ([Msg] de Valak para Dayer<3: para eso tengo las patas mmm) -> nil
[2021:06:12-03:30:48]  (Global) -> jaime/2cb: vamos
[2021:06:12-03:30:49]  (Team - Law Enforcement) -> (TEAM)Pedrito: save arrestar?
[2021:06:12-03:30:51]  (Global) -> TAM|ALEXIS|2cB: ala pregunta que le ise
[2021:06:12-03:30:51]  (Local) -> (LOCAL)[3]TAM-Alcapone"2cb: tengo 38 nea yo regale los 2 palos
[2021:06:12-03:30:52]  (Local) -> (LOCAL)[3]ghostemane|CDG: pere reconecto
[2021:06:12-03:30:52]  (Local) -> (LOCAL)[3]javier2cb: oe
[2021:06:12-03:30:53]  (Global) -> PEGUELO[EMP]: pvp
[2021:06:12-03:30:55]  (Local) -> (LOCAL)[1]DARKAR[DARK]: ya
[2021:06:12-03:30:56]  (Global) -> #7F7F7F|DJ|#FF5C00GORDOBM|#000000ä¾: yo
[2021:06:12-03:31:00]  (Global) -> #CBFF00SEXO~>Soltec|#CBFF00âœ˜ : ud
[2021:06:12-03:31:00]  (Local) -> (LOCAL)[3]javier2cb: juniur
[2021:06:12-03:31:00]  (Team - Law Enforcement) -> (TEAM)Pedrito: asi mire
[2021:06:12-03:31:01]  (Local) -> (LOCAL)[1]DARKAR[DARK]: entre
[2021:06:12-03:31:01]  (Local) -> (LOCAL)[3]ghostemane|CDG: deme otra cosa sjsjsjsjs
[2021:06:12-03:31:06]  (Local) -> (LOCAL)[1]DeadpanLemon38: mano
[2021:06:12-03:31:06]  (Local) -> (LOCAL)[3]javier2cb: le vendo un carro
[2021:06:12-03:31:07]  (Local) -> (LOCAL)[6]Raptus~~: xdddddddddddddddddddddddddddd
[2021:06:12-03:31:08]  (Global) -> Junior908: ableo papi
[2021:06:12-03:31:13]  (Global) -> Junior908: dejem verlo
[2021:06:12-03:31:15]  (Local) -> (LOCAL)[2]darlinepisode: watafa una oveja
[2021:06:12-03:31:16]  (Global) -> Junior908: vega 
[2021:06:12-03:31:19]  (Local) -> (LOCAL)[3]PEGUELO[EMP]: sueltemem nea
[2021:06:12-03:31:19]  (Local) -> (LOCAL)[4]DARKAR[DARK]: como seria la apuesta?
[2021:06:12-03:31:20]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: nop tengo nada de valor rey
[2021:06:12-03:31:22]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: vamos donde ocampo
[2021:06:12-03:31:23]  (Local) -> (LOCAL)[1]PEGUELO[EMP]: le doy 10k
[2021:06:12-03:31:23]  (Local) -> (LOCAL)[2]DeadpanLemon38: como me cambio el nombre?
[2021:06:12-03:31:23]  (Global) -> FrightenedLyre54: vamos
[2021:06:12-03:31:25]  (Local) -> (LOCAL)[3]Bocato'AUC: pa donde e
[2021:06:12-03:31:26]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: egh
[2021:06:12-03:31:26]  ([Msg] de Dayer<3 para Valak: mmm patas) -> nil
[2021:06:12-03:31:27]  (Local) -> (LOCAL)[1]Joselito: vamos
[2021:06:12-03:31:27]  (Local) -> (LOCAL)[1]ghostemane|CDG: deme 38 palos y otra cosa
[2021:06:12-03:31:28]  (Local) -> (LOCAL)[3]PEGUELO[EMP]: de una
[2021:06:12-03:31:28]  (Global) -> RIPD~>Spcem'DeTemeer~|#CBFF00âœ˜ : por quÃ© tanto blip mrk
[2021:06:12-03:31:30]  (Team - Unemployed) -> (TEAM)DANIELITA[CDG]: uy nea
[2021:06:12-03:31:30]  (Global) -> RIPD~>Spcem'DeTemeer~|#CBFF00âœ˜ : agggg
[2021:06:12-03:31:31]  (Global) -> ALFONSO_GAVIRIA: oe
[2021:06:12-03:31:32]  (Global) -> TAM|ALEXIS|2cB: carehi no me contestastes
[2021:06:12-03:31:33]  (Global) -> #9E016CRIPD'Fabius|#9E016Cà¶ž: EY
[2021:06:12-03:31:34]  (Global) -> Junior908: espereme
[2021:06:12-03:31:34]  (Local) -> (LOCAL)[3]PEGUELO[EMP]: hagame el favor
[2021:06:12-03:31:35]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: pero que cosa
[2021:06:12-03:31:36]  (Local) -> (LOCAL)[3]Benito'AUC: sapo
[2021:06:12-03:31:36]  (Team - Law Enforcement) -> (TEAM)Pedrito: la ley es la ley
[2021:06:12-03:31:36]  (Global) -> #9E016CRIPD'Fabius|#9E016Cà¶ž: CONFUNDEN EL RADAR
[2021:06:12-03:31:36]  (Global) -> lil_kiba14: daviiiidddd
[2021:06:12-03:31:38]  ([Msg] de Dayer<3 para Valak: Antojando) -> nil
[2021:06:12-03:31:39]  (Global) -> Junior908: deje activar mod
[2021:06:12-03:31:39]  (Local) -> (LOCAL)[3]Bocato'AUC: peguelo
[2021:06:12-03:31:40]  (Local) -> (LOCAL)[4]Randall...!: pea
[2021:06:12-03:31:40]  (Local) -> (LOCAL)[3]Valak: sumama
[2021:06:12-03:31:40]  (Global) -> DARKAR[DARK]: #00FF00 VENDO: TURISMO HR 1 SANDKING (2) PRECIOS NEGOCIABLE TIREN SMS
[2021:06:12-03:31:42]  (Local) -> (LOCAL)[3]javier2cb: breve
[2021:06:12-03:31:42]  (Local) -> (LOCAL)[5]cacharrito.HP: por que se cambio a cj si ud es mujer
[2021:06:12-03:31:42]  (Global) -> SEXO~>Catre^|#9800D1GDT!: los staff que se coloquen el job 
[2021:06:12-03:31:44]  (Global) -> DesertedUncle87: xd
[2021:06:12-03:31:45]  (Local) -> (LOCAL)[1]PEGUELO[EMP]: nea
[2021:06:12-03:31:45]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: oeee
[2021:06:12-03:31:46]  (Local) -> (LOCAL)[1]Joselito: subase normal
[2021:06:12-03:31:46]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#0064FFG-8|AUC: q
[2021:06:12-03:31:47]  (Local) -> (LOCAL)[1]ghostemane|CDG: un auto o algo nose xd
[2021:06:12-03:31:47]  (Local) -> (LOCAL)[1]PEGUELO[EMP]: venga
[2021:06:12-03:31:47]  (Global) -> SEXO~>Catre^|#9800D1GDT!: y el resto chao ocampo nea
[2021:06:12-03:31:48]  (Global) -> #9E016CRIPD'Fabius|#9E016Cà¶ž: AGANSE A UN LADO O PANGASE OTRO COLOR
[2021:06:12-03:31:49]  (Team - Law Enforcement) -> (TEAM)PEGUELO[EMP]: a
[2021:06:12-03:31:49]  (Global) -> biya'2cb: vendo bf injection
[2021:06:12-03:31:50]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: cambienos los blids
[2021:06:12-03:31:51]  (Global) -> #9E016CRIPD'Fabius|#9E016Cà¶ž: CONFUNDEN PANA
[2021:06:12-03:31:51]  (Local) -> (LOCAL)[3]PEGUELO[EMP]: arreglemos
[2021:06:12-03:31:52]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: eso
[2021:06:12-03:31:53]  (Local) -> (LOCAL)[4]Randall...!: slaime vos nmas
[2021:06:12-03:31:55]  (Local) -> (LOCAL)[7]cacharrito.HP: por que se cambio a cj si ud es mujer
[2021:06:12-03:31:56]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: 38 y le quedo debiendo 2
[2021:06:12-03:31:56]  (Local) -> (LOCAL)[2]DARKAR[DARK]: ?
[2021:06:12-03:31:56]  (Local) -> (LOCAL)[4]Randall...!: salime
[2021:06:12-03:31:56]  (Global) -> DARKER(TDF): AFK
[2021:06:12-03:31:57]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: me confundo resto
[2021:06:12-03:31:58]  (Local) -> (LOCAL)[1]Joselito: vamos a trabajar
[2021:06:12-03:31:59]  (Local) -> (LOCAL)[5]Bocato'AUC: brebe
[2021:06:12-03:31:59]  (Global) -> jaime/2cb: el primero que llegue a lo ultimo gana
[2021:06:12-03:32:00]  (Global) -> SEXO~>Catre^|#9800D1GDT!: x2
[2021:06:12-03:32:00]  (Global) -> ALFONSO_GAVIRIA: no ve que tngo skin de vieja
[2021:06:12-03:32:01]  (Local) -> (LOCAL)[2]Stitches!~>||(CDG)||: manco hpt
[2021:06:12-03:32:03]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: maÃ±ana se los doy
[2021:06:12-03:32:03]  (Local) -> (LOCAL)[1]Joselito: deje manejo
[2021:06:12-03:32:03]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: disque donde Sejimo que asco
[2021:06:12-03:32:04]  (Local) -> (LOCAL)[7]snyder_david: quitate el trabajo xd
[2021:06:12-03:32:04]  (Global) -> RIPD~>Spcem'DeTemeer~|#CBFF00âœ˜ : cambien de blips y los que no son del team chao
[2021:06:12-03:32:04]  (Global) -> TAM|ALEXIS|2cB: adm
[2021:06:12-03:32:05]  (Local) -> (LOCAL)[2]RIPD'mata: ola
[2021:06:12-03:32:06]  (Global) -> FrightenedLyre54: de one
[2021:06:12-03:32:07]  (Global) -> ALFONSO_GAVIRIA: precioen g
[2021:06:12-03:32:07]  (Global) -> DesertedUncle87: ssss
[2021:06:12-03:32:08]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: que los camelle
[2021:06:12-03:32:08]  (Global) -> AbruptStamen23: quien vende bareta?
[2021:06:12-03:32:09]  (Local) -> (LOCAL)[1]ghostemane|CDG: hagale ps espere reconecto espereme aca
[2021:06:12-03:32:09]  (Local) -> (LOCAL)[2]RIPD'mata: medeseas suerte
[2021:06:12-03:32:10]  (Local) -> (LOCAL)[8]Dayer<3: no pa q
[2021:06:12-03:32:10]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00GORDOBM: ajajaja su hermano
[2021:06:12-03:32:10]  (Local) -> (LOCAL)[2]RIPD'mata: ?
[2021:06:12-03:32:11]  (Global) -> Junior908: listo
[2021:06:12-03:32:12]  (Local) -> (LOCAL)[1]TAM-Alcapone"2cb: r
[2021:06:12-03:32:13]  (Local) -> (LOCAL)[2]RIPD'mata: *uwu*
[2021:06:12-03:32:14]  (Local) -> (LOCAL)[8]snyder_david: XD
[2021:06:12-03:32:15]  (Local) -> (LOCAL)[2]DARKAR[DARK]: hagale
[2021:06:12-03:32:17]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF8C00Nicole: ps al primer staff que vi XD
[2021:06:12-03:32:18]  (Global) -> DesertedUncle87: yaya perdon xd
[2021:06:12-03:32:19]  (Global) -> DARKER(TDF): QEUIERTOS
[2021:06:12-03:32:20]  (Local) -> (LOCAL)[1]RIPD'mata: **le mueve la colita*
[2021:06:12-03:32:22]  (Global) -> Junior908: este en cuanto esta 
[2021:06:12-03:32:23]  (Global) -> ALFONSO_GAVIRIA: g
[2021:06:12-03:32:23]  (Global) -> DARKER(TDF): AFK 
[2021:06:12-03:32:24]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: jajajaja
[2021:06:12-03:32:24]  (Local) -> (LOCAL)[8]Raptus~~: xddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
[2021:06:12-03:32:24]  (Global) -> RIPD~>Spcem'DeTemeer~|#CBFF00âœ˜ : Ocampro Un team de Criominal y el otro de Civil
[2021:06:12-03:32:24]  (Local) -> (LOCAL)[1]RIPD'mata: sapo
[2021:06:12-03:32:28]  (Local) -> (LOCAL)[2]DARKAR[DARK]: al conteo
[2021:06:12-03:32:29]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00GORDOBM: oe pq les cae mal
[2021:06:12-03:32:30]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: cuente pues
[2021:06:12-03:32:30]  (Global) -> biya'2cb: abrupt yo le vendo
[2021:06:12-03:32:32]  (Local) -> (LOCAL)[1]javier2cb: ese en la tienda cuest 10 palos
[2021:06:12-03:32:34]  (Global) -> Junior908: o hagamos algo cuanto por los dos
[2021:06:12-03:32:34]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00COCAINA|2cb|: como le metieron cachos
[2021:06:12-03:32:35]  (Local) -> (LOCAL)[1]javier2cb: se lo dejo a 9
[2021:06:12-03:32:36]  (Local) -> (LOCAL)[1]pplc-IDavid: k gai
[2021:06:12-03:32:36]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF8C00Nicole: A mi no me cae mal
[2021:06:12-03:32:39]  (Global) -> RIPD~>Spcem'DeTemeer~|#CBFF00âœ˜ : Ocampro Un team de Criominal y el otro de Civil
[2021:06:12-03:32:40]  ([Msg] de Valak para Dayer<3: rote fotopatas q me antoje solito) -> nil
[2021:06:12-03:32:40]  (Global) -> ALFONSO_GAVIRIA: g ome 
[2021:06:12-03:32:41]  (Global) -> jaime/2cb: saue la quÃ§
[2021:06:12-03:32:43]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00Nicole: Ellos que son todos huevones
[2021:06:12-03:32:43]  (Global) -> DARKER(TDF): Junior908 DONDE ANDA
[2021:06:12-03:32:44]  (Global) -> RIPD~>SantaTrinidad|#9E016Cà¶ž: a este ome
[2021:06:12-03:32:48]  (Local) -> (LOCAL)[0]POPEYE[CDG]: mano yo voy y le aviso si esta alla
[2021:06:12-03:32:49]  (Global) -> ALFONSO_GAVIRIA: pa que e suba atras
