This file was generated by Console at 2021:04:12-00:00:00



[2021:04:12-00:00:00]  (Local) -> (LOCAL)[5]BUHODERMIA: 1
[2021:04:12-04:15:47]  (Global) -> Matanoobs-ELN: pa que me mataste
[2021:04:12-04:15:48]  (Local) -> (LOCAL)[1]Dominio: Yo losmato
[2021:04:12-04:15:51]  (Local) -> (LOCAL)[1]Dominio: Yb tu loscoejs
[2021:04:12-04:15:51]  (Local) -> (LOCAL)[1]Vlankillo: #2EFEF7 ay Dayer Arias
[2021:04:12-04:15:53]  (Local) -> (LOCAL)[1]S!up: yo lo mate?
[2021:04:12-04:15:53]  (Global) -> elperrasazo_r: oe
[2021:04:12-04:15:54]  (Local) -> (LOCAL)[1]S!up: cuando
[2021:04:12-04:15:54]  (Local) -> (LOCAL)[8]JuanKa: ins
[2021:04:12-04:15:54]  (Local) -> (LOCAL)[8]Buitre|sad|2cB: mateme nea
[2021:04:12-04:15:55]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: HOLA
[2021:04:12-04:15:56]  (Local) -> (LOCAL)[1]S!up: mentirosin
[2021:04:12-04:15:56]  (Global) -> Matanoobs-ELN: si ahora
[2021:04:12-04:15:56]  (Local) -> (LOCAL)[5]Nicoleeee: q paso papi
[2021:04:12-04:15:58]  (Local) -> (LOCAL)[1]PabloEscobar-ELN: tu los atropellas
[2021:04:12-04:16:00]  (Global) -> jaider_Gt: lo maximo que tengo pa consegume ya es 4 palos
[2021:04:12-04:16:00]  (Local) -> (LOCAL)[7]JuanKa: mero flow
[2021:04:12-04:16:00]  (Local) -> (LOCAL)[2]S!up: fue el de las bombas
[2021:04:12-04:16:00]  (Local) -> (LOCAL)[1]DONOSO: esta full tunin
[2021:04:12-04:16:01]  (Local) -> (LOCAL)[1]Dominio: ale
[2021:04:12-04:16:01]  (Global) -> elperrasazo_r: oe
[2021:04:12-04:16:02]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: Q HACES AHI SOLITA BB
[2021:04:12-04:16:02]  (Local) -> (LOCAL)[5]Nicoleeee: mire esta pose
[2021:04:12-04:16:03]  (Global) -> ALIAS_CABO{2cb]:  jaider repito 7 palos laninja
[2021:04:12-04:16:03]  (Local) -> (LOCAL)[1]S!up: fue otro tombo
[2021:04:12-04:16:04]  (Local) -> (LOCAL)[1]Dayer<3: ay no joda
[2021:04:12-04:16:05]  (Local) -> (LOCAL)[2]S!up: agh
[2021:04:12-04:16:06]  (Local) -> (LOCAL)[2]2cb'^Lart~Popper^: oe
[2021:04:12-04:16:06]  (Global) -> PabloEscobar-ELN: vamo
[2021:04:12-04:16:07]  (Global) -> Matanoobs-ELN: seguro
[2021:04:12-04:16:07]  (Local) -> (LOCAL)[3]S!up: este man hermano
[2021:04:12-04:16:09]  (Local) -> (LOCAL)[5]Nicoleeee: a penas pa nosotros
[2021:04:12-04:16:09]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: KUAL
[2021:04:12-04:16:10]  (Local) -> (LOCAL)[1]S!up: obvio
[2021:04:12-04:16:11]  (Local) -> (LOCAL)[1]Vlankillo: ay dayer
[2021:04:12-04:16:12]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#5723FEBalaclava|#5723FEGDT!: ya sacaron todos los carros melos
[2021:04:12-04:16:13]  (Local) -> (LOCAL)[1]King: espere
[2021:04:12-04:16:13]  (Local) -> (LOCAL)[1]Vlankillo: q groseria
[2021:04:12-04:16:13]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#5723FEBalaclava|#5723FEGDT!: xddddd
[2021:04:12-04:16:14]  (Local) -> (LOCAL)[1]S!up: yo ni bombias tengo
[2021:04:12-04:16:15]  (Local) -> (LOCAL)[5]Nicoleeee: peguese peguse
[2021:04:12-04:16:15]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: SI
[2021:04:12-04:16:15]  (Global) -> elperrasazo_r: como es el comando de musica
[2021:04:12-04:16:16]  (Local) -> (LOCAL)[1]DONOSO: pruebelo si quiere
[2021:04:12-04:16:18]  (Local) -> (LOCAL)[5]Gomita|Z: sisi xD
[2021:04:12-04:16:19]  (Local) -> (LOCAL)[6]Buitre|sad|2cB: sube camila
[2021:04:12-04:16:20]  (Local) -> (LOCAL)[1]Dayer<3: q oso
[2021:04:12-04:16:21]  (Local) -> (LOCAL)[3]2cb'^Lart~Popper^: no se pa
[2021:04:12-04:16:21]  (Local) -> (LOCAL)[5]Nicoleeee: jum
[2021:04:12-04:16:23]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: UD AQUI YO ALLA
[2021:04:12-04:16:25]  (Local) -> (LOCAL)[5]Gomita|Z: pero
[2021:04:12-04:16:30]  (Local) -> (LOCAL)[5]Gomita|Z: esoge cualquiera
[2021:04:12-04:16:31]  (Local) -> (LOCAL)[1]CamilaShade|2cb: vamos por el carrito
[2021:04:12-04:16:31]  (Local) -> (LOCAL)[1]S!up: ./release #FF3386S!up[2]
[2021:04:12-04:16:33]  (Local) -> (LOCAL)[6]Toreto'ELN: que haces
[2021:04:12-04:16:34]  (Local) -> (LOCAL)[2]2cb'^Lart~Popper^: oe
[2021:04:12-04:16:35]  (Local) -> (LOCAL)[5]Toreto'ELN: con el bb
[2021:04:12-04:16:37]  (Local) -> (LOCAL)[1]S!up: avitese el dejar el trabajo
[2021:04:12-04:16:37]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: dale :3
[2021:04:12-04:16:37]  (Local) -> (LOCAL)[5]Toreto'ELN: xd
[2021:04:12-04:16:38]  (Local) -> (LOCAL)[4]Maracachafa: nada
[2021:04:12-04:16:39]  (Local) -> (LOCAL)[1]DosCoronas2cb: eo
[2021:04:12-04:16:40]  (Global) -> elperrasazo_r: oe 
[2021:04:12-04:16:40]  (Local) -> (LOCAL)[5]Nicoleeee: siba suba
[2021:04:12-04:16:41]  (Local) -> (LOCAL)[4]Maracachafa: ajjaja
[2021:04:12-04:16:41]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: AMOR KITASTE
[2021:04:12-04:16:42]  (Local) -> (LOCAL)[0]DosCoronas2cb: o
[2021:04:12-04:16:42]  (Local) -> (LOCAL)[1]S!up: el comando es /release
[2021:04:12-04:16:44]  (Local) -> (LOCAL)[4]WolfUser'2cb: oe oe oe
[2021:04:12-04:16:48]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: LA NABESUKI
[2021:04:12-04:16:48]  (Local) -> (LOCAL)[1]CamilaShade|2cb: quien esta carteleado?
[2021:04:12-04:16:48]  (Local) -> (LOCAL)[5]Gomita|Z: es como para drift
[2021:04:12-04:16:49]  (Local) -> (LOCAL)[2]2cb'^Lart~Popper^: oe
[2021:04:12-04:16:49]  (Global) -> CHUNKYTRACK: ESE POLICIA PABLO ES UNA GAY
[2021:04:12-04:16:49]  (Local) -> (LOCAL)[1]S!up: y pone el nombre de la persona
[2021:04:12-04:16:50]  (Global) -> elperrasazo_r: pike o miedo
[2021:04:12-04:16:50]  (Local) -> (LOCAL)[4]Dominio: Pala canahp
[2021:04:12-04:16:51]  (Local) -> (LOCAL)[2]2cb'^Lart~Popper^: oe
[2021:04:12-04:16:58]  (Global) -> Elpope|ELN|: JAJAJA
[2021:04:12-04:16:58]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: me
[2021:04:12-04:17:00]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00MoraHpta: gracias dios
[2021:04:12-04:17:00]  (Local) -> (LOCAL)[1]CamilaShade|2cb: a
[2021:04:12-04:17:01]  (Local) -> (LOCAL)[7]#7F7F7F|ADM||DJ|#FF0000Balaclava: faltaba este man
[2021:04:12-04:17:03]  (Global) -> Elpope|ELN|: AJJAA
[2021:04:12-04:17:04]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: yo
[2021:04:12-04:17:04]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: VENGA PS
[2021:04:12-04:17:04]  (Local) -> (LOCAL)[3]S!up: ash
[2021:04:12-04:17:06]  (Local) -> (LOCAL)[7]Gomita|Z: sisa
[2021:04:12-04:17:07]  (Global) -> Paisa[EVG]: ya
[2021:04:12-04:17:08]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: UYYYYYYY
[2021:04:12-04:17:08]  (Local) -> (LOCAL)[1]DosCoronas2cb: jajajja
[2021:04:12-04:17:08]  (Local) -> (LOCAL)[3]S!up: estorbo maricon
[2021:04:12-04:17:10]  (Local) -> (LOCAL)[7]Nicoleeee: abacho
[2021:04:12-04:17:12]  (Global) -> ALIAS_CABO{2cb]:  jaider ya se la tengo tuneada a las de 120 por hora
[2021:04:12-04:17:15]  (Local) -> (LOCAL)[7]Nicoleeee: jjahsjahaj
[2021:04:12-04:17:16]  (Local) -> (LOCAL)[7]Gomita|Z: ese?
[2021:04:12-04:17:21]  (Local) -> (LOCAL)[1]King: ya
[2021:04:12-04:17:22]  (Local) -> (LOCAL)[1]CamilaShade|2cb: yoooo
[2021:04:12-04:17:22]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: ay
[2021:04:12-04:17:22]  (Local) -> (LOCAL)[3]PabloEscobar-ELN: ajajaj esa esta buena
[2021:04:12-04:17:24]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||DJ|#FF0000Balaclava: ps es el unico q queda
[2021:04:12-04:17:24]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: ahora tu xd
[2021:04:12-04:17:26]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||DJ|#FF0000Balaclava: xdddd
[2021:04:12-04:17:26]  (Local) -> (LOCAL)[8]Gomita|Z: ponte fumar 1
[2021:04:12-04:17:27]  (Local) -> (LOCAL)[4]PabloEscobar-ELN: yo te agarro y la gente
[2021:04:12-04:17:28]  (Local) -> (LOCAL)[4]Dominio: cual
[2021:04:12-04:17:28]  (Local) -> (LOCAL)[2]DONOSO: ya esta full
[2021:04:12-04:17:28]  (Local) -> (LOCAL)[2]King: boy a ber como corre
[2021:04:12-04:17:29]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: ambos
[2021:04:12-04:17:31]  (Local) -> (LOCAL)[4]PabloEscobar-ELN: cree que no te tengo
[2021:04:12-04:17:33]  (Local) -> (LOCAL)[1]CamilaShade|2cb: aaaaaaaaaaa
[2021:04:12-04:17:34]  (Local) -> (LOCAL)[8]Gomita|Z: al frente del carro
[2021:04:12-04:17:34]  (Global) -> elperrasazo_r: oe
[2021:04:12-04:17:38]  (Local) -> (LOCAL)[5]PabloEscobar-ELN: y me disparan los tombos
[2021:04:12-04:17:38]  (Local) -> (LOCAL)[5]Dominio: Jajjajaa
[2021:04:12-04:17:38]  (Global) -> SnOw|2cB|#E20280 ඞ: que
[2021:04:12-04:17:41]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: a mi me cartelearon por /hitman
[2021:04:12-04:17:42]  (Local) -> (LOCAL)[5]PabloEscobar-ELN: y los meto breve
[2021:04:12-04:17:43]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF0000CrudoMa'G: a
[2021:04:12-04:17:46]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: DEME UN PICO PS
[2021:04:12-04:17:51]  (Global) -> elperrasazo_r: como es el comando de muscica
[2021:04:12-04:17:51]  (Local) -> (LOCAL)[4]PabloEscobar-ELN: vamos pa esa
[2021:04:12-04:17:52]  (Local) -> (LOCAL)[1]CazaRatones: oe
[2021:04:12-04:17:55]  (Global) -> SnOw|2cB|#E20280 ඞ:  /sound
[2021:04:12-04:17:55]  (Global) -> jaider_Gt: y no tienes camionetas melas ?
[2021:04:12-04:17:57]  (Local) -> (LOCAL)[1]Dominio: Comoasi que te disparan?
[2021:04:12-04:18:00]  (Local) -> (LOCAL)[2]Toreto'ELN: AHHH
[2021:04:12-04:18:00]  (Local) -> (LOCAL)[1]Vlankillo: ay dayer
[2021:04:12-04:18:01]  (Local) -> (LOCAL)[2]Toreto'ELN: ES EL MOR
[2021:04:12-04:18:01]  (Local) -> (LOCAL)[1]CazaRatones: tienes $$
[2021:04:12-04:18:01]  (Local) -> (LOCAL)[1]Dominio: PIllame
[2021:04:12-04:18:02]  (Local) -> (LOCAL)[1]PabloEscobar-ELN: si ellos me disparan
[2021:04:12-04:18:02]  (Local) -> (LOCAL)[2]Toloteli: pana
[2021:04:12-04:18:03]  (Local) -> (LOCAL)[0]jaider_Gt: de 3 o 4 palos?
[2021:04:12-04:18:05]  (Global) -> jaider_Gt: de 3 o 4 palos?
[2021:04:12-04:18:06]  (Local) -> (LOCAL)[3]Toloteli: JAJJAJAJ
[2021:04:12-04:18:06]  (Global) -> SnOw|2cB|#E20280 ඞ: o pone musica en F3 radio
[2021:04:12-04:18:07]  (Local) -> (LOCAL)[7]Nicoleeee: mua
[2021:04:12-04:18:08]  (Local) -> (LOCAL)[1]PabloEscobar-ELN: agarran estrellas
[2021:04:12-04:18:08]  (Local) -> (LOCAL)[3]Toloteli: nooooooooooo
[2021:04:12-04:18:10]  (Global) -> ALIAS_CABO{2cb]:  la solair 
[2021:04:12-04:18:13]  (Local) -> (LOCAL)[1]Dayer<3: q
[2021:04:12-04:18:15]  (Local) -> (LOCAL)[1]King: oe
[2021:04:12-04:18:17]  (Local) -> (LOCAL)[3]Toreto'ELN: xd
[2021:04:12-04:18:17]  (Global) -> jaider_Gt: ya la tengo
[2021:04:12-04:18:18]  (Local) -> (LOCAL)[3]Toloteli: me esta metiendo cachoss
[2021:04:12-04:18:19]  (Local) -> (LOCAL)[1]CazaRatones: pana
[2021:04:12-04:18:20]  (Global) -> EducatedAnt68: soy nuevo
[2021:04:12-04:18:20]  (Local) -> (LOCAL)[2]DONOSO: digalo
[2021:04:12-04:18:21]  (Local) -> (LOCAL)[1]Vlankillo: oye esa monda
[2021:04:12-04:18:22]  (Local) -> (LOCAL)[9]Nicoleeee: bea
[2021:04:12-04:18:22]  (Global) -> ALIAS_CABO{2cb]:  no m
[2021:04:12-04:18:24]  (Local) -> (LOCAL)[3]Toreto'ELN: el es bro
[2021:04:12-04:18:24]  (Local) -> (LOCAL)[9]Nicoleeee: abrazaos
[2021:04:12-04:18:27]  (Global) -> kamilo|2cb: dj
[2021:04:12-04:18:28]  (Local) -> (LOCAL)[1]CazaRatones: cuanto tienes
[2021:04:12-04:18:28]  (Local) -> (LOCAL)[1]Dayer<3: a
[2021:04:12-04:18:31]  (Local) -> (LOCAL)[1]CazaRatones: de $
[2021:04:12-04:18:31]  (Local) -> (LOCAL)[1]COPETON2cb: xd
[2021:04:12-04:18:34]  (Local) -> (LOCAL)[2]S!up: bruh
[2021:04:12-04:18:34]  (Local) -> (LOCAL)[1]King: sabe donde lo puede bender para comprarlo
[2021:04:12-04:18:35]  (Local) -> (LOCAL)[2]Buitre|sad|2cB: :o
[2021:04:12-04:18:39]  (Global) -> EducatedAnt68: 350
[2021:04:12-04:18:40]  (Local) -> (LOCAL)[2]CamilaShade|2cb: sapo
[2021:04:12-04:18:42]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEKevinOcampo|#5723FEGDT!: jodapri
[2021:04:12-04:18:44]  (Local) -> (LOCAL)[3]King: como me lo pasa?
[2021:04:12-04:18:44]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: ai
[2021:04:12-04:18:49]  (Local) -> (LOCAL)[3]King: oe
[2021:04:12-04:18:50]  (Global) -> kamilo|2cb: dj
[2021:04:12-04:18:51]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: ven nos quitamos carteles
[2021:04:12-04:18:52]  (Local) -> (LOCAL)[3]Toreto'ELN: que son esas reuniones my king
[2021:04:12-04:18:52]  (Local) -> (LOCAL)[1]CamilaShade|2cb: se muere por 25k
[2021:04:12-04:18:52]  (Local) -> (LOCAL)[2]Dominio: vamos por toloteli
[2021:04:12-04:18:52]  (Local) -> (LOCAL)[3]DONOSO: yo lo se dar
[2021:04:12-04:18:54]  (Local) -> (LOCAL)[1]CamilaShade|2cb: xddddd
[2021:04:12-04:18:54]  (Local) -> (LOCAL)[3]King: mi toreto
[2021:04:12-04:18:56]  (Local) -> (LOCAL)[9]Nicoleeee: BOBO
[2021:04:12-04:18:57]  (Local) -> (LOCAL)[9]Maracachafa: el bala
[2021:04:12-04:18:57]  (Global) -> ALIAS_CABO{2cb]: jaider si quiere le vendo el clover
[2021:04:12-04:18:57]  (Local) -> (LOCAL)[1]CazaRatones: trabaja de puerquito policia
[2021:04:12-04:18:59]  (Local) -> (LOCAL)[4]Toreto'ELN: que dice mi broo
[2021:04:12-04:18:59]  (Local) -> (LOCAL)[9]Nicoleeee: XDDDDDDDDDDD
[2021:04:12-04:19:00]  (Global) -> #9706BCRatae~>|Z||#9706BC 夜: KK
[2021:04:12-04:19:01]  (Local) -> (LOCAL)[3]Dominio: lerdaahora si peus
[2021:04:12-04:19:05]  (Global) -> ALIAS_CABO{2cb]:  a mas de 130 por hora
[2021:04:12-04:19:06]  (Global) -> EducatedAnt68: ok
[2021:04:12-04:19:07]  (Local) -> (LOCAL)[3]Dominio: Ñerda
[2021:04:12-04:19:08]  (Global) -> elperrasazo_r: oee
[2021:04:12-04:19:10]  (Local) -> (LOCAL)[3]Toreto'ELN: jajaja
[2021:04:12-04:19:10]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF0000KevinOcampo: yo ese soy yo
[2021:04:12-04:19:11]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: te mato y me matas
[2021:04:12-04:19:13]  (Global) -> Vlankillo: #DF0101 vendo yosemite :)
[2021:04:12-04:19:14]  (Local) -> (LOCAL)[5]elperrasazo_r: pike o miedo
[2021:04:12-04:19:14]  (Local) -> (LOCAL)[3]Toreto'ELN: que se negocea por aca mors
[2021:04:12-04:19:16]  (Global) -> Dominio|#CBCBCBЯN: AKMIGHTYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
[2021:04:12-04:19:16]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF0000KevinOcampo: viendo esos dulces
[2021:04:12-04:19:17]  (Local) -> (LOCAL)[9]Nicoleeee: vea detras suyo
[2021:04:12-04:19:18]  (Local) -> (LOCAL)[3]King: le boy a comprar un vehiculo
[2021:04:12-04:19:19]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF0000CrudoMa'G: aaaa
[2021:04:12-04:19:19]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: ya me matas
[2021:04:12-04:19:20]  (Local) -> (LOCAL)[1]CazaRatones: suerte
[2021:04:12-04:19:20]  (Global) -> Toloteli: marica
[2021:04:12-04:19:20]  (Global) -> jaider_Gt: cuanto
[2021:04:12-04:19:21]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF0000CrudoMa'G: ñero corra eso
[2021:04:12-04:19:22]  (Local) -> (LOCAL)[3]Toreto'ELN: añañaay
[2021:04:12-04:19:23]  (Local) -> (LOCAL)[10]Maracachafa: este carro es rare ???
[2021:04:12-04:19:23]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF0000KevinOcampo: uyyyyyyy
[2021:04:12-04:19:24]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: yo tengo mas cartel
[2021:04:12-04:19:25]  (Local) -> (LOCAL)[3]Toreto'ELN: veo
[2021:04:12-04:19:26]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF0000KevinOcampo: espera bb ya vengo
[2021:04:12-04:19:27]  (Local) -> (LOCAL)[3]Toreto'ELN: cual
[2021:04:12-04:19:28]  (Local) -> (LOCAL)[10]Nicoleeee: jajsjasj meras gomitas
[2021:04:12-04:19:28]  (Global) -> Vlankillo: 7
[2021:04:12-04:19:30]  (Local) -> (LOCAL)[3]Toreto'ELN: mor
[2021:04:12-04:19:30]  (Local) -> (LOCAL)[10]Nicoleeee: bn
[2021:04:12-04:19:30]  (Global) -> ALIAS_CABO{2cb]: 1200000
[2021:04:12-04:19:31]  (Local) -> (LOCAL)[3]King: ese
[2021:04:12-04:19:31]  (Global) -> Elpope|ELN|: COMPRO HUNTLEY
[2021:04:12-04:19:31]  (Global) -> EducatedAnt68: graias bro
[2021:04:12-04:19:37]  (Local) -> (LOCAL)[6]Dominio: Toloteli piensa que no estoy pillaoy ucnaodme venga a dispararlocojes
[2021:04:12-04:19:39]  (Local) -> (LOCAL)[6]DosCoronas2cb: banco
[2021:04:12-04:19:43]  (Local) -> (LOCAL)[3]DosCoronas2cb: anda fino
[2021:04:12-04:19:43]  (Global) -> jaider_Gt: 1.200.000
[2021:04:12-04:19:45]  (Local) -> (LOCAL)[4]PabloEscobar-ELN: shh
[2021:04:12-04:19:45]  (Local) -> (LOCAL)[4]Toreto'ELN: est?
[2021:04:12-04:19:45]  (Local) -> (LOCAL)[10]Maracachafa: oe bala
[2021:04:12-04:19:47]  (Local) -> (LOCAL)[4]Dominio: velo
[2021:04:12-04:19:48]  (Local) -> (LOCAL)[3]King: si
[2021:04:12-04:19:48]  (Local) -> (LOCAL)[3]Toreto'ELN: en cuanto amor
[2021:04:12-04:19:50]  (Local) -> (LOCAL)[3]Toreto'ELN: esta chimba
[2021:04:12-04:19:52]  (Global) -> ALIAS_CABO{2cb]:  si
[2021:04:12-04:19:58]  (Global) -> elperrasazo_r: oe
[2021:04:12-04:19:58]  (Local) -> (LOCAL)[4]King: ponga el precio
[2021:04:12-04:20:00]  (Global) -> Toloteli: su madre
[2021:04:12-04:20:01]  (Global) -> Vlankillo: grosero
[2021:04:12-04:20:02]  (Global) -> jaider_Gt: y como es
[2021:04:12-04:20:03]  (Global) -> Rivera"2CB: Andres_Ramires||2cb||
[2021:04:12-04:20:07]  (Local) -> (LOCAL)[1]DosCoronas2cb: 100K
[2021:04:12-04:20:08]  (Local) -> (LOCAL)[7]Toreto'ELN: esta liendra
[2021:04:12-04:20:11]  (Local) -> (LOCAL)[6]DosCoronas2cb: o cuanto
[2021:04:12-04:20:16]  (Global) -> kamilo|2cb: 200k
[2021:04:12-04:20:24]  (Global) -> ALIAS_CABO{2cb]:  es un camaro en la vida real
[2021:04:12-04:20:24]  (Local) -> (LOCAL)[2]King: ponga el precio
[2021:04:12-04:20:28]  (Global) -> Toloteli: xd
[2021:04:12-04:20:29]  ([Msg] de Buitre|sad|2cB para #FF3383CamilaShade|2cb: perame ya te busco) -> nil
[2021:04:12-04:20:29]  (Global) -> 2cb'^Lart~Popper^: hola
[2021:04:12-04:20:29]  (Local) -> (LOCAL)[4]Toreto'ELN: en cuanto mor
[2021:04:12-04:20:30]  (Local) -> (LOCAL)[3]Buitre|sad|2cB: a
[2021:04:12-04:20:35]  (Local) -> (LOCAL)[3]Buitre|sad|2cB: aqui
[2021:04:12-04:20:35]  (Global) -> Elpope|ELN|: COMPRO HUNTLEY
[2021:04:12-04:20:39]  (Team - Services) -> (TEAM)Rivera"2CB: Andres_Ramires||2cb|| ya donde esta
[2021:04:12-04:20:43]  (Local) -> (LOCAL)[3]Buitre|sad|2cB: ven
[2021:04:12-04:20:43]  ([Msg] de Dominio para PabloEscobar-ELN: sueltame) -> nil
[2021:04:12-04:20:43]  (Global) -> MR-Cazumba: VENGO POR LA RECOMPENSA DE 310.000
[2021:04:12-04:20:44]  (Local) -> (LOCAL)[3]King: a el que ponga el precio
[2021:04:12-04:20:44]  (Local) -> (LOCAL)[3]DosCoronas2cb: que violencia
[2021:04:12-04:20:48]  (Local) -> (LOCAL)[3]DosCoronas2cb: la de este pais
[2021:04:12-04:20:49]  (Local) -> (LOCAL)[11]Soltec|EVG|: bno
[2021:04:12-04:20:50]  (Global) -> jaider_Gt: traigalo a el hp
[2021:04:12-04:20:50]  (Local) -> (LOCAL)[3]PabloEscobar-ELN: ese
[2021:04:12-04:20:53]  (Global) -> MR-Cazumba: Balaclava
[2021:04:12-04:20:55]  (Local) -> (LOCAL)[1]Dominio: suekltame
[2021:04:12-04:20:55]  (Global) -> MR-Cazumba: Me deja matarlo?
[2021:04:12-04:20:58]  (Global) -> ALIAS_CABO{2cb]:  a cual
[2021:04:12-04:20:58]  (Local) -> (LOCAL)[4]DONOSO: esta full tunina
[2021:04:12-04:21:02]  (Global) -> SnOw|2cB|#E20280 ඞ: ?
[2021:04:12-04:21:04]  (Global) -> MR-Cazumba: Plix
[2021:04:12-04:21:07]  (Global) -> Rivera"2CB: Andres_Ramires||2cb|| ya donde esta
[2021:04:12-04:21:08]  (Global) -> MR-Cazumba: Jsjsjsjs
[2021:04:12-04:21:10]  (Local) -> (LOCAL)[1]DosCoronas2cb: tenis
[2021:04:12-04:21:10]  (Global) -> jaider_Gt: el central
[2021:04:12-04:21:12]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: no c puede
[2021:04:12-04:21:14]  (Global) -> CazaRatones: CUANTO VALE VIP
[2021:04:12-04:21:14]  (Local) -> (LOCAL)[1]DosCoronas2cb: y hacemos eso
[2021:04:12-04:21:15]  (Local) -> (LOCAL)[1]CamilaShade|2cb: q
[2021:04:12-04:21:16]  (Local) -> (LOCAL)[4]King: cuanto le doy
[2021:04:12-04:21:17]  (Local) -> (LOCAL)[3]Toreto'ELN: xd
[2021:04:12-04:21:20]  (Local) -> (LOCAL)[1]Vlankillo: a ud le gusta romeo santos?
[2021:04:12-04:21:21]  (Local) -> (LOCAL)[3]Toreto'ELN: oee
[2021:04:12-04:21:21]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: matarme xd
[2021:04:12-04:21:23]  (Global) -> ALIAS_CABO{2cb]:  voy q estoy en vuelo
[2021:04:12-04:21:24]  (Local) -> (LOCAL)[1]CamilaShade|2cb: afuera
[2021:04:12-04:21:24]  (Local) -> (LOCAL)[2]King: ?
[2021:04:12-04:21:26]  (Local) -> (LOCAL)[2]Toreto'ELN: cuanto pide
[2021:04:12-04:21:27]  (Local) -> (LOCAL)[1]Dominio: Vamos por esehp hasta que sedesconecte
[2021:04:12-04:21:29]  (Global) -> CazaRatones: ADMIN
[2021:04:12-04:21:30]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF0000KevinOcampo: amor
[2021:04:12-04:21:31]  (Local) -> (LOCAL)[2]DONOSO: cuanto ofrece esta full tunin
[2021:04:12-04:21:34]  (Global) -> MR-Cazumba: Balaclava dejese matar que paga bien rico
[2021:04:12-04:21:34]  (Local) -> (LOCAL)[1]Dayer<3: r
[2021:04:12-04:21:35]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF0000KevinOcampo: TU VAS A SER MI COPILOTO BB
[2021:04:12-04:21:36]  (Global) -> MR-Cazumba: :3
[2021:04:12-04:21:36]  (Local) -> (LOCAL)[2]Toreto'ELN: cuanto vale nuevo
[2021:04:12-04:21:38]  (Local) -> (LOCAL)[1]DosCoronas2cb: ayer porque no me escribio
[2021:04:12-04:21:39]  (Local) -> (LOCAL)[11]Nicoleeee: dime
[2021:04:12-04:21:40]  (Local) -> (LOCAL)[1]Vlankillo: a
[2021:04:12-04:21:41]  (Local) -> (LOCAL)[3]Toloteli: xd
[2021:04:12-04:21:42]  (Global) -> 2cb'^Lart~Popper^: peyes
[2021:04:12-04:21:43]  (Global) -> #7F7F7F|ADM||LG|#FF5C00Ricardo|EVG|: CazaRatones[1] desde 8k a 32k, puedes mirar en Vip Información en discord
[2021:04:12-04:21:44]  (Local) -> (LOCAL)[2]Dayer<3: t
[2021:04:12-04:21:45]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF0000KevinOcampo: TU Y YO CORRIENDO
