This file was generated by Console at 2021:05:03-00:00:00



[2021:05:03-00:00:00]  (Local) -> (LOCAL)[2]Dilan'CDG: a
[2021:05:03-00:20:47]  (Local) -> (LOCAL)[1]Mr_KR_[AKT]: algo asi
[2021:05:03-00:20:48]  (Global) -> GuanisFlow|2cb|: a
[2021:05:03-00:20:49]  (Local) -> (LOCAL)[4]DosCoronas|CAPU: lograr hacer lo que usted hace
[2021:05:03-00:20:50]  (Local) -> (LOCAL)[1]PeterJ: cameye como camionero o piloto pagan bien
[2021:05:03-00:20:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: aah si
[2021:05:03-00:20:51]  (Local) -> (LOCAL)[1]Mr_KR_[AKT]: htc
[2021:05:03-00:20:51]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: JJJJJ
[2021:05:03-00:20:52]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: quedemos dando vueltas aca jajajs
[2021:05:03-00:20:52]  (Local) -> (LOCAL)[2]DosCoronas|CAPU: cancelar
[2021:05:03-00:20:53]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: el otro
[2021:05:03-00:20:56]  (Global) -> SantyCraxker23: mani no sjsjsjsj
[2021:05:03-00:20:57]  (Local) -> (LOCAL)[2]CALDERON|AUC|: eso es un cambio de armas rapido
[2021:05:03-00:20:58]  (Local) -> (LOCAL)[3]Avalencia: coloquese una skin de anime
[2021:05:03-00:20:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: corre como 200
[2021:05:03-00:20:58]  (Local) -> (LOCAL)[2]DosCoronas|CAPU: lo de las dobles
[2021:05:03-00:20:59]  (Local) -> (LOCAL)[2]CALDERON|AUC|: pille
[2021:05:03-00:21:01]  (Global) -> Peyeta'2cb|#E20280 ඞ: VENDO OCEANIC RARE
[2021:05:03-00:21:01]  (Local) -> (LOCAL)[1]Mr_KR_[AKT]: solo se que vale 10M
[2021:05:03-00:21:05]  (Local) -> (LOCAL)[1]PeterJ: le muestro los mios
[2021:05:03-00:21:06]  (Local) -> (LOCAL)[3]VirtuoXS[EVG]: solo tengo la de yasuo
[2021:05:03-00:21:06]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: ponga los temas
[2021:05:03-00:21:07]  (Local) -> (LOCAL)[2]MONDA'2cb: vamos a gastarle la gasolina ajaj
[2021:05:03-00:21:09]  (Global) -> SantyCraxker23: el de busetero si
[2021:05:03-00:21:09]  (Local) -> (LOCAL)[3]Avalencia: esa
[2021:05:03-00:21:12]  (Local) -> (LOCAL)[1]rolo: JAJAJA LLEVO MEDIA VIDA TRABAJANDO DE CAMIONERO PA
[2021:05:03-00:21:12]  (Local) -> (LOCAL)[3]Avalencia: de me la id
[2021:05:03-00:21:12]  (Local) -> (LOCAL)[3]Roco: ok
[2021:05:03-00:21:14]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: a es ke un men
[2021:05:03-00:21:16]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: si agale
[2021:05:03-00:21:17]  (Local) -> (LOCAL)[5]DosCoronas|CAPU: vea
[2021:05:03-00:21:19]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: aca
[2021:05:03-00:21:19]  (Local) -> (LOCAL)[3]Avalencia: Epa melo
[2021:05:03-00:21:20]  (Local) -> (LOCAL)[1]PeterJ: asi
[2021:05:03-00:21:20]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: aah positivo ese corre mucho
[2021:05:03-00:21:21]  (Local) -> (LOCAL)[1]Mr_KR_[AKT]: me quiere vender uno pero corre 156
[2021:05:03-00:21:21]  (Local) -> (LOCAL)[5]DosCoronas|CAPU: no se si es asi
[2021:05:03-00:21:22]  (Local) -> (LOCAL)[3]VirtuoXS[EVG]: no me la se
[2021:05:03-00:21:25]  (Global) -> bayron_Villamil: llevee allá por fa
[2021:05:03-00:21:25]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: oe
[2021:05:03-00:21:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: ven prueba el mio
[2021:05:03-00:21:27]  (Local) -> (LOCAL)[3]aspiriina||EVG||: calde
[2021:05:03-00:21:28]  (Local) -> (LOCAL)[1]Topo|Z|: Siga
[2021:05:03-00:21:30]  (Local) -> (LOCAL)[4]CALDERON|AUC|: ola
[2021:05:03-00:21:30]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]:  ya vengo voy a mear jaja
[2021:05:03-00:21:33]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: voltea con q y e
[2021:05:03-00:21:34]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: sabes como salirte del trabajo?
[2021:05:03-00:21:34]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: gracias bro
[2021:05:03-00:21:35]  (Local) -> (LOCAL)[4]CALDERON|AUC|: epa asi DosCoronas|CAPU[4]
[2021:05:03-00:21:35]  (Local) -> (LOCAL)[1]MONDA'2cb: ahagle jajaja
[2021:05:03-00:21:36]  (Local) -> (LOCAL)[12]Azrael: ajaja
[2021:05:03-00:21:37]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: voltea con q y e
[2021:05:03-00:21:38]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: no
[2021:05:03-00:21:38]  (Local) -> (LOCAL)[0]PeterJ: pero cuantos has ahorrado
[2021:05:03-00:21:39]  (Local) -> (LOCAL)[3]Mr_KR_[AKT]: cuanto vale?
[2021:05:03-00:21:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: con /resign
[2021:05:03-00:21:42]  (Local) -> (LOCAL)[3]Avalencia: no pero esa es todo grande
[2021:05:03-00:21:42]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO Y UN BOBCAT LOS TRES POR 1.1 M
[2021:05:03-00:21:42]  (Local) -> (LOCAL)[6]DosCoronas|CAPU: siii
[2021:05:03-00:21:45]  (Local) -> (LOCAL)[6]aspiriina||EVG||: vamos a chuzar tombos o que?
[2021:05:03-00:21:45]  (Local) -> (LOCAL)[3]Avalencia: somos puras niñas
[2021:05:03-00:21:46]  (Global) -> FriendlyDonkey99: y para alzarlo?
[2021:05:03-00:21:47]  (Local) -> (LOCAL)[3]Avalencia: cambiese eso
[2021:05:03-00:21:49]  (Local) -> (LOCAL)[4]CALDERON|AUC|: pero practiquelo maàs
[2021:05:03-00:21:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: nose yo lo venderia a 50 m
[2021:05:03-00:21:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: pero el chat global
[2021:05:03-00:21:52]  (Local) -> (LOCAL)[3]CALDERON|AUC|: vamos aspiriina||EVG||
[2021:05:03-00:21:54]  (Local) -> (LOCAL)[3]DosCoronas|CAPU: mas rapido
[2021:05:03-00:21:56]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: en ¨
[2021:05:03-00:21:56]  (Local) -> (LOCAL)[3]CALDERON|AUC|: sisas
[2021:05:03-00:21:57]  (Local) -> (LOCAL)[3]DosCoronas|CAPU: r
[2021:05:03-00:21:58]  (Local) -> (LOCAL)[3]aspiriina||EVG||: bre
[2021:05:03-00:22:00]  (Global) -> SantyCraxker23: llegamos
[2021:05:03-00:22:02]  (Global) -> NAYACO: halte
[2021:05:03-00:22:02]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: las flechas de hacia arriba y abajo
[2021:05:03-00:22:02]  (Local) -> (LOCAL)[3]VirtuoXS[EVG]: pero esta es de maricas no sirve?
[2021:05:03-00:22:03]  (Local) -> (LOCAL)[3]DosCoronas|CAPU: gracias calde
[2021:05:03-00:22:04]  (Local) -> (LOCAL)[3]Avalencia: cambie esa skin compre otra
[2021:05:03-00:22:06]  (Local) -> (LOCAL)[1]Mr_KR_[AKT]: este no es xd
[2021:05:03-00:22:06]  (Team - Law Enforcement) -> (TEAM)NAYACO: vamos a camellar
[2021:05:03-00:22:07]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000MenteMaestra: ahora ven
[2021:05:03-00:22:08]  (Local) -> (LOCAL)[3]CALDERON|AUC|: bn mor
[2021:05:03-00:22:09]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: con 2 guardas las llantas
[2021:05:03-00:22:10]  (Local) -> (LOCAL)[3]VirtuoXS[EVG]: bueno ya voy
[2021:05:03-00:22:10]  (Local) -> (LOCAL)[3]Avalencia: si pero una skin asi de niña
[2021:05:03-00:22:12]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: volvi
[2021:05:03-00:22:13]  (Global) -> bayron_Villamil: cuanto seria?
[2021:05:03-00:22:13]  (Local) -> (LOCAL)[3]DosCoronas|CAPU: vamos a chuzar tombs
[2021:05:03-00:22:18]  (Local) -> (LOCAL)[3]CALDERON|AUC|: xddddddddddddddd
[2021:05:03-00:22:19]  (Local) -> (LOCAL)[2]Avalencia: Aaa con uno mas
[2021:05:03-00:22:21]  (Local) -> (LOCAL)[3]aspiriina||EVG||: xd
[2021:05:03-00:22:22]  (Local) -> (LOCAL)[3]MONDA'2cb: BUENA SOCIO
[2021:05:03-00:22:22]  (Local) -> (LOCAL)[4]CALDERON|AUC|: bamos
[2021:05:03-00:22:22]  (Local) -> (LOCAL)[2]Avalencia: y hacemso esto melo jajja
[2021:05:03-00:22:22]  (Local) -> (LOCAL)[5]Camilolindo|2cb: dejelos quietos
[2021:05:03-00:22:22]  (Global) -> JuanRivera: ./mods
[2021:05:03-00:22:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: acá
[2021:05:03-00:22:26]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: xd crei que se fueron
[2021:05:03-00:22:26]  (Global) -> Tochielaragan|AUC: VENDO BANSHE FULL TUNIG 
[2021:05:03-00:22:29]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: aqui ayudando pa
[2021:05:03-00:22:31]  (Local) -> (LOCAL)[2]MONDA'2cb: NOO JAJAJ
[2021:05:03-00:22:34]  (Local) -> (LOCAL)[3]CALDERON|AUC|: suban pues atras
[2021:05:03-00:22:35]  (Global) -> Brandosky: 7bailar
[2021:05:03-00:22:37]  (Local) -> (LOCAL)[2]MONDA'2cb: estabamos dando vueltas
[2021:05:03-00:22:37]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: ya 
[2021:05:03-00:22:39]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: ñero
[2021:05:03-00:22:39]  (Phone:SMS) -> From Elflacoagudelo | To: Pedroelescamoso | Message: Hola buenas noches me puede hacer el favor de recojerme en donde tuneamos los autos Gracias.
[2021:05:03-00:22:39]  (Local) -> (LOCAL)[2]meloBM: vendo bareta
[2021:05:03-00:22:40]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: ah xd
[2021:05:03-00:22:43]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: dime
[2021:05:03-00:22:45]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: montese
[2021:05:03-00:22:45]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: no le pregunte
[2021:05:03-00:22:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: allá
[2021:05:03-00:22:49]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: q
[2021:05:03-00:22:49]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: no mentras jajajajajja
[2021:05:03-00:22:53]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: ah JAJAJA
[2021:05:03-00:22:54]  (Global) -> bayron_Villamil: precio?
[2021:05:03-00:22:56]  (Local) -> (LOCAL)[2]Ignacio_Viillamil: a donde
[2021:05:03-00:22:57]  (Global) -> JUANDA-SEMEN: paz
[2021:05:03-00:22:57]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: aaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:05:03-00:22:58]  (Local) -> (LOCAL)[2]Beltrancho|EVG: al dogor?
[2021:05:03-00:23:02]  (Global) -> Tochielaragan|AUC:  mano deme 8 plaos
[2021:05:03-00:23:03]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: pille
[2021:05:03-00:23:04]  (Local) -> (LOCAL)[4]meloBM: cuando me da?
[2021:05:03-00:23:04]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: entonces que decidio ?
[2021:05:03-00:23:04]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: JIJIJIa
[2021:05:03-00:23:05]  (Local) -> (LOCAL)[8]Azrael: ajajajajaa
[2021:05:03-00:23:07]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: aca se compr
[2021:05:03-00:23:08]  (Local) -> (LOCAL)[2]Ignacio_Viillamil: al suyo o al mio
[2021:05:03-00:23:08]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000MenteMaestra: venga
[2021:05:03-00:23:09]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: compra
[2021:05:03-00:23:11]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: vale 10M
[2021:05:03-00:23:15]  (Global) -> bayron_Villamil: 2lukas
[2021:05:03-00:23:15]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: JUANDA-SEMEN[3] si¡?
[2021:05:03-00:23:16]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000MenteMaestra: subase al camion
[2021:05:03-00:23:17]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: tramposin
[2021:05:03-00:23:17]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: ;(
[2021:05:03-00:23:18]  (Local) -> (LOCAL)[2]CALDERON|AUC|: quitese pues el job aspiriina||EVG||
[2021:05:03-00:23:18]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: lo hacemos como tu dices, pero no me roben plox
[2021:05:03-00:23:23]  (Local) -> (LOCAL)[6]Kyle.2cb: ok
[2021:05:03-00:23:24]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: agale
[2021:05:03-00:23:25]  (Local) -> (LOCAL)[0]FLOREZ_[CDG]: por q
[2021:05:03-00:23:25]  (Local) -> (LOCAL)[5]meloBM: le hago una promo 2 por 5
[2021:05:03-00:23:27]  (Global) -> Paisa_LP: 7lock
[2021:05:03-00:23:27]  (Local) -> (LOCAL)[2]Avalencia: Bueno los 4
[2021:05:03-00:23:30]  (Local) -> (LOCAL)[5]~PlItT$$$'2cB: ._____.
[2021:05:03-00:23:32]  (Phone:SMS) -> From Pedroelescamoso | To: Elflacoagudelo | Message: con gusto mi señora
[2021:05:03-00:23:34]  (Local) -> (LOCAL)[6]meloBM: 2 por 5lks
[2021:05:03-00:23:38]  (Local) -> (LOCAL)[2]Avalencia: Peguense
[2021:05:03-00:23:38]  (Local) -> (LOCAL)[5]Camilolindo|2cb: parcero sueltelos
[2021:05:03-00:23:39]  (Global) -> Tochielaragan|AUC:  oes
[2021:05:03-00:23:40]  (Local) -> (LOCAL)[2]Avalencia: Mas juntos
[2021:05:03-00:23:40]  (Local) -> (LOCAL)[6]meloBM: si o no?
[2021:05:03-00:23:41]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: aaaah
[2021:05:03-00:23:41]  (Local) -> (LOCAL)[4]Camilolindo|2cb: q andamos en alianza
[2021:05:03-00:23:41]  (Team - Services) -> (TEAM)MONDA'2cb: relajado ajajja
[2021:05:03-00:23:43]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: si si corre
[2021:05:03-00:23:44]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000MenteMaestra: venga
[2021:05:03-00:23:45]  (Global) -> bayron_Villamil: no
[2021:05:03-00:23:46]  (Local) -> (LOCAL)[2]Tochielaragan|AUC: les vendo un banshe
[2021:05:03-00:23:49]  (Local) -> (LOCAL)[4]meloBM: bno
[2021:05:03-00:23:50]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: a cuanto
[2021:05:03-00:23:50]  (Global) -> Peyeta'2cb|#E20280 ඞ: VENDO OCEANIC RARE
[2021:05:03-00:23:51]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: esque ia me robaron aci :c
[2021:05:03-00:23:51]  (Global) -> KAYKOR: Alguien que me adopte necesito saber como es  la forma mas rapida de ganar diner
[2021:05:03-00:23:53]  (Global) -> PRO: que  ende
[2021:05:03-00:23:53]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ahora
[2021:05:03-00:23:54]  (Global) -> Tochielaragan|AUC:  barato
[2021:05:03-00:23:55]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: corre?
[2021:05:03-00:23:55]  (Global) -> KAYKOR: dinero
[2021:05:03-00:23:56]  (Local) -> (LOCAL)[2]Avalencia: Baile 2
[2021:05:03-00:23:56]  (Local) -> (LOCAL)[4]meloBM: espere
[2021:05:03-00:23:57]  (Local) -> (LOCAL)[2]~PlItT$$$'2cB: ni le queria disparar, pero bueno
[2021:05:03-00:23:57]  (Local) -> (LOCAL)[5]Topo|Z|: Ay
[2021:05:03-00:23:59]  (Global) -> PRO: que vende
[2021:05:03-00:23:59]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: presione f11
[2021:05:03-00:24:00]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO Y UN BOBCAT LOS TRES POR 1.1 M
[2021:05:03-00:24:00]  (Global) -> Tochielaragan|AUC:  deme 7 plaos 500
[2021:05:03-00:24:02]  (Local) -> (LOCAL)[4]meloBM: bno 2 lks
[2021:05:03-00:24:05]  (Global) -> Tochielaragan|AUC:  full tunig
[2021:05:03-00:24:06]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: XDDDDDDDDDDD
[2021:05:03-00:24:07]  (Local) -> (LOCAL)[2]Avalencia: Baile 2
[2021:05:03-00:24:09]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: muestre
[2021:05:03-00:24:09]  (Phone:SMS) -> From Elflacoagudelo | To: Pedroelescamoso | Message: Gamin 
[2021:05:03-00:24:12]  (Global) -> PRO: que vende
[2021:05:03-00:24:12]  (Local) -> (LOCAL)[2]MONDA'2cb: pero nosotros no somos asi
[2021:05:03-00:24:12]  (Local) -> (LOCAL)[2]Roco: baile 2
[2021:05:03-00:24:13]  (Local) -> (LOCAL)[2]Avalencia: Baile 2 el 2
[2021:05:03-00:24:14]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: q paso
[2021:05:03-00:24:14]  (Global) -> Tochielaragan|AUC:  vamos
[2021:05:03-00:24:16]  (Local) -> (LOCAL)[4]meloBM: transfieralas
[2021:05:03-00:24:18]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: le sale el mapa del gta sa
[2021:05:03-00:24:18]  (Local) -> (LOCAL)[2]Roco: bailes 1 baile 2
[2021:05:03-00:24:18]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: y ahora?
[2021:05:03-00:24:19]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: ojala :,
[2021:05:03-00:24:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: yo no estoy interesado dile a el
[2021:05:03-00:24:20]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: nahw
[2021:05:03-00:24:21]  (Local) -> (LOCAL)[3]meloBM: vendo bareta
[2021:05:03-00:24:21]  (Global) -> Tochielaragan|AUC:  que lo tengo en compraventa
[2021:05:03-00:24:21]  (Global) -> Topo|Z|: Se salvo maricon
[2021:05:03-00:24:23]  (Local) -> (LOCAL)[2]Avalencia: Eso
[2021:05:03-00:24:23]  (Local) -> (LOCAL)[2]aspiriina||EVG||: ya le caigo mor
[2021:05:03-00:24:25]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: tumbe a uno jaja
[2021:05:03-00:24:26]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: admin
[2021:05:03-00:24:27]  (Local) -> (LOCAL)[2]CALDERON|AUC|: BRE
[2021:05:03-00:24:27]  (Local) -> (LOCAL)[2]Beltrancho|EVG: digale a aspi
[2021:05:03-00:24:28]  (Global) -> Sebas_guaracho[CDG]: pase la plata y se lo doy de una
[2021:05:03-00:24:29]  (Local) -> (LOCAL)[2]MONDA'2cb: enserio
[2021:05:03-00:24:29]  (Local) -> (LOCAL)[2]Avalencia: Pero coordinemos
[2021:05:03-00:24:29]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: y ese corre melo?
[2021:05:03-00:24:30]  (Global) -> Topo|Z|: Se salvo que eso se bugeo
[2021:05:03-00:24:30]  (Local) -> (LOCAL)[4]meloBM: si ono por 2lks
[2021:05:03-00:24:30]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ahora busque el logo de un camion amarillo
[2021:05:03-00:24:31]  (Global) -> Juan_Ramirez: Como se usa el turbo?
[2021:05:03-00:24:33]  (Global) -> Tochielaragan|AUC:  zsz
[2021:05:03-00:24:33]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: sisas
[2021:05:03-00:24:34]  (Local) -> (LOCAL)[5]Alcapone|Z|: aJAJJAA
[2021:05:03-00:24:35]  (Global) -> Tochielaragan|AUC:  a 150
[2021:05:03-00:24:36]  (Local) -> (LOCAL)[2]Avalencia: pegate mas beltran
[2021:05:03-00:24:38]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: jjjjjjjjjjjjjjjjjj
[2021:05:03-00:24:39]  (Local) -> (LOCAL)[5]Alcapone|Z|: SE GANO SEVERA ATIZADA
[2021:05:03-00:24:41]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: el de 10M?
[2021:05:03-00:24:42]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: chistoso me rei
[2021:05:03-00:24:44]  (Local) -> (LOCAL)[5]Alcapone|Z|: DE TODOS
[2021:05:03-00:24:48]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: espera te digo cuanto corre
[2021:05:03-00:24:50]  (Local) -> (LOCAL)[1]CALDERON|AUC|: benga sigamos con los duelos
[2021:05:03-00:24:52]  (Global) -> Tochielaragan|AUC:  o le vendo un elegy barato 
[2021:05:03-00:24:53]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: Hola parcerin
[2021:05:03-00:24:55]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:24:56]  (Local) -> (LOCAL)[2]DosCoronas|CAPU: r
[2021:05:03-00:24:57]  (Global) -> bayron_Villamil: jaja espere que tengo que ir al banco
[2021:05:03-00:24:58]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: como la selecciono
[2021:05:03-00:24:58]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: pero muestre
[2021:05:03-00:24:58]  (Global) -> Tochielaragan|AUC: 4plaos
[2021:05:03-00:25:02]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: yape
[2021:05:03-00:25:03]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: que paso? estaba buscandolo jajaj
[2021:05:03-00:25:04]  (Global) -> Tochielaragan|AUC:  esperemen aca
[2021:05:03-00:25:05]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: no se puede XD
[2021:05:03-00:25:05]  (Local) -> (LOCAL)[3]Avalencia: pere
[2021:05:03-00:25:06]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:06]  (Local) -> (LOCAL)[5]JUANDA-SEMEN: oe
[2021:05:03-00:25:07]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:09]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:09]  (Local) -> (LOCAL)[1]meloBM: bjo
[2021:05:03-00:25:09]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: ya
[2021:05:03-00:25:09]  (Local) -> (LOCAL)[3]Roco: a
[2021:05:03-00:25:10]  (Local) -> (LOCAL)[5]JUANDA-SEMEN: man
[2021:05:03-00:25:10]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: yo
[2021:05:03-00:25:10]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:11]  (Local) -> (LOCAL)[3]Avalencia: falta virtuos
[2021:05:03-00:25:11]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:11]  (Global) -> Tochielaragan|AUC:  no se vayan
[2021:05:03-00:25:12]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: 120 km en base
[2021:05:03-00:25:12]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: ale
[2021:05:03-00:25:12]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: tiene que llegar allá
[2021:05:03-00:25:13]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:15]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:15]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: suerte
[2021:05:03-00:25:16]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
[2021:05:03-00:25:16]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00ElSorneroMayorBM: yo
[2021:05:03-00:25:16]  (Global) -> Alcapone|Z|: ADMIN
[2021:05:03-00:25:16]  (Local) -> (LOCAL)[5]JUANDA-SEMEN: le doy 1palo
[2021:05:03-00:25:17]  (Local) -> (LOCAL)[5]pyton'2cb: uyq
[2021:05:03-00:25:17]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00Buitre|Lag|2cB: qn anda en radio
