This file was generated by Console at 2021:05:15-00:00:00



[2021:05:15-00:00:00]  (Local) -> (LOCAL)[7]Miguel-paraco: oe
[2021:05:15-00:15:09]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: ese 5
[2021:05:15-00:15:11]  (Local) -> (LOCAL)[1]acs'zzz: el Valak
[2021:05:15-00:15:12]  (Local) -> (LOCAL)[8]Cuchacho: hmm
[2021:05:15-00:15:12]  (Local) -> (LOCAL)[8]el_orejas[CDG]: SJADJSD
[2021:05:15-00:15:14]  (Local) -> (LOCAL)[5]anderius: oe bro te di 15 k por eldaño a tu carro
[2021:05:15-00:15:14]  (Local) -> (LOCAL)[1]TartarusZcB: naaaaa xDDDDDDDD
[2021:05:15-00:15:16]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: mmmm comprese el vip esmeralda
[2021:05:15-00:15:17]  (Global) -> iElViejoMiguexD: Claro wee. De donde es ud ?
[2021:05:15-00:15:18]  (Local) -> (LOCAL)[8]Cuchacho: uno calidad precio
[2021:05:15-00:15:18]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: es el mejor
[2021:05:15-00:15:18]  (Local) -> (LOCAL)[1]acs'zzz: Viene
[2021:05:15-00:15:20]  (Local) -> (LOCAL)[1]penisBigHead: esa avioneta
[2021:05:15-00:15:24]  (Global) -> iElViejoMiguexD:  de bogota =
[2021:05:15-00:15:24]  (Global) -> #7F7F7F|ADM|#FF0000brahian|#83FF00ʍđท: Andres_Ramires||2cb|| no pana, no puedo hacer eso no tengo el nivel 
[2021:05:15-00:15:24]  (Global) -> Murdock: gracias
[2021:05:15-00:15:25]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: ni idea
[2021:05:15-00:15:26]  (Global) -> Joystick|ELN: vendo uranus en 900k
[2021:05:15-00:15:27]  (Local) -> (LOCAL)[8]Cuchacho: cuanto vale
[2021:05:15-00:15:27]  (Global) -> DonSteven(CDG): Y pues ejor trabajo y ahorro y en 6 meses la compro
[2021:05:15-00:15:30]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: 32k
[2021:05:15-00:15:30]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: cuanto valddra
[2021:05:15-00:15:33]  (Local) -> (LOCAL)[1]penisBigHead: jm
[2021:05:15-00:15:33]  (Local) -> (LOCAL)[8]Cuchacho: mmm vale
[2021:05:15-00:15:33]  (Global) -> KM9: los bandidps de fiesta
[2021:05:15-00:15:35]  (Local) -> (LOCAL)[1]penisBigHead: no se
[2021:05:15-00:15:36]  (Local) -> (LOCAL)[8]Cuchacho: brevee
[2021:05:15-00:15:36]  (Global) -> DonSteven(CDG): yo de bogota
[2021:05:15-00:15:38]  (Local) -> (LOCAL)[1]penisBigHead: esa nunca la vi
[2021:05:15-00:15:38]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: lo q le diga eees mentiras
[2021:05:15-00:15:39]  (Local) -> (LOCAL)[6]FuturisticShark94: pique o que
[2021:05:15-00:15:40]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: le dan un carroy muchos veneficios
[2021:05:15-00:15:42]  (Local) -> (LOCAL)[8]Cuchacho: y tambien dan plata?
[2021:05:15-00:15:43]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: no se la verda
[2021:05:15-00:15:43]  (Global) -> iElViejoMiguexD: Si dele todos comenzamos por ahi
[2021:05:15-00:15:45]  (Local) -> (LOCAL)[1]VisiosoHP69: con razon
[2021:05:15-00:15:45]  (Local) -> (LOCAL)[8]Cuchacho: uy q carro
[2021:05:15-00:15:47]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: dale
[2021:05:15-00:15:49]  (Global) -> JosueYes: dele refrescar
[2021:05:15-00:15:49]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: /cd
[2021:05:15-00:15:54]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: 40k cada 45 minutos
[2021:05:15-00:15:54]  (Global) -> DonSteven(CDG): si we jaja
[2021:05:15-00:15:55]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  se tiraron se tiraron los agentes 
[2021:05:15-00:15:58]  (Local) -> (LOCAL)[2]acs'zzz: ando con el net feo
[2021:05:15-00:16:00]  (Global) -> KM9: esto solo
[2021:05:15-00:16:00]  (Local) -> (LOCAL)[8]Cuchacho: severoooooooooo
[2021:05:15-00:16:01]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: este
[2021:05:15-00:16:01]  (Global) -> iElViejoMiguexD: Claro de que parte de bogota =
[2021:05:15-00:16:03]  (Global) -> iElViejoMiguexD: ??
[2021:05:15-00:16:04]  (Global) -> DonSteven(CDG): metemos lsd?
[2021:05:15-00:16:06]  (Global) -> ReY|Rs: uy morach
[2021:05:15-00:16:08]  (Local) -> (LOCAL)[8]Cuchacho: mmm breve
[2021:05:15-00:16:10]  (Global) -> DonSteven(CDG): Patio bonito xdxdd
[2021:05:15-00:16:14]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:   barteta   gratis  
[2021:05:15-00:16:16]  ([Msg] de Andres_Ramires||2cb|| para brahian: neaaa me estrelle necesito que vuele y me los da es eso) -> nil
[2021:05:15-00:16:17]  (Local) -> (LOCAL)[9]Cuchacho: noo esos vendajes estan re carso
[2021:05:15-00:16:18]  (Team - Services) -> (TEAM)DrabSun55: como hago mods
[2021:05:15-00:16:18]  (Local) -> (LOCAL)[9]Cuchacho: cars
[2021:05:15-00:16:19]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ: A
[2021:05:15-00:16:20]  (Global) -> iElViejoMiguexD: LSD ?
[2021:05:15-00:16:20]  (Local) -> (LOCAL)[1]VisiosoHP69: poca gente conectada xd
[2021:05:15-00:16:20]  (Local) -> (LOCAL)[9]Fetraq25/AUC/: mire en discord la informacion
[2021:05:15-00:16:21]  (Local) -> (LOCAL)[9]Cuchacho: caros* xdd
[2021:05:15-00:16:23]  (Local) -> (LOCAL)[9]Cuchacho: vale
[2021:05:15-00:16:23]  ([Msg] de Andres_Ramires||2cb|| para brahian: neaaa me estrelle necesito que vuele y me los da es eso) -> nil
[2021:05:15-00:16:23]  (Global) -> ReY|Rs: morach
[2021:05:15-00:16:24]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  BARETA  GRATIS EN LS 
[2021:05:15-00:16:24]  (Local) -> (LOCAL)[7]Mnrpatecumbias: oeeeeeeeeeeeeeee
[2021:05:15-00:16:25]  (Local) -> (LOCAL)[6]Mnrpatecumbias: vamos
[2021:05:15-00:16:26]  (Local) -> (LOCAL)[1]penisBigHead: yo diria
[2021:05:15-00:16:26]  (Local) -> (LOCAL)[6]Joystick|ELN: que
[2021:05:15-00:16:26]  (Global) -> coco_humilde: oe
[2021:05:15-00:16:28]  (Local) -> (LOCAL)[6]Mnrpatecumbias: de paseo de olla
[2021:05:15-00:16:30]  (Local) -> (LOCAL)[6]Mnrpatecumbias: AgathaX[MP]
[2021:05:15-00:16:30]  (Local) -> (LOCAL)[6]Joystick|ELN: hay esta
[2021:05:15-00:16:30]  (Local) -> (LOCAL)[1]penisBigHead: q unos 25 palos
[2021:05:15-00:16:31]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: bro
[2021:05:15-00:16:31]  (Global) -> ReY|Rs: no lvl
[2021:05:15-00:16:32]  (Local) -> (LOCAL)[3]VisiosoHP69: siga a esos pirobois
[2021:05:15-00:16:32]  (Global) -> coco_humilde: oe
[2021:05:15-00:16:33]  (Team - Unemployed) -> (TEAM)iElViejoMiguexD: Ish dele pues
[2021:05:15-00:16:34]  (Global) -> DrabSun55: morach
[2021:05:15-00:16:35]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: necesito que mejores en pvp
[2021:05:15-00:16:37]  (Global) -> Luis_Iriarte: Admin
[2021:05:15-00:16:38]  (Local) -> (LOCAL)[3]Mnrpatecumbias: AgathaX[MP]
[2021:05:15-00:16:39]  (Local) -> (LOCAL)[3]AgathaX: que paso?
[2021:05:15-00:16:40]  (Local) -> (LOCAL)[1]coco_humilde: por que no le puedo pegar
[2021:05:15-00:16:42]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: ouede se
[2021:05:15-00:16:44]  (Global) -> #7F7F7F|ADM|#FF0000brahian|#83FF00ʍđท: Andres_Ramires||2cb|| ya le caigo
[2021:05:15-00:16:44]  (Global) -> coco_humilde: no le baja
[2021:05:15-00:16:44]  (Local) -> (LOCAL)[3]Mnrpatecumbias: quiere paseo de olla?
[2021:05:15-00:16:45]  (Global) -> Murdock: como se llama
[2021:05:15-00:16:49]  (Local) -> (LOCAL)[4]Mnrpatecumbias: vamos
[2021:05:15-00:16:49]  (Global) -> ReY|Rs: el mismo de alliance?
[2021:05:15-00:16:49]  (Global) -> Miguel-paraco: como se consigue las drogas?
[2021:05:15-00:16:49]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: si me bajas
[2021:05:15-00:16:50]  (Global) -> Joystick|ELN: clover
[2021:05:15-00:16:50]  (Local) -> (LOCAL)[3]Mnrpatecumbias: vamos
[2021:05:15-00:16:51]  (Global) -> Murdock: el de 500
[2021:05:15-00:16:51]  (Local) -> (LOCAL)[1]penisBigHead: este
[2021:05:15-00:16:51]  (Local) -> (LOCAL)[3]Mnrpatecumbias: subaa
[2021:05:15-00:16:54]  (Global) -> KM9: buenas
[2021:05:15-00:16:55]  (Global) -> iElViejoMiguexD: jajajja xd
[2021:05:15-00:16:55]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: 7 creo
[2021:05:15-00:16:56]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: pero no tienes esas armas mejoradas
[2021:05:15-00:16:59]  (Team - Unemployed) -> (TEAM)coco_humilde: el ultimo ps
[2021:05:15-00:17:01]  (Global) -> #7F7F7F|ADM|#FF8C00brahian|#83FF00ʍđท: dime luis
[2021:05:15-00:17:01]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: y son lentas
[2021:05:15-00:17:01]  (Global) -> Luis_Iriarte: ya vengo 
[2021:05:15-00:17:02]  (Local) -> (LOCAL)[3]Mnrpatecumbias: quiere ir de paseo de olla?
[2021:05:15-00:17:03]  (Global) -> AgathaX: para que
[2021:05:15-00:17:03]  (Local) -> (LOCAL)[3]Mnrpatecumbias: AgathaX[MP]
[2021:05:15-00:17:04]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: dale
[2021:05:15-00:17:06]  (Global) -> Murdock: saquelo pa mirar
[2021:05:15-00:17:08]  (Local) -> (LOCAL)[3]Mnrpatecumbias: para pasar el rato
[2021:05:15-00:17:11]  (Local) -> (LOCAL)[1]penisBigHead: y la moto
[2021:05:15-00:17:12]  (Local) -> (LOCAL)[3]Mnrpatecumbias: estamos buscando gente
[2021:05:15-00:17:14]  (Global) -> JUANK27: suban
[2021:05:15-00:17:17]  (Local) -> (LOCAL)[3]Mnrpatecumbias: suba ome
[2021:05:15-00:17:20]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: ps se vende en 4
[2021:05:15-00:17:20]  (Global) -> Luis_Iriarte: si bro
[2021:05:15-00:17:22]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:   BAILEN   
[2021:05:15-00:17:26]  (Global) -> Luis_Iriarte: ven
[2021:05:15-00:17:26]  (Global) -> ivan'2cb: nao
[2021:05:15-00:17:28]  (Local) -> (LOCAL)[3]Mnrpatecumbias: por el frente
[2021:05:15-00:17:29]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  DOY  BARETA   GRATIS 
[2021:05:15-00:17:30]  (Local) -> (LOCAL)[3]Mnrpatecumbias: de frente
[2021:05:15-00:17:31]  (Local) -> (LOCAL)[1]penisBigHead: 3 entonces
[2021:05:15-00:17:32]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: ale
[2021:05:15-00:17:33]  (Local) -> (LOCAL)[3]VisiosoHP69: ya me aburri
[2021:05:15-00:17:33]  (Local) -> (LOCAL)[4]Raptus: uyyyyy
[2021:05:15-00:17:36]  (Global) -> #7F7F7F|ADM|#FF8C00brahian|#83FF00ʍđท: dime que pasa Luis_Iriarte
[2021:05:15-00:17:37]  (Local) -> (LOCAL)[5]Joystick|ELN: ese
[2021:05:15-00:17:39]  (Local) -> (LOCAL)[5]Raptus: solo araganeo
[2021:05:15-00:17:39]  (Local) -> (LOCAL)[1]VisiosoHP69: nos volvemos basureros?
[2021:05:15-00:17:39]  (Local) -> (LOCAL)[5]Joystick|ELN: 500
[2021:05:15-00:17:40]  (Local) -> (LOCAL)[1]penisBigHead: serian
[2021:05:15-00:17:41]  (Team - Services) -> (TEAM)DrabSun55: \radio
[2021:05:15-00:17:42]  (Team - Services) -> (TEAM)Luis_Iriarte: si
[2021:05:15-00:17:43]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  SI  BAILAN  QUITO LA REFORMA 
[2021:05:15-00:17:45]  (Local) -> (LOCAL)[1]penisBigHead: 436 palos
[2021:05:15-00:17:45]  (Global) -> SINPERMEX: NESESITO CARRO ME QUEDE BARADO
[2021:05:15-00:17:46]  (Global) -> ALFREDO: hola
[2021:05:15-00:17:47]  (Local) -> (LOCAL)[4]Mnrpatecumbias: asi
[2021:05:15-00:17:50]  (Global) -> Luis_Iriarte: regale un carro y no le aparece el bro
[2021:05:15-00:17:50]  (Local) -> (LOCAL)[1]IceWipe'ELN: hol
[2021:05:15-00:17:50]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:   
[2021:05:15-00:17:52]  (Global) -> iElViejoMiguexD: Dele manito la buena si algo le roto servers melos
[2021:05:15-00:17:52]  (Local) -> (LOCAL)[3]AgathaX: no soy mala
[2021:05:15-00:17:53]  (Local) -> (LOCAL)[1]acs'zzz: a
[2021:05:15-00:17:54]  (Local) -> (LOCAL)[4]Mnrpatecumbias: hagale
[2021:05:15-00:17:55]  (Global) -> DonSteven(CDG): JAJAJ
[2021:05:15-00:17:55]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: 37
[2021:05:15-00:17:56]  (Local) -> (LOCAL)[4]Mnrpatecumbias: con g
[2021:05:15-00:17:56]  (Local) -> (LOCAL)[2]Nagato_Uzumaki: tombo
[2021:05:15-00:17:57]  (Global) -> Luis_Iriarte: ni ami
[2021:05:15-00:17:59]  (Global) -> DonSteven(CDG): Dele bro
[2021:05:15-00:18:01]  (Local) -> (LOCAL)[5]anderius: quiero comprar un auto o una moto :C
[2021:05:15-00:18:03]  (Global) -> DonSteven(CDG): pana
[2021:05:15-00:18:03]  (Local) -> (LOCAL)[5]Joystick|ELN: pasa la plata pues
[2021:05:15-00:18:04]  (Global) -> iElViejoMiguexD:  voy a buscar para mi tambien
[2021:05:15-00:18:06]  (Local) -> (LOCAL)[1]penisBigHead: 37 q
[2021:05:15-00:18:07]  (Local) -> (LOCAL)[4]Mnrpatecumbias: espere le pongo un carro
[2021:05:15-00:18:08]  (Local) -> (LOCAL)[1]penisBigHead: eso
[2021:05:15-00:18:08]  (Local) -> (LOCAL)[0]SINPERMEX: UBER
[2021:05:15-00:18:10]  (Global) -> JairSad: vendo moto
[2021:05:15-00:18:11]  (Global) -> DonSteven(CDG): tiene gaso?
[2021:05:15-00:18:15]  (Local) -> (LOCAL)[3]Mnrpatecumbias: asi
[2021:05:15-00:18:18]  (Local) -> (LOCAL)[1]acs'zzz: quitan job
[2021:05:15-00:18:19]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: :v
[2021:05:15-00:18:20]  (Global) -> SINPERMEX: NESESITO UBER
[2021:05:15-00:18:20]  (Global) -> DonSteven(CDG): es que esta rre cara
[2021:05:15-00:18:21]  (Local) -> (LOCAL)[1]acs'zzz: decile a Jabon
[2021:05:15-00:18:25]  (Local) -> (LOCAL)[5]anderius: cuanto?
[2021:05:15-00:18:25]  (Local) -> (LOCAL)[3]AgathaX: no me puedo subir
[2021:05:15-00:18:28]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: mucha pplata bro
[2021:05:15-00:18:30]  (Local) -> (LOCAL)[3]AgathaX: lo trasplazo
[2021:05:15-00:18:30]  (Local) -> (LOCAL)[3]Mnrpatecumbias: hagale
[2021:05:15-00:18:32]  (Local) -> (LOCAL)[3]Mnrpatecumbias: ud puede
[2021:05:15-00:18:32]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: 436
[2021:05:15-00:18:38]  (Local) -> (LOCAL)[1]penisBigHead: 456
[2021:05:15-00:18:38]  (Local) -> (LOCAL)[5]Joystick|ELN: apenas llegue la money se lo envio
[2021:05:15-00:18:39]  (Global) -> JairSad: 2m
[2021:05:15-00:18:40]  (Global) -> Luis_Iriarte: me leiste?
[2021:05:15-00:18:44]  (Global) -> ReY|Rs: cogela suave pirobo
[2021:05:15-00:18:45]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: necesito que mejores en pvp
[2021:05:15-00:18:48]  (Local) -> (LOCAL)[3]Mnrpatecumbias: ahoata?
[2021:05:15-00:18:49]  (Global) -> Luis_Iriarte: admo
[2021:05:15-00:18:49]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: pa poderte entrar
[2021:05:15-00:18:50]  (Local) -> (LOCAL)[3]Mnrpatecumbias: ahora*
[2021:05:15-00:18:51]  (Local) -> (LOCAL)[1]coco_humilde: que gonorrea
[2021:05:15-00:18:51]  (Global) -> Naruto|ZETAS|: admin
[2021:05:15-00:18:51]  (Local) -> (LOCAL)[1]penisBigHead: un platal bro
[2021:05:15-00:18:51]  (Global) -> Luis_Iriarte: regale un carro y no le aparece el bro
[2021:05:15-00:18:52]  (Local) -> (LOCAL)[3]AgathaX: si?
[2021:05:15-00:18:52]  (Global) -> #7F7F7F|ADM|#FF8C00brahian|#83FF00ʍđท: dime 
[2021:05:15-00:18:53]  (Local) -> (LOCAL)[5]anderius: 2 millones?
[2021:05:15-00:18:53]  (Global) -> Toloteli|2cb|#9E016Cඞ: ESE
[2021:05:15-00:18:55]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: ven
[2021:05:15-00:18:55]  (Global) -> Estremesur[CDG]: jairsad
[2021:05:15-00:18:56]  (Global) -> Luis_Iriarte: ni ami
[2021:05:15-00:18:56]  (Global) -> JairSad: see}
[2021:05:15-00:18:57]  (Local) -> (LOCAL)[1]coco_humilde: yo soy nuevo
[2021:05:15-00:18:58]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: acompañame
[2021:05:15-00:18:58]  (Local) -> (LOCAL)[6]Mnrpatecumbias: suba
[2021:05:15-00:19:00]  (Local) -> (LOCAL)[6]Mnrpatecumbias: cn la g
[2021:05:15-00:19:00]  (Global) -> DonSteven(CDG): Lo mutearon jajajaj
[2021:05:15-00:19:04]  (Global) -> Naruto|ZETAS|: porq en el mapa aparece una copa
[2021:05:15-00:19:04]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:   bareta  pa to el  mundo en el hospiatla 
[2021:05:15-00:19:07]  (Global) -> anderius: Tengo 500k
[2021:05:15-00:19:08]  (Global) -> Luis_Iriarte: que paso ahi
[2021:05:15-00:19:11]  (Global) -> DonSteven(CDG): PERO ESTE SERVER SE ESTA BAJANDO RESTO
[2021:05:15-00:19:11]  (Global) -> JairSad: xd
[2021:05:15-00:19:13]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: cuanto seria en nq
[2021:05:15-00:19:16]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: XD
[2021:05:15-00:19:17]  (Global) -> Estremesur[CDG]: jairsad
[2021:05:15-00:19:17]  (Global) -> A|capone|Zcb|: duelo?
[2021:05:15-00:19:18]  (Local) -> (LOCAL)[4]Mnrpatecumbias: vamos de paseo de oolla
[2021:05:15-00:19:19]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ: BARETA ENM EL HOSPITAL CENTRAL 
[2021:05:15-00:19:20]  (Local) -> (LOCAL)[5]Mnrpatecumbias: ud sabe
[2021:05:15-00:19:21]  (Local) -> (LOCAL)[1]penisBigHead: jmm
[2021:05:15-00:19:23]  (Local) -> (LOCAL)[1]coco_humilde: pene
[2021:05:15-00:19:24]  (Local) -> (LOCAL)[4]Mnrpatecumbias: suba ome
[2021:05:15-00:19:27]  (Local) -> (LOCAL)[4]AgathaX: mm dale
[2021:05:15-00:19:28]  (Local) -> (LOCAL)[1]penisBigHead: unas 200 lukas
[2021:05:15-00:19:28]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: CUuanta plata tienes
[2021:05:15-00:19:30]  (Local) -> (LOCAL)[1]penisBigHead: creo
[2021:05:15-00:19:32]  (Local) -> (LOCAL)[5]tochi:3: oe baile
[2021:05:15-00:19:32]  (Local) -> (LOCAL)[6]Joystick|ELN: vamos al donde se venden los carros
[2021:05:15-00:19:34]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: boff
[2021:05:15-00:19:36]  (Global) -> Esmad|#9800D1GDT!: Bajando con 101  ons 
[2021:05:15-00:19:38]  (Local) -> (LOCAL)[6]Joystick|ELN: lo publico y ud lo compra
[2021:05:15-00:19:39]  (Global) -> Esmad|#9800D1GDT!: ok
[2021:05:15-00:19:39]  (Local) -> (LOCAL)[8]tochi:3: pida un tema yo se lo pngo paa
[2021:05:15-00:19:42]  (Local) -> (LOCAL)[7]Mnrpatecumbias: encaima
[2021:05:15-00:19:42]  (Global) -> SINPERMEX: uberrrrrrrrrrr
[2021:05:15-00:19:43]  (Local) -> (LOCAL)[4]Mnrpatecumbias: encima*
[2021:05:15-00:19:45]  (Global) -> KM9: que hacemos
[2021:05:15-00:19:46]  (Local) -> (LOCAL)[4]Mnrpatecumbias: MasacraUribistas[1]
[2021:05:15-00:19:49]  (Local) -> (LOCAL)[1]penisBigHead: amonos
[2021:05:15-00:19:50]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: vamos a turf bro
[2021:05:15-00:19:51]  (Local) -> (LOCAL)[1]ssm'2cb: quitese el laser pa xdd
[2021:05:15-00:19:52]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: hptaa
[2021:05:15-00:19:52]  (Local) -> (LOCAL)[3]KING[ELN]: no
[2021:05:15-00:19:53]  (Local) -> (LOCAL)[1]VisiosoHP69: ni idea
[2021:05:15-00:19:55]  (Local) -> (LOCAL)[1]Raptus: XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2021:05:15-00:19:55]  (Global) -> tochi:3|#EB4E89ㅇㅅㅇ: 7lasercolor
[2021:05:15-00:19:55]  (Local) -> (LOCAL)[4]Mnrpatecumbias: dele x
[2021:05:15-00:19:56]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: me cogio este hpta
[2021:05:15-00:19:57]  (Local) -> (LOCAL)[1]penisBigHead: ale
[2021:05:15-00:19:57]  (Local) -> (LOCAL)[6]Joystick|ELN: breve
[2021:05:15-00:19:59]  (Local) -> (LOCAL)[1]VisiosoHP69: no hay casi gente conectada
[2021:05:15-00:19:59]  (Local) -> (LOCAL)[4]Mnrpatecumbias: ñero
[2021:05:15-00:20:01]  (Local) -> (LOCAL)[4]Mnrpatecumbias: usba
[2021:05:15-00:20:02]  (Global) -> RankUp: como reparo un avion?
[2021:05:15-00:20:06]  (Global) -> KM9: cuantos hay ?
[2021:05:15-00:20:09]  (Global) -> Toloteli|2cb|#9E016Cඞ: admin
[2021:05:15-00:20:14]  (Global) -> Toloteli|2cb|#9E016Cඞ: esta bug el ammu de sf
[2021:05:15-00:20:15]  (Local) -> (LOCAL)[3]Mnrpatecumbias: suba ine
[2021:05:15-00:20:17]  (Local) -> (LOCAL)[1]Raptus: pa donde lo llevo
[2021:05:15-00:20:19]  (Local) -> (LOCAL)[3]Mnrpatecumbias: encima
[2021:05:15-00:20:20]  (Local) -> (LOCAL)[1]VisiosoHP69: como 60
[2021:05:15-00:20:20]  (Local) -> (LOCAL)[1]coco_humilde: hola
[2021:05:15-00:20:21]  (Local) -> (LOCAL)[3]AgathaX: que paso? los atrase?
[2021:05:15-00:20:24]  (Local) -> (LOCAL)[1]KING[ELN]: hola
[2021:05:15-00:20:26]  (Global) -> KM9: mie
[2021:05:15-00:20:28]  (Global) -> santyagito: sapo
[2021:05:15-00:20:29]  (Local) -> (LOCAL)[1]coco_humilde: como se encuentra
[2021:05:15-00:20:30]  (Global) -> #7F7F7F|ADM|#FF8C00brahian|#83FF00ʍđท: voy a ver
[2021:05:15-00:20:32]  (Local) -> (LOCAL)[1]FuturisticShark94: quieto sapo
[2021:05:15-00:20:33]  (Global) -> RankUp: como reparo un avion?!!!!!!!!!!!!!!
[2021:05:15-00:20:34]  (Local) -> (LOCAL)[5]anderius: lo robaron perro
[2021:05:15-00:20:35]  (Local) -> (LOCAL)[3]Mnrpatecumbias: maneje
[2021:05:15-00:20:36]  (Global) -> tochi:3|#EB4E89ㅇㅅㅇ: #F100E8 PIDAN LOS TEMAS QUE ESTOY EN LA RADIOOO
[2021:05:15-00:20:38]  (Local) -> (LOCAL)[1]KING[ELN]: todo bien
[2021:05:15-00:20:42]  (Global) -> JosueYes: simon le robaron
[2021:05:15-00:20:42]  (Global) -> KM9: cuantos arrestos tienes ?
[2021:05:15-00:20:43]  (Local) -> (LOCAL)[1]Miguel-paraco: hp
[2021:05:15-00:20:43]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: ya
[2021:05:15-00:20:44]  (Local) -> (LOCAL)[1]KING[ELN]: y ud?
[2021:05:15-00:20:44]  (Local) -> (LOCAL)[1]coco_humilde: #no al bandalismo
[2021:05:15-00:20:45]  (Local) -> (LOCAL)[2]Raptus: oe
[2021:05:15-00:20:46]  (Local) -> (LOCAL)[3]VirtuoXS|EVG: pera que voy a sacar la basura
[2021:05:15-00:20:48]  (Local) -> (LOCAL)[1]VisiosoHP69: no se
[2021:05:15-00:20:49]  (Global) -> RankUp: PONGA QUIMICA DE RANKUP
[2021:05:15-00:20:52]  (Local) -> (LOCAL)[1]VisiosoHP69: como 10 jaajajaaj
[2021:05:15-00:20:53]  (Team - Services) -> (TEAM)SINPERMEX: dimelo
[2021:05:15-00:20:53]  (Global) -> JairSad: lo robo el vago socio
[2021:05:15-00:20:54]  (Global) -> ivan'2cb: ese mk pq me disparo
[2021:05:15-00:20:56]  (Local) -> (LOCAL)[4]Mnrpatecumbias: a
[2021:05:15-00:20:57]  (Local) -> (LOCAL)[5]Joystick|ELN: sisa
[2021:05:15-00:20:57]  (Local) -> (LOCAL)[1]Miguel-paraco: malparida
[2021:05:15-00:20:57]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: es es aliado
[2021:05:15-00:20:57]  (Local) -> (LOCAL)[1]coco_humilde: #NOALBANDALISMO
[2021:05:15-00:20:59]  (Global) -> KM9: dale en f5
[2021:05:15-00:21:01]  (Local) -> (LOCAL)[5]Joystick|ELN: lo q le dije
[2021:05:15-00:21:01]  (Global) -> JairSad: no sea marika oe
[2021:05:15-00:21:02]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  BLUE  BERRY YUM YUM  PAA
[2021:05:15-00:21:04]  (Local) -> (LOCAL)[5]anderius: Ah mierda, regaló el carro?
[2021:05:15-00:21:06]  (Local) -> (LOCAL)[1]Raptus: pa donde es manito
[2021:05:15-00:21:06]  (Local) -> (LOCAL)[4]Mnrpatecumbias: encima
[2021:05:15-00:21:11]  (Local) -> (LOCAL)[1]VisiosoHP69: adivina
[2021:05:15-00:21:15]  (Local) -> (LOCAL)[1]FuturisticShark94: pare
[2021:05:15-00:21:16]  (Global) -> tochi:3|#EB4E89ㅇㅅㅇ: YA RUGISTEEE
