This file was generated by Console at 2021:06:14-00:00:02



[2021:06:14-00:00:02]  (Global) -> cacharrito.HP: PANTHER963(Z)
[2021:06:14-01:57:12]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: montese
[2021:06:14-01:57:13]  (Local) -> (LOCAL)[1]SOFFIA<3: ahora a esperar
[2021:06:14-01:57:14]  (Global) -> Juanpalo:): ok
[2021:06:14-01:57:14]  (Local) -> (LOCAL)[1]Director'Sijin: perdon mor
[2021:06:14-01:57:16]  (Local) -> (LOCAL)[2]Nubesita/2cb: uy color de qkos?
[2021:06:14-01:57:18]  (Local) -> (LOCAL)[1]Director'Sijin: suba enn mi carro
[2021:06:14-01:57:18]  (Local) -> (LOCAL)[2]PericoHpta: Crudo
[2021:06:14-01:57:19]  (Local) -> (LOCAL)[10]josemamalon: oe que mas linda
[2021:06:14-01:57:19]  (Local) -> (LOCAL)[1]IDavid: es aqui?
[2021:06:14-01:57:22]  (Local) -> (LOCAL)[3]donalberto: federales
[2021:06:14-01:57:23]  (Global) -> BashfulCabbie48: como vambio el nick
[2021:06:14-01:57:25]  (Local) -> (LOCAL)[2]snyder_david: uy k
[2021:06:14-01:57:27]  (Local) -> (LOCAL)[2]binipu: cagaos
[2021:06:14-01:57:28]  (Local) -> (LOCAL)[12]JaycoBauman|CDG|: qhubo zorra
[2021:06:14-01:57:30]  (Local) -> (LOCAL)[2]Nubesita/2cb: jajsjja
[2021:06:14-01:57:31]  (Local) -> (LOCAL)[1]SOFFIA<3: no estoy seguro
[2021:06:14-01:57:32]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: eo
[2021:06:14-01:57:32]  (Local) -> (LOCAL)[1]Director'Sijin: eres el mejor broo
[2021:06:14-01:57:33]  (Local) -> (LOCAL)[3]donalberto: me quiero unir al ejercito
[2021:06:14-01:57:34]  (Local) -> (LOCAL)[2]Nubesita/2cb: sacatelos
[2021:06:14-01:57:36]  (Local) -> (LOCAL)[1]Director'Sijin: nadie quiere decir donde es xd
[2021:06:14-01:57:38]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: voy a poner plata
[2021:06:14-01:57:38]  (Local) -> (LOCAL)[2]PericoHpta: a que horas es el evento
[2021:06:14-01:57:38]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: BashfulCabbie48 con /nick y el nombre q quiera
[2021:06:14-01:57:39]  (Global) -> LaSabandija: esperatre
[2021:06:14-01:57:41]  (Global) -> LewdCadet9: dejame subir
[2021:06:14-01:57:42]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: CrudoMeansRaw
[2021:06:14-01:57:42]  (Local) -> (LOCAL)[2]snyder_david: :o
[2021:06:14-01:57:43]  (Local) -> (LOCAL)[2]PericoHpta: o q
[2021:06:14-01:57:43]  (Local) -> (LOCAL)[2]Nubesita/2cb: uuf
[2021:06:14-01:57:44]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: se supone q a las 8
[2021:06:14-01:57:45]  (Local) -> (LOCAL)[11]Oreo: dsajdsakjdska
[2021:06:14-01:57:49]  (Local) -> (LOCAL)[2]binipu: ola soy juanes
[2021:06:14-01:57:49]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: we
[2021:06:14-01:57:50]  (Global) -> IDavid: bazuco donde es el evento
[2021:06:14-01:57:51]  (Local) -> (LOCAL)[1]Director'Sijin: de una
[2021:06:14-01:57:53]  (Local) -> (LOCAL)[2]PericoHpta: yo no veo q hagan nada
[2021:06:14-01:57:53]  (Local) -> (LOCAL)[11]Oreo: jkfdhnlÃ±hadsgÂ´logbojbvÃ±kcdjgbds{Ã³hdaslokdhasldsalakjsdlkjadslkjdaslkdasj
[2021:06:14-01:57:54]  (Local) -> (LOCAL)[2]PericoHpta: xd
[2021:06:14-01:57:55]  (Global) -> LewdCadet9: gracias
[2021:06:14-01:57:57]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: xd
[2021:06:14-01:57:58]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: cbron
[2021:06:14-01:57:58]  (Local) -> (LOCAL)[2]Nubesita/2cb: ola juanes
[2021:06:14-01:57:58]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: IDavid[MP] Las venturas
[2021:06:14-01:58:02]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: qn dijo de ese evento?
[2021:06:14-01:58:02]  (Local) -> (LOCAL)[2]Nubesita/2cb: de la camisa negra
[2021:06:14-01:58:06]  (Local) -> (LOCAL)[2]Gomita: EY MUCHACHOS ADIVINEN QUIEN VOY A QUEMAR BARETA COMO DIOS MANDA, QUE CUCA OME
[2021:06:14-01:58:07]  (Local) -> (LOCAL)[2]Nubesita/2cb: soy nubesita
[2021:06:14-01:58:07]  (Local) -> (LOCAL)[2]PericoHpta: Ocampo
[2021:06:14-01:58:07]  (Local) -> (LOCAL)[2]Gomita: jajajajaj, nea buenisimo
[2021:06:14-01:58:08]  (Local) -> (LOCAL)[2]binipu: el mismisimo
[2021:06:14-01:58:09]  (Local) -> (LOCAL)[2]PericoHpta: creo
[2021:06:14-01:58:09]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: osea qnes organizan?
[2021:06:14-01:58:10]  (Local) -> (LOCAL)[2]Nubesita/2cb: ayno
[2021:06:14-01:58:10]  (Local) -> (LOCAL)[8]DONDARKAR[DARK]: mami que moto?
[2021:06:14-01:58:13]  (Local) -> (LOCAL)[2]Nubesita/2cb: mano de guisos
[2021:06:14-01:58:14]  (Global) -> IDavid: gracias
[2021:06:14-01:58:16]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: jajajaajjaa
[2021:06:14-01:58:16]  (Local) -> (LOCAL)[2]Nubesita/2cb: D:
[2021:06:14-01:58:17]  (Local) -> (LOCAL)[2]binipu: comooooooooooo
[2021:06:14-01:58:18]  (Global) -> SuccinctBarometer39: los comandos se deben poner en el chat global o en cualquier chat, ayudeme adm, me uni hoy :c
[2021:06:14-01:58:18]  (Local) -> (LOCAL)[2]Nubesita/2cb: mentiris
[2021:06:14-01:58:18]  (Local) -> (LOCAL)[1]SOFFIA<3: si aca
[2021:06:14-01:58:18]  (Global) -> LewdCadet9: cuant o dte ganas hay
[2021:06:14-01:58:19]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: vamos al ejercito
[2021:06:14-01:58:21]  (Local) -> (LOCAL)[1]IDavid: no me dijo donde xd
[2021:06:14-01:58:22]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: >:b
[2021:06:14-01:58:24]  ([Msg] de DONDARKAR[DARK] para DaianaxBuitrago: oeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee) -> nil
[2021:06:14-01:58:24]  (Local) -> (LOCAL)[2]Gomita: que chimba de video nea
[2021:06:14-01:58:25]  (Local) -> (LOCAL)[2]Gomita: jajajaja
[2021:06:14-01:58:29]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: Chat global siempre
[2021:06:14-01:58:33]  (Local) -> (LOCAL)[2]Gomita: nea
[2021:06:14-01:58:33]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: IDavid[MP] Las venturas
[2021:06:14-01:58:33]  (Local) -> (LOCAL)[1]IDavid: pues si
[2021:06:14-01:58:34]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: CrudoMeansRaw
[2021:06:14-01:58:35]  ([Msg] de DONDARKAR[DARK] para DaianaxBuitrago: donde esta?) -> nil
[2021:06:14-01:58:38]  (Global) -> SuccinctBarometer39:  t amo mucho
[2021:06:14-01:58:39]  (Local) -> (LOCAL)[1]SOFFIA<3: dijo que en las venturas
[2021:06:14-01:58:40]  (Local) -> (LOCAL)[3]donalberto: ustedes son igual que los tombos?
[2021:06:14-01:58:41]  (Global) -> Oreo|#CBFF00âœ˜ : evento de q
[2021:06:14-01:58:43]  (Local) -> (LOCAL)[1]snyder_david: buena pa viva diomedez
[2021:06:14-01:58:43]  (Global) -> Oreo|#CBFF00âœ˜ : xd
[2021:06:14-01:58:45]  (Local) -> (LOCAL)[2]Gomita: pues lo organizaron bazuko, henrry
[2021:06:14-01:58:46]  ([Msg] de DaianaxBuitrago para DONDARKAR[DARK]: oelo en centrar y encanado) -> nil
[2021:06:14-01:58:48]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: Digame pa
[2021:06:14-01:58:49]  (Local) -> (LOCAL)[1]Director'Sijin: em quitarre
[2021:06:14-01:58:49]  (Local) -> (LOCAL)[1]Benito'AUC: cada vez que se conecnte lo voy a chimbear hasta que se cambie el nombre ucho
[2021:06:14-01:58:50]  (Local) -> (LOCAL)[1]Director'Sijin: las estrellas
[2021:06:14-01:58:51]  (Local) -> (LOCAL)[2]Gomita: y creo que kevin
[2021:06:14-01:58:53]  (Local) -> (LOCAL)[13]pipirosado-2cb: ESTA MONDA PARECE SOLEDAD
[2021:06:14-01:58:55]  (Local) -> (LOCAL)[2]Nubesita/2cb: pera
[2021:06:14-01:58:55]  (Local) -> (LOCAL)[13]Oreo: basuko
[2021:06:14-01:58:57]  (Global) -> C4$TRO: no se jaj
[2021:06:14-01:58:58]  (Local) -> (LOCAL)[2]Nubesita/2cb: me la acomodo
[2021:06:14-01:58:58]  (Local) -> (LOCAL)[11]Oreo: evento de q
[2021:06:14-01:59:03]  (Local) -> (LOCAL)[2]Gomita: pq kevin lo anuncio
[2021:06:14-01:59:03]  (Local) -> (LOCAL)[2]snyder_david: jajaja
[2021:06:14-01:59:06]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: Oreo la feria del tunning el mejor carro tunning se lleva 5M y el que mas corra tambien 5
[2021:06:14-01:59:07]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: oreo
[2021:06:14-01:59:10]  (Global) -> Aletoso[CDG]|#9D12D1í ½í¸ˆ: #00FFFF VENDO INFERNUS
[2021:06:14-01:59:11]  (Global) -> lil_kiba14/CDG: oreo
[2021:06:14-01:59:14]  (Local) -> (LOCAL)[1]Oreo: oe
[2021:06:14-01:59:16]  (Global) -> LaSapaaaa: ey crudo y como hago para aparecer carros y todas esas maricadas
[2021:06:14-01:59:17]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00BazucoPai!2cb: OE
[2021:06:14-01:59:17]  (Local) -> (LOCAL)[1]Oreo: y como me apunto
[2021:06:14-01:59:25]  (Local) -> (LOCAL)[6]#7F7F7F|DJ|#FF5C00BazucoPai!2cb: 200k y entra a los 2 eventos
[2021:06:14-01:59:26]  ([Msg] de DONDARKAR[DARK] para DaianaxBuitrago: lo espero encentral) -> nil
[2021:06:14-01:59:27]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: #33ff66BazucoPai!2cb[MP] cuentan carros handleados?
[2021:06:14-01:59:28]  (Global) -> DONDARKAR[DARK]: #00FF00 VENDO: HR1 Y SULTAN TIREN SMS A PRECIOS NEGOCIABLES
[2021:06:14-01:59:31]  (Local) -> (LOCAL)[7]Oreo: vamos pa el banc
[2021:06:14-01:59:37]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: CrudoMeansRaw como asi 
[2021:06:14-01:59:39]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: we??
[2021:06:14-01:59:40]  (Local) -> (LOCAL)[2]Gomita: nada nea
[2021:06:14-01:59:42]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: LaSapaaaa tenes que commprarlos primero
[2021:06:14-01:59:43]  (Local) -> (LOCAL)[2]Gomita: hand no
[2021:06:14-01:59:46]  (Local) -> (LOCAL)[1]Oreo: vamos pa el banco
[2021:06:14-01:59:48]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: En F3 saca los carros
[2021:06:14-01:59:49]  (Local) -> (LOCAL)[1]lil_kiba14/CDG: estas ahi?
[2021:06:14-01:59:49]  (Global) -> binipu: el paro solo es una cortina de humo porque colombia va a ganar la copa america vamos mi seleccio
[2021:06:14-01:59:51]  (Global) -> Director'Sijin: crudo
[2021:06:14-01:59:51]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00BazucoPai!2cb: bre
[2021:06:14-01:59:56]  (Global) -> Nubesita/2cb|#1BC45Fâ˜…Æ§Æ§â˜…: jajjsjsjaja
[2021:06:14-01:59:59]  (Global) -> Nubesita/2cb|#1BC45Fâ˜…Æ§Æ§â˜…: JAJAJAJJSJSAJ
[2021:06:14-02:00:00]  (Global) -> Naruto|CDG||#9D12D1í ½í¸ˆ: #ff00ff ATRAPADO POR LA LEY CVR
[2021:06:14-02:00:00]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: a
[2021:06:14-02:00:02]  (Local) -> (LOCAL)[2]PericoHpta: solo conejos
[2021:06:14-02:00:03]  (Local) -> (LOCAL)[2]binipu: ish
[2021:06:14-02:00:03]  (Global) -> LaSapaaaa: y donde los compro 
[2021:06:14-02:00:04]  (Local) -> (LOCAL)[1]Oreo: toco estrenar lo mio
[2021:06:14-02:00:04]  (Local) -> (LOCAL)[2]PericoHpta: xd
[2021:06:14-02:00:07]  (Global) -> Nubesita/2cb|#1BC45Fâ˜…Æ§Æ§â˜…: el fifas
[2021:06:14-02:00:08]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00BazucoPai!2cb: EJEJ
[2021:06:14-02:00:09]  (Local) -> (LOCAL)[2]Gomita: ej. el hr2 no cuenta
[2021:06:14-02:00:09]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: jajajajajajjajjaa
[2021:06:14-02:00:10]  (Local) -> (LOCAL)[9]DONDARKAR[DARK]: xd
[2021:06:14-02:00:11]  (Global) -> Lucho8: arranque
[2021:06:14-02:00:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: obvio jajaja
[2021:06:14-02:00:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: el martes q me pagan
[2021:06:14-02:00:14]  (Global) -> Lucho8: vamos
[2021:06:14-02:00:15]  (Global) -> Naruto|CDG||#9D12D1í ½í¸ˆ: eso lavi
[2021:06:14-02:00:15]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: oe
[2021:06:14-02:00:16]  (Local) -> (LOCAL)[1]ghostemane|CDG: oe
[2021:06:14-02:00:16]  (Local) -> (LOCAL)[7]DONDARKAR[DARK]: no hay gas kajskjaskjajksa
[2021:06:14-02:00:17]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: me compÂ´ro bundle
[2021:06:14-02:00:19]  (Global) -> Lucho8: xd
[2021:06:14-02:00:20]  (Local) -> (LOCAL)[2]Gomita: eso
[2021:06:14-02:00:20]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: vamos
[2021:06:14-02:00:21]  (Global) -> Director'Sijin: Crudo 
[2021:06:14-02:00:21]  (Global) -> snyder_david: XD
[2021:06:14-02:00:22]  (Local) -> (LOCAL)[2]binipu: yo solo juego fifa
[2021:06:14-02:00:22]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw: y hand esmeralda
[2021:06:14-02:00:23]  (Local) -> (LOCAL)[4]DONDARKAR[DARK]: acabe de comprarla
[2021:06:14-02:00:24]  (Local) -> (LOCAL)[2]PericoHpta: SIU
[2021:06:14-02:00:24]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: Diga
[2021:06:14-02:00:27]  (Global) -> LewdCadet9: paraa
[2021:06:14-02:00:27]  (Local) -> (LOCAL)[2]Nubesita/2cb: uy
[2021:06:14-02:00:28]  (Local) -> (LOCAL)[2]Gomita: XD
[2021:06:14-02:00:28]  (Local) -> (LOCAL)[4]DONDARKAR[DARK]: y se me olvido tanquear
[2021:06:14-02:00:31]  (Local) -> (LOCAL)[3]Randall...!: ale ps
[2021:06:14-02:00:32]  (Global) -> LaSabandija: Asado
[2021:06:14-02:00:33]  (Local) -> (LOCAL)[2]binipu: mi vida es el furbo
[2021:06:14-02:00:34]  (Local) -> (LOCAL)[3]Andres_06: monta
[2021:06:14-02:00:38]  (Local) -> (LOCAL)[2]Nubesita/2cb: fulbo
[2021:06:14-02:00:39]  (Global) -> Lucho8: jajaja
[2021:06:14-02:00:42]  (Local) -> (LOCAL)[5]DONDARKAR[DARK]: ven
[2021:06:14-02:00:43]  (Local) -> (LOCAL)[1]ghostemane|CDG: wur carro es es
[2021:06:14-02:00:43]  (Global) -> Stitches!~>||(CDG)|||#9D12D1í ½í¸ˆ: ahg mano ea monda de lo de la cedula  aparece de la nada :c
[2021:06:14-02:00:44]  (Local) -> (LOCAL)[2]Nubesita/2cb: y siempre andas en tenis?
[2021:06:14-02:00:46]  (Global) -> Juanda'2cb|#1BC45Fâ˜…Æ§Æ§â˜…: crudo CrudoMeansRaw
[2021:06:14-02:00:49]  (Global) -> care_loko[EMP]: que se dice sociedad
[2021:06:14-02:00:50]  (Local) -> (LOCAL)[5]DONDARKAR[DARK]: sube
[2021:06:14-02:00:51]  (Global) -> Director'Sijin: te voy a preguntar algo por wpp mi bro
[2021:06:14-02:00:53]  (Local) -> (LOCAL)[2]binipu: en tenis y con camisa de futbol
[2021:06:14-02:00:55]  (Global) -> LaSapaaaa: ey crudo, mi sueÃ±o es ser un rappi como hago
[2021:06:14-02:00:57]  (Local) -> (LOCAL)[2]Nubesita/2cb: uf
[2021:06:14-02:00:59]  (Global) -> alias_el_nene: cuanto vale la chiva rumbera
[2021:06:14-02:00:59]  (Local) -> (LOCAL)[2]PericoHpta: zzzzzzzzzzzzzzzz
[2021:06:14-02:00:59]  (Local) -> (LOCAL)[2]Nubesita/2cb: idolo
[2021:06:14-02:01:02]  (Local) -> (LOCAL)[2]Nubesita/2cb: como debe ser
[2021:06:14-02:01:03]  (Phone:SMS) -> From Director'Sijin | To: CrudoMeansRaw | Message: Crudoo broo
[2021:06:14-02:01:04]  (Local) -> (LOCAL)[2]binipu: jajajjaaj
[2021:06:14-02:01:08]  (Local) -> (LOCAL)[2]binipu: yo si me se vestir
[2021:06:14-02:01:09]  (Global) -> Lucho8: no tengo micro bro
[2021:06:14-02:01:10]  (Phone:SMS) -> From Director'Sijin | To: CrudoMeansRaw | Message: tu puedes darme el carro del bundle?
[2021:06:14-02:01:11]  (Local) -> (LOCAL)[2]Nubesita/2cb: el fulbo
[2021:06:14-02:01:13]  (Global) -> DONDARKAR[DARK]: 16m nueva
[2021:06:14-02:01:13]  (Phone:SMS) -> From Director'Sijin | To: CrudoMeansRaw | Message: Mensaje...
[2021:06:14-02:01:14]  (Local) -> (LOCAL)[2]Nubesita/2cb: sisisis
[2021:06:14-02:01:16]  (Global) -> LaSabandija: ey sijin venga pues
[2021:06:14-02:01:17]  (Local) -> (LOCAL)[2]Nubesita/2cb: estilazo
[2021:06:14-02:01:17]  (Local) -> (LOCAL)[2]Oreo: YA
[2021:06:14-02:01:19]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00BazucoPai!2cb: breve
[2021:06:14-02:01:19]  (Local) -> (LOCAL)[2]snyder_david: el del bonais es mas grande q cj
[2021:06:14-02:01:19]  (Global) -> LaSabandija: donde se quedo
[2021:06:14-02:01:20]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: Mandelo por /mp Director'Sijin
[2021:06:14-02:01:20]  (Global) -> Lucho8: uy re cara mano
[2021:06:14-02:01:21]  (Local) -> (LOCAL)[2]binipu: porque cj es mas chikitoque el bonais
[2021:06:14-02:01:22]  (Local) -> (LOCAL)[2]Nubesita/2cb: saquense un carro uwu
[2021:06:14-02:01:22]  (Global) -> care_loko[EMP]: cual e sesa
[2021:06:14-02:01:25]  (Local) -> (LOCAL)[2]Nubesita/2cb: si jajsjaj
[2021:06:14-02:01:26]  (Local) -> (LOCAL)[2]binipu: jajajaja
[2021:06:14-02:01:29]  (Local) -> (LOCAL)[3]lil_kiba14/CDG: sube
[2021:06:14-02:01:32]  (Global) -> comandante*primo*: wey necesitamos gente para el ejercito
[2021:06:14-02:01:35]  (Global) -> Juanda'2cb|#1BC45Fâ˜…Æ§Æ§â˜…: ey crudo
[2021:06:14-02:01:37]  (Local) -> (LOCAL)[2]binipu: oye midenos a ver
[2021:06:14-02:01:38]  (Local) -> (LOCAL)[2]Nubesita/2cb: chikito
[2021:06:14-02:01:40]  (Local) -> (LOCAL)[3]Stitches!~>||(CDG)||: ujajajaja
[2021:06:14-02:01:42]  (Local) -> (LOCAL)[3]Stitches!~>||(CDG)||: xd
[2021:06:14-02:01:44]  (Local) -> (LOCAL)[4]JaycoBauman|CDG|: noooo
[2021:06:14-02:01:45]  (Local) -> (LOCAL)[2]Nubesita/2cb: si jasjsa
[2021:06:14-02:01:45]  (Global) -> MICHAEL|CDG|#9D12D1í ½í¸ˆ: JaycoBauman|CDG|[6] illo
[2021:06:14-02:01:45]  (Global) -> SpookyRubber49: oe
[2021:06:14-02:01:47]  (Team - Unemployed) -> (TEAM)cabraloca: quiero ser paraci
[2021:06:14-02:01:47]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: me escucha claro?
[2021:06:14-02:01:47]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: q
[2021:06:14-02:01:49]  (Local) -> (LOCAL)[2]Nubesita/2cb: cj es pequeÃ±o
[2021:06:14-02:01:49]  (Global) -> MICHAEL|CDG|#9D12D1í ½í¸ˆ: ayuda
[2021:06:14-02:01:53]  (Local) -> (LOCAL)[4]JaycoBauman|CDG|: 600 segundos de canaa que gonorrea
[2021:06:14-02:01:54]  (Local) -> (LOCAL)[5]LaSabandija: no parce se demoro mucho
[2021:06:14-02:01:54]  (Global) -> MICHAEL|CDG|#9D12D1í ½í¸ˆ: JaycoBauman|CDG|[6] 
[2021:06:14-02:01:55]  (Global) -> cabraloca: paraco
[2021:06:14-02:01:56]  (Local) -> (LOCAL)[2]Nubesita/2cb: cj le llega a los ojos
[2021:06:14-02:01:57]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: empujeme xd
[2021:06:14-02:01:58]  (Local) -> (LOCAL)[4]Stitches!~>||(CDG)||: yo solo 30
[2021:06:14-02:02:00]  (Local) -> (LOCAL)[2]snyder_david: ajajjajaja
[2021:06:14-02:02:02]  (Global) -> LewdCadet9: vebga lo llevo
[2021:06:14-02:02:03]  (Global) -> Director'Sijin: crudo como lo hago
[2021:06:14-02:02:04]  (Local) -> (LOCAL)[5]Andres_06: oe
[2021:06:14-02:02:05]  (Local) -> (LOCAL)[2]binipu: ese marica mide como 1.90
[2021:06:14-02:02:07]  (Global) -> Lucho8: casi no bro tengo daÃ±ado los audiofonos
[2021:06:14-02:02:08]  (Local) -> (LOCAL)[5]Andres_06: me puedo unir ?
[2021:06:14-02:02:08]  (Global) -> Juanda'2cb|#1BC45Fâ˜…Æ§Æ§â˜…: CrudoMeansRaw me banearon del discord de cvr como hago para q me desbaneen
[2021:06:14-02:02:09]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: yo tengo las 6 estrellas y no tengo vip::(
[2021:06:14-02:02:09]  (Local) -> (LOCAL)[2]Nubesita/2cb: jsjajjajsj uy
[2021:06:14-02:02:12]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: CrudoMeansRaw donde compro el Vortex
[2021:06:14-02:02:12]  (Global) -> comandante*primo*: vengan todos
[2021:06:14-02:02:13]  (Local) -> (LOCAL)[2]binipu: cj mide 1.40
[2021:06:14-02:02:15]  (Local) -> (LOCAL)[2]snyder_david: jaajjaja
[2021:06:14-02:02:15]  (Global) -> Juanpalo:): bazuco donde es el evento
[2021:06:14-02:02:16]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: espere
[2021:06:14-02:02:16]  (Local) -> (LOCAL)[2]Nubesita/2cb: weno, caminen
[2021:06:14-02:02:18]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: Ponga /mp CrudoMeansRaw y escribe el mensaje
[2021:06:14-02:02:20]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: esperate q un man como que iba a venir
[2021:06:14-02:02:24]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: empuejeme
[2021:06:14-02:02:24]  (Global) -> Andres_RamireSinVIP2cb|#F7BAF2 âœ˜â—¡âœ˜: COMPRO VORTEX
[2021:06:14-02:02:25]  (Global) -> PericoHpta: #33ff66BazucoPai!2cb[MP] es rare
[2021:06:14-02:02:25]  (Global) -> LaSabandija: ey sijin caiga pues
[2021:06:14-02:02:25]  (Local) -> (LOCAL)[1]IDavid: se imagina que sea en otro lado
[2021:06:14-02:02:28]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: hasta el otro de abajo
[2021:06:14-02:02:30]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: Juanpalo:) en las venturas
[2021:06:14-02:02:31]  (Global) -> SOFFIA<3: #33ff66BazucoPai!2cb[MP] ya empezo el evento?
[2021:06:14-02:02:32]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: vnega
[2021:06:14-02:02:35]  (Local) -> (LOCAL)[4]Naruto|CDG|: oe
[2021:06:14-02:02:35]  (Local) -> (LOCAL)[2]Nubesita/2cb: adelante
[2021:06:14-02:02:36]  (Local) -> (LOCAL)[1]DONDARKAR[DARK]: usa /modopasivo
[2021:06:14-02:02:37]  (Global) -> Andres_RamireSinVIP2cb|#F7BAF2 âœ˜â—¡âœ˜: si
[2021:06:14-02:02:38]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: No yo les aviso
[2021:06:14-02:02:39]  (Local) -> (LOCAL)[2]Gomita: nea
[2021:06:14-02:02:39]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: #33ff66BazucoPai!2cb eso es rare pa, solo compraventa con el q lo tenga
[2021:06:14-02:02:40]  (Local) -> (LOCAL)[1]SOFFIA<3: no creo jajaja
[2021:06:14-02:02:40]  ([Msg] de Director'Sijin para CrudoMeansRaw: Manitoo tu me puedes dar el carro del bundle?) -> nil
[2021:06:14-02:02:44]  (Local) -> (LOCAL)[2]Gomita: escucha este tema
[2021:06:14-02:02:47]  (Global) -> #7F7F7F|DJ|#FF5C00BazucoPai!2cb|#9E016Cà¶ž: ah breve
[2021:06:14-02:02:47]  (Local) -> (LOCAL)[1]IDavid: eo
[2021:06:14-02:02:50]  (Global) -> C4$TRO: oe yo voy por armas ya vengo 
[2021:06:14-02:02:51]  ([Msg] de CrudoMeansRaw para Director'Sijin: No pana solo Bala) -> nil
