This file was generated by Console at 2021:03:24-00:00:00



[2021:03:24-00:00:00]  (Local) -> (LOCAL)[3]Niche~CaPu: quitese
[2021:03:24-04:14:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: Ps le salian dos cuentas nada mas
[2021:03:24-04:14:24]  (Global) -> brandonjose: PQ SI PA
[2021:03:24-04:14:25]  (Local) -> (LOCAL)[5]Lozhka: suabe
[2021:03:24-04:14:25]  (Local) -> (LOCAL)[5]JustFreseoo: eso y un besito
[2021:03:24-04:14:26]  (Local) -> (LOCAL)[4]Buitre: vibra me va a vender marihuana ?
[2021:03:24-04:14:28]  (Local) -> (LOCAL)[5]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: venga le soplo esa trompeta :o
[2021:03:24-04:14:31]  (Local) -> (LOCAL)[4]Lozhka: coooomo
[2021:03:24-04:14:34]  (Local) -> (LOCAL)[5]Spy: oli
[2021:03:24-04:14:38]  (Local) -> (LOCAL)[4]Buitre: vibra me va a vender marihuana ?
[2021:03:24-04:14:40]  (Local) -> (LOCAL)[4]Lozhka: esas propuestas d este man ermanp
[2021:03:24-04:14:41]  (Local) -> (LOCAL)[4]aragan: venga le soplo esas tetas gorodo forro
[2021:03:24-04:14:42]  (Local) -> (LOCAL)[4]Buitre: vibra me va a vender marihuana ?
[2021:03:24-04:14:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: jmm
[2021:03:24-04:14:47]  (Local) -> (LOCAL)[4]Buitre: o coca
[2021:03:24-04:14:49]  (Global) -> Soltec|EVG||#5723FEGDT!: brandonjose entonces ud tambien es gay pq si
[2021:03:24-04:14:55]  (Local) -> (LOCAL)[4]Buitre: me va a vender coca
[2021:03:24-04:14:55]  (Global) -> brandonjose: SIKA
[2021:03:24-04:14:57]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: mk
[2021:03:24-04:15:00]  (Global) -> aragan|#E20280 à¶ž:   ÍœÂ°Ê–Â°?
[2021:03:24-04:15:04]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: esta gente tiene tantas cuentas y
[2021:03:24-04:15:06]  (Global) -> Lozhka: when haces tus momos en general but te terminan muteando :v
[2021:03:24-04:15:06]  (Global) -> brandonjose: DEJE DE DEFENDERLO MARICOTA
[2021:03:24-04:15:08]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: se han cambiado tanto el nick
[2021:03:24-04:15:09]  (Global) -> #00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu|#18AED9ã‚«ãƒ—ã‚¬ãƒ³:  â–‚â–‚â–‚âŒ‡ 
[2021:03:24-04:15:11]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: q ni carga completo
[2021:03:24-04:15:15]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: que vuelta
[2021:03:24-04:15:16]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: no deja verlo todo
[2021:03:24-04:15:19]  (Local) -> (LOCAL)[3]Lozhka: me voy mute ermano
[2021:03:24-04:15:20]  (Local) -> (LOCAL)[2]JustFreseoo: ?
[2021:03:24-04:15:21]  (Global) -> aragan|#E20280 à¶ž: XD
[2021:03:24-04:15:22]  (Local) -> (LOCAL)[2]Lozhka: XD
[2021:03:24-04:15:24]  (Local) -> (LOCAL)[2]Lozhka: no me mutearon
[2021:03:24-04:15:25]  (Local) -> (LOCAL)[2]Lozhka: jjjjj
[2021:03:24-04:15:26]  (Local) -> (LOCAL)[2]Spy: cuanto?
[2021:03:24-04:15:26]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: xd
[2021:03:24-04:15:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: q estan haciendo
[2021:03:24-04:15:28]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: apreta
[2021:03:24-04:15:31]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: stop
[2021:03:24-04:15:31]  (Local) -> (LOCAL)[2]JustFreseoo: cuanto q
[2021:03:24-04:15:34]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: ya
[2021:03:24-04:15:35]  (Local) -> (LOCAL)[2]Spy: sapow
[2021:03:24-04:15:36]  (Local) -> (LOCAL)[1]King: comprelo
[2021:03:24-04:15:37]  (Local) -> (LOCAL)[3]MaxwelTomp|AK47|: oe cague rapido
[2021:03:24-04:15:38]  (Local) -> (LOCAL)[2]JustFreseoo: ok
[2021:03:24-04:15:40]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: no lo mutio q gono
[2021:03:24-04:15:41]  (Local) -> (LOCAL)[3]SEVEN||2cb||: ajajjaja
[2021:03:24-04:15:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: nada, yo ando haciendo trabajos xd
[2021:03:24-04:15:43]  (Local) -> (LOCAL)[2]Lozhka: q debuenas
[2021:03:24-04:15:45]  (Local) -> (LOCAL)[2]Lozhka: Bv
[2021:03:24-04:15:46]  (Global) -> Soltec|EVG||#5723FEGDT!: Lozhka[6] mal meme no te mutearon
[2021:03:24-04:15:48]  (Local) -> (LOCAL)[1]JustFreseoo: dame el dinero te doy mi coche
[2021:03:24-04:15:53]  (Local) -> (LOCAL)[3]MaxwelTomp|AK47|: este negiocio esta comom ueno y le da por cagar
[2021:03:24-04:15:54]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: x2 jajaja
[2021:03:24-04:15:55]  (Local) -> (LOCAL)[1]eJdexx: Bueno mor
[2021:03:24-04:15:55]  (Local) -> (LOCAL)[1]JustFreseoo: y el besito tmbn
[2021:03:24-04:15:56]  (Local) -> (LOCAL)[1]King: oe
[2021:03:24-04:15:59]  (Global) -> Flaco'2cb|#83FF00ÊÄ‘à¸—: xD
[2021:03:24-04:16:01]  (Global) -> Soltec|EVG||#5723FEGDT!: brandonjose ps deje de atarcalo pq si 
[2021:03:24-04:16:02]  (Local) -> (LOCAL)[2]Lozhka: qn pa ir a farmear setines vro
[2021:03:24-04:16:03]  (Local) -> (LOCAL)[3]MaxwelTomp|AK47|: este man si es cagon
[2021:03:24-04:16:05]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: Esos oceanic ya estÃ¡n muy baratos
[2021:03:24-04:16:05]  (Local) -> (LOCAL)[1]SickPlanet82: si
[2021:03:24-04:16:09]  (Local) -> (LOCAL)[1]King: sarga
[2021:03:24-04:16:10]  (Global) -> Soltec|EVG||#5723FEGDT!: jjjj
[2021:03:24-04:16:12]  (Local) -> (LOCAL)[1]SickPlanet82: gracias bro
[2021:03:24-04:16:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: acabo de vender 2
[2021:03:24-04:16:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: ya lo estan es regalando sisas
[2021:03:24-04:16:15]  (Local) -> (LOCAL)[2]algaretiao|CApu|RXN: q
[2021:03:24-04:16:16]  (Local) -> (LOCAL)[1]SickPlanet82: ue
[2021:03:24-04:16:18]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: cuanto
[2021:03:24-04:16:19]  (Local) -> (LOCAL)[6]SEVEN||2cb||: mano
[2021:03:24-04:16:19]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: 6 y 7
[2021:03:24-04:16:24]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: bno suave
[2021:03:24-04:16:25]  (Local) -> (LOCAL)[1]King: espere
[2021:03:24-04:16:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: sisas
[2021:03:24-04:16:27]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: ya no estan de alianza con z
[2021:03:24-04:16:27]  (Global) -> #5723FEJolyne'2cb|#5723FEGDT!: jsadjsdjjs
[2021:03:24-04:16:29]  (Local) -> (LOCAL)[1]Mango: /ropita
[2021:03:24-04:16:32]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: ?
[2021:03:24-04:16:33]  (Local) -> (LOCAL)[5]Lozhka: yo no soi 12v
[2021:03:24-04:16:34]  (Local) -> (LOCAL)[5]Lozhka: XD
[2021:03:24-04:16:35]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: los vendo baratos para que ellos los revendan caros
[2021:03:24-04:16:37]  (Global) -> aragan|#E20280 à¶ž: disq su mama  prende la estufa con gasolina
[2021:03:24-04:16:38]  (Local) -> (LOCAL)[5]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: q
[2021:03:24-04:16:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: vuelvan y suban
[2021:03:24-04:16:40]  (Local) -> (LOCAL)[8]SffOquez6969.: mal ejecucion
[2021:03:24-04:16:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: y yo los sigo vendiendo asÃ­
[2021:03:24-04:16:43]  (Local) -> (LOCAL)[1]King: sabe como sacarlo
[2021:03:24-04:16:43]  (Global) -> Lozhka: uuuuy
[2021:03:24-04:16:44]  (Local) -> (LOCAL)[6]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: pq
[2021:03:24-04:16:44]  (Global) -> Peyeta[2cb]: ay
[2021:03:24-04:16:45]  (Global) -> Lozhka: yo le pego
[2021:03:24-04:16:46]  (Local) -> (LOCAL)[3]MaxwelTomp|AK47|: oe esque le compramos eso entre los 2 para que sea mas rapido
[2021:03:24-04:16:49]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: jajajaja
[2021:03:24-04:16:57]  (Local) -> (LOCAL)[5]GOMITA0810|Z: donde?
[2021:03:24-04:16:57]  (Local) -> (LOCAL)[1]SickPlanet82: no
[2021:03:24-04:16:58]  (Global) -> aragan|#E20280 à¶ž: a solas contigoooooo @Loca
[2021:03:24-04:16:59]  (Team - Unemployed) -> (TEAM)MaxwelTomp|AK47|: pero al man le dio por cagar
[2021:03:24-04:17:01]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: ps igual eso es ganancia full
[2021:03:24-04:17:03]  (Local) -> (LOCAL)[1]JustFreseoo: suabe
[2021:03:24-04:17:07]  (Local) -> (LOCAL)[5]SEVEN||2cb||: ajjaja sisi hagale pa tranquilo
[2021:03:24-04:17:08]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: nea
[2021:03:24-04:17:08]  (Global) -> Lozhka: ven y asfixiame de ti @ aragan
[2021:03:24-04:17:09]  (Global) -> Soltec|EVG||#5723FEGDT!: aragan[4] luego asi no es?
[2021:03:24-04:17:10]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: van dos rayos
[2021:03:24-04:17:10]  (Local) -> (LOCAL)[1]King: es en el celular
[2021:03:24-04:17:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: al lado de la casa
[2021:03:24-04:17:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: por ahi escuche q lo vendian ya en 1 palo
[2021:03:24-04:17:14]  (Local) -> (LOCAL)[4]SEVEN||2cb||: igual no tengo nada pa hacer
[2021:03:24-04:17:16]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: que putas
[2021:03:24-04:17:16]  (Local) -> (LOCAL)[2]Sornero/AK47/: le damos 9500
[2021:03:24-04:17:17]  (Local) -> (LOCAL)[1]eJdexx: Chao
[2021:03:24-04:17:18]  (Local) -> (LOCAL)[1]eJdexx: Uwu
[2021:03:24-04:17:19]  (Local) -> (LOCAL)[2]Lozhka: pa pa
[2021:03:24-04:17:20]  (Local) -> (LOCAL)[1]JustFreseoo: besitos
[2021:03:24-04:17:20]  (Global) -> Peyeta[2cb]: COMPRO MAVERICK
[2021:03:24-04:17:22]  (Local) -> (LOCAL)[2]Sornero/AK47/: no tenemos mas mk
[2021:03:24-04:17:24]  (Local) -> (LOCAL)[1]eJdexx: Ese carro si valia eso oq :V
[2021:03:24-04:17:25]  (Global) -> #00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: enseÃ±ame a
[2021:03:24-04:17:28]  (Local) -> (LOCAL)[2]SEVEN||2cb||: mmmmmmmmmmm
[2021:03:24-04:17:29]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: permiso bobotron
[2021:03:24-04:17:31]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: quieto jajaja mero palo de agua oq
[2021:03:24-04:17:31]  (Global) -> aragan|#E20280 à¶ž: ya voy a bajarle esos cucos mi amor @Loca
[2021:03:24-04:17:32]  (Local) -> (LOCAL)[2]MaxwelTomp|AK47|: oe tenemos solo 9.5 prro perdon
[2021:03:24-04:17:33]  (Local) -> (LOCAL)[1]King: ya
[2021:03:24-04:17:34]  (Global) -> Lozhka: q
[2021:03:24-04:17:34]  (Local) -> (LOCAL)[1]SickPlanet82: ya
[2021:03:24-04:17:35]  (Local) -> (LOCAL)[2]Sornero/AK47/: usted nos dira papi
[2021:03:24-04:17:35]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: ufffff
[2021:03:24-04:17:38]  (Local) -> (LOCAL)[2]SEVEN||2cb||: mano me dijo q 10.5
[2021:03:24-04:17:42]  (Global) -> Lozhka: estan cagados ud vera
[2021:03:24-04:17:42]  (Global) -> Soltec|EVG||#5723FEGDT!: #00F600 Cuando lleguemos al cielo le daremos gracias al seÃ±or por hacernos hinchas del verde
[2021:03:24-04:17:42]  (Local) -> (LOCAL)[2]King: benga
[2021:03:24-04:17:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: i nea
[2021:03:24-04:17:44]  (Global) -> Peyeta[2cb]: rico
[2021:03:24-04:17:45]  (Local) -> (LOCAL)[3]MaxwelTomp|AK47|: nos avisa y le damos eso ya
[2021:03:24-04:17:49]  (Global) -> aragan|#E20280 à¶ž: con olorsito mas rico
[2021:03:24-04:17:50]  (Local) -> (LOCAL)[3]SEVEN||2cb||: no ve q pierdo 2 palos
[2021:03:24-04:17:56]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: bof
[2021:03:24-04:17:57]  (Local) -> (LOCAL)[1]King: le llebo al trabajo y le dejo
[2021:03:24-04:17:57]  (Global) -> Soltec|EVG||#5723FEGDT!: Lozhka[6] como nutella
[2021:03:24-04:17:57]  (Global) -> Peyeta[2cb]: re rico
[2021:03:24-04:17:58]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: 13 palos suave
[2021:03:24-04:17:59]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: saquel0s
[2021:03:24-04:18:01]  (Local) -> (LOCAL)[3]Sornero/AK47/: pero solo tenemos eso pa
[2021:03:24-04:18:02]  (Local) -> (LOCAL)[3]eJdexx: En cuanto vende el oceanic Seven
[2021:03:24-04:18:05]  (Local) -> (LOCAL)[3]Sornero/AK47/: trato?
[2021:03:24-04:18:06]  (Local) -> (LOCAL)[3]SEVEN||2cb||: me valiÃ³ 11.5
[2021:03:24-04:18:06]  (Local) -> (LOCAL)[1]SickPlanet82: policia
[2021:03:24-04:18:08]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: vea
[2021:03:24-04:18:09]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: otro rayoooo
[2021:03:24-04:18:10]  (Local) -> (LOCAL)[3]eJdexx: a
[2021:03:24-04:18:10]  (Global) -> Lozhka: :D
[2021:03:24-04:18:11]  (Local) -> (LOCAL)[3]SEVEN||2cb||: 12
[2021:03:24-04:18:12]  (Local) -> (LOCAL)[1]King: no
[2021:03:24-04:18:12]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: suave a mi me quedan 2 pa vender
[2021:03:24-04:18:12]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: este pffff
[2021:03:24-04:18:16]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: a mÃ­ 6
[2021:03:24-04:18:17]  (Local) -> (LOCAL)[1]SickPlanet82: entoces
[2021:03:24-04:18:21]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: jajaja
[2021:03:24-04:18:29]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: a
[2021:03:24-04:18:30]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: pere
[2021:03:24-04:18:33]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: ponemele nitro
[2021:03:24-04:18:36]  (Local) -> (LOCAL)[4]Lozhka: wiq wiq
[2021:03:24-04:18:37]  (Team - Services) -> (TEAM)Junior908: me escuch
[2021:03:24-04:18:38]  (Local) -> (LOCAL)[2]Sornero/AK47/: vendamelo,despues hacemos mas negocios
[2021:03:24-04:18:38]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: bno nea voy a terminar eso q tengo hasta las 12
[2021:03:24-04:18:38]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: este no
[2021:03:24-04:18:40]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: afk
[2021:03:24-04:18:41]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: porda
[2021:03:24-04:18:41]  (Team - Services) -> (TEAM)Soltec|EVG|: N0
[2021:03:24-04:18:42]  (Team - Services) -> (TEAM)Junior908: santi
[2021:03:24-04:18:45]  (Local) -> (LOCAL)[2]PabloOwO~|PEPEGAN|: con nitro es peor
[2021:03:24-04:18:45]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: porfa
[2021:03:24-04:18:46]  (Local) -> (LOCAL)[3]SantiagoRipe: no
[2021:03:24-04:18:47]  (Local) -> (LOCAL)[3]PabloOwO~|PEPEGAN|: se maneja peor
[2021:03:24-04:18:49]  (Local) -> (LOCAL)[2]Sornero/AK47/: todo bien
[2021:03:24-04:18:52]  (Local) -> (LOCAL)[2]LAPEPEGANG|ELN: XD
[2021:03:24-04:18:53]  (Local) -> (LOCAL)[3]SantiagoRipe: si ya
[2021:03:24-04:18:53]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00RicardoJorge|EVG|: x2
[2021:03:24-04:18:54]  (Local) -> (LOCAL)[2]SEVEN||2cb||: breve
[2021:03:24-04:18:55]  (Local) -> (LOCAL)[3]Lozhka: bno qn pa
[2021:03:24-04:18:56]  (Local) -> (LOCAL)[3]Lozhka: qn pa
[2021:03:24-04:18:57]  (Local) -> (LOCAL)[2]SEVEN||2cb||: la plata ps
[2021:03:24-04:18:58]  (Global) -> kamilo|2cb: carrera 10k
[2021:03:24-04:18:59]  (Local) -> (LOCAL)[2]Lozhka: qn pa farmear
[2021:03:24-04:18:59]  (Global) -> aragan|#E20280 à¶ž: Jolyne'2cb venga le soplo ese hueco del culo 
[2021:03:24-04:19:03]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: ponemele de todas formas
[2021:03:24-04:19:04]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00MINI/2CB(AS)|#E20280 à¶ž: compro hr2
[2021:03:24-04:19:10]  (Local) -> (LOCAL)[1]King: estaba asiendo algo
[2021:03:24-04:19:19]  (Local) -> (LOCAL)[1]King: camionero
[2021:03:24-04:19:19]  (Local) -> (LOCAL)[2]PabloOwO~|PEPEGAN|: bre
[2021:03:24-04:19:24]  (Local) -> (LOCAL)[1]GOMITA0810|Z: aa
[2021:03:24-04:19:27]  (Local) -> (LOCAL)[1]SickPlanet82: igual yo tambien me yengo que ir por que tengo que estudiar{
[2021:03:24-04:19:27]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: ella
[2021:03:24-04:19:28]  (Local) -> (LOCAL)[2]Lozhka: ella ya meolvido
[2021:03:24-04:19:28]  (Local) -> (LOCAL)[1]King: para que tenga dinero
[2021:03:24-04:19:29]  (Local) -> (LOCAL)[2]Lozhka: y yo
[2021:03:24-04:19:30]  (Local) -> (LOCAL)[1]GOMITA0810|Z: pense que era de otra gang
[2021:03:24-04:19:32]  (Local) -> (LOCAL)[2]aragan: ella me olvido
[2021:03:24-04:19:33]  (Local) -> (LOCAL)[2]Lozhka: yo larecuerdoaora
[2021:03:24-04:19:33]  (Local) -> (LOCAL)[2]GOMITA0810|Z: a
[2021:03:24-04:19:35]  (Global) -> SffOquez6969.|#E20280 à¶ž: busco  pareja sentimental para tener sexo apasionadamente
[2021:03:24-04:19:35]  (Local) -> (LOCAL)[3]Lozhka: era
[2021:03:24-04:19:37]  (Team - Unemployed) -> (TEAM)SickPlanet82: u ok
[2021:03:24-04:19:38]  (Local) -> (LOCAL)[2]Lozhka: como la primavera
[2021:03:24-04:19:39]  (Local) -> (LOCAL)[2]Sornero/AK47/: que dice papi
[2021:03:24-04:19:39]  (Local) -> (LOCAL)[1]King: espere
[2021:03:24-04:19:41]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: ella como la prima
[2021:03:24-04:19:43]  (Global) -> SffOquez6969.|#E20280 à¶ž: busco  pareja sentimental para tener sexo apasionadamente
[2021:03:24-04:19:43]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: q
[2021:03:24-04:19:43]  (Global) -> Lozhka: yo
[2021:03:24-04:19:44]  (Global) -> Jeronimo: pfff
[2021:03:24-04:19:45]  (Local) -> (LOCAL)[3]aragan: q
[2021:03:24-04:19:45]  (Global) -> MaxwelTomp|AK47|: cuanto es al fin
[2021:03:24-04:19:48]  (Local) -> (LOCAL)[2]SEVEN||2cb||: ??
[2021:03:24-04:19:50]  (Local) -> (LOCAL)[3]Lozhka: su anochesido pelo
[2021:03:24-04:19:51]  (Global) -> TheCrazyPipeNeXus: me saque un hydra quien para dar un paseo xdd
[2021:03:24-04:19:54]  (Local) -> (LOCAL)[3]aragan: suvosdormidaenreso
[2021:03:24-04:19:55]  (Local) -> (LOCAL)[5]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: ale gracias
[2021:03:24-04:19:55]  (Local) -> (LOCAL)[2]SEVEN||2cb||: no c, pa le dije q 10.5
[2021:03:24-04:19:59]  (Local) -> (LOCAL)[3]Lozhka: i juntoalmarlaniebe
[2021:03:24-04:20:04]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: si eso
[2021:03:24-04:20:11]  (Local) -> (LOCAL)[2]aragan: ella
[2021:03:24-04:20:15]  (Local) -> (LOCAL)[3]aragan: ella ya me olvido
[2021:03:24-04:20:17]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: yose
[2021:03:24-04:20:18]  (Local) -> (LOCAL)[2]Juanchorois[AK]: admiin
[2021:03:24-04:20:21]  (Local) -> (LOCAL)[3]Sornero/AK47/: 10
[2021:03:24-04:20:22]  (Global) -> #5723FEJolyne'2cb|#5723FEGDT!: XDDDDDDD
[2021:03:24-04:20:24]  (Local) -> (LOCAL)[4]aragan: no puedo olvidarla
[2021:03:24-04:20:24]  (Local) -> (LOCAL)[0]leopardosur^z: oe
[2021:03:24-04:20:25]  (Global) -> Rata|Z: xDDDDDDDDDDD
[2021:03:24-04:20:30]  (Local) -> (LOCAL)[1]Flaco'2cb: q le pasa
[2021:03:24-04:20:33]  (Local) -> (LOCAL)[1]leopardosur^z: pq coje todas
[2021:03:24-04:20:35]  (Local) -> (LOCAL)[3]SEVEN||2cb||: papi es q salgo perdiendo
[2021:03:24-04:20:37]  (Local) -> (LOCAL)[1]Flaco'2cb: 10 y 10
[2021:03:24-04:20:37]  (Local) -> (LOCAL)[1]leopardosur^z: eso digo
[2021:03:24-04:20:45]  (Local) -> (LOCAL)[1]Flaco'2cb: 10 y 10
[2021:03:24-04:20:46]  (Local) -> (LOCAL)[1]leopardosur^z: poreso no mas
[2021:03:24-04:20:48]  (Local) -> (LOCAL)[3]Lozhka: q
[2021:03:24-04:20:50]  (Local) -> (LOCAL)[2]Lozhka: muevanse
[2021:03:24-04:20:50]  (Local) -> (LOCAL)[1]Flaco'2cb: deje
[2021:03:24-04:20:52]  (Local) -> (LOCAL)[3]Lozhka: q los va a sacar
[2021:03:24-04:20:54]  (Local) -> (LOCAL)[4]Lozhka: por akf
[2021:03:24-04:20:54]  (Local) -> (LOCAL)[1]Flaco'2cb: cogo mis 10 y me abro
[2021:03:24-04:20:54]  (Local) -> (LOCAL)[1]leopardosur^z: cuentas van
[2021:03:24-04:20:55]  (Local) -> (LOCAL)[4]Lozhka: afk
[2021:03:24-04:21:01]  (Local) -> (LOCAL)[1]Flaco'2cb: Bno sume
[2021:03:24-04:21:05]  (Local) -> (LOCAL)[1]King: uy mola
[2021:03:24-04:21:10]  (Local) -> (LOCAL)[3]Lozhka: XDXD
[2021:03:24-04:21:10]  (Local) -> (LOCAL)[2]Sornero/AK47/: Pa
[2021:03:24-04:21:12]  (Local) -> (LOCAL)[1]King: el carro
[2021:03:24-04:21:14]  (Local) -> (LOCAL)[2]Lozhka: uy kieto
[2021:03:24-04:21:14]  (Local) -> (LOCAL)[1]Flaco'2cb: Me falta job de drift y ya sume
[2021:03:24-04:21:14]  (Local) -> (LOCAL)[3]Sornero/AK47/: colaborenos
[2021:03:24-04:21:14]  (Local) -> (LOCAL)[1]LAPEPEGANG|ELN: Ostisa puta
[2021:03:24-04:21:14]  (Local) -> (LOCAL)[1]eJdexx: hola bb
[2021:03:24-04:21:15]  (Local) -> (LOCAL)[2]aragan: jjj
[2021:03:24-04:21:17]  (Local) -> (LOCAL)[3]Sornero/AK47/: somos nuevosss
[2021:03:24-04:21:18]  (Local) -> (LOCAL)[3]SEVEN||2cb||: ajjajajaj
[2021:03:24-04:21:21]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#0064FFpenecabezon|CApu: ei comoasi q tusi no mete tusi
[2021:03:24-04:21:23]  (Local) -> (LOCAL)[1]King: aqui
