This file was generated by Console at 2021:04:28-00:00:00



[2021:04:28-00:00:00]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: f
[2021:04:28-02:15:54]  (Local) -> (LOCAL)[5]JuanPablo|Z: BOT
[2021:04:28-02:15:55]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: e0pa
[2021:04:28-02:15:56]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: dios mio
[2021:04:28-02:15:57]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: acsa
[2021:04:28-02:15:57]  (Global) -> BajaPantys420|4k: sisa}
[2021:04:28-02:15:59]  (Global) -> AmericaDeCali|Z: Macro hpta
[2021:04:28-02:16:00]  (Local) -> (LOCAL)[1]CrudoMa'G': aca?=
[2021:04:28-02:16:02]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: sikas
[2021:04:28-02:16:03]  (Global) -> BugeadorHitbox|#18AED9カプガン: no q man tan macrero diosmio
[2021:04:28-02:16:03]  (Global) -> Juanma'ELN|#5EF5F7������: JAJAJAJJAJAJAJAJA
[2021:04:28-02:16:04]  (Global) -> Rolando_Motta"2cb: andres donde anda?
[2021:04:28-02:16:05]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: time 12
[2021:04:28-02:16:06]  (Local) -> (LOCAL)[4]Felipe-L: me hace un fa
[2021:04:28-02:16:07]  (Global) -> Zz_prix_zZ: jajaja
[2021:04:28-02:16:07]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FFFF00GordoBM: ajjaja
[2021:04:28-02:16:08]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: 12:00
[2021:04:28-02:16:08]  (Global) -> BugeadorHitbox|#18AED9カプガン: me va a tocar prender los macros
[2021:04:28-02:16:08]  (Global) -> MarcelJose||Z||: Paro mañana en CVR?
[2021:04:28-02:16:10]  (Local) -> (LOCAL)[2]TartarusZcB: hundale X
[2021:04:28-02:16:10]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||DJ|#FF5C00alexispageconmacros: un cacorro
[2021:04:28-02:16:11]  (Local) -> (LOCAL)[3]JuanPablo|Z: se ardio Juanma
[2021:04:28-02:16:12]  (Global) -> BajaPantys420|4k: QUE SI
[2021:04:28-02:16:13]  (Global) -> #1D1D1DAvalencia|#1D1D1D連EP合: Si señor
[2021:04:28-02:16:14]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: esole
[2021:04:28-02:16:15]  (Local) -> (LOCAL)[3]Juanma'ELN: esta gente les gusta acumular reportes por flameo
[2021:04:28-02:16:17]  (Local) -> (LOCAL)[3]JuanPablo|Z: :V
[2021:04:28-02:16:18]  (Global) -> BajaPantys420|4k: A las 9 creo
[2021:04:28-02:16:19]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: banco
[2021:04:28-02:16:19]  (Global) -> BajaPantys420|4k: pm
[2021:04:28-02:16:19]  (Global) -> Juanma'ELN|#5EF5F7������: esta gente les gusta acumular reportes por flameo
[2021:04:28-02:16:21]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: banco
[2021:04:28-02:16:24]  (Global) -> AmericaDeCali|Z: alexispageconmacros venga espetee jajaja
[2021:04:28-02:16:27]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: Ui juan camargo
[2021:04:28-02:16:28]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FFFF00GordoBM: boffff el coste{
[2021:04:28-02:16:28]  (Local) -> (LOCAL)[1]Yesid[CDG]: mano toma te presto mi carro
[2021:04:28-02:16:29]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: q
[2021:04:28-02:16:29]  (Local) -> (LOCAL)[4]Its_Garz[GT]: alguien necesita cura?
[2021:04:28-02:16:32]  (Local) -> (LOCAL)[4]aspiriina||EVG||: costeño
[2021:04:28-02:16:33]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#9800D1Balaclava|#9800D1GDT!: los chamos que no saben usar /ignore
[2021:04:28-02:16:33]  (Global) -> crjs'2cb: lloreme mas
[2021:04:28-02:16:33]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FFFF00GordoBM: perne
[2021:04:28-02:16:36]  (Global) -> AmericaDeCali|Z: alexispageconmacros venga espetee jajaja
[2021:04:28-02:16:36]  (Global) -> #1D1D1DCrudoMa'G'|#1D1D1D連EP合: XD
[2021:04:28-02:16:37]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: hable
[2021:04:28-02:16:37]  (Local) -> (LOCAL)[3]JuanPablo|Z: a
[2021:04:28-02:16:37]  (Local) -> (LOCAL)[1]BajaPantys420|4k: quitese
[2021:04:28-02:16:39]  (Local) -> (LOCAL)[1]Yesid[CDG]: espere
[2021:04:28-02:16:39]  (Global) -> *BCN*oscar: gracias
[2021:04:28-02:16:40]  (Local) -> (LOCAL)[4]CrudoMa'G': aa
[2021:04:28-02:16:41]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: xdd ps con animaciones
[2021:04:28-02:16:41]  (Local) -> (LOCAL)[4]CrudoMa'G': hola
[2021:04:28-02:16:43]  (Local) -> (LOCAL)[4]CrudoMa'G': hola
[2021:04:28-02:16:43]  (Local) -> (LOCAL)[1]Felipe-L: pa esoere
[2021:04:28-02:16:44]  (Local) -> (LOCAL)[4]CrudoMa'G': xd
[2021:04:28-02:16:45]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: xddd
[2021:04:28-02:16:45]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#9800D1Balaclava|#9800D1GDT!: les hago un comando para ignorar
[2021:04:28-02:16:45]  (Local) -> (LOCAL)[2]BajaPantys420|4k: pa donde va
[2021:04:28-02:16:46]  (Local) -> (LOCAL)[1]Yesid[CDG]: y se lo arreglo
[2021:04:28-02:16:47]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#9800D1Balaclava|#9800D1GDT!: no lo usan
[2021:04:28-02:16:50]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: sencillamente
[2021:04:28-02:16:51]  (Local) -> (LOCAL)[2]Felipe-L: devualva se
[2021:04:28-02:16:51]  (Local) -> (LOCAL)[2]Yesid[CDG]: ya
[2021:04:28-02:16:53]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: CVR
[2021:04:28-02:16:55]  (Local) -> (LOCAL)[1]BajaPantys420|4k: no
[2021:04:28-02:16:56]  (Local) -> (LOCAL)[5]aspiriina||EVG||: costeño
[2021:04:28-02:16:56]  (Team - Law Enforcement) -> (TEAM)Juancho'2cb: /ignore Balaclava
[2021:04:28-02:16:57]  (Global) -> JuanPablo|Z|#CBCBCBЯN: Balaclava q comando
[2021:04:28-02:16:58]  (Global) -> Eusebio'2cb: qaL ES
[2021:04:28-02:16:59]  (Local) -> (LOCAL)[1]Felipe-L: un momento
[2021:04:28-02:17:00]  (Global) -> Nicole:): quite eso
[2021:04:28-02:17:01]  (Local) -> (LOCAL)[1]Juanda:2cb: sabes cuantopaganpor este trabajo¿
[2021:04:28-02:17:04]  (Local) -> (LOCAL)[2]Yesid[CDG]: cojalo
[2021:04:28-02:17:04]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: -/ignore
[2021:04:28-02:17:04]  (Global) -> *BCN*oscar: gracias 
[2021:04:28-02:17:05]  (Global) -> #7F7F7F|ADM|#FFFF00Ash-Chirri||EVG||: jkasjaskasjask el juancho
[2021:04:28-02:17:05]  (Local) -> (LOCAL)[1]BajaPantys420|4k: xd
[2021:04:28-02:17:08]  (Local) -> (LOCAL)[0]Eusebio'2cb: uf
[2021:04:28-02:17:08]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: ./ignore Balaclava
[2021:04:28-02:17:08]  (Global) -> BugeadorHitbox|#18AED9カプガン: hey bala bania a america q usa meros macros pal pvp
[2021:04:28-02:17:09]  (Global) -> Eusebio'2cb: uf
[2021:04:28-02:17:11]  (Local) -> (LOCAL)[1]BajaPantys420|4k: sube
[2021:04:28-02:17:11]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: 7ignore Nicole:)
[2021:04:28-02:17:11]  (Local) -> (LOCAL)[6]Its_Garz[GT]: meche lo curo
[2021:04:28-02:17:13]  (Global) -> *BCN*oscar: voy a trabajar
[2021:04:28-02:17:16]  (Global) -> Luis|CDG||#F1F1F1ঔৣ☬: xd
[2021:04:28-02:17:17]  (Global) -> Nicole:): ./ignore alexispajas
[2021:04:28-02:17:17]  (Local) -> (LOCAL)[1]Felipe-L: no ya no xd
[2021:04:28-02:17:18]  (Global) -> MarcelJose||Z||: a
[2021:04:28-02:17:22]  (Global) -> Juanma'ELN|#5EF5F7������:  #00ff00 ( ͠; ᴥ ͠;)?
[2021:04:28-02:17:23]  (Local) -> (LOCAL)[8]Its_Garz[GT]: oie
[2021:04:28-02:17:23]  (Global) -> Luis|CDG||#F1F1F1ঔৣ☬: uy
[2021:04:28-02:17:25]  (Global) -> ZETORRO[CDG]: j
[2021:04:28-02:17:26]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: -/deignorar
[2021:04:28-02:17:26]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: BugeadorHitbox[6] pruebas argumentos
[2021:04:28-02:17:28]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: XDDDDDDD
[2021:04:28-02:17:29]  (Global) -> Nicole:): a mi ya me ignora
[2021:04:28-02:17:30]  (Local) -> (LOCAL)[2]JuanPablo|Z: vamo a ignorar a Juanma
[2021:04:28-02:17:31]  (Global) -> Thean_Wolf|#F1F1F1ঔৣ☬: #0000ff✖#ff00ff‿#0000ff✖  
[2021:04:28-02:17:31]  (Global) -> Nicole:): xd
[2021:04:28-02:17:32]  (Local) -> (LOCAL)[1]braiderandres: ola
[2021:04:28-02:17:33]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: esoile
[2021:04:28-02:17:34]  (Local) -> (LOCAL)[1]Avalencia: Ola
[2021:04:28-02:17:35]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: wait
[2021:04:28-02:17:37]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: Comoo designoro aun chamo?
[2021:04:28-02:17:40]  (Local) -> (LOCAL)[1]braiderandres: si
[2021:04:28-02:17:42]  (Global) -> Juanma'ELN|#5EF5F7������: BajaPa
[2021:04:28-02:17:42]  (Local) -> (LOCAL)[2]JuanPablo|Z: siiii
[2021:04:28-02:17:55]  (Global) -> Juanma'ELN|#5EF5F7������: Balaclava[1] ya lo use jajaj
[2021:04:28-02:17:55]  (Local) -> (LOCAL)[0]ZETORRO[CDG]: kkkk
[2021:04:28-02:17:59]  (Local) -> (LOCAL)[8]Its_Garz[GT]: AJAJ
[2021:04:28-02:18:00]  (Global) -> PePe: haciendo la deschimonisacion
[2021:04:28-02:18:03]  (Global) -> BugeadorHitbox|#18AED9カプガン: zzz
[2021:04:28-02:18:04]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: a
[2021:04:28-02:18:04]  (Global) -> JuanPablo|Z|#CBCBCBЯN: SIIIIII+
[2021:04:28-02:18:06]  (Local) -> (LOCAL)[1]Avalencia: Decime pa
[2021:04:28-02:18:09]  (Local) -> (LOCAL)[4]MarcelJose||Z||: socio
[2021:04:28-02:18:13]  (Local) -> (LOCAL)[1]braiderandres: ya
[2021:04:28-02:18:14]  (Local) -> (LOCAL)[1]Juanda:2cb: nicole
[2021:04:28-02:18:15]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: NOOOOOOOOOOOOOO
[2021:04:28-02:18:17]  (Global) -> PePe: naaaa ya se puso a chimbiar balacalva
[2021:04:28-02:18:18]  (Local) -> (LOCAL)[1]braiderandres: solo un pico
[2021:04:28-02:18:19]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: no que
[2021:04:28-02:18:19]  (Global) -> JuanPablo|Z|#CBCBCBЯN: SIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
[2021:04:28-02:18:19]  (Local) -> (LOCAL)[5]Its_Garz[GT]: me pego a mi :)
[2021:04:28-02:18:19]  (Local) -> (LOCAL)[1]MarcelJose||Z||: le doy 45k si se deja arrestar
[2021:04:28-02:18:20]  (Local) -> (LOCAL)[1]Nicole:): que
[2021:04:28-02:18:20]  (Global) -> BugeadorHitbox|#18AED9カプガン: solo cbgu
[2021:04:28-02:18:22]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: deje de hacer anim
[2021:04:28-02:18:22]  (Local) -> (LOCAL)[1]Avalencia: JAJAJAJAJJAA
[2021:04:28-02:18:23]  (Global) -> Its_Garz[GT]: :(
[2021:04:28-02:18:24]  (Local) -> (LOCAL)[1]Juanda:2cb: sabes cuantopagan por este trabajo?
[2021:04:28-02:18:24]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: nooooooooooooooooooooooooooo
[2021:04:28-02:18:25]  (Global) -> Topo[Z]: te amo bala
[2021:04:28-02:18:26]  (Local) -> (LOCAL)[1]braiderandres: si quiere mas tiene que pagar
[2021:04:28-02:18:27]  (Global) -> JuanPablo|Z|#CBCBCBЯN: PePe callate pirobo y aprende a jugar con cbug
[2021:04:28-02:18:27]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: sin cbug
[2021:04:28-02:18:27]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: Ahora tengo que q desactivar las macros
[2021:04:28-02:18:28]  (Global) -> Alberto_ValamadreCDG: Bresss
[2021:04:28-02:18:28]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: naa
[2021:04:28-02:18:28]  (Local) -> (LOCAL)[1]Juanda:2cb: este teclado
[2021:04:28-02:18:28]  (Local) -> (LOCAL)[1]Nicole:): bastante
[2021:04:28-02:18:29]  (Local) -> (LOCAL)[1]Avalencia: JAJAJAJAJJAA
[2021:04:28-02:18:30]  (Global) -> Felipe's: Entonces Nicole que hay pa hacer?
[2021:04:28-02:18:32]  (Global) -> DJCareCaldo'2cb: q hizo bala
[2021:04:28-02:18:33]  (Global) -> JuanPablo|Z|#CBCBCBЯN: solo gente con  cbug
[2021:04:28-02:18:34]  (Local) -> (LOCAL)[1]Juanda:2cb: ojala
[2021:04:28-02:18:34]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: hagase aca
[2021:04:28-02:18:35]  (Local) -> (LOCAL)[1]Avalencia: Vemos
[2021:04:28-02:18:36]  (Global) -> Topo[Z]: te amo bala
[2021:04:28-02:18:37]  (Global) -> Juanma'ELN|#5EF5F7������: quite se cbug
[2021:04:28-02:18:39]  (Global) -> Jotapopo: ola
[2021:04:28-02:18:40]  (Local) -> (LOCAL)[0]braiderandres: todo bien pa
[2021:04:28-02:18:43]  (Local) -> (LOCAL)[1]MarcelJose||Z||: assa sdaw
[2021:04:28-02:18:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00alexispageconmacros: galae rapido
[2021:04:28-02:18:46]  (Global) -> Nicole:): Trabajar mijo que la plata no llega sola
[2021:04:28-02:18:48]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||DJ|#FF5C00alexispageconmacros: aso
[2021:04:28-02:18:49]  (Global) -> BugeadorHitbox|#18AED9カプガン: me gano solo por el cbug
[2021:04:28-02:18:50]  (Local) -> (LOCAL)[1]Juanda:2cb: no
[2021:04:28-02:18:50]  (Global) -> BugeadorHitbox|#18AED9カプガン: zzz
[2021:04:28-02:18:53]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: y q
[2021:04:28-02:18:53]  (Local) -> (LOCAL)[2]MarcelJose||Z||: ya los mando
[2021:04:28-02:18:57]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: alexispageconmacros duelo y le enseño
[2021:04:28-02:18:57]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: flamer
[2021:04:28-02:18:57]  (Global) -> Topo[Z]: te amo bala
[2021:04:28-02:18:58]  (Global) -> BugeadorHitbox|#18AED9カプガン: es trampa
[2021:04:28-02:18:58]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: xd
[2021:04:28-02:18:58]  (Local) -> (LOCAL)[7]Eusebio'2cb: ey q
[2021:04:28-02:19:02]  (Global) -> Felipe's: Breve ya llego pues!
[2021:04:28-02:19:03]  (Global) -> BugeadorHitbox|#18AED9カプガン: pq yo no se como hacer cbug+
[2021:04:28-02:19:10]  (Global) -> JuanPablo|Z|#CBCBCBЯN: nah Prenda cbug Balaclava[3]
[2021:04:28-02:19:11]  (Local) -> (LOCAL)[3]TiroFijo420-DjBass'2cB: jajajaj
[2021:04:28-02:19:15]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: BugeadorHitbox[6] literalmente a  nadie le importa eso XD tiene que aprender añksdjasdkla
[2021:04:28-02:19:19]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: men
[2021:04:28-02:19:20]  (Local) -> (LOCAL)[3]TiroFijo420-DjBass'2cB: por ponerse a chimbiar
[2021:04:28-02:19:21]  (Global) -> Topo[Z]: te amo bala
[2021:04:28-02:19:21]  (Global) -> we1324: j
[2021:04:28-02:19:23]  (Global) -> BugeadorHitbox|#18AED9カプガン: sapo
[2021:04:28-02:19:25]  (Local) -> (LOCAL)[1]Camilolindo|2cb: q
[2021:04:28-02:19:27]  (Global) -> FilthyEel57: lol
[2021:04:28-02:19:28]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: alguna animacion
[2021:04:28-02:19:28]  (Global) -> Topo[Z]: te amo balacalva
[2021:04:28-02:19:28]  (Global) -> BugeadorHitbox|#18AED9カプガン: no estoy hablando contigo
[2021:04:28-02:19:29]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: tu pones nitro?
[2021:04:28-02:19:32]  (Global) -> BugeadorHitbox|#18AED9カプガン: zzz
[2021:04:28-02:19:33]  (Local) -> (LOCAL)[1]Rxcha'Z: mo
[2021:04:28-02:19:34]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: pa q me pongasas una pata en el hombro xdx
[2021:04:28-02:19:36]  (Local) -> (LOCAL)[1]Camilolindo|2cb: no tengo ese rango todavia
[2021:04:28-02:19:38]  (Local) -> (LOCAL)[2]Juanda:2cb: llegopipe buneo
[2021:04:28-02:19:41]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: ah entiendo
[2021:04:28-02:19:42]  (Local) -> (LOCAL)[2]Juanda:2cb: bueno* XD
[2021:04:28-02:19:43]  (Local) -> (LOCAL)[3]Its_Garz[GT]: EPA
[2021:04:28-02:19:43]  (Local) -> (LOCAL)[2]AmericaDeCali|Z: xd
[2021:04:28-02:19:44]  (Local) -> (LOCAL)[1]CrudoMa'G': xdddd
[2021:04:28-02:19:44]  (Local) -> (LOCAL)[1]Rxcha'Z: mor
[2021:04:28-02:19:45]  (Local) -> (LOCAL)[2]Felipe's: sobelo
[2021:04:28-02:19:45]  (Local) -> (LOCAL)[2]Nicole:): XD
[2021:04:28-02:19:47]  (Local) -> (LOCAL)[2]Felipe's: sobelo
[2021:04:28-02:19:50]  (Global) -> Toreto: ?
[2021:04:28-02:19:51]  (Local) -> (LOCAL)[2]Nicole:): sobelo
[2021:04:28-02:19:51]  (Local) -> (LOCAL)[2]Juanda:2cb: sobelo sobelo
[2021:04:28-02:19:53]  (Local) -> (LOCAL)[4]ShadowHunter[EVG]: ah gonorrea
[2021:04:28-02:19:54]  (Local) -> (LOCAL)[4]MarcelJose||Z||: xd
[2021:04:28-02:19:54]  (Local) -> (LOCAL)[1]Toreto: ?
[2021:04:28-02:19:55]  (Local) -> (LOCAL)[1]Rxcha'Z: Toreto?
[2021:04:28-02:19:58]  (Local) -> (LOCAL)[4]ShadowHunter[EVG]: gonorrientos
[2021:04:28-02:19:59]  (Local) -> (LOCAL)[1]CrudoMa'G': una pata en el hombro?
[2021:04:28-02:20:00]  (Local) -> (LOCAL)[4]Its_Garz[GT]: dimelo
[2021:04:28-02:20:00]  (Local) -> (LOCAL)[4]MELINA666$$$$$$$$$$$$: AMIGO ramno
[2021:04:28-02:20:03]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: seeh
[2021:04:28-02:20:05]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: ._.¨
[2021:04:28-02:20:05]  ([Msg] de Juanma'ELN para AmericaDeCali|Z: siga matandome arrestado pa volverlo a reportar) -> nil
[2021:04:28-02:20:06]  (Local) -> (LOCAL)[1]CrudoMa'G': quieto
[2021:04:28-02:20:07]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00GordoBM: pere sapa
[2021:04:28-02:20:08]  (Local) -> (LOCAL)[2]Felipe's: Cuidado me llama para trabajar pues
[2021:04:28-02:20:11]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: como que yo lo mate con exeplosion XD?
[2021:04:28-02:20:12]  (Global) -> Topo[Z]: Ya lo quito
[2021:04:28-02:20:13]  (Local) -> (LOCAL)[2]Its_Garz[GT]: ope
[2021:04:28-02:20:14]  (Local) -> (LOCAL)[2]aspiriina||EVG||: sapa perra
[2021:04:28-02:20:15]  (Global) -> AmericaDeCali|Z: Juanma'ELN[1] llore
[2021:04:28-02:20:15]  (Global) -> Topo[Z]: Que gay
[2021:04:28-02:20:17]  (Local) -> (LOCAL)[2]Juanda:2cb: ya q
[2021:04:28-02:20:20]  (Local) -> (LOCAL)[2]Its_Garz[GT]: oe
[2021:04:28-02:20:20]  (Global) -> Juancho'2cb: ShadowHunter[EVG][1] AHAHAHAH
[2021:04:28-02:20:23]  (Local) -> (LOCAL)[2]Juanda:2cb: :c
[2021:04:28-02:20:24]  (Local) -> (LOCAL)[2]FilthyEel57: hola
[2021:04:28-02:20:25]  (Local) -> (LOCAL)[2]Felipe's: Cual ya que mijo
[2021:04:28-02:20:26]  (Global) -> Topo[Z]: No me dejo hacer ni un /duelo
[2021:04:28-02:20:27]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: ee
[2021:04:28-02:20:28]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: Juancho'2cb mi cara cuando 
[2021:04:28-02:20:30]  (Local) -> (LOCAL)[1]Its_Garz[GT]: venga
[2021:04:28-02:20:30]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: Juancho'2cb mi cara cuando 
[2021:04:28-02:20:35]  (Local) -> (LOCAL)[3]Juanda:2cb: espere q temrine turno
[2021:04:28-02:20:37]  (Global) -> ZETORRO[CDG]: kkkkkk
[2021:04:28-02:20:38]  (Global) -> BugeadorHitbox|#18AED9カプガン: bala como es pvp con macros
[2021:04:28-02:20:39]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: xd
[2021:04:28-02:20:40]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: mi pana BugeadorHitbox[6] probando el aimbot
[2021:04:28-02:20:41]  (Global) -> Juancho'2cb: cule risa
[2021:04:28-02:20:41]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: relajado
[2021:04:28-02:20:42]  (Global) -> BugeadorHitbox|#18AED9カプガン: :$
[2021:04:28-02:20:43]  (Team - Emergency) -> (TEAM)Its_Garz[GT]: lo curo
[2021:04:28-02:20:43]  (Local) -> (LOCAL)[2]Juanda:2cb: termine*
[2021:04:28-02:20:44]  (Local) -> (LOCAL)[2]MELINA666$$$$$$$$$$$$: oe
[2021:04:28-02:20:44]  (Local) -> (LOCAL)[2]Felipe's: jajaaja xd
[2021:04:28-02:20:44]  (Global) -> leiton: quien me vende un carro o moto para pagarlo a cuotas porfavor lo nesecito
[2021:04:28-02:20:48]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: ese shunen vive mas en la carcel que jugando
[2021:04:28-02:20:48]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: quien vende camion ???
[2021:04:28-02:20:49]  (Local) -> (LOCAL)[1]Fabius'2cB: a
[2021:04:28-02:20:50]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispageconmacros|#9800D1GDT!: XDDDDDDDDDDDDD
[2021:04:28-02:20:51]  (Local) -> (LOCAL)[1]MELINA666$$$$$$$$$$$$: soy Juan Cardon
[2021:04:28-02:20:53]  (Local) -> (LOCAL)[2]Juanda:2cb: como sea no se como es este trabajo
[2021:04:28-02:20:54]  (Local) -> (LOCAL)[2]Juanda:2cb: xd
[2021:04:28-02:20:55]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: ud se está buscando un ban
[2021:04:28-02:20:57]  (Local) -> (LOCAL)[3]PePe: la buena
[2021:04:28-02:20:58]  (Local) -> (LOCAL)[2]Thean_Wolf: TiroFijo420-DjBass'2cB envidioso
[2021:04:28-02:20:59]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1Balaclava|#9800D1GDT!: mal buscado 
[2021:04:28-02:21:01]  (Local) -> (LOCAL)[3]Its_Garz[GT]: ale
[2021:04:28-02:21:02]  (Global) -> Rolando_Motta"2cb: andres donde anda?
[2021:04:28-02:21:03]  (Global) -> ShadowHunter[EVG]|#18AED9カプガン: alexispageconmacros es que sali y entre 2 me acozaorn x
[2021:04:28-02:21:03]  (Global) -> DJCareCaldo'2cb: añañai
[2021:04:28-02:21:05]  (Global) -> DJCareCaldo'2cb: amenazado
[2021:04:28-02:21:07]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispagedj-CDG|#9800D1GDT!: xd
[2021:04:28-02:21:08]  (Local) -> (LOCAL)[2]Felipe's: Nicole llevo toda la hpt tarde disque esperandola ajajajaaaja
[2021:04:28-02:21:08]  (Global) -> BugeadorHitbox|#18AED9カプガン: amigo yo no uso macros
[2021:04:28-02:21:09]  (Global) -> Topo[Z]: Añañau
[2021:04:28-02:21:14]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: en el aeropuerto
[2021:04:28-02:21:15]  (Global) -> Jotapopo: ./resign
[2021:04:28-02:21:16]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C002cbinds_Haski: esta
[2021:04:28-02:21:18]  (Local) -> (LOCAL)[3]Juanda:2cb: ajsajsjas
[2021:04:28-02:21:18]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispagedj-CDG|#9800D1GDT!: q
[2021:04:28-02:21:18]  (Local) -> (LOCAL)[0]Rolando_Motta"2cb: lleguese aca
