This file was generated by Console at 2021:03:29-00:00:12



[2021:03:29-00:00:12]  (Local) -> (LOCAL)[3]KiraOwO~Capu: agh
[2021:03:29-03:10:08]  (Local) -> (LOCAL)[1]0000000000dilan: como se hace
[2021:03:29-03:10:09]  (Global) -> mata|#E20280 ඞ: rata
[2021:03:29-03:10:10]  (Local) -> (LOCAL)[2]Juanma_ELN: haga algo productivo fonorrea
[2021:03:29-03:10:10]  (Local) -> (LOCAL)[1]0000000000dilan: yonose como
[2021:03:29-03:10:11]  (Local) -> (LOCAL)[6]KiraOwO~Capu: ramtam
[2021:03:29-03:10:11]  (Global) -> SANTI[RG4]: eso tan feo
[2021:03:29-03:10:12]  (Local) -> (LOCAL)[1]W4LT3R---: con touge
[2021:03:29-03:10:13]  (Global) -> mata|#E20280 ඞ: com ais
[2021:03:29-03:10:13]  (Local) -> (LOCAL)[2]Vlankillo: jasjsajsjajas
[2021:03:29-03:10:15]  (Local) -> (LOCAL)[3]C4rtex: uy kieto
[2021:03:29-03:10:16]  (Local) -> (LOCAL)[1]W4LT3R---: xd
[2021:03:29-03:10:17]  (Local) -> (LOCAL)[3]C4rtex: a puños
[2021:03:29-03:10:19]  (Local) -> (LOCAL)[1]0000000000dilan: ya no sirve
[2021:03:29-03:10:20]  (Global) -> felip: jajajjajja
[2021:03:29-03:10:21]  (Local) -> (LOCAL)[4]Juanma_ELN: jjaajajaja
[2021:03:29-03:10:21]  (Local) -> (LOCAL)[1]0000000000dilan: el tougue
[2021:03:29-03:10:21]  (Local) -> (LOCAL)[3]C4rtex: si es barbaro hp
[2021:03:29-03:10:21]  (Local) -> (LOCAL)[1]W4LT3R---: si
[2021:03:29-03:10:25]  (Local) -> (LOCAL)[1]0000000000dilan: no
[2021:03:29-03:10:26]  (Local) -> (LOCAL)[1]W4LT3R---: con drift
[2021:03:29-03:10:28]  (Local) -> (LOCAL)[1]W4LT3R---: bobolon
[2021:03:29-03:10:31]  (Global) -> Deybi_Ruiz: oe
[2021:03:29-03:10:31]  (Local) -> (LOCAL)[1]0000000000dilan: a :v
[2021:03:29-03:10:38]  (Global) -> Deybi_Ruiz: cuanto por esa?
[2021:03:29-03:10:39]  (Local) -> (LOCAL)[1]0000000000dilan: nadie se da cuenta?
[2021:03:29-03:10:39]  (Global) -> malo'2cb: jjjjjj
[2021:03:29-03:10:43]  (Global) -> SANTI[RG4]: vaya en el mio
[2021:03:29-03:10:43]  (Local) -> (LOCAL)[2]Vlankillo: maneje
[2021:03:29-03:10:44]  (Local) -> (LOCAL)[4]W4LT3R---: y ami que me importa
[2021:03:29-03:10:49]  (Local) -> (LOCAL)[4]0000000000dilan: XDD
[2021:03:29-03:10:51]  (Local) -> (LOCAL)[2]Juanma_ELN: isk ganga el coco
[2021:03:29-03:10:56]  (Local) -> (LOCAL)[2]Vlankillo: qjeso
[2021:03:29-03:10:58]  (Local) -> (LOCAL)[8]Hoka'DeTemeer~: chagua con aji
[2021:03:29-03:10:59]  (Local) -> (LOCAL)[6]W4LT3R---: si ve
[2021:03:29-03:11:02]  (Local) -> (LOCAL)[6]W4LT3R---: no acepte
[2021:03:29-03:11:04]  (Local) -> (LOCAL)[2]Juanma_ELN: una ganga
[2021:03:29-03:11:05]  (Local) -> (LOCAL)[2]Vlankillo: mi jeva pq se fue con ese man? grr
[2021:03:29-03:11:05]  (Local) -> (LOCAL)[1]Caceres|AUC: pvp
[2021:03:29-03:11:08]  (Local) -> (LOCAL)[6]W4LT3R---: go
[2021:03:29-03:11:08]  (Local) -> (LOCAL)[8]KiraOwO~Capu: alguien vende algun rare?
[2021:03:29-03:11:08]  (Local) -> (LOCAL)[1]Caceres|AUC: a uzi
[2021:03:29-03:11:10]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: quiere q lo viole?
[2021:03:29-03:11:13]  (Local) -> (LOCAL)[2]Juanma_ELN: yo la veo ahi
[2021:03:29-03:11:16]  (Local) -> (LOCAL)[1]Caceres|AUC: y cbug
[2021:03:29-03:11:18]  (Local) -> (LOCAL)[2]Dayer_UwU: ajsja
[2021:03:29-03:11:18]  (Local) -> (LOCAL)[2]Vlankillo: ahora
[2021:03:29-03:11:18]  (Local) -> (LOCAL)[1]LeleElArmaSecreta(2cb): a desert?
[2021:03:29-03:11:20]  (Local) -> (LOCAL)[5]malo'2cb: este fan
[2021:03:29-03:11:20]  (Global) -> Buitre|sad|2cB|#E20280 ඞ: JAJAJAJAJAJAJAJAJA
[2021:03:29-03:11:23]  (Global) -> TheCrazyPipeNeXus: dilan:se le para y el prepusio no le baja
[2021:03:29-03:11:23]  (Local) -> (LOCAL)[2]Juanma_ELN: con quien?
[2021:03:29-03:11:23]  (Local) -> (LOCAL)[1]Caceres|AUC: epa
[2021:03:29-03:11:24]  (Local) -> (LOCAL)[2]malo'2cb: agff
[2021:03:29-03:11:25]  (Local) -> (LOCAL)[2]Dayer_UwU: y que queria que hiciera?
[2021:03:29-03:11:27]  (Local) -> (LOCAL)[3]Oreo^--------^: ?
[2021:03:29-03:11:28]  (Local) -> (LOCAL)[3]Pain: a pa saber
[2021:03:29-03:11:29]  (Local) -> (LOCAL)[2]Vlankillo: oreo
[2021:03:29-03:11:29]  (Local) -> (LOCAL)[3]Peyeta'AUC: xd
[2021:03:29-03:11:30]  (Local) -> (LOCAL)[3]malo'2cb: ?
[2021:03:29-03:11:32]  (Global) -> ElVisajoso: admin
[2021:03:29-03:11:32]  (Local) -> (LOCAL)[1]LeleElArmaSecreta(2cb): pere
[2021:03:29-03:11:32]  (Local) -> (LOCAL)[2]Vlankillo: ah, perdon
[2021:03:29-03:11:32]  (Local) -> (LOCAL)[2]Juanma_ELN: yyy
[2021:03:29-03:11:33]  (Local) -> (LOCAL)[2]Pain: tombo pirobo
[2021:03:29-03:11:34]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: q
[2021:03:29-03:11:35]  (Local) -> (LOCAL)[2]Juanma_ELN: con un tombo
[2021:03:29-03:11:38]  (Local) -> (LOCAL)[8]Hoka'DeTemeer~: e
[2021:03:29-03:11:39]  (Local) -> (LOCAL)[2]Vlankillo: imaginate
[2021:03:29-03:11:40]  (Local) -> (LOCAL)[2]Dayer_UwU: mmmm
[2021:03:29-03:11:41]  (Global) -> SalenlomasCHIMBA: ._.
[2021:03:29-03:11:42]  (Local) -> (LOCAL)[3]C4rtex: bueno
[2021:03:29-03:11:43]  (Local) -> (LOCAL)[1]LeleElArmaSecreta(2cb): j
[2021:03:29-03:11:45]  (Local) -> (LOCAL)[2]C4rtex: me pele a uno
[2021:03:29-03:11:48]  (Local) -> (LOCAL)[2]C4rtex: a este
[2021:03:29-03:11:48]  (Local) -> (LOCAL)[2]Juanma_ELN: uuuuuu
[2021:03:29-03:11:49]  (Local) -> (LOCAL)[9]Hoka'DeTemeer~: que gang
[2021:03:29-03:11:50]  (Local) -> (LOCAL)[9]Hoka'DeTemeer~: sos
[2021:03:29-03:11:50]  (Local) -> (LOCAL)[2]Dayer_UwU: ud tambien es tombo
[2021:03:29-03:11:50]  (Local) -> (LOCAL)[3]C4rtex: hagalo pa
[2021:03:29-03:11:50]  (Local) -> (LOCAL)[2]Juanma_ELN: que mala
[2021:03:29-03:11:52]  (Local) -> (LOCAL)[9]HanzuCantPlayCVR: gang de q
[2021:03:29-03:11:52]  (Local) -> (LOCAL)[3]0000000000dilan: no sirvce
[2021:03:29-03:11:54]  (Local) -> (LOCAL)[3]W4LT3R---: XD
[2021:03:29-03:11:55]  (Local) -> (LOCAL)[3]C4rtex: no copeo
[2021:03:29-03:11:56]  (Local) -> (LOCAL)[9]Hoka'DeTemeer~: gang
[2021:03:29-03:11:56]  (Local) -> (LOCAL)[9]HanzuCantPlayCVR: no tengo
[2021:03:29-03:11:58]  (Local) -> (LOCAL)[4]C4rtex: le di su pela
[2021:03:29-03:11:58]  (Local) -> (LOCAL)[2]Vlankillo: nombe
[2021:03:29-03:11:59]  (Local) -> (LOCAL)[8]Hoka'DeTemeer~: ahok
[2021:03:29-03:11:59]  (Local) -> (LOCAL)[4]PATAS|AUC: a
[2021:03:29-03:12:00]  (Local) -> (LOCAL)[1]Polo: ola
[2021:03:29-03:12:04]  (Global) -> el_mono(YK): tombos hijueputas
[2021:03:29-03:12:05]  (Local) -> (LOCAL)[4]C4rtex: jiji
[2021:03:29-03:12:07]  (Local) -> (LOCAL)[4]PATAS|AUC: pues si usted dijo que a puños ._.
[2021:03:29-03:12:08]  (Local) -> (LOCAL)[0]GOMITA0810|Z: CrudoDeCumple hacemos el party debajo del agua ya? o enseguidita?
[2021:03:29-03:12:12]  (Local) -> (LOCAL)[4]W4LT3R---: cojanos
[2021:03:29-03:12:12]  (Local) -> (LOCAL)[4]RataDe'Follar: ?
[2021:03:29-03:12:13]  (Local) -> (LOCAL)[3]Barryseal: ola
[2021:03:29-03:12:13]  (Local) -> (LOCAL)[2]Dayer_UwU: jumm
[2021:03:29-03:12:15]  (Local) -> (LOCAL)[2]Vlankillo: no respeta
[2021:03:29-03:12:15]  (Local) -> (LOCAL)[3]RataDe'Follar: dimlam
[2021:03:29-03:12:18]  (Local) -> (LOCAL)[4]RataDe'Follar: decile
[2021:03:29-03:12:18]  (Local) -> (LOCAL)[3]0000000000dilan: cojenos
[2021:03:29-03:12:19]  (Local) -> (LOCAL)[3]C4rtex: ahi pa la gaseosa
[2021:03:29-03:12:20]  (Local) -> (LOCAL)[1]LeleElArmaSecreta(2cb): aca
[2021:03:29-03:12:21]  (Local) -> (LOCAL)[3]C4rtex: tdbn
[2021:03:29-03:12:22]  (Local) -> (LOCAL)[4]0000000000dilan: carlos
[2021:03:29-03:12:27]  (Local) -> (LOCAL)[5]0000000000dilan: suelte a rata
[2021:03:29-03:12:27]  (Local) -> (LOCAL)[2]Dayer_UwU: perdoneme ps
[2021:03:29-03:12:27]  (Local) -> (LOCAL)[3]PATAS|AUC: oko
[2021:03:29-03:12:29]  (Local) -> (LOCAL)[1]Caceres|AUC: oe
[2021:03:29-03:12:30]  (Global) -> BARCA: a
[2021:03:29-03:12:32]  (Global) -> XanCallejas: admis me pueden ayudar?
[2021:03:29-03:12:33]  (Local) -> (LOCAL)[1]LeleElArmaSecreta(2cb): dime
[2021:03:29-03:12:35]  (Local) -> (LOCAL)[1]Caceres|AUC: sullte botiques
[2021:03:29-03:12:36]  (Local) -> (LOCAL)[5]W4LT3R---: suelte a rata
[2021:03:29-03:12:38]  (Local) -> (LOCAL)[2]Juanma_ELN: ahora tiene que matar a el tombo
[2021:03:29-03:12:38]  (Local) -> (LOCAL)[1]el_mono(YK): puto clan de mrd
[2021:03:29-03:12:40]  (Local) -> (LOCAL)[2]Juanma_ELN: ese
[2021:03:29-03:12:40]  (Global) -> ALIAS_CABO[2cb]: oe
[2021:03:29-03:12:41]  (Local) -> (LOCAL)[3]C4rtex: tome pa
[2021:03:29-03:12:41]  (Local) -> (LOCAL)[3]RataDe'Follar: xxxxxxxxxxxxxd
[2021:03:29-03:12:41]  (Local) -> (LOCAL)[2]Caceres|AUC: cibu?
[2021:03:29-03:12:42]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez|#5723FEGDT!: Que te paso XanCallejas
[2021:03:29-03:12:45]  (Local) -> (LOCAL)[2]Vlankillo: ahg
[2021:03:29-03:12:47]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: te encanta matar arrestados, gordo gafufo
[2021:03:29-03:12:48]  (Local) -> (LOCAL)[3]RataDe'Follar: ui keito
[2021:03:29-03:12:49]  (Global) -> TheCrazyPipeNeXus: Jimeneeeez
[2021:03:29-03:12:50]  (Local) -> (LOCAL)[5]GOMITA0810|Z: CrudoDeCumple hacemos el party debajo del agua ya? o enseguidita?
[2021:03:29-03:12:51]  (Local) -> (LOCAL)[1]Roco||AUC||: a
[2021:03:29-03:12:53]  (Local) -> (LOCAL)[2]Vlankillo: ahora esta con el
[2021:03:29-03:12:54]  (Global) -> TheCrazyPipeNeXus: el smart game no sale como macroÇ?
[2021:03:29-03:12:56]  (Local) -> (LOCAL)[10]KiraOwO~Capu: quien pa pvp a desert
[2021:03:29-03:12:56]  (Local) -> (LOCAL)[5]GOMITA0810|Z: xD
[2021:03:29-03:12:57]  (Local) -> (LOCAL)[2]LeleElArmaSecreta(2cb): ja
[2021:03:29-03:13:01]  (Global) -> Satake|#5EF5F7������: Me encanta 
[2021:03:29-03:13:01]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00CrudoDeCumple: pera q viene la devuelta
[2021:03:29-03:13:03]  (Local) -> (LOCAL)[2]Dayer_UwU: no
[2021:03:29-03:13:04]  (Local) -> (LOCAL)[2]Juanma_ELN: ahora nos vende
[2021:03:29-03:13:04]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: se nota
[2021:03:29-03:13:06]  (Local) -> (LOCAL)[2]Caceres|AUC: gracias
[2021:03:29-03:13:06]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: jjjjj
[2021:03:29-03:13:07]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00CrudoDeCumple: de aqui a groove
[2021:03:29-03:13:07]  (Global) -> Satake|#5EF5F7������: Que rico parce
[2021:03:29-03:13:07]  (Local) -> (LOCAL)[2]Vlankillo: ah no
[2021:03:29-03:13:07]  (Local) -> (LOCAL)[2]Dayer_UwU: ño
[2021:03:29-03:13:09]  (Local) -> (LOCAL)[2]Caceres|AUC: quedese aqui
[2021:03:29-03:13:10]  (Local) -> (LOCAL)[5]GOMITA0810|Z: jajajajjaja
[2021:03:29-03:13:11]  (Global) -> TheCrazyPipeNeXus: a sobarlooooooooo
[2021:03:29-03:13:13]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: sisas tambien es rico su mama
[2021:03:29-03:13:14]  (Global) -> XanCallejas: se me perdieron las armas :/
[2021:03:29-03:13:14]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Jimenez: No nada
[2021:03:29-03:13:15]  (Global) -> #FF8CE70000000000dilan|#FF8CE7✿: :D
[2021:03:29-03:13:15]  (Local) -> (LOCAL)[1]el_mono(YK): gonorrea
[2021:03:29-03:13:17]  (Local) -> (LOCAL)[5]GOMITA0810|Z: ishh
[2021:03:29-03:13:18]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00CrudoDeCumple: en camion de bomberos
[2021:03:29-03:13:19]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Jimenez: Aqui parchado con la jeva
[2021:03:29-03:13:19]  (Global) -> el_mono(YK): mkon
[2021:03:29-03:13:22]  (Global) -> XanCallejas: no las tengo magicamente nea
[2021:03:29-03:13:23]  (Global) -> C4rtex: Nah q rogadera para todo xd
[2021:03:29-03:13:23]  (Local) -> (LOCAL)[5]GOMITA0810|Z: jajajja
[2021:03:29-03:13:24]  (Local) -> (LOCAL)[10]HanzuCantPlayCVR: hoka
[2021:03:29-03:13:25]  (Local) -> (LOCAL)[5]GOMITA0810|Z: sisas
[2021:03:29-03:13:26]  (Local) -> (LOCAL)[5]GOMITA0810|Z: sisasç
[2021:03:29-03:13:26]  (Local) -> (LOCAL)[4]W4LT3R---: matenos rata
[2021:03:29-03:13:28]  (Local) -> (LOCAL)[5]el_mono(YK): sapa hijueputa
[2021:03:29-03:13:28]  (Global) -> Satake|#5EF5F7������: me bugueo de la risa**
[2021:03:29-03:13:29]  (Local) -> (LOCAL)[9]Hoka'DeTemeer~: yo
[2021:03:29-03:13:29]  (Global) -> C4rtex: vayase pues pa su lado
[2021:03:29-03:13:29]  (Global) -> XanCallejas: :(
[2021:03:29-03:13:30]  (Local) -> (LOCAL)[4]W4LT3R---: pere
[2021:03:29-03:13:32]  (Local) -> (LOCAL)[5]Dayer_UwU: ajajajaaj
[2021:03:29-03:13:33]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Jimenez: No nada
[2021:03:29-03:13:34]  (Local) -> (LOCAL)[8]KiraOwO~Capu: rata
[2021:03:29-03:13:36]  (Local) -> (LOCAL)[2]Vlankillo: a
[2021:03:29-03:13:37]  (Local) -> (LOCAL)[2]Caceres|AUC: mk}
[2021:03:29-03:13:38]  (Local) -> (LOCAL)[7]HanzuCantPlayCVR: vamono
[2021:03:29-03:13:39]  (Local) -> (LOCAL)[4]W4LT3R---: xd
[2021:03:29-03:13:40]  (Local) -> (LOCAL)[3]Vlankillo: oreo
[2021:03:29-03:13:41]  (Global) -> davidAK: cabo es gay
[2021:03:29-03:13:42]  (Local) -> (LOCAL)[7]Hoka'DeTemeer~: A onde
[2021:03:29-03:13:42]  (Local) -> (LOCAL)[5]Beltrancho|EVG|: Firetruck
[2021:03:29-03:13:43]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00lauuu: aaa
[2021:03:29-03:13:45]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00lauuu: que pasa
[2021:03:29-03:13:46]  (Local) -> (LOCAL)[7]HanzuCantPlayCVR: a pvpiar
[2021:03:29-03:13:46]  (Local) -> (LOCAL)[5]Dayer_UwU: tan malo
[2021:03:29-03:13:48]  (Local) -> (LOCAL)[7]Hoka'DeTemeer~: te vas a meter a AUC?
[2021:03:29-03:13:49]  (Local) -> (LOCAL)[8]HanzuCantPlayCVR: a lv
[2021:03:29-03:13:50]  (Global) -> TheCrazyPipeNeXus: Bof quien llega a hospi a sobarlo
[2021:03:29-03:13:50]  (Local) -> (LOCAL)[2]PericoHpta|AUC: oe
[2021:03:29-03:13:54]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: XanCallejas es porque a usted lo mataron y se desconecto
[2021:03:29-03:13:55]  (Local) -> (LOCAL)[9]HanzuCantPlayCVR: pelao estoy en auc
[2021:03:29-03:13:55]  (Local) -> (LOCAL)[2]C4rtex: ñero
[2021:03:29-03:13:55]  (Local) -> (LOCAL)[4]W4LT3R---: dilan caremonda
[2021:03:29-03:13:57]  (Local) -> (LOCAL)[2]PericoHpta|AUC: Tqm
[2021:03:29-03:13:58]  (Local) -> (LOCAL)[10]Hoka'DeTemeer~: a
[2021:03:29-03:13:58]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Jimenez: Ahi esta pa
[2021:03:29-03:13:59]  (Local) -> (LOCAL)[2]C4rtex: adopteme
[2021:03:29-03:14:00]  (Local) -> (LOCAL)[10]Hoka'DeTemeer~: cule risa
[2021:03:29-03:14:01]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Jimenez: Nada ella es mayor
[2021:03:29-03:14:02]  (Local) -> (LOCAL)[9]HanzuCantPlayCVR: soy freseo marica tontin
[2021:03:29-03:14:04]  (Local) -> (LOCAL)[2]PericoHpta|AUC: subase
[2021:03:29-03:14:05]  ([Msg] de #0000000000000000dilan para W4LT3R---: hay un auc) -> nil
[2021:03:29-03:14:07]  (Local) -> (LOCAL)[2]C4rtex: la lea me dejo solo
[2021:03:29-03:14:08]  (Local) -> (LOCAL)[9]Juanma_ELN: oreo pirobo
[2021:03:29-03:14:09]  (Local) -> (LOCAL)[9]Vlankillo: freseo malparido
[2021:03:29-03:14:09]  (Local) -> (LOCAL)[9]Hoka'DeTemeer~: AJAJAAJJAJAA
[2021:03:29-03:14:10]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00lauuu: yo soy mayor
[2021:03:29-03:14:11]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00lauuu: si
[2021:03:29-03:14:11]  (Local) -> (LOCAL)[4]W4LT3R---: y ami queme
[2021:03:29-03:14:12]  (Global) -> XanCallejas: aaaaa ano sabiua nea y ahi que se hace?
[2021:03:29-03:14:13]  (Local) -> (LOCAL)[4]W4LT3R---: vamo
[2021:03:29-03:14:14]  ([Msg] de #0000000000000000dilan para W4LT3R---: hay un auc nos sapea) -> nil
[2021:03:29-03:14:15]  (Local) -> (LOCAL)[10]Hoka'DeTemeer~: Pues hable bien mkon
[2021:03:29-03:14:16]  (Global) -> mataDe'Follar|#E20280 ඞ: #000000 alucinaos
[2021:03:29-03:14:17]  (Local) -> (LOCAL)[9]HanzuCantPlayCVR: siza yo
[2021:03:29-03:14:18]  (Global) -> mataDe'Follar|#E20280 ඞ: #00ccffOWO#FF33FFONICHAAAAAAAAAAAAAAAN!!#66CC00UWUUUU#CC9900NYAAAAw_w
[2021:03:29-03:14:18]  (Global) -> KiraOwO~Capu|#5723FEGDT!: rata
[2021:03:29-03:14:20]  (Local) -> (LOCAL)[2]PATAS|AUC: le tengo un negocio
[2021:03:29-03:14:21]  (Local) -> (LOCAL)[9]Hoka'DeTemeer~: vamos aun pueblp
[2021:03:29-03:14:27]  (Local) -> (LOCAL)[11]Hoka'DeTemeer~: saca la zorra
[2021:03:29-03:14:28]  (Local) -> (LOCAL)[12]FreseoCantPlayCVR: por eso
[2021:03:29-03:14:29]  (Local) -> (LOCAL)[12]Dayer_UwU: esa boquita
[2021:03:29-03:14:29]  (Local) -> (LOCAL)[2]C4rtex: avr
[2021:03:29-03:14:30]  (Local) -> (LOCAL)[4]W4LT3R---: ash callese eso es de una
[2021:03:29-03:14:31]  (Local) -> (LOCAL)[14]FreseoCantPlayCVR: notengo
[2021:03:29-03:14:31]  (Global) -> #FF8CE7RataDe'Follar|#FF8CE7✿: olam
[2021:03:29-03:14:33]  (Local) -> (LOCAL)[13]FreseoCantPlayCVR: q te pasa
[2021:03:29-03:14:34]  (Local) -> (LOCAL)[11]Hoka'DeTemeer~: cule risa
[2021:03:29-03:14:34]  (Global) -> ZINOX2912: Eso correcto
[2021:03:29-03:14:35]  (Local) -> (LOCAL)[4]0000000000dilan: callate
[2021:03:29-03:14:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00CrudoDeCumple: oe xd
[2021:03:29-03:14:39]  (Local) -> (LOCAL)[3]ELpepe: OEE
[2021:03:29-03:14:39]  (Team - Criminals) -> (TEAM)FloweryTuningfork72: admin
[2021:03:29-03:14:40]  (Local) -> (LOCAL)[2]Vlankillo: perdon miamor
[2021:03:29-03:14:41]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00ElKevinnPai: dime
[2021:03:29-03:14:41]  (Global) -> #7F7F7F|ADM|#FF8C00XhnGuaracha|~GT|#5EF5F7������: y como metas yo no me trazo
[2021:03:29-03:14:42]  (Local) -> (LOCAL)[9]Peyeta'AUC: hoy vamos es a sobarlo
[2021:03:29-03:14:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00CrudoDeCumple: ya lo subo
[2021:03:29-03:14:45]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Jimenez: No nada estaba aqui parchado con ella
[2021:03:29-03:14:45]  (Local) -> (LOCAL)[0]#00146C|#A4B5FFPROD#00146C|#FF5C00ElKevinnPai: bre
[2021:03:29-03:14:46]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: XanCallejas no velver a hacer eso ya tiene que comprar otravez 
[2021:03:29-03:14:46]  (Global) -> #7F7F7F|ADM|#FF8C00XhnGuaracha|~GT|#5EF5F7������: nunca supelo que es un fracaso
[2021:03:29-03:14:47]  (Global) -> TheCrazyPipeNeXus: Sobelooooooo
[2021:03:29-03:14:47]  (Local) -> (LOCAL)[9]KiraOwO~Capu: omlam
[2021:03:29-03:14:49]  (Global) -> #7F7F7F|ADM|#FF8C00XhnGuaracha|~GT|#5EF5F7������: bueno vine a pagar
[2021:03:29-03:14:51]  (Local) -> (LOCAL)[1]Hoka'DeTemeer~: que carro de mierda
[2021:03:29-03:14:52]  (Local) -> (LOCAL)[2]Juanma_ELN: ese no quiso parar
[2021:03:29-03:14:55]  (Global) -> PericoHpta|AUC|#4C4C4CRN: Exactoi
[2021:03:29-03:14:56]  (Local) -> (LOCAL)[4]Hoka'DeTemeer~: pero beno
[2021:03:29-03:14:57]  ([Msg] de RataDe'Follar para #DDA0DDKiraOwO~Capu: dime samamta) -> nil
[2021:03:29-03:14:57]  (Global) -> PericoHpta|AUC|#4C4C4CRN: a pagar
[2021:03:29-03:15:00]  (Global) -> FloweryTuningfork72: oe
[2021:03:29-03:15:01]  (Global) -> #012F7AW4LT3R---|#012F7AＫＰ→延: a
[2021:03:29-03:15:02]  (Global) -> FreseoCantPlayCVR|#5EF5F7������: ud no estaba en el otro server XhnGuaracha|~GT?
[2021:03:29-03:15:02]  (Local) -> (LOCAL)[5]Hoka'DeTemeer~: ahi que ser humilde
[2021:03:29-03:15:03]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00lauuu: ok
[2021:03:29-03:15:07]  (Local) -> (LOCAL)[4]Vlankillo: ahi
[2021:03:29-03:15:07]  (Local) -> (LOCAL)[2]PericoHpta|AUC: pa
[2021:03:29-03:15:08]  (Local) -> (LOCAL)[2]PATAS|AUC: oe le vendo luka
[2021:03:29-03:15:08]  (Local) -> (LOCAL)[5]JudasDe'Follar: ya sabes
[2021:03:29-03:15:09]  (Local) -> (LOCAL)[2]ELpepe: ieeee
[2021:03:29-03:15:10]  (Local) -> (LOCAL)[1]FreseoCantPlayCVR: ahi
[2021:03:29-03:15:10]  (Local) -> (LOCAL)[2]PericoHpta|AUC: Cartezx
[2021:03:29-03:15:11]  (Local) -> (LOCAL)[4]Vlankillo: par de mks
[2021:03:29-03:15:11]  (Local) -> (LOCAL)[4]FreseoCantPlayCVR: siza
[2021:03:29-03:15:12]  ([Msg] de #0000000000000000dilan para W4LT3R---: hay hp nos van a sapiar) -> nil
[2021:03:29-03:15:13]  (Local) -> (LOCAL)[5]JudasDe'Follar: ya no te consigno pal vip
[2021:03:29-03:15:13]  (Local) -> (LOCAL)[1]Danny|AK47|: ?
[2021:03:29-03:15:14]  (Local) -> (LOCAL)[5]0000000000dilan: dime
[2021:03:29-03:15:14]  (Local) -> (LOCAL)[2]C4rtex: dime
[2021:03:29-03:15:15]  (Local) -> (LOCAL)[4]Dayer_UwU: ahi
[2021:03:29-03:15:17]  (Local) -> (LOCAL)[5]0000000000dilan: pq :'
[2021:03:29-03:15:17]  (Local) -> (LOCAL)[5]JudasDe'Follar: me engañaste
[2021:03:29-03:15:18]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoDeCumple: oe
[2021:03:29-03:15:19]  (Local) -> (LOCAL)[4]Hoka'DeTemeer~: si
[2021:03:29-03:15:19]  (Local) -> (LOCAL)[1]ELpepe: le tengo negocio
[2021:03:29-03:15:19]  (Local) -> (LOCAL)[2]PericoHpta|AUC: vendemos
[2021:03:29-03:15:19]  (Local) -> (LOCAL)[5]W4LT3R---: dilan gonorrea
[2021:03:29-03:15:19]  (Local) -> (LOCAL)[4]FreseoCantPlayCVR: callate bellanita
[2021:03:29-03:15:20]  ([Msg] de #DDA0DDKiraOwO~Capu para RataDe'Follar: donde estas?) -> nil
[2021:03:29-03:15:20]  (Local) -> (LOCAL)[5]RataDe'Follar: xDDDDDDDDDDDD
[2021:03:29-03:15:21]  (Local) -> (LOCAL)[4]Hoka'DeTemeer~: mlpdo
[2021:03:29-03:15:21]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoDeCumple: carrera de aqui a groove
[2021:03:29-03:15:22]  (Local) -> (LOCAL)[6]el_mono(YK): polis hp
[2021:03:29-03:15:22]  (Local) -> (LOCAL)[2]PericoHpta|AUC: aja
[2021:03:29-03:15:24]  (Local) -> (LOCAL)[6]#00146C|#A4B5FFPROD#00146C|#FF5C00ElKevinnPai: dime
[2021:03:29-03:15:24]  (Local) -> (LOCAL)[4]FreseoCantPlayCVR: vamos a pvpiar
[2021:03:29-03:15:24]  (Local) -> (LOCAL)[2]C4rtex: precio
