This file was generated by Console at 2020:10:12-00:00:00



[2020:10:12-00:00:00]  (Local) -> (LOCAL)[17][EVG]Orgalor: Chys
[2020:10:12-02:13:17]  (Local) -> (LOCAL)[10]2cb'ratix: ok :)
[2020:10:12-02:13:17]  (Global) -> #7F7F7F|CVR|Catalina420: 8 luquitas en adelante
[2020:10:12-02:13:17]  (Local) -> (LOCAL)[2]2cb'pablitopai: ola
[2020:10:12-02:13:19]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: yo
[2020:10:12-02:13:20]  (Local) -> (LOCAL)[1][GT]FranciscoBY: olaaaaaaaaaaaaaa
[2020:10:12-02:13:21]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: malparidos
[2020:10:12-02:13:21]  (Local) -> (LOCAL)[10]2CB*sumadre: y ahi lo pegan
[2020:10:12-02:13:23]  (Local) -> (LOCAL)[9]2cb'palomo: pero lo uqe pasa e s que solo se pone una m,k
[2020:10:12-02:13:24]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: patches
[2020:10:12-02:13:26]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: nos turfeo
[2020:10:12-02:13:30]  (Local) -> (LOCAL)[2]Jabon: XDD
[2020:10:12-02:13:31]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: y sems
[2020:10:12-02:13:32]  (Local) -> (LOCAL)[10]2cb'palomo: mas de dos no HPTA;(
[2020:10:12-02:13:35]  (Local) -> (LOCAL)[6]2cb_tu_diosa: oe
[2020:10:12-02:13:36]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: con totalidad patron
[2020:10:12-02:13:37]  (Local) -> (LOCAL)[10]2CB*sumadre: a
[2020:10:12-02:13:39]  (Global) -> Don_Joker.: TavoVilla, 8 el bronce, 10 el silver, 12 el gold y 14 el diamond
[2020:10:12-02:13:40]  (Local) -> (LOCAL)[10]2CB*sumadre: ami si me deja
[2020:10:12-02:13:44]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: patron me arriesgo de todo por usted
[2020:10:12-02:13:45]  (Local) -> (LOCAL)[2]Jabon: dejelos son unos mks
[2020:10:12-02:13:46]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: si patron
[2020:10:12-02:13:46]  (Local) -> (LOCAL)[6]2cb'Beltran: xD
[2020:10:12-02:13:50]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: se unio evg zetascapu
[2020:10:12-02:13:51]  (Global) -> 2cb'palomo: graffiti
[2020:10:12-02:13:52]  (Local) -> (LOCAL)[10]C4rtex: una obra de arte el patron
[2020:10:12-02:13:52]  (Global) -> #7F7F7F|CVR|Catalina420: puedo ser costeland?????? yo vivo en quilla
[2020:10:12-02:13:53]  (Local) -> (LOCAL)[2]Jabon: noo vio q era todo mundo
[2020:10:12-02:13:54]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: gt
[2020:10:12-02:14:00]  (Local) -> (LOCAL)[2]Jabon: contra nosotros
[2020:10:12-02:14:00]  (Global) -> BreynerArias: ENTONCES NO PUEDO FORMAR PARTE DEL GRUPO GT
[2020:10:12-02:14:02]  (Local) -> (LOCAL)[10]C4rtex: EY NO COMO ASI
[2020:10:12-02:14:02]  (Global) -> 2cb'#SINER: a
[2020:10:12-02:14:04]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: yo soy lider de costeland
[2020:10:12-02:14:05]  (Global) -> [S.A.S][P]DonAlberto: algun animal que me venga a hechar una mano en bayside porfa???
[2020:10:12-02:14:05]  (Local) -> (LOCAL)[9]LOKILLO: me dio sueño me despeirtan cuando me lleme el patron voy a mimir
[2020:10:12-02:14:05]  (Local) -> (LOCAL)[7]2cb'Beltran: wow
[2020:10:12-02:14:07]  (Local) -> (LOCAL)[2]Jabon: y no los pepeamos
[2020:10:12-02:14:07]  (Local) -> (LOCAL)[9]C4rtex: QUIEN BUSCA AL PATRON
[2020:10:12-02:14:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: malparidos
[2020:10:12-02:14:08]  (Global) -> BreynerArias: PUEDO UNIRME A 2cb
[2020:10:12-02:14:09]  (Local) -> (LOCAL)[9]2CB*sumadre: por que
[2020:10:12-02:14:10]  (Local) -> (LOCAL)[2]Jabon: xdddd
[2020:10:12-02:14:12]  (Local) -> (LOCAL)[10]C4rtex: Y ME LO PELO GONORREA
[2020:10:12-02:14:13]  (Local) -> (LOCAL)[10]2CB*sumadre: no se puede
[2020:10:12-02:14:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: a mi me dieron por el culo
[2020:10:12-02:14:15]  (Local) -> (LOCAL)[10]2CB*sumadre: xd
[2020:10:12-02:14:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: no me puedo curar
[2020:10:12-02:14:18]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: patron ud ordene y nosotros actuamos
[2020:10:12-02:14:19]  (Local) -> (LOCAL)[2]2cb'pablitopai: viene alguien
[2020:10:12-02:14:22]  (Global) -> 2cb'Haze: nose no soi cientifico
[2020:10:12-02:14:23]  (Local) -> (LOCAL)[10]C4rtex: EL QUE PUSO ESO ME LO PELO HP
[2020:10:12-02:14:25]  (Local) -> (LOCAL)[9]2CB*sumadre: ya
[2020:10:12-02:14:28]  (Local) -> (LOCAL)[3]2cb'pablitopai: a
[2020:10:12-02:14:28]  (Global) -> #7F7F7F|CVR|Catalina420: semds puedo ser costeland?????????
[2020:10:12-02:14:29]  (Local) -> (LOCAL)[3]Jabon: si hacen eso en la war me voy a enojar
[2020:10:12-02:14:30]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: a
[2020:10:12-02:14:31]  (Local) -> (LOCAL)[10]LOKILLO: tapenlo con otro grfiti
[2020:10:12-02:14:32]  (Local) -> (LOCAL)[9]|GT|zBoltARG: c me acabo la uzi
[2020:10:12-02:14:33]  (Global) -> [M19]arete[GT]: como me cambio el sking
[2020:10:12-02:14:34]  (Local) -> (LOCAL)[3]2cb'pablitopai: piskero
[2020:10:12-02:14:35]  (Local) -> (LOCAL)[1]Rafael_elmocho: SEAMOS AMIGOS
[2020:10:12-02:14:36]  (Local) -> (LOCAL)[3]Jabon: berna
[2020:10:12-02:14:36]  (Global) -> 2cb'#SINER: a
[2020:10:12-02:14:37]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: digam
[2020:10:12-02:14:38]  (Local) -> (LOCAL)[3]Jabon: y tu vi
[2020:10:12-02:14:41]  (Local) -> (LOCAL)[3]2cb'pablitopai: el domingo no creo q pueda
[2020:10:12-02:14:42]  (Local) -> (LOCAL)[3]Jabon: vip
[2020:10:12-02:14:43]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: patron ud es el mejor
[2020:10:12-02:14:44]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: Entendido patron
[2020:10:12-02:14:44]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: F
[2020:10:12-02:14:45]  (Local) -> (LOCAL)[10]LOKILLO: pinten otro grafiti encima
[2020:10:12-02:14:45]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: depende
[2020:10:12-02:14:46]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: si señor
[2020:10:12-02:14:46]  (Local) -> (LOCAL)[3]2cb'pablitopai: depronto no pueda
[2020:10:12-02:14:47]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: esta bna
[2020:10:12-02:14:47]  (Local) -> (LOCAL)[3]Jabon: ey tonto
[2020:10:12-02:14:48]  (Local) -> (LOCAL)[4]GT|OLAVE: vaya a comprar
[2020:10:12-02:14:49]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: con totalidad patron
[2020:10:12-02:14:50]  (Local) -> (LOCAL)[4]GT|-Benson-|LR: hola
[2020:10:12-02:14:51]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: claro, un placer men
[2020:10:12-02:14:51]  (Local) -> (LOCAL)[1]Rafael_elmocho: ANOTA MI NUMERO
[2020:10:12-02:14:52]  (Local) -> (LOCAL)[4]GT|-Benson-|LR: xd
[2020:10:12-02:14:52]  (Global) -> #7F7F7F|CVR|Catalina420: de qué
[2020:10:12-02:14:52]  (Local) -> (LOCAL)[3]Jabon: q paso con su vip
[2020:10:12-02:14:55]  (Local) -> (LOCAL)[5]|GT|zBoltARG: Va
[2020:10:12-02:14:56]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Bernaaa: anda
[2020:10:12-02:14:56]  (Local) -> (LOCAL)[10]C4rtex: ajajajajaj ñero
[2020:10:12-02:14:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Bernaaa: nada
[2020:10:12-02:15:00]  (Local) -> (LOCAL)[7]2cb[MAURO]: oe
[2020:10:12-02:15:00]  (Local) -> (LOCAL)[1]Rafael_elmocho: 320 265 4589
[2020:10:12-02:15:01]  (Local) -> (LOCAL)[10]C4rtex: que mkda xd
[2020:10:12-02:15:01]  (Global) -> [COSTELAND]Matachivos: Eri costeño?
[2020:10:12-02:15:01]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 [EVG]ReizerB: esta chimba esto
[2020:10:12-02:15:03]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: como se hace eso? JAAJA
[2020:10:12-02:15:03]  (Local) -> (LOCAL)[7]2cb[MAURO]: GT no es nada
[2020:10:12-02:15:03]  (Local) -> (LOCAL)[7][GT]FranciscoBY: q
[2020:10:12-02:15:05]  (Local) -> (LOCAL)[3]Jabon: y el de admin?
[2020:10:12-02:15:06]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 [EVG]ReizerB: esta chimba esto
[2020:10:12-02:15:08]  (Local) -> (LOCAL)[7][GT]FranciscoBY: eso le digo
[2020:10:12-02:15:09]  (Global) -> 2cb'Escobar: buenas
[2020:10:12-02:15:09]  (Local) -> (LOCAL)[1]Rafael_elmocho: en la vida real mka
[2020:10:12-02:15:10]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: pero te refieres en el juego?
[2020:10:12-02:15:10]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Bernaaa: yo soy admin
[2020:10:12-02:15:11]  (Local) -> (LOCAL)[1]Rafael_elmocho: XD
[2020:10:12-02:15:12]  (Global) -> #7F7F7F|CVR|Catalina420: obvio mani
[2020:10:12-02:15:13]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: con totalidad patron
[2020:10:12-02:15:13]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: Entendido
[2020:10:12-02:15:16]  (Local) -> (LOCAL)[1]Jabon: por eso ome
[2020:10:12-02:15:16]  (Local) -> (LOCAL)[10]2CB*sumadre: xd
[2020:10:12-02:15:17]  (Global) -> ^$El_Cangas$^: como consumo drogas
[2020:10:12-02:15:19]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: AJAJAJAAJAJA especifique ome
[2020:10:12-02:15:19]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Bernaaa: se acabo y nadie me lo puso de nuevo
[2020:10:12-02:15:21]  (Local) -> (LOCAL)[1]Jabon: AAA
[2020:10:12-02:15:24]  (Local) -> (LOCAL)[14]2cb'#SINER: aaa
[2020:10:12-02:15:24]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: admitida
[2020:10:12-02:15:26]  (Local) -> (LOCAL)[1]Rafael_elmocho: XDDD
[2020:10:12-02:15:28]  (Global) -> #7F7F7F|CVR|Catalina420: siiiii
[2020:10:12-02:15:29]  (Global) -> TavoVilla: tusssy
[2020:10:12-02:15:30]  (Global) -> BreynerArias: algun grupo para unirme?
[2020:10:12-02:15:30]  (Global) -> 2cb'Haze: por lanarixz z pa
[2020:10:12-02:15:32]  (Local) -> (LOCAL)[1]Jabon: na
[2020:10:12-02:15:32]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: nos casamos?
[2020:10:12-02:15:34]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: escribimelo otra vez
[2020:10:12-02:15:34]  (Global) -> [ZETAS]pablito: quenhpta jajajjaja
[2020:10:12-02:15:36]  (Global) -> #7F7F7F|CVR|Catalina420: siii
[2020:10:12-02:15:36]  (Local) -> (LOCAL)[5]2cb'Camilashade: ?
[2020:10:12-02:15:37]  (Local) -> (LOCAL)[1]Jabon: quejese a bala
[2020:10:12-02:15:37]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: Si patron en su totalidad
[2020:10:12-02:15:37]  (Local) -> (LOCAL)[1]Rafael_elmocho: 3202654589
[2020:10:12-02:15:39]  (Local) -> (LOCAL)[1]Jabon: la chimba
[2020:10:12-02:15:41]  (Local) -> (LOCAL)[10]C4rtex: buenas
[2020:10:12-02:15:41]  (Global) -> 2cb'tussy: tavoo
[2020:10:12-02:15:46]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: pa las que sea patron
[2020:10:12-02:15:46]  (Global) -> TavoVilla: envita
[2020:10:12-02:15:47]  (Global) -> Don_Joker.: SEMDS 
[2020:10:12-02:15:47]  (Local) -> (LOCAL)[4]2cb'Camilashade: necesitas algo? bobito
[2020:10:12-02:15:49]  (Local) -> (LOCAL)[10]LOKILLO: qietos
[2020:10:12-02:15:50]  (Global) -> 2cb'tussy: ya
[2020:10:12-02:15:51]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: señor
[2020:10:12-02:15:52]  (Local) -> (LOCAL)[10]LOKILLO: ambos
[2020:10:12-02:15:52]  (Local) -> (LOCAL)[10]2cb'palomo: F
[2020:10:12-02:15:53]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: Nada patron si patron todo bien
[2020:10:12-02:15:55]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: patron estoy feliz de servir
[2020:10:12-02:15:57]  (Global) -> Don_Joker.: me puedo unir a costeland?
[2020:10:12-02:15:58]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Francine98: todo copiado
[2020:10:12-02:16:00]  (Local) -> (LOCAL)[8]C4rtex: ola
[2020:10:12-02:16:00]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: ahora le hable men
[2020:10:12-02:16:00]  (Local) -> (LOCAL)[9]LOKILLO: que se quedne quitos
[2020:10:12-02:16:01]  (Global) -> TavoVilla: a pepe cogollo y yo
[2020:10:12-02:16:02]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: CLARO PARSE
[2020:10:12-02:16:03]  (Global) -> DanielAgosto: esto es re grande
[2020:10:12-02:16:04]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF0000Francine98: fidelidad a ud
[2020:10:12-02:16:04]  (Global) -> 2cb'tussy: ya
[2020:10:12-02:16:05]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: un gusto
[2020:10:12-02:16:09]  (Local) -> (LOCAL)[1]Jabon: q visjae ñero toda ese gente
[2020:10:12-02:16:10]  (Global) -> #7F7F7F|CVR|Catalina420: semds
[2020:10:12-02:16:11]  (Local) -> (LOCAL)[0]Rafael_elmocho: suerte
[2020:10:12-02:16:12]  (Local) -> (LOCAL)[7](CAPU)Jutsu-Milplones: mero frente
[2020:10:12-02:16:13]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: dime
[2020:10:12-02:16:14]  (Local) -> (LOCAL)[1]Jabon: contra nosotros
[2020:10:12-02:16:15]  (Global) -> #7F7F7F|CVR|Catalina420: no podes decir parce
[2020:10:12-02:16:16]  (Global) -> Rafael_elmocho: semds
[2020:10:12-02:16:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Bernaaa: malparidos
[2020:10:12-02:16:21]  (Global) -> Don_Joker.: a, bueno
[2020:10:12-02:16:22]  (Team - Unemployed) -> (TEAM)|GT|zBoltARG: hahsah
[2020:10:12-02:16:22]  (Global) -> #7F7F7F|CVR|Catalina420: tenes qq decir cole o mani
[2020:10:12-02:16:23]  (Global) -> Rafael_elmocho: me quiero unir a costenlands+
[2020:10:12-02:16:23]  (Local) -> (LOCAL)[8]LOKILLO: ñor
[2020:10:12-02:16:24]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF0000Francine98: con totalidad patron
[2020:10:12-02:16:25]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF7C00 Khausu: Listo patron si todo patron todo por ud
[2020:10:12-02:16:28]  (Local) -> (LOCAL)[8]LOKILLO: como pa
[2020:10:12-02:16:28]  (Local) -> (LOCAL)[3]PATRONAZO: /DANCE
[2020:10:12-02:16:30]  (Local) -> (LOCAL)[13]2cb'Beltran: a
[2020:10:12-02:16:32]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: de una parse
[2020:10:12-02:16:40]  (Local) -> (LOCAL)[8]LOKILLO: a
[2020:10:12-02:16:43]  (Global) -> Rafael_elmocho: como es 
[2020:10:12-02:16:46]  (Local) -> (LOCAL)[8]LOKILLO: ap no l escucho bien
[2020:10:12-02:16:46]  (Global) -> Rafael_elmocho: como seria
[2020:10:12-02:16:47]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF0000Francine98: igualmente patron
[2020:10:12-02:16:47]  (Global) -> #7F7F7F|CVR|Catalina420: parce es de cachacos q huelen a grajo
[2020:10:12-02:16:49]  (Local) -> (LOCAL)[10]2cb'pablitopai: bu
[2020:10:12-02:16:53]  (Local) -> (LOCAL)[10]2cb'Beltran: xd
[2020:10:12-02:16:53]  (Local) -> (LOCAL)[11]2cb'pablitopai: xd
[2020:10:12-02:16:54]  (Local) -> (LOCAL)[4]2cb[MAURO]: oe
[2020:10:12-02:16:55]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF7C00 Khausu: xDDD
[2020:10:12-02:16:55]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: COMOOOOOOOO
[2020:10:12-02:16:56]  (Global) -> #7F7F7F|CVR|Catalina420: y no comen burra
[2020:10:12-02:16:57]  (Local) -> (LOCAL)[6]2cb[MAURO]: no nos nada
[2020:10:12-02:16:58]  (Local) -> (LOCAL)[6]2cb[MAURO]: ajajajaaj
[2020:10:12-02:17:01]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: afk
[2020:10:12-02:17:03]  (Local) -> (LOCAL)[0]Rafael_elmocho: ./ban xd
[2020:10:12-02:17:05]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF7C00 Khausu: q melo parchar asi
[2020:10:12-02:17:06]  (Local) -> (LOCAL)[9]C4rtex: patron
[2020:10:12-02:17:09]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: muy melo
[2020:10:12-02:17:12]  (Local) -> (LOCAL)[5]CHOCORRAMO: nea
[2020:10:12-02:17:12]  (Local) -> (LOCAL)[3]2cb'JuanPablo: aghhh
[2020:10:12-02:17:14]  (Team - Criminals) -> (TEAM)~Cogollo: la mea vola
[2020:10:12-02:17:16]  (Local) -> (LOCAL)[10]C4rtex: pero ese tal popeye si es de confiar?
[2020:10:12-02:17:16]  (Global) -> [EVG]RicardoJorge: cómo es eso de comer burra
[2020:10:12-02:17:17]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: catalina
[2020:10:12-02:17:17]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: afk
[2020:10:12-02:17:18]  (Global) -> [EVG]RicardoJorge: presio
[2020:10:12-02:17:22]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: ya obtuvimos toda la experiencia cvr
[2020:10:12-02:17:23]  (Global) -> #7F7F7F|CVR|Catalina420: dimelo
[2020:10:12-02:17:25]  (Local) -> (LOCAL)[10]C4rtex: este
[2020:10:12-02:17:25]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: sis
[2020:10:12-02:17:26]  (Global) -> Rafael_elmocho: semds
[2020:10:12-02:17:27]  (Local) -> (LOCAL)[10]C4rtex: si
[2020:10:12-02:17:28]  (Local) -> (LOCAL)[10]CHOCORRAMO: reizer
[2020:10:12-02:17:30]  (Global) -> Rafael_elmocho: haceme jail bb
[2020:10:12-02:17:31]  (Local) -> (LOCAL)[2]2cb'JuanPablo: enseñame sapa
[2020:10:12-02:17:31]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: oe
[2020:10:12-02:17:34]  (Local) -> (LOCAL)[10]C4rtex: esa gang en q esta es de puro tombito
[2020:10:12-02:17:34]  (Local) -> (LOCAL)[1]2cb'FabiusxGaming: solo viniste vo?
[2020:10:12-02:17:35]  (Global) -> CHOCORRAMO: reizer
[2020:10:12-02:17:36]  (Local) -> (LOCAL)[10]CHOCORRAMO: vea
[2020:10:12-02:17:38]  (Local) -> (LOCAL)[10]CHOCORRAMO: a esta loca
[2020:10:12-02:17:39]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Khausu: bueno vamos con el patron
[2020:10:12-02:17:39]  (Local) -> (LOCAL)[5][EVG]RicardoJorge: 2 mil
[2020:10:12-02:17:40]  (Local) -> (LOCAL)[10]CHOCORRAMO: reizer
[2020:10:12-02:17:41]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: haces como burra
[2020:10:12-02:17:43]  (Local) -> (LOCAL)[9]CHOCORRAMO: reizer
[2020:10:12-02:17:44]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: me exita mucho
[2020:10:12-02:17:44]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: go go
[2020:10:12-02:17:44]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: oe
[2020:10:12-02:17:45]  (Global) -> CHOCORRAMO: reizer
[2020:10:12-02:17:46]  (Local) -> (LOCAL)[2][EVG]RicardoJorge: ah bajó a 1800
[2020:10:12-02:17:49]  (Local) -> (LOCAL)[10]C4rtex: ojo con este
[2020:10:12-02:17:50]  (Global) -> #7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: oe hp
[2020:10:12-02:17:52]  (Global) -> CHOCORRAMO: vea ps a esta loca tombo
[2020:10:12-02:17:52]  (Local) -> (LOCAL)[10]LOKILLO: popye
[2020:10:12-02:17:52]  (Global) -> Rafael_elmocho: costeño moment xd
[2020:10:12-02:17:53]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|Catalina420: sisisisis
[2020:10:12-02:17:55]  (Local) -> (LOCAL)[10]C4rtex: bueno patron
[2020:10:12-02:17:55]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|Catalina420: baratico
[2020:10:12-02:17:56]  (Global) -> ^$El_Cangas$^: como quito el puntero me ayudan por favor
[2020:10:12-02:17:56]  (Local) -> (LOCAL)[1]2cb'FabiusxGaming: solo viniste vo?
[2020:10:12-02:17:56]  (Local) -> (LOCAL)[10]LOKILLO: e me decias?
[2020:10:12-02:17:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|Catalina420: pa donde
[2020:10:12-02:18:01]  (Global) -> CHOCORRAMO: cojiendonso aca a todos
[2020:10:12-02:18:02]  (Local) -> (LOCAL)[10]LOKILLO: eu no te entedi
[2020:10:12-02:18:03]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: aquí a la izq
[2020:10:12-02:18:06]  (Local) -> (LOCAL)[10]C4rtex: pero aun asi le voy a tener el ojo encima a este
[2020:10:12-02:18:06]  (Global) -> #7F7F7F|CVR|#FF0000[EVG]CrudoMeansRaw: con m
[2020:10:12-02:18:10]  (Local) -> (LOCAL)[1]CHOCORRAMO: decile que me suelte recies
[2020:10:12-02:18:11]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: aquí
[2020:10:12-02:18:13]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: quien _
[2020:10:12-02:18:13]  (Local) -> (LOCAL)[1]2cb'Haze: guarachita pa?
[2020:10:12-02:18:14]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: bai
[2020:10:12-02:18:14]  (Global) -> #7F7F7F|CVR|#A9A9A9 [EVG]ReizerB: quien _
[2020:10:12-02:18:14]  (Global) -> ^$El_Cangas$^: gracias
[2020:10:12-02:18:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|Catalina420: buenaaa
[2020:10:12-02:18:17]  (Global) -> CHOCORRAMO: nea
[2020:10:12-02:18:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|Catalina420: xao
[2020:10:12-02:18:23]  (Local) -> (LOCAL)[1]CHOCORRAMO: me cojui
[2020:10:12-02:18:23]  (Local) -> (LOCAL)[10]C4rtex: gracias patron
[2020:10:12-02:18:27]  (Local) -> (LOCAL)[12]2cb'JuanPablo: vamos a so
[2020:10:12-02:18:28]  (Global) -> CHOCORRAMO: me coji+
[2020:10:12-02:18:29]  (Local) -> (LOCAL)[10]2cb'ratix: vamo
[2020:10:12-02:18:30]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000(COSTELAND)Llanerito: anhh
[2020:10:12-02:18:31]  (Local) -> (LOCAL)[10]LOKILLO: gracias aptron
[2020:10:12-02:18:31]  (Local) -> (LOCAL)[4]|GT|ArturoCortez: Haze o algo asi reizer
[2020:10:12-02:18:32]  (Global) -> CHOCORRAMO: 2cb haze
[2020:10:12-02:18:33]  (Local) -> (LOCAL)[4]|GT|ArturoCortez: 2cb
[2020:10:12-02:18:35]  (Local) -> (LOCAL)[3]2cb'ELpepe: k pasa
[2020:10:12-02:18:36]  (Local) -> (LOCAL)[3][GT]JuanEstrada: yo
[2020:10:12-02:18:36]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: patron
[2020:10:12-02:18:41]  (Global) -> CHOCORRAMO: jailelo
[2020:10:12-02:18:42]  (Global) -> #7F7F7F|CVR|Catalina420: ofendida con chocoramo
[2020:10:12-02:18:43]  (Global) -> 2cb'Haze: tengo q laburarcayate
[2020:10:12-02:18:44]  (Global) -> CHOCORRAMO: porfa ps
[2020:10:12-02:18:48]  (Local) -> (LOCAL)[2]2cb'JuanPablo: vamo a mapear
[2020:10:12-02:18:50]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: es que ando un poquito alcanzado de plata
[2020:10:12-02:18:52]  (Local) -> (LOCAL)[2]2cb'tussy: ud
[2020:10:12-02:18:54]  (Local) -> (LOCAL)[2]2cb'tussy: no sabe mapear
[2020:10:12-02:18:54]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: pa pagar el arriendo
[2020:10:12-02:18:55]  (Global) -> CHOCORRAMO: reizer encana a esta loca porfa
[2020:10:12-02:18:56]  (Local) -> (LOCAL)[2]2cb'JuanPablo: si se
[2020:10:12-02:18:57]  (Local) -> (LOCAL)[1][GT]FranciscoBY: xd
[2020:10:12-02:18:58]  (Local) -> (LOCAL)[10]2cb'ratix: patron
[2020:10:12-02:18:59]  (Global) -> CHOCORRAMO: me va a encanar
[2020:10:12-02:19:01]  (Global) -> GT|OLAVE: xd
[2020:10:12-02:19:02]  (Global) -> CHOCORRAMO: que mierda
