This file was generated by Console at 2020:10:09-00:00:00



[2020:10:09-00:00:00]  (Global) -> [GT]AndresCanson: okampo¿
[2020:10:09-01:06:27]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2030 Z PLAY MUSIC< PIDNAMSE SUS TEMAS LOS AMO
[2020:10:09-01:06:27]  (Global) -> [Z]_VALLUNITO_: Haski
[2020:10:09-01:06:28]  (Global) -> [Z]_VALLUNITO_: Ya se compró la zorra?
[2020:10:09-01:06:29]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: oa compro
[2020:10:09-01:06:29]  (Local) -> (LOCAL)[2]M19|Barry-Seal|GT: MELO
[2020:10:09-01:06:31]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Zllanerito: nos dejo coger
[2020:10:09-01:06:34]  (Global) -> 2cb'Q'Piskero: qiote,e eñ 
[2020:10:09-01:06:34]  (Local) -> (LOCAL)[1]Carding999: BUSQUEMOS A BERNA
[2020:10:09-01:06:34]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: listgo buena
[2020:10:09-01:06:34]  (Global) -> Casto: bueno
[2020:10:09-01:06:36]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Zllanerito: ajajaa
[2020:10:09-01:06:37]  (Global) -> 2cb'Q'Piskero: quiteme el coso
[2020:10:09-01:06:39]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 Zllanerito: matalo
[2020:10:09-01:06:40]  (Global) -> 2cb'Q'Piskero: quiteme el coso
[2020:10:09-01:06:41]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: sauela
[2020:10:09-01:06:41]  (Global) -> SANTANA: saque carro
[2020:10:09-01:06:42]  (Global) -> La_Loli: parce digame si me va pagar
[2020:10:09-01:06:43]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2030 Z PLAY MUSIC< PIDAN SUS TEMAS :3
[2020:10:09-01:06:43]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Khausu: perdon
[2020:10:09-01:06:44]  (Local) -> (LOCAL)[1]Carding999: SAQUE LA RANCHER
[2020:10:09-01:06:45]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 Zllanerito: eso por sapa
[2020:10:09-01:06:45]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: xdddd
[2020:10:09-01:06:45]  (Global) -> 2cb'ELBARTO: cuanto vale la zorra?
[2020:10:09-01:06:45]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2030 Z PLAY MUSIC< PIDAN SUS TEMAS :3
[2020:10:09-01:06:46]  (Team - Unemployed) -> (TEAM)2cB'Walter: VALLUNITO HACE RATO
[2020:10:09-01:06:46]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: jummmmm
[2020:10:09-01:06:48]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2030 Z PLAY MUSIC< PIDAN SUS TEMAS :3
[2020:10:09-01:06:48]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Khausu: Estaba buscando la cancion de la jepp
[2020:10:09-01:06:49]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 Zllanerito: adios patron
[2020:10:09-01:06:50]  (Global) -> 2cb'ELBARTO: cuanto vale la zorra?
[2020:10:09-01:06:52]  (Local) -> (LOCAL)[6][GT]AndresCanson: ey
[2020:10:09-01:06:52]  (Local) -> (LOCAL)[2]2cb'dilan: CHAMERR
[2020:10:09-01:06:53]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Francine98: nah llego este ssapo
[2020:10:09-01:06:55]  (Global) -> [Z]_VALLUNITO_: 99 palo
[2020:10:09-01:06:57]  (Global) -> SANTANA: voy muy lag
[2020:10:09-01:06:58]  (Global) -> 2cB~Beltran: 2030
[2020:10:09-01:07:00]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: toposos
[2020:10:09-01:07:01]  (Global) -> SANTANA: no me da
[2020:10:09-01:07:02]  (Global) -> 2cB'Walter: HASKI AMOR TE TENGO UN NEGOCIO
[2020:10:09-01:07:03]  (Local) -> (LOCAL)[1]Carding999: yo manejo
[2020:10:09-01:07:04]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: breves
[2020:10:09-01:07:04]  (Local) -> (LOCAL)[2]2cb'Jabon420: xddd
[2020:10:09-01:07:05]  (Local) -> (LOCAL)[1]La_Loli: y esta
[2020:10:09-01:07:06]  (Local) -> (LOCAL)[2]Maicke_Casiano: menor
[2020:10:09-01:07:11]  (Global) -> DotorAlbareto: xd
[2020:10:09-01:07:12]  (Local) -> (LOCAL)[3]themateo: porque casi toda la gente tiene el vip
[2020:10:09-01:07:16]  (Global) -> (POPEYE):  VENDO ZORRA 95 PPALOS
[2020:10:09-01:07:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: como hps
[2020:10:09-01:07:17]  (Global) -> 2cb'tussy: UY Q
[2020:10:09-01:07:21]  (Global) -> SANTANA: tiene que ir suave
[2020:10:09-01:07:22]  (Global) -> 2cB~Beltran: a
[2020:10:09-01:07:22]  (Global) -> [M19]arete[GT]: si esta bacana
[2020:10:09-01:07:22]  (Local) -> (LOCAL)[1]La_Loli: usted quien e
[2020:10:09-01:07:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: paso por encima xd
[2020:10:09-01:07:24]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: nos metio a la carcel
[2020:10:09-01:07:24]  (Local) -> (LOCAL)[2]2cb'dilan: a
[2020:10:09-01:07:25]  (Local) -> (LOCAL)[1]Carding999: vale
[2020:10:09-01:07:26]  (Local) -> (LOCAL)[1]themateo: porque casi toda la gente tiene el vip
[2020:10:09-01:07:27]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: xde
[2020:10:09-01:07:29]  (Local) -> (LOCAL)[4]2cB~Beltran: a
[2020:10:09-01:07:29]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: ajajaja
[2020:10:09-01:07:30]  (Local) -> (LOCAL)[2]2cb'SingleChamber: oe dilan le escribo por DC?
[2020:10:09-01:07:31]  (Global) -> Wili: oe
[2020:10:09-01:07:32]  (Local) -> (LOCAL)[3]2cB~Beltran: no se
[2020:10:09-01:07:35]  (Global) -> [GT]~$Fabio_vidal69$:): Iksah
[2020:10:09-01:07:35]  (Local) -> (LOCAL)[2]2cb'dilan: sisas
[2020:10:09-01:07:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: jajaja nos cogio dormidos
[2020:10:09-01:07:36]  (Local) -> (LOCAL)[1]2cbtatiana: tu amiga no recuerdas
[2020:10:09-01:07:36]  (Global) -> 2cb'ELBARTO: y que tiene esa zorra qe vale tanto
[2020:10:09-01:07:37]  (Global) -> Wili: aliasgocho
[2020:10:09-01:07:38]  (Local) -> (LOCAL)[6]2cb'SingleChamber: voy
[2020:10:09-01:07:38]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:07:38]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: ese hp por que sera tan toposo
[2020:10:09-01:07:40]  (Global) -> Haski_CorridosTumbados: Xddd
[2020:10:09-01:07:40]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:07:40]  (Global) -> [M19]arete[GT]: que buen negocio
[2020:10:09-01:07:41]  (Global) -> 2cb'ELBARTO: y que tiene esa zorra qe vale tanto
[2020:10:09-01:07:42]  (Global) -> SANTANA: dejame ehh
[2020:10:09-01:07:43]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: y tan canson
[2020:10:09-01:07:43]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:07:44]  (Local) -> (LOCAL)[1]La_Loli: ao xd
[2020:10:09-01:07:44]  (Global) -> [GT]~$Fabio_vidal69$:): solo vuela
[2020:10:09-01:07:45]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: jum
[2020:10:09-01:07:46]  (Global) -> Haski_CorridosTumbados: Popeye se la compro?
[2020:10:09-01:07:48]  (Local) -> (LOCAL)[1][GT]AndresCanson: es que ahorita tengo 10300:C
[2020:10:09-01:07:48]  (Local) -> (LOCAL)[1]La_Loli: no se quien sos
[2020:10:09-01:07:50]  (Global) -> [GT]~$Fabio_vidal69$:): es mero lujo
[2020:10:09-01:07:50]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: le gusta que lo odion o q se
[2020:10:09-01:07:51]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: sera que no lo quieren en la casa?
[2020:10:09-01:07:51]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:07:52]  (Local) -> (LOCAL)[3]2cb'Jabon420: na como no le di
[2020:10:09-01:07:52]  (Global) -> [Z]_VALLUNITO_: Es que sea vuela
[2020:10:09-01:07:53]  (Local) -> (LOCAL)[3][GT]AndresCanson: millones xd
[2020:10:09-01:07:55]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: jajajajaj
[2020:10:09-01:07:55]  (Global) -> (CT.S)Elcarlitos: SI JODEN 
[2020:10:09-01:07:57]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: seguro
[2020:10:09-01:07:57]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:07:59]  (Global) -> [Z]_VALLUNITO_: Yo en estos dáis me la compro
[2020:10:09-01:08:01]  (Local) -> (LOCAL)[2](POPEYE): ENTONCES
[2020:10:09-01:08:02]  (Global) -> 2cb'dilan: EZZZZ
[2020:10:09-01:08:03]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: ese hpta es muy mamon
[2020:10:09-01:08:04]  (Global) -> [M19]arete[GT]: si deberia
[2020:10:09-01:08:05]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:08:05]  (Global) -> SANTANA: lleve eso ah 70
[2020:10:09-01:08:06]  (Local) -> (LOCAL)[2]Maicke_Casiano: ais, estoy al lado del dj
[2020:10:09-01:08:07]  (Global) -> M19|Barry-Seal|GT: VENDO CHIBA CUANTO DAN??????
[2020:10:09-01:08:07]  (Global) -> SANTANA: o mas
[2020:10:09-01:08:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Zllanerito: bueno que el patron nos venga a buscar
[2020:10:09-01:08:08]  (Global) -> 2cb'dilan: EZZZZ
[2020:10:09-01:08:09]  (Global) -> Wili: oe
[2020:10:09-01:08:11]  (Global) -> 2cb'dilan: EZZZZ
[2020:10:09-01:08:12]  (Global) -> SANTANA: hpt vuele jajajaj
[2020:10:09-01:08:12]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: y la otra vez pidiendome perdon
[2020:10:09-01:08:12]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:08:13]  (Global) -> 2cb'dilan: EZZZZ
[2020:10:09-01:08:13]  (Global) -> Wili: aliasgocho
[2020:10:09-01:08:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: r
[2020:10:09-01:08:15]  (Local) -> (LOCAL)[4]Haski_CorridosTumbados: kieto
[2020:10:09-01:08:15]  (Global) -> 2cb'dilan: EZZZZ
[2020:10:09-01:08:17]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:08:17]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: deje de decir eso ome
[2020:10:09-01:08:17]  (Local) -> (LOCAL)[1]themateo: porque casi toda la gente tiene el vip
[2020:10:09-01:08:17]  (Global) -> DotorAlbareto: hpta mate al que no era
[2020:10:09-01:08:19]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: visajoso
[2020:10:09-01:08:20]  (Global) -> La_Loli: quien es tatiana
[2020:10:09-01:08:20]  (Local) -> (LOCAL)[3]2cb'dilan: Na
[2020:10:09-01:08:22]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: :v
[2020:10:09-01:08:22]  (Global) -> [GT]~$Fabio_vidal69$:): vallunito millonario regaleme tapla
[2020:10:09-01:08:23]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: Patron ya salimos
[2020:10:09-01:08:23]  (Local) -> (LOCAL)[3]2cb'dilan: que me la chupen
[2020:10:09-01:08:25]  (Global) -> #7F7F7F|CVR|#FF7C00 Zllanerito: esperemennnnnn
[2020:10:09-01:08:25]  (Local) -> (LOCAL)[3]2cb'dilan: .I.
[2020:10:09-01:08:26]  (Local) -> (LOCAL)[2]2cb'tussy: muteate
[2020:10:09-01:08:27]  (Global) -> [GT]~$Fabio_vidal69$:): yo
[2020:10:09-01:08:28]  (Global) -> #7F7F7F|CVR|#FF7C00 Zllanerito: ahajajaja
[2020:10:09-01:08:29]  (Global) -> SANTANA: chimbas de frenos
[2020:10:09-01:08:30]  (Global) -> DotorAlbareto: perdon
[2020:10:09-01:08:31]  (Global) -> [Z]_VALLUNITO_: Yo soy pobre
[2020:10:09-01:08:31]  (Global) -> [S.A.S][Cabo]Max: Ya biene un admin ;)
[2020:10:09-01:08:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Khausu: ??
[2020:10:09-01:08:32]  (Global) -> [M19]arete[GT]: olave tiene una
[2020:10:09-01:08:33]  (Global) -> La_Loli: quien es tatiana
[2020:10:09-01:08:33]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:08:35]  (Local) -> (LOCAL)[2]2cb'tussy: muteate
[2020:10:09-01:08:36]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: a
[2020:10:09-01:08:36]  (Global) -> [GT]~$Fabio_vidal69$:): yo
[2020:10:09-01:08:36]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: visajoso
[2020:10:09-01:08:38]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: SI
[2020:10:09-01:08:42]  (Local) -> (LOCAL)[4]Haski_CorridosTumbados: ps q venga
[2020:10:09-01:08:42]  (Local) -> (LOCAL)[3]2cb'dilan: bno
[2020:10:09-01:08:42]  (Global) -> 2cb'tussy: (LOCAL)[2]|CVR|Khausu: :v
[2020:10:09-01:08:43]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: deberia?? :v
[2020:10:09-01:08:43]  (Global) -> La_Loli: sera cacorro
[2020:10:09-01:08:46]  (Global) -> SANTANA: ushh
[2020:10:09-01:08:47]  (Local) -> (LOCAL)[4]Haski_CorridosTumbados: aqui lo espero
[2020:10:09-01:08:47]  (Global) -> 2cb'FabiusxGaming: wow pasame el hack
[2020:10:09-01:08:48]  (Local) -> (LOCAL)[2]2cb'tussy: claro
[2020:10:09-01:08:48]  (Global) -> [Zetas]Mata: costeños
[2020:10:09-01:08:49]  (Local) -> (LOCAL)[2]2cb'tussy: yo tomando foto
[2020:10:09-01:08:50]  (Local) -> (LOCAL)[2]2cb'tussy: parchao
[2020:10:09-01:08:52]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:08:53]  (Global) -> 2cB'Walter: BAN
[2020:10:09-01:08:53]  (Global) -> SANTANA: 12 fps
[2020:10:09-01:08:54]  (Global) -> [GT]~$Fabio_vidal69$:): jmmmmmmmmmmmmmmmmmmmmmmm
[2020:10:09-01:08:54]  (Local) -> (LOCAL)[1]Carding999: eso que
[2020:10:09-01:08:54]  (Global) -> M19|Barry-Seal|GT: VENDO CHIBA CUANTO DAN???
[2020:10:09-01:08:55]  (Global) -> SANTANA: jajajajjajajaa
[2020:10:09-01:08:56]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:08:57]  (Global) -> SANTANA: nose
[2020:10:09-01:08:58]  (Local) -> (LOCAL)[1]Carding999: jajajaa
[2020:10:09-01:08:59]  (Global) -> 2cb'oliwis: quiteseeeeeee
[2020:10:09-01:08:59]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#1F00FFBerna: TAN CREIDO EL HP
[2020:10:09-01:09:02]  (Global) -> SANTANA: uy marica
[2020:10:09-01:09:03]  (Global) -> 2cb'FabiusxGaming: hacker
[2020:10:09-01:09:04]  (Local) -> (LOCAL)[4]2cb'tussy: q
[2020:10:09-01:09:10]  (Global) -> La_Loli: tatiana no se quien eres pero mejor dime por q me da anciedad
[2020:10:09-01:09:15]  (Global) -> SANTANA: vealo
[2020:10:09-01:09:15]  (Local) -> (LOCAL)[1]2cb[MAURO]: ola bro
[2020:10:09-01:09:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: hol
[2020:10:09-01:09:20]  (Local) -> (LOCAL)[3]Carding999: necesito admi
[2020:10:09-01:09:22]  (Local) -> (LOCAL)[1]2cb[MAURO]: dime
[2020:10:09-01:09:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: comoestas
[2020:10:09-01:09:23]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: que paso
[2020:10:09-01:09:23]  (Global) -> [GT]~$Fabio_vidal69$:): jjajajaja no le digas tatiana
[2020:10:09-01:09:25]  (Global) -> WickedJeep50:  donde lo llevo
[2020:10:09-01:09:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: nada te llevo
[2020:10:09-01:09:27]  (Local) -> (LOCAL)[4]Haski_CorridosTumbados: todo el hpta lago tiene pa parquearse y solo viene a donde estoy yo
[2020:10:09-01:09:28]  (Local) -> (LOCAL)[1]2cb[MAURO]: bien y tu?
[2020:10:09-01:09:30]  (Local) -> (LOCAL)[4]Haski_CorridosTumbados: hp canson
[2020:10:09-01:09:33]  (Local) -> (LOCAL)[1]2cb[MAURO]: estoy camellando
[2020:10:09-01:09:33]  (Global) -> La_Loli: tatiana 
[2020:10:09-01:09:34]  (Global) -> Casto: donde quiera
[2020:10:09-01:09:34]  (Local) -> (LOCAL)[4]Carding999: las acgue con un carro
[2020:10:09-01:09:36]  (Global) -> [Z]_VALLUNITO_: Tatiana?
[2020:10:09-01:09:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: ah breve
[2020:10:09-01:09:38]  (Local) -> (LOCAL)[4]Haski_CorridosTumbados: por eso me caen mejor los ESMAD :)
[2020:10:09-01:09:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: xao
[2020:10:09-01:09:39]  (Global) -> Carding999: al ponerle el precio
[2020:10:09-01:09:39]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:09:39]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: que paso
[2020:10:09-01:09:40]  (Local) -> (LOCAL)[1]2cb[MAURO]: pero gracias
[2020:10:09-01:09:42]  (Global) -> [Z]_VALLUNITO_: qn es esa
[2020:10:09-01:09:43]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:09:43]  (Local) -> (LOCAL)[5]Carding999: se me fue un 0
[2020:10:09-01:09:46]  (Local) -> (LOCAL)[5]2cB'NegroCachondo: cuanto le puso
[2020:10:09-01:09:50]  (Local) -> (LOCAL)[4]Carding999: 50m
[2020:10:09-01:09:50]  (Local) -> (LOCAL)[8]2cbtatiana: ami no
[2020:10:09-01:09:54]  (Global) -> La_Loli: osea tenia otro nombre antes?
[2020:10:09-01:09:57]  (Global) -> #7F7F7F|CVR|#FF7C00 Zllanerito: abandonado por el patron
[2020:10:09-01:09:58]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:10:00]  (Local) -> (LOCAL)[9]2cbtatiana: eee
[2020:10:09-01:10:01]  (Local) -> (LOCAL)[4]2cB'NegroCachondo: vea
[2020:10:09-01:10:01]  (Global) -> La_Loli: agora llego y que no recuerdas a tu amiga
[2020:10:09-01:10:04]  (Local) -> (LOCAL)[4]Carding999: y le iba a poner 5
[2020:10:09-01:10:05]  (Local) -> (LOCAL)[4]2cB'NegroCachondo: digale a llanerito
[2020:10:09-01:10:09]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: el te ayuda
[2020:10:09-01:10:09]  (Local) -> (LOCAL)[1][GT]AndresCanson: le estas pegando a mi novia?
[2020:10:09-01:10:09]  (Global) -> La_Loli: y quedo yo como que eche quien es esta 
[2020:10:09-01:10:12]  (Global) -> [GT]~$Fabio_vidal69$:): cual tatiana ni esta
[2020:10:09-01:10:13]  (Local) -> (LOCAL)[3]Carding999: vale herma
[2020:10:09-01:10:13]  (Global) -> 2cb'Q'Piskero: aa
[2020:10:09-01:10:17]  (Local) -> (LOCAL)[3]Carding999: gracias perro
[2020:10:09-01:10:17]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: pediselo por nomral
[2020:10:09-01:10:19]  (Local) -> (LOCAL)[8](CT.S)Elcarlitos: uy no re mamones jajsja
[2020:10:09-01:10:19]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: breve
[2020:10:09-01:10:22]  (Local) -> (LOCAL)[3]Carding999: como
[2020:10:09-01:10:22]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:10:24]  (Global) -> La_Loli: si esta
[2020:10:09-01:10:24]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: pregunta por general
[2020:10:09-01:10:27]  (Local) -> (LOCAL)[3]Carding999: me ayudas
[2020:10:09-01:10:28]  (Team - Unemployed) -> (TEAM)2cB'Walter: /gc VENGA FABIUS
[2020:10:09-01:10:32]  (Local) -> (LOCAL)[3]Carding999: como
[2020:10:09-01:10:32]  (Global) -> DotorAlbareto: donde saco la motosierra
[2020:10:09-01:10:33]  (Local) -> (LOCAL)[3]2cB'NegroCachondo: con ./t
[2020:10:09-01:10:36]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:10:38]  (Local) -> (LOCAL)[12]2cbtatiana: quiere que lo banee
[2020:10:09-01:10:39]  (Local) -> (LOCAL)[2]2cB'NegroCachondo: sin el punto
[2020:10:09-01:10:39]  (Global) -> La_Loli: 2cbtatiana
[2020:10:09-01:10:41]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:10:44]  (Global) -> Carding999: zllanerito
[2020:10:09-01:10:46]  (Local) -> (LOCAL)[1](POPEYE): QUE VENDES
[2020:10:09-01:10:51]  (Global) -> Carding999: necesito un favor suyo pa
[2020:10:09-01:10:55]  (Global) -> 2cb'oliwis: burrerox
[2020:10:09-01:10:58]  (Local) -> (LOCAL)[1]Carding999: gracis
[2020:10:09-01:11:01]  (Local) -> (LOCAL)[12]Maicke_Casiano: jaja
[2020:10:09-01:11:08]  (Local) -> (LOCAL)[1]Carding999: vamos a buscarlo
[2020:10:09-01:11:08]  (Local) -> (LOCAL)[12]2cb'AlejoCS: zzzzwhjjjjjssdd
[2020:10:09-01:11:16]  (Global) -> 2cB~Beltran: facturando
[2020:10:09-01:11:17]  (Global) -> 2cb'FabiusxGaming: wow
[2020:10:09-01:11:17]  (Global) -> La_Loli: quien me acompaña a tumbar poster de luz a puños
[2020:10:09-01:11:19]  (Global) -> 2cb'FabiusxGaming: stonks
[2020:10:09-01:11:26]  (Local) -> (LOCAL)[6]2cb'SingleChamber: ya le escribo
[2020:10:09-01:11:27]  (Local) -> (LOCAL)[6]2cb'dilan: ash
[2020:10:09-01:11:31]  (Local) -> (LOCAL)[5]2cB~Beltran: wow
[2020:10:09-01:11:41]  (Local) -> (LOCAL)[2]2cb'Jabon420: perdon
[2020:10:09-01:11:44]  (Local) -> (LOCAL)[1]2cB'NegroCachondo: jajaaj
[2020:10:09-01:11:48]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:11:49]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:11:51]  (Global) -> [GT]~$Fabio_vidal69$:): jajajajaja esas actividades de loli
[2020:10:09-01:12:00]  (Global) -> La_Loli: estoy sola :c
[2020:10:09-01:12:00]  (Global) -> chocorramo: DJ CHOCORAMO TOCANDO EN VIVO <F3< CVR RADIO 2020< PLAY MUSIC< PIDAN SUS TEMITAS PUES
[2020:10:09-01:12:02]  (Global) -> Haski_CorridosTumbados: Naaa khausu
[2020:10:09-01:12:05]  (Global) -> Haski_CorridosTumbados: sea serio mrka
[2020:10:09-01:12:05]  (Global) -> La_Loli: me siento trizte
[2020:10:09-01:12:13]  (Local) -> (LOCAL)[6]2cb|Yandrix: quede lol
[2020:10:09-01:12:13]  (Global) -> Haski_CorridosTumbados: [S.A.S][Cabo]Max 
[2020:10:09-01:12:16]  (Global) -> [Z]_VALLUNITO_: fABIO
[2020:10:09-01:12:16]  (Local) -> (LOCAL)[6]2cb'dilan: quede
[2020:10:09-01:12:16]  (Global) -> Haski_CorridosTumbados: asi se llama ese hp
[2020:10:09-01:12:16]  (Local) -> (LOCAL)[5]2cb'El_marra: volviste
[2020:10:09-01:12:16]  (Global) -> [GT]~$Fabio_vidal69$:): ya dijp hp chocorramo
[2020:10:09-01:12:16]  (Local) -> (LOCAL)[1]Maicke_Casiano: jaja
[2020:10:09-01:12:19]  (Global) -> M19|Barry-Seal|GT: VENDO CHIBAA
[2020:10:09-01:12:21]  (Local) -> (LOCAL)[3]2cb'tussy: como no le di
[2020:10:09-01:12:21]  (Local) -> (LOCAL)[5]2cB'NegroCachondo: veame
[2020:10:09-01:12:21]  (Global) -> [GT]~$Fabio_vidal69$:): digame vallunito
