This file was generated by Console at 2020:12:16-00:00:03



[2020:12:16-00:00:03]  (Local) -> (LOCAL)[1]2cb'ratix: oe
[2020:12:16-02:44:11]  (Global) -> [Z]LauraAndrea: mi cancion
[2020:12:16-02:44:11]  (Global) -> [kp]Mr.Nea: joder ese es mi fotografo
[2020:12:16-02:44:13]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: necesito que sea activo
[2020:12:16-02:44:16]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: muy activo
[2020:12:16-02:44:16]  (Local) -> (LOCAL)[1]TussyB|MiguelM: eso creara un comnaod en esa tecla y asi al momento de undirla se reproducira el comando
[2020:12:16-02:44:17]  (Global) -> |DJ|2cb'Royal: epa jajaja
[2020:12:16-02:44:18]  (Local) -> (LOCAL)[2]2cb'~#[R]adial^: mire q si este a nivel 10
[2020:12:16-02:44:19]  (Local) -> (LOCAL)[2]2cb'CoNNoR: oe
[2020:12:16-02:44:20]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: si señora diario
[2020:12:16-02:44:22]  (Global) -> |DJ|2cb'Royal: soy DJ y fotografo B)
[2020:12:16-02:44:24]  (Local) -> (LOCAL)[9]#7F7F7F|LG|#FF0000XhnGuaracha: pasito
[2020:12:16-02:44:25]  (Local) -> (LOCAL)[2]2cb'~#[R]adial^: mire q si este a nivel 10
[2020:12:16-02:44:26]  (Global) -> [kp]Mr.Nea: si
[2020:12:16-02:44:27]  (Local) -> (LOCAL)[4]LocaHp: huy kieto pq no le cuentan los tiros ps
[2020:12:16-02:44:28]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: tanto en los chats, como en server
[2020:12:16-02:44:28]  (Local) -> (LOCAL)[2]2cb'CoNNoR: si est
[2020:12:16-02:44:30]  (Local) -> (LOCAL)[9]GT|~SubditoDeSatanas: asi si?
[2020:12:16-02:44:31]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00Catre: que bien mueves esos dedos subdito
[2020:12:16-02:44:32]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: no ome
[2020:12:16-02:44:33]  (Local) -> (LOCAL)[9]#7F7F7F|LG|#FF0000XhnGuaracha: no, pasito
[2020:12:16-02:44:35]  (Local) -> (LOCAL)[9]GT|~SubditoDeSatanas: un poquito mas rapido
[2020:12:16-02:44:37]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: necesito que turfee, y defienda
[2020:12:16-02:44:37]  (Local) -> (LOCAL)[2]ClumsyPepper20: wasawdsssadwuwawdwwddbmmmdwm
[2020:12:16-02:44:37]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: si señora tranquila activo ree
[2020:12:16-02:44:38]  (Local) -> (LOCAL)[9]|DJ|2cb'Royal: XDDDDDDDDDDDDDDDD
[2020:12:16-02:44:39]  (Local) -> (LOCAL)[1]TussyB|MiguelM: sigueme para mas tutoriales *musica de tutoriales insertada*
[2020:12:16-02:44:40]  ([Msg] de [kp]Mr.Nea para 2cb'Royal: me pones un tema c:) -> nil
[2020:12:16-02:44:41]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: xdd
[2020:12:16-02:44:42]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: a medida que reclutemos
[2020:12:16-02:44:43]  (Local) -> (LOCAL)[1]2cb'CoNNoR: si
[2020:12:16-02:44:44]  (Local) -> (LOCAL)[2][MZ]changua21: si
[2020:12:16-02:44:46]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: bueno señora pero me da armitas
[2020:12:16-02:44:47]  (Local) -> (LOCAL)[2]Diaz: CHOCORRAMO ARRESTAME PA
[2020:12:16-02:44:47]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: mando gente que lo apoye
[2020:12:16-02:44:49]  (Local) -> (LOCAL)[9]|DJ|2cb'Royal: el subdito enseñandole lo que practicara con ella esta noche XD
[2020:12:16-02:44:51]  (Local) -> (LOCAL)[2]2cb'~#[R]adial^: donde las tuviera a nivel 10
[2020:12:16-02:44:51]  (Local) -> (LOCAL)[4]LocaHp: pq
[2020:12:16-02:44:55]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: breve pues
[2020:12:16-02:44:57]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: tendria las dobles
[2020:12:16-02:44:58]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00Catre: sisa XDDDDD
[2020:12:16-02:44:59]  (Local) -> (LOCAL)[9]GT|~SubditoDeSatanas: comoooooo
[2020:12:16-02:45:01]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: Claro le esta mostrando sus habilidades
[2020:12:16-02:45:02]  (Local) -> (LOCAL)[7]CAMIL0: vamos equipo xd
[2020:12:16-02:45:03]  (Global) -> Cris#f0000tofer: hola
[2020:12:16-02:45:04]  (Global) -> KP#~WALTER&: A
[2020:12:16-02:45:06]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: listo gracias
[2020:12:16-02:45:08]  (Local) -> (LOCAL)[9]|DJ|2cb'Royal: esta calentando los dedos
[2020:12:16-02:45:08]  (Local) -> (LOCAL)[9]#7F7F7F|LG|#FF0000XhnGuaracha: estamos hablando de lavar la loza pa
[2020:12:16-02:45:09]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: si me demuestra que es re activo y leal
[2020:12:16-02:45:10]  (Local) -> (LOCAL)[1]MZ-KEDROSE: ya
[2020:12:16-02:45:12]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00Catre: yo tengo mi habilidad en la mano pa
[2020:12:16-02:45:13]  (Local) -> (LOCAL)[4]LocaHp: q gnr
[2020:12:16-02:45:14]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: si señoora
[2020:12:16-02:45:14]  (Global) -> MZ-KEDROSE: s
[2020:12:16-02:45:14]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: le subo a un rango mas makio
[2020:12:16-02:45:15]  (Local) -> (LOCAL)[4]LocaHp: go cogoyin
[2020:12:16-02:45:16]  (Local) -> (LOCAL)[1]TussyB|MiguelM: usted tiene gang?
[2020:12:16-02:45:16]  (Global) -> Diaz: Algún tombo? necesito que me arresten xd
[2020:12:16-02:45:16]  (Local) -> (LOCAL)[9]GT|~SubditoDeSatanas: jajajaja
[2020:12:16-02:45:16]  (Local) -> (LOCAL)[2][MZ]changua21: como yo
[2020:12:16-02:45:17]  (Local) -> (LOCAL)[9]|DJ|2cb'Royal: si, y nosotros de restregar la ropa
[2020:12:16-02:45:20]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: derecha o zurda
[2020:12:16-02:45:21]  (Local) -> (LOCAL)[1]2cb'CoNNoR: ya esta precisa
[2020:12:16-02:45:22]  (Global) -> 2cB'PULIDUSKI: naaa hp ping
[2020:12:16-02:45:22]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: yo zurda
[2020:12:16-02:45:23]  (Local) -> (LOCAL)[9]#7F7F7F|LG|#FF0000XhnGuaracha: exaaacto
[2020:12:16-02:45:24]  (Local) -> (LOCAL)[9]|DJ|2cb'Royal: derecha
[2020:12:16-02:45:24]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: todo makia soy re fiel
[2020:12:16-02:45:24]  (Local) -> (LOCAL)[8]Javier: Pvp en el techo?
[2020:12:16-02:45:25]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00Catre: derecha
[2020:12:16-02:45:25]  (Local) -> (LOCAL)[1]TussyB|MiguelM: si?
[2020:12:16-02:45:26]  (Global) -> xNight_KiDD: x2
[2020:12:16-02:45:26]  (Team - Unemployed) -> (TEAM)Javier: o
[2020:12:16-02:45:26]  (Team - Unemployed) -> (TEAM)#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw:  a mano cambiada tambien
[2020:12:16-02:45:26]  (Local) -> (LOCAL)[1]MZ-KEDROSE: solo puse el de parlante
[2020:12:16-02:45:27]  (Local) -> (LOCAL)[4]KP#~WALTER&: Estaba mirando el ping maricon
[2020:12:16-02:45:29]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000XhnGuaracha: derecha y soy zurda
[2020:12:16-02:45:30]  (Global) -> Cristofer#0000: :V
[2020:12:16-02:45:30]  (Local) -> (LOCAL)[10]|DJ|2cb'Royal: por si se cansa una
[2020:12:16-02:45:30]  (Local) -> (LOCAL)[7]pipo: no teno armas
[2020:12:16-02:45:31]  (Local) -> (LOCAL)[2][MZ]changua21: subime de rango loca
[2020:12:16-02:45:31]  (Local) -> (LOCAL)[7]Javier: Como gatos o que
[2020:12:16-02:45:31]  (Global) -> LP|Jot4|Z: YO
[2020:12:16-02:45:32]  (Global) -> CAPU|~Orion~|: diaz venga
[2020:12:16-02:45:32]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: a changua ya lo boi a asender
[2020:12:16-02:45:33]  (Local) -> (LOCAL)[1]TussyB|MiguelM: eoa
[2020:12:16-02:45:34]  (Local) -> (LOCAL)[10]|DJ|2cb'Royal: se usa la otra
[2020:12:16-02:45:35]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: XDDD
[2020:12:16-02:45:36]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: amono
[2020:12:16-02:45:38]  (Local) -> (LOCAL)[6]Javier: Como gatos dije
[2020:12:16-02:45:38]  (Local) -> (LOCAL)[10][EVG]juann: uy kieto
[2020:12:16-02:45:39]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: señora
[2020:12:16-02:45:40]  (Global) -> Cristofer: hola xd
[2020:12:16-02:45:40]  (Local) -> (LOCAL)[1]TussyB|MiguelM: eso le facilita mucho la vida
[2020:12:16-02:45:42]  (Local) -> (LOCAL)[1]MZ-KEDROSE: bro eso es clan
[2020:12:16-02:45:45]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: me da armitas :3
[2020:12:16-02:45:46]  (Local) -> (LOCAL)[4]LocaHp: ahh no entiendo como hptas
[2020:12:16-02:45:46]  (Local) -> (LOCAL)[2][MZ]changua21: a donde
[2020:12:16-02:45:47]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: aeropuerto
[2020:12:16-02:45:49]  (Local) -> (LOCAL)[1]TussyB|MiguelM: nonas
[2020:12:16-02:45:49]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: xd
[2020:12:16-02:45:50]  (Global) -> #7F7F7F|CVR|#FF0000Seb: Cristofer No utilices pacmans
[2020:12:16-02:45:50]  (Local) -> (LOCAL)[4]LocaHp: no cuentan las primeras 4
[2020:12:16-02:45:52]  (Local) -> (LOCAL)[4]LocaHp: con escopeta
[2020:12:16-02:45:53]  (Local) -> (LOCAL)[1]TussyB|MiguelM: tiene gang?
[2020:12:16-02:45:55]  (Local) -> (LOCAL)[2]|MZ|Ga$ter: ya ahorita compramos
[2020:12:16-02:45:56]  (Global) -> Diaz: A donde
[2020:12:16-02:45:56]  (Local) -> (LOCAL)[6]2cb'Jabon: pipo
[2020:12:16-02:45:57]  (Global) -> #7F7F7F|CVR|#FF0000Seb: Están prohibidos en el servidor
[2020:12:16-02:45:57]  (Local) -> (LOCAL)[4][Kp]~Diego~: ya vengo voy por municion
[2020:12:16-02:45:58]  (Local) -> (LOCAL)[5]2cb'Jabon: mireme
[2020:12:16-02:45:59]  (Local) -> (LOCAL)[1]TussyB|MiguelM: grupo de pandilla pues
[2020:12:16-02:46:00]  (Global) -> #7F7F7F|CVR|#FF0000Seb: Lee F1 amigo
[2020:12:16-02:46:00]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: dele
[2020:12:16-02:46:02]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: derecha y zurda y dice que le duelen los brazos
[2020:12:16-02:46:02]  (Local) -> (LOCAL)[1]MZ-KEDROSE: por eso y usted no escribe
[2020:12:16-02:46:03]  (Global) -> CAPU|~Orion~|: comisaria
[2020:12:16-02:46:03]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: jm
[2020:12:16-02:46:03]  (Local) -> (LOCAL)[4]LocaHp: spcem
[2020:12:16-02:46:06]  (Global) -> |MZ|Ga$ter: no ser papu
[2020:12:16-02:46:06]  (Local) -> (LOCAL)[1]MZ-KEDROSE: entonces
[2020:12:16-02:46:08]  (Local) -> (LOCAL)[10]#7F7F7F|CVR||DJ|#FF5C00Jimenez: Esa hp subio otra foto con ese mk :(
[2020:12:16-02:46:09]  (Local) -> (LOCAL)[3]2cb'Jabon: ya
[2020:12:16-02:46:10]  (Local) -> (LOCAL)[4]Javier: Pvp en el techo?
[2020:12:16-02:46:12]  (Local) -> (LOCAL)[3]2cb'Jabon: :D
[2020:12:16-02:46:14]  (Local) -> (LOCAL)[4]Javier: Como gatos o que
[2020:12:16-02:46:15]  (Global) -> |MZ|Ga$ter: mr nea
[2020:12:16-02:46:15]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: Jimeneezzzzzzz
[2020:12:16-02:46:16]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: se le cayo el gorro mor
[2020:12:16-02:46:16]  (Local) -> (LOCAL)[4]PvpEnLaCama: jajajajaja
[2020:12:16-02:46:17]  (Local) -> (LOCAL)[4][Kp]-[S]pcem^: dime
[2020:12:16-02:46:19]  (Local) -> (LOCAL)[4]LocaHp: go dobles spcem XD
[2020:12:16-02:46:19]  (Global) -> |MZ|Ga$ter: llegame pues amorsita
[2020:12:16-02:46:21]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: sapo vos q haces que no has bloqueado esa sapa
[2020:12:16-02:46:23]  (Local) -> (LOCAL)[1]MZ-KEDROSE: ubro no
[2020:12:16-02:46:23]  (Local) -> (LOCAL)[1]TussyB|MiguelM: cmo?
[2020:12:16-02:46:25]  (Local) -> (LOCAL)[4][Kp]-[S]pcem^: me culean
[2020:12:16-02:46:25]  (Local) -> (LOCAL)[4]PvpEnLaCama: loco
[2020:12:16-02:46:26]  (Local) -> (LOCAL)[1]2cb'CoNNoR: esta al 20 ya
[2020:12:16-02:46:29]  (Global) -> SECH: la gente de este server es toda marica 
[2020:12:16-02:46:31]  (Local) -> (LOCAL)[4]LocaHp: a
[2020:12:16-02:46:31]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: NO HP
[2020:12:16-02:46:32]  (Local) -> (LOCAL)[1]TussyB|MiguelM: no tiene?
[2020:12:16-02:46:33]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00Lopez: royal la siguiente ponga, ayer la vi
[2020:12:16-02:46:33]  (Local) -> (LOCAL)[1]2cb'CoNNoR: si
[2020:12:16-02:46:34]  (Global) -> |MZ|Ga$ter: como vos
[2020:12:16-02:46:34]  (Global) -> #7F7F7F|LG|#FF0000XhnGuaracha: yooo
[2020:12:16-02:46:35]  (Local) -> (LOCAL)[12]2cb|BarrySeal: aganchense
[2020:12:16-02:46:35]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: con que mano primero :3?
[2020:12:16-02:46:37]  (Global) -> KP#~WALTER&: xd
[2020:12:16-02:46:37]  (Local) -> (LOCAL)[1]2cb'CoNNoR: sapo hp
[2020:12:16-02:46:38]  (Local) -> (LOCAL)[1]TussyB|MiguelM: quitate ese MZ
[2020:12:16-02:46:38]  (Global) -> Cristofer: hola soy nuevo -___-
[2020:12:16-02:46:38]  (Global) -> [Z]LauraAndrea: yo mas
[2020:12:16-02:46:40]  (Global) -> #7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: Claro SECH yooo
[2020:12:16-02:46:41]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000XhnGuaracha: jasjdjasd
[2020:12:16-02:46:42]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: royal esta aca
[2020:12:16-02:46:43]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: haga el ejercicio completo
[2020:12:16-02:46:43]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: me lo prestas
[2020:12:16-02:46:43]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: hola Cristofer
[2020:12:16-02:46:44]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: a si
[2020:12:16-02:46:45]  (Global) -> Cristofer: no entiendo ni puta madre
[2020:12:16-02:46:46]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000XhnGuaracha: bno callate
[2020:12:16-02:46:47]  (Local) -> (LOCAL)[2][MZ]EmilioEscobar: pa aca nomas
[2020:12:16-02:46:47]  (Local) -> (LOCAL)[12]2cbcarlos: una niñitas
[2020:12:16-02:46:49]  (Local) -> (LOCAL)[2][MZ]changua21: si
[2020:12:16-02:46:50]  (Global) -> KP#~WALTER&: a=
[2020:12:16-02:46:50]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: hasta q no lo deje
[2020:12:16-02:46:51]  (Global) -> SECH: empezando por la loca de perico 
[2020:12:16-02:46:51]  (Local) -> (LOCAL)[6]ClumsyPepper20: te pago
[2020:12:16-02:46:51]  (Local) -> (LOCAL)[1]2cb'CoNNoR: los 100?
[2020:12:16-02:46:52]  (Local) -> (LOCAL)[2]Javier: JUputa
[2020:12:16-02:46:52]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000XhnGuaracha: q ya me puso nerviosa
[2020:12:16-02:46:53]  (Local) -> (LOCAL)[12]AK|Fear: se le puede decir a los admin mk
[2020:12:16-02:46:54]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: ok
[2020:12:16-02:46:54]  (Local) -> (LOCAL)[1]MZ-KEDROSE: hableme
[2020:12:16-02:46:55]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: Cristofer oprime F1
[2020:12:16-02:46:55]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: si
[2020:12:16-02:46:56]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: ome
[2020:12:16-02:46:56]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: >.<
[2020:12:16-02:46:57]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: royal
[2020:12:16-02:46:58]  (Local) -> (LOCAL)[11]2cbcarlos: ojo
[2020:12:16-02:46:58]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: te amo
[2020:12:16-02:47:00]  (Global) -> |MZ|Ga$ter: ese es mera gai
[2020:12:16-02:47:00]  (Team - Criminals) -> (TEAM)mini0159g: puede llevarme a la otra ciudad
[2020:12:16-02:47:01]  (Local) -> (LOCAL)[1]2cb'CoNNoR: usted dijo al 10
[2020:12:16-02:47:01]  (Global) -> |MZ|Ga$ter: asies
[2020:12:16-02:47:02]  (Local) -> (LOCAL)[1]TussyB|MiguelM: PA QUE SI TI8ENE GANG?}
[2020:12:16-02:47:02]  (Local) -> (LOCAL)[3][CAPU]Mohamed: cuato?
[2020:12:16-02:47:03]  (Local) -> (LOCAL)[1]Javier: Estan caras las balas como pa gastarlas maricamente
[2020:12:16-02:47:03]  (Local) -> (LOCAL)[11]2cb.tayson: y tribilin que
[2020:12:16-02:47:03]  (Local) -> (LOCAL)[10]|DJ|2cb'Royal: yo tambien
[2020:12:16-02:47:03]  (Local) -> (LOCAL)[5][MZ]EmilioEscobar: uy
[2020:12:16-02:47:04]  (Global) -> Cristofer: eso lo se -.-
[2020:12:16-02:47:04]  (Local) -> (LOCAL)[11]2cbcarlos: con tribilin}
[2020:12:16-02:47:04]  (Local) -> (LOCAL)[3]LocaHp: ahora
[2020:12:16-02:47:05]  (Local) -> (LOCAL)[3]LocaHp: si
[2020:12:16-02:47:06]  (Local) -> (LOCAL)[1]MZ-KEDROSE: que grupo de pandilla me recluta
[2020:12:16-02:47:06]  (Local) -> (LOCAL)[1]CAPU~!Algarete: a
[2020:12:16-02:47:06]  (Local) -> (LOCAL)[10]|DJ|2cb'Royal: q
[2020:12:16-02:47:07]  (Local) -> (LOCAL)[1]NeutroPimp2cb: voy a las venturas rey
[2020:12:16-02:47:07]  (Local) -> (LOCAL)[1]2cb'CoNNoR: hay turf?
[2020:12:16-02:47:07]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: -.-
[2020:12:16-02:47:07]  (Global) -> #7F7F7F|CVR|#FF5C00+|Megu: Cristofer puedes ver en f1 o /ayuda
[2020:12:16-02:47:09]  (Local) -> (LOCAL)[3]LocaHp: el pirobo work de tombo
[2020:12:16-02:47:09]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: nivel 10
[2020:12:16-02:47:09]  (Local) -> (LOCAL)[3]ClumsyPepper20: cuanto quieres
[2020:12:16-02:47:10]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: omlam amigos
[2020:12:16-02:47:11]  (Local) -> (LOCAL)[1]2cb'~#[R]adial^: no
[2020:12:16-02:47:12]  (Local) -> (LOCAL)[5][MZ]EmilioEscobar: aa
[2020:12:16-02:47:12]  (Local) -> (LOCAL)[1]TussyB|MiguelM: ESTA DORMIDITO REY
[2020:12:16-02:47:13]  (Global) -> #7F7F7F|CVR|#00FFFFFurryTrash: Llanerito
[2020:12:16-02:47:13]  (Global) -> |DJ|2cb'Royal: RADIO ACTIVA CON ROYALDJ / PIDAN SUS TEMAS
[2020:12:16-02:47:15]  (Local) -> (LOCAL)[4][CAPU]Mohamed: 20k
[2020:12:16-02:47:17]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: como seria
[2020:12:16-02:47:17]  (Local) -> (LOCAL)[5]2cb'Jolyne: el bobo como que nunca ha cogido mas de un man
[2020:12:16-02:47:19]  (Global) -> #7F7F7F|CVR|#00FFFFFurryTrash: Ah olvídalo xd
[2020:12:16-02:47:22]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: pa ensayar pvp todos
[2020:12:16-02:47:22]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: miren a que me viola
[2020:12:16-02:47:23]  (Team - Criminals) -> (TEAM)mini0159g: estoy buscando a vibra 
[2020:12:16-02:47:25]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: miren
[2020:12:16-02:47:25]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: si puede ponga devolver el tiempo-flow futurama
[2020:12:16-02:47:26]  (Local) -> (LOCAL)[9]2cb'Scarface: JAJA
[2020:12:16-02:47:26]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: Dios
[2020:12:16-02:47:28]  (Local) -> (LOCAL)[1]TussyB|MiguelM: PA VOY A VELAR POR USTED PARA QUE ENTRE A 2cB
[2020:12:16-02:47:28]  (Local) -> (LOCAL)[9]LP|Jot4|Z: LA PLENA NO
[2020:12:16-02:47:29]  (Local) -> (LOCAL)[3]LocaHp: el work de tombo como q nerfea un poco el daño
[2020:12:16-02:47:29]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: bueno esa
[2020:12:16-02:47:30]  (Global) -> Cristofer: sep :V
[2020:12:16-02:47:31]  (Local) -> (LOCAL)[10]LP|Jot4|Z: Y?
[2020:12:16-02:47:31]  (Local) -> (LOCAL)[2]ClumsyPepper20: ok
[2020:12:16-02:47:31]  (Team - Criminals) -> (TEAM)mini0159g: es un grupo de maliantes
[2020:12:16-02:47:32]  (Local) -> (LOCAL)[11]AK|Fear: a dond
[2020:12:16-02:47:33]  (Global) -> KP#~WALTER&: puta
[2020:12:16-02:47:35]  (Local) -> (LOCAL)[11]2cb.tayson: agale
[2020:12:16-02:47:36]  (Local) -> (LOCAL)[1]ClumsyPepper20: negociemos
[2020:12:16-02:47:36]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: comooo
[2020:12:16-02:47:36]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: no le entiendo XD
[2020:12:16-02:47:36]  (Local) -> (LOCAL)[11]2cb.tayson: yayayaayay
[2020:12:16-02:47:36]  (Local) -> (LOCAL)[1]NeutroPimp2cb: sisas
[2020:12:16-02:47:39]  (Local) -> (LOCAL)[5][MZ]changua21: xd
[2020:12:16-02:47:40]  (Local) -> (LOCAL)[1][CAPU]Mohamed: a ver
[2020:12:16-02:47:41]  (Global) -> KP'Mani_jkl: Nea acabo de ver un policia llevando un medico que rata
[2020:12:16-02:47:42]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: oidos de abuelita
[2020:12:16-02:47:42]  (Global) -> Cristofer: pero que hago -.-
[2020:12:16-02:47:43]  (Team - Criminals) -> (TEAM)mini0159g: puede hacer un recorrido por la otra ciudad
[2020:12:16-02:47:44]  (Local) -> (LOCAL)[7]pipo: foto pal feis
[2020:12:16-02:47:45]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Jimenez: Cristofer, No estan permitidos las reglas lee F1 
[2020:12:16-02:47:46]  (Local) -> (LOCAL)[8]pipo: jjajja
[2020:12:16-02:47:47]  (Local) -> (LOCAL)[10][kp]Mr.Nea|0|toxicidad: uy kieto
[2020:12:16-02:47:48]  (Local) -> (LOCAL)[8]pipo: curtido
[2020:12:16-02:47:48]  (Team - Criminals) -> (TEAM)mini0159g: para encontrarlo
[2020:12:16-02:47:49]  (Local) -> (LOCAL)[5][MZ]changua21: gonorrea
[2020:12:16-02:47:50]  (Global) -> #7F7F7F|CVR|#FF5C00+|Megu: ps jugar -.-
[2020:12:16-02:47:51]  (Local) -> (LOCAL)[1]MZ-KEDROSE: y hay que
[2020:12:16-02:47:51]  (Local) -> (LOCAL)[1]ClumsyPepper20: sueltame aqui
[2020:12:16-02:47:52]  (Global) -> #7F7F7F|CVR|#FF5C00+|Megu: parchar
[2020:12:16-02:47:53]  (Global) -> Sancocho-kun: xd
[2020:12:16-02:47:53]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: -.-
[2020:12:16-02:47:54]  (Local) -> (LOCAL)[10]|DJ|2cb'Royal: no
[2020:12:16-02:47:55]  (Local) -> (LOCAL)[1][CAPU]Mohamed: nonas
[2020:12:16-02:47:57]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: yo tenia uno >c
[2020:12:16-02:47:57]  (Local) -> (LOCAL)[7]2cb'Jabon: depravado
[2020:12:16-02:47:58]  (Global) -> #7F7F7F|CVR|#FF5C00+|Megu: -.-
[2020:12:16-02:47:58]  (Team - Criminals) -> (TEAM)mini0159g: es un grupo de artos maliantes
[2020:12:16-02:47:59]  (Local) -> (LOCAL)[7]PvpEnLaCama: el mudo
[2020:12:16-02:47:59]  (Local) -> (LOCAL)[1][CAPU]Mohamed: mandela
[2020:12:16-02:47:59]  (Local) -> (LOCAL)[10]GT|~SubditoDeSatanas: mas abajo
[2020:12:16-02:47:59]  (Local) -> (LOCAL)[1]MZ-KEDROSE: vamos ponme en pratica
[2020:12:16-02:48:00]  (Local) -> (LOCAL)[1]TussyB|MiguelM: PA
[2020:12:16-02:48:02]  (Global) -> LocaHp: #FF00FF >:)
[2020:12:16-02:48:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Hola
[2020:12:16-02:48:03]  (Local) -> (LOCAL)[1]ClumsyPepper20: para pagarte
[2020:12:16-02:48:04]  (Local) -> (LOCAL)[1]MZ-KEDROSE: mataando
[2020:12:16-02:48:04]  (Global) -> Cristofer: yo quiero cambiarme esta skin no me gusta :V
[2020:12:16-02:48:04]  (Local) -> (LOCAL)[5]2cb'Jabon: pantalaso y pal feis
[2020:12:16-02:48:05]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#00FF00Llanerito: fi
[2020:12:16-02:48:06]  (Local) -> (LOCAL)[10]#7F7F7F|CVR||DJ|#FF5C00Jimenez: estoy triste amigo
