This file was generated by Console at 2020:09:11-00:00:02



[2020:09:11-00:00:02]  (Global) -> BurlyPlate49: perdon
[2020:09:11-04:05:49]  (Local) -> (LOCAL)[2][Z]DanielFly: uno de 8 palos
[2020:09:11-04:05:51]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerni: no se
[2020:09:11-04:05:52]  (Local) -> (LOCAL)[9]walter: ME VOY A SALIR UN RATO
[2020:09:11-04:05:52]  (Local) -> (LOCAL)[2][Z]DanielFly: xd
[2020:09:11-04:05:54]  (Local) -> (LOCAL)[3][CAPU]Elmenor: vaya pa zona segura
[2020:09:11-04:05:55]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 McBareto: Es 319 4833401
[2020:09:11-04:05:55]  (Global) -> SkinnyGazelle88: COMO SE HACE PARA BAILAR??
[2020:09:11-04:05:55]  (Global) -> TUERTO: PORACA HAY UN TOMBO
[2020:09:11-04:05:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerni: pq que tiene
[2020:09:11-04:05:56]  (Local) -> (LOCAL)[1]Jabon: jm
[2020:09:11-04:05:57]  (Global) -> TUERTO: QUE SE ESTA ESCONDIENDO
[2020:09:11-04:06:02]  (Local) -> (LOCAL)[8]CamilaGil: Oe no se jaja
[2020:09:11-04:06:03]  (Local) -> (LOCAL)[2](DV)soplaputas: ese es de diomedes
[2020:09:11-04:06:04]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 McBareto: Le recomiendo
[2020:09:11-04:06:05]  (Local) -> (LOCAL)[11]walter: AHORA ENTRO BB
[2020:09:11-04:06:09]  (Local) -> (LOCAL)[2][Z]DanielFly: no otro
[2020:09:11-04:06:09]  (Local) -> (LOCAL)[3][CT.S]ELVIEJOJUANCHO: que paso con la guerra
[2020:09:11-04:06:09]  (Local) -> (LOCAL)[1]Jabon: q es un skyline con traccion 4
[2020:09:11-04:06:10]  (Local) -> (LOCAL)[3][CAPU]Naomi09_smp: hey
[2020:09:11-04:06:11]  (Local) -> (LOCAL)[2]Diomedes777: ole
[2020:09:11-04:06:11]  (Global) -> UgliestPhysician67: GFBWADDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2020:09:11-04:06:13]  (Local) -> (LOCAL)[1]Jabon: ._.
[2020:09:11-04:06:13]  (Local) -> (LOCAL)[3][CT.S]ELVIEJOJUANCHO: staba parchao
[2020:09:11-04:06:13]  (Local) -> (LOCAL)[3]Megu: ven mas aqui xd
[2020:09:11-04:06:14]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF7C00 McBareto: que entre al discord del server
[2020:09:11-04:06:15]  (Local) -> (LOCAL)[3]RetroElegante: XDDDD
[2020:09:11-04:06:15]  (Local) -> (LOCAL)[4][CT.S]ELVIEJOJUANCHO: viendola
[2020:09:11-04:06:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerni: y
[2020:09:11-04:06:18]  (Local) -> (LOCAL)[2](DV)soplaputas: cual es
[2020:09:11-04:06:20]  (Global) -> |DV|Prexto: Voy a entrar
[2020:09:11-04:06:21]  (Local) -> (LOCAL)[5]Megu: eso, para que no te maten
[2020:09:11-04:06:22]  (Local) -> (LOCAL)[2][Z]DanielFly: es un turismo
[2020:09:11-04:06:23]  (Local) -> (LOCAL)[5]Megu: dime
[2020:09:11-04:06:24]  (Local) -> (LOCAL)[2]Diomedes777: como se hace para el traspaso
[2020:09:11-04:06:27]  (Global) -> |DV|Prexto: ahora lo busco en el grupo de fb
[2020:09:11-04:06:29]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF7C00 McBareto: Para que contacte con los dos admins personalmente
[2020:09:11-04:06:30]  (Local) -> (LOCAL)[5][CAPU]Naomi09_smp: como es que buscas a alguien
[2020:09:11-04:06:32]  (Local) -> (LOCAL)[7]RetroElegante: XDDD Q paso tombo
[2020:09:11-04:06:32]  (Local) -> (LOCAL)[2][Z]DanielFly: toca ir al carro rojo
[2020:09:11-04:06:33]  (Local) -> (LOCAL)[7]RetroElegante: hpta
[2020:09:11-04:06:34]  (Local) -> (LOCAL)[5]Megu: dale f3
[2020:09:11-04:06:35]  (Global) -> |DV|Prexto: muchas gracias señor bareto
[2020:09:11-04:06:37]  (Local) -> (LOCAL)[5]Megu: y maps
[2020:09:11-04:06:40]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF7C00 McBareto: asi le activan el vip más rapido
[2020:09:11-04:06:41]  (Local) -> (LOCAL)[2][Z]DanielFly: yo lo poongo usted lo compra
[2020:09:11-04:06:41]  (Local) -> (LOCAL)[4]Megu: y pones player
[2020:09:11-04:06:41]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF7C00 McBareto: de nada
[2020:09:11-04:06:43]  (Global) -> [EVGT]SUMADRE420: KIEN PA TRABAJAR DE CAMIONERO
[2020:09:11-04:06:46]  (Global) -> |DV|Prexto: love for you
[2020:09:11-04:06:49]  (Global) -> [GT]OLAVE: a
[2020:09:11-04:06:51]  (Local) -> (LOCAL)[1]Jabon: cojamos las de esos mks de naranjado
[2020:09:11-04:06:52]  (Local) -> (LOCAL)[4][CAPU]Naomi09_smp: y luego?
[2020:09:11-04:06:53]  (Local) -> (LOCAL)[4]Megu: ahi buscas al que desees
[2020:09:11-04:06:53]  (Local) -> (LOCAL)[6][S.A.S][C]JONS: perro lo curo
[2020:09:11-04:06:54]  (Local) -> (LOCAL)[2][Z]DanielFly: pero en las venturas ya que aca lo matan a uno con la plata
[2020:09:11-04:06:56]  (Local) -> (LOCAL)[1]Jabon: me caen mal
[2020:09:11-04:06:56]  (Local) -> (LOCAL)[4]Megu: le das click
[2020:09:11-04:07:03]  (Local) -> (LOCAL)[4]Megu: y te marcara algo en el mapa
[2020:09:11-04:07:04]  (Local) -> (LOCAL)[1][EVG]Avalencia: neaaaa
[2020:09:11-04:07:04]  (Global) -> (RCA)GustavoPetro: COMO SE SUELTA EL TRAILER ''??? AYUDAA
[2020:09:11-04:07:05]  (Local) -> (LOCAL)[2]Diomedes777: jajaja
[2020:09:11-04:07:05]  (Local) -> (LOCAL)[8][S.A.S][C]JONS: locuro
[2020:09:11-04:07:06]  (Local) -> (LOCAL)[1][EVG]Avalencia: oeeee
[2020:09:11-04:07:07]  (Local) -> (LOCAL)[2]Diomedes777: breve
[2020:09:11-04:07:09]  (Global) -> SkinnyGazelle88: DANCE 1
[2020:09:11-04:07:11]  (Local) -> (LOCAL)[6]Willyputoamo: sisas
[2020:09:11-04:07:11]  (Local) -> (LOCAL)[2]quesoxd: ALOS TOMBOS
[2020:09:11-04:07:12]  (Global) -> [EVG]Avalencia: EL DEL HELICOTERO
[2020:09:11-04:07:13]  (Local) -> (LOCAL)[2][Z]DanielFly: me paso con ese mismo carro xd
[2020:09:11-04:07:13]  (Local) -> (LOCAL)[3]Hate: casi ksjksj
[2020:09:11-04:07:15]  (Global) -> (RCA)GustavoPetro: SUMADRE420 YOO
[2020:09:11-04:07:17]  (Local) -> (LOCAL)[2][Z]DanielFly: perdi un palo
[2020:09:11-04:07:18]  (Local) -> (LOCAL)[6][CAPU]Naomi09_smp: en f11?
[2020:09:11-04:07:20]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerni: son buenos?
[2020:09:11-04:07:20]  (Local) -> (LOCAL)[2][Z]DanielFly: vamos?
[2020:09:11-04:07:22]  (Global) -> SkinnyGazelle88: DANCE 4
[2020:09:11-04:07:24]  (Local) -> (LOCAL)[6]Megu: sip
[2020:09:11-04:07:24]  (Local) -> (LOCAL)[2]Diomedes777: espre
[2020:09:11-04:07:25]  (Global) -> AccessibleNotebook4: yuioklñmnbhygfzxcvbnm.-ww
[2020:09:11-04:07:25]  (Local) -> (LOCAL)[2](DV)soplaputas: que visaje
[2020:09:11-04:07:27]  (Local) -> (LOCAL)[6]Megu: o en el mini mapa
[2020:09:11-04:07:27]  (Local) -> (LOCAL)[1]Jabon: best gansters war
[2020:09:11-04:07:28]  (Local) -> (LOCAL)[2][Z]DanielFly: hagale
[2020:09:11-04:07:28]  (Global) -> [EVGT]SUMADRE420: LLEGUE AL TRABAJO DE CAMIONERO DE LS
[2020:09:11-04:07:30]  (Local) -> (LOCAL)[5][S.A.S][C]JONS: fino
[2020:09:11-04:07:31]  (Local) -> (LOCAL)[4]Hate: afuera esta ese hpta
[2020:09:11-04:07:32]  (Local) -> (LOCAL)[5]Willyputoamo: gracias bro
[2020:09:11-04:07:33]  (Local) -> (LOCAL)[2]Diomedes777: que no tengo toda la plata
[2020:09:11-04:07:34]  (Global) -> SkinnyGazelle88: dance: dance 2
[2020:09:11-04:07:35]  (Local) -> (LOCAL)[7][CAPU]Naomi09_smp: gracias Megu
[2020:09:11-04:07:35]  (Local) -> (LOCAL)[4]Hate: no
[2020:09:11-04:07:36]  (Local) -> (LOCAL)[4]Hate: xd
[2020:09:11-04:07:37]  (Local) -> (LOCAL)[1]Jabon: es la gang de camilop no se xd
[2020:09:11-04:07:38]  (Local) -> (LOCAL)[7]Megu: de nada :D
[2020:09:11-04:07:39]  (Local) -> (LOCAL)[2][Z]DanielFly: breve
[2020:09:11-04:07:40]  (Local) -> (LOCAL)[7][CAPU]Naomi09_smp: q belleza
[2020:09:11-04:07:40]  (Global) -> (RCA)GustavoPetro: OE SUMADRE420 YA MISMO VOY
[2020:09:11-04:07:45]  (Local) -> (LOCAL)[6][CAPU]Naomi09_smp: hasta luego
[2020:09:11-04:07:46]  (Global) -> [EVGT]SUMADRE420: ALE
[2020:09:11-04:07:47]  (Local) -> (LOCAL)[5]Hate: tengo 1
[2020:09:11-04:07:48]  (Global) -> Coronel_Mario: POLI
[2020:09:11-04:07:49]  (Global) -> (BGW)camilop202: aaaaaaaaaaaaaa
[2020:09:11-04:07:52]  (Global) -> Coronel_Mario: DEME UN GOLPE
[2020:09:11-04:07:53]  (Global) -> [GT]OLAVE: AAAAA
[2020:09:11-04:07:53]  (Local) -> (LOCAL)[2]Diomedes777: anda lag el man
[2020:09:11-04:07:55]  (Local) -> (LOCAL)[2][Z]DanielFly: ese fue mi primer carro caro :´)
[2020:09:11-04:07:55]  (Local) -> (LOCAL)[5](BGW)camilop202: me bugeue
[2020:09:11-04:07:57]  (Global) -> Coronel_Mario: MIGUELL
[2020:09:11-04:07:57]  (Global) -> (BGW)camilop202: algun admins
[2020:09:11-04:07:58]  (Global) -> RetroElegante: aaa
[2020:09:11-04:07:59]  (Global) -> (BGW)Krono2.0: menor quedece aqui
[2020:09:11-04:08:00]  (Global) -> ELBARTO: que tal pagan en camionero?
[2020:09:11-04:08:01]  (Global) -> (BGW)camilop202: algun admin
[2020:09:11-04:08:02]  (Local) -> (LOCAL)[2][Z]DanielFly: no ya no
[2020:09:11-04:08:02]  (Local) -> (LOCAL)[1](BGW)DaniloL: bn
[2020:09:11-04:08:03]  (Global) -> (BGW)camilop202: que me ayude
[2020:09:11-04:08:03]  (Local) -> (LOCAL)[5]Q'Piskero: no las cogio deel piso?
[2020:09:11-04:08:05]  (Global) -> (BGW)camilop202: me buge
[2020:09:11-04:08:05]  (Global) -> #7F7F7F|CVR|#FFFB00ReizerB: digame
[2020:09:11-04:08:07]  (Local) -> (LOCAL)[2]Diomedes777: esta bien melo
[2020:09:11-04:08:09]  (Local) -> (LOCAL)[4]Hate: no ksjskj
[2020:09:11-04:08:10]  (Global) -> (BGW)camilop202: reizer to bug
[2020:09:11-04:08:11]  (Local) -> (LOCAL)[2][Z]DanielFly: szs
[2020:09:11-04:08:13]  (Local) -> (LOCAL)[2]CamilaGil: oe
[2020:09:11-04:08:13]  (Global) -> carlosjhonson: pille
[2020:09:11-04:08:13]  (Local) -> (LOCAL)[3]quesoxd: MLPP
[2020:09:11-04:08:17]  (Global) -> (BGW)camilop202: en el amunation
[2020:09:11-04:08:18]  (Global) -> Coronel_Mario: OE
[2020:09:11-04:08:21]  (Local) -> (LOCAL)[2][Z]DanielFly: tengo uno de 6 palos
[2020:09:11-04:08:21]  (Global) -> (BGW)camilop202: dsan fierro
[2020:09:11-04:08:29]  (Local) -> (LOCAL)[2][Z]DanielFly: es unico en el server
[2020:09:11-04:08:30]  (Local) -> (LOCAL)[2](DV)soplaputas: cual es
[2020:09:11-04:08:31]  (Local) -> (LOCAL)[6]quesoxd: NOOOOO
[2020:09:11-04:08:35]  (Local) -> (LOCAL)[2](BGW)camilop202: gracias
[2020:09:11-04:08:37]  (Local) -> (LOCAL)[5]quesoxd: AYUDAAAA
[2020:09:11-04:08:38]  (Global) -> juanes: sisas
[2020:09:11-04:08:38]  (Local) -> (LOCAL)[4]MIGUEL14501: ok bye
[2020:09:11-04:08:39]  (Local) -> (LOCAL)[2][Z]DanielFly: un elegy
[2020:09:11-04:08:40]  (Local) -> (LOCAL)[2](DV)soplaputas: vamos y lo pillo
[2020:09:11-04:08:41]  (Global) -> ELBARTO: cuanto pagan en camionero?
[2020:09:11-04:08:44]  (Global) -> RetroElegante: Buscon combito para matar tombos
[2020:09:11-04:08:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: listp
[2020:09:11-04:08:46]  (Local) -> (LOCAL)[1](BGW)camilop202: me rotas 2000
[2020:09:11-04:08:49]  (Local) -> (LOCAL)[1](BGW)camilop202: pa eltp
[2020:09:11-04:08:51]  (Global) -> dilan: aa
[2020:09:11-04:08:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: sisas
[2020:09:11-04:08:53]  (Local) -> (LOCAL)[1](BGW)camilop202: eltp
[2020:09:11-04:08:53]  (Global) -> RetroElegante: Busco combito para matar tombos
[2020:09:11-04:08:54]  (Local) -> (LOCAL)[3]quesoxd: SOLTAME PEERO HPTA AYUDAAAAAAAAAAAAA
[2020:09:11-04:08:56]  (Local) -> (LOCAL)[1](BGW)camilop202: gracias
[2020:09:11-04:08:57]  (Team - Services) -> (TEAM)(CTS)EmilioEscobar: yogan
[2020:09:11-04:08:58]  (Local) -> (LOCAL)[1](BGW)camilop202: todo bien
[2020:09:11-04:08:59]  (Global) -> [EVGT]SUMADRE420: DE 30K A 50K
[2020:09:11-04:09:00]  (Local) -> (LOCAL)[1](CTS)EmilioEscobar: yogan
[2020:09:11-04:09:00]  (Global) -> Megu: llegue
[2020:09:11-04:09:02]  (Global) -> Megu: RetroElegante[4]
[2020:09:11-04:09:05]  (Local) -> (LOCAL)[1][Z]DanielFly: plata
[2020:09:11-04:09:06]  (Local) -> (LOCAL)[2]quesoxd: AYUDAAAAAAAAAAAAA
[2020:09:11-04:09:07]  (Global) -> DonEloy: 7tp
[2020:09:11-04:09:09]  (Local) -> (LOCAL)[1](CTS)EmilioEscobar: compraste vip?
[2020:09:11-04:09:13]  (Global) -> ELBARTO: y son lasrgos los viejaes?
[2020:09:11-04:09:15]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: ando pia
[2020:09:11-04:09:17]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: piao
[2020:09:11-04:09:18]  (Local) -> (LOCAL)[1](BGW)camilop202: tqm
[2020:09:11-04:09:19]  (Global) -> [EVGT]SUMADRE420: MASO
[2020:09:11-04:09:20]  (Global) -> MIGUEL14501: u
[2020:09:11-04:09:20]  (Global) -> (BGW)camilop202: tqm
[2020:09:11-04:09:22]  (Local) -> (LOCAL)[2][EVG]FIPPER: kiero matar al jugador carteleado
[2020:09:11-04:09:23]  (Local) -> (LOCAL)[5]MIGUEL14501: oe
[2020:09:11-04:09:24]  (Local) -> (LOCAL)[2][Z]DanielFly: y
[2020:09:11-04:09:25]  (Global) -> Coronel_Mario: VAMOS BEBE
[2020:09:11-04:09:26]  (Local) -> (LOCAL)[8][CAPU]Changua-Tropeler: bobos, es pa matar tombos
[2020:09:11-04:09:26]  (Local) -> (LOCAL)[2][Z]DanielFly: a
[2020:09:11-04:09:28]  (Local) -> (LOCAL)[4]surimc30: jjaja
[2020:09:11-04:09:29]  (Local) -> (LOCAL)[3]MIGUEL14501: i
[2020:09:11-04:09:30]  (Global) -> ratix86: hey tombo
[2020:09:11-04:09:31]  (Global) -> Q'Piskero: grabado por marica
[2020:09:11-04:09:31]  (Local) -> (LOCAL)[2]quesoxd: MUCHO MLP
[2020:09:11-04:09:32]  (Local) -> (LOCAL)[1]RetroElegante: busetero hptta
[2020:09:11-04:09:32]  (Global) -> Q'Piskero: lo voy a funar
[2020:09:11-04:09:34]  (Global) -> Q'Piskero: chevery
[2020:09:11-04:09:35]  (Global) -> ratix86: dejeme decirle algo
[2020:09:11-04:09:35]  (Local) -> (LOCAL)[1]RetroElegante: interrumpes mi drift
[2020:09:11-04:09:38]  (Local) -> (LOCAL)[2]MIGUEL14501: como salgo de aqui
[2020:09:11-04:09:39]  (Global) -> Coronel_Mario: QUE
[2020:09:11-04:09:40]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: sueltelo pai
[2020:09:11-04:09:41]  (Global) -> (RCA)GustavoPetro: SUMADRE 420 OEEE YA LLEGUE
[2020:09:11-04:09:42]  (Global) -> ratix86: la buena usted es un tombo fino
[2020:09:11-04:09:43]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: vamos a beber
[2020:09:11-04:09:45]  (Local) -> (LOCAL)[1][Z]DanielFly: vealo
[2020:09:11-04:09:46]  (Global) -> Jim: venga le digo algo alli en la esquina 
[2020:09:11-04:09:47]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: fino
[2020:09:11-04:09:48]  (Global) -> ratix86: captureme con todo el gustp
[2020:09:11-04:09:49]  (Global) -> juanes: oe
[2020:09:11-04:09:51]  (Global) -> Coronel_Mario: JAJAJA
[2020:09:11-04:09:51]  (Local) -> (LOCAL)[3]quesoxd: AYUDAAAAAAAAAAAAAAAAAAAA
[2020:09:11-04:09:53]  (Local) -> (LOCAL)[5]bosnian: wili bnga
[2020:09:11-04:09:54]  (Global) -> quesoxd: AYUDAAAAAAAAAAAAAAAAAAAA
[2020:09:11-04:09:55]  (Global) -> GT|Cheverry: funar que?
[2020:09:11-04:09:55]  (Global) -> (RCA)GustavoPetro: OE
[2020:09:11-04:09:55]  (Global) -> Coronel_Mario: POR QUE LO DICES?
[2020:09:11-04:09:58]  (Local) -> (LOCAL)[3]bosnian: ayudme
[2020:09:11-04:09:58]  (Local) -> (LOCAL)[1][EVGT]SUMADRE420: OE
[2020:09:11-04:09:59]  (Global) -> (RCA)GustavoPetro: VENGA
[2020:09:11-04:10:00]  (Global) -> juanes: como se llama el tema
[2020:09:11-04:10:01]  (Local) -> (LOCAL)[2]Willyputoamo: espere
[2020:09:11-04:10:02]  (Local) -> (LOCAL)[3]DV_OMAR25: JAJAJAJAJAJJAJAJA
[2020:09:11-04:10:02]  (Global) -> GT|~Beltran: Si o k
[2020:09:11-04:10:04]  (Local) -> (LOCAL)[3]DV_OMAR25: JAJAJAJAJAJAJAJJAJAJAJAJ
[2020:09:11-04:10:05]  (Global) -> ratix86: porque manejas el billete socio asi ni nosotros
[2020:09:11-04:10:05]  (Global) -> DonEloy: como me teletransporto
[2020:09:11-04:10:06]  (Local) -> (LOCAL)[2]bosnian: adonde
[2020:09:11-04:10:06]  (Global) -> GT|Cheverry: funar que?
[2020:09:11-04:10:06]  (Local) -> (LOCAL)[2]Willyputoamo: voy al banco
[2020:09:11-04:10:11]  (Global) -> ratix86: solo finos humildes
[2020:09:11-04:10:12]  (Local) -> (LOCAL)[1][Z]DanielFly: es para hacer drift
[2020:09:11-04:10:12]  (Local) -> (LOCAL)[3]bosnian: si
[2020:09:11-04:10:13]  (Local) -> (LOCAL)[3]Willyputoamo: acompañeme
[2020:09:11-04:10:17]  (Local) -> (LOCAL)[1]king_wolf: hol
[2020:09:11-04:10:18]  (Global) -> (RCA)GustavoPetro: CUANDO UNO LLEGA AL CIRCULO VERDE COMO RECLAMA EL DINERO
[2020:09:11-04:10:19]  (Local) -> (LOCAL)[1]Nivek.HH: PANA
[2020:09:11-04:10:20]  (Global) -> Coronel_Mario: JAJAJAJ BUENA
[2020:09:11-04:10:22]  (Global) -> [GT]OLAVE: lo van a acusar por hacks nooooo
[2020:09:11-04:10:22]  (Local) -> (LOCAL)[3]quesoxd: JM MLP
[2020:09:11-04:10:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: oe
[2020:09:11-04:10:23]  (Global) -> GT|~Beltran: Sos rico, reparalo y ya
[2020:09:11-04:10:23]  (Local) -> (LOCAL)[1]Nivek.HH: UNA PREGUNTA
[2020:09:11-04:10:23]  (Global) -> ratix86: buena
[2020:09:11-04:10:25]  (Global) -> Coronel_Mario: PERO VOS SABES
[2020:09:11-04:10:25]  (Local) -> (LOCAL)[1]king_wolf: vendes carros
[2020:09:11-04:10:26]  (Local) -> (LOCAL)[1]Willyputoamo: como vamos
[2020:09:11-04:10:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: digame
[2020:09:11-04:10:28]  (Local) -> (LOCAL)[1]Nivek.HH: QUE PENA
[2020:09:11-04:10:29]  (Global) -> (RCA)GustavoPetro: PASE EL CAMION Y NO PASABA NADA
[2020:09:11-04:10:29]  (Local) -> (LOCAL)[1][S.A.S][C]JONS: lo curo
[2020:09:11-04:10:29]  (Local) -> (LOCAL)[0]TUERTO: HEY SE BUGUEO EL PUNTO VERDE DE LOS CAMIONEROS
[2020:09:11-04:10:30]  (Local) -> (LOCAL)[1][EVGT]SUMADRE420: solamente pasa el camion por hay
[2020:09:11-04:10:31]  (Global) -> Coronel_Mario: PATRIA PRIMERO
[2020:09:11-04:10:32]  (Global) -> TUERTO: HEY SE BUGUEO EL PUNTO VERDE DE LOS CAMIONEROS
[2020:09:11-04:10:33]  (Local) -> (LOCAL)[1]CamilaGil: nokas
[2020:09:11-04:10:36]  (Global) -> ratix86: aro aro socio
[2020:09:11-04:10:36]  (Global) -> Coronel_Mario: LO SIENTO
[2020:09:11-04:10:37]  (Local) -> (LOCAL)[1]bosnian: nose xd
[2020:09:11-04:10:37]  (Global) -> (RCA)GustavoPetro: AHAHAHA
[2020:09:11-04:10:37]  (Local) -> (LOCAL)[1](DV)soplaputas: esta re melo
[2020:09:11-04:10:38]  (Local) -> (LOCAL)[1]king_wolf: ashh
[2020:09:11-04:10:38]  (Local) -> (LOCAL)[1]CamilaGil: pero se donde los venden
[2020:09:11-04:10:39]  (Local) -> (LOCAL)[1]Nivek.HH: CUANTOS VUELOS SON PARA EL MAIXIMO NIVEL EN PILOTO?
[2020:09:11-04:10:40]  (Global) -> ratix86: sizas
[2020:09:11-04:10:40]  (Global) -> (RCA)GustavoPetro: Q PASARIA
[2020:09:11-04:10:45]  (Local) -> (LOCAL)[1][Z]DanielFly: es unico
[2020:09:11-04:10:45]  (Local) -> (LOCAL)[1]CamilaGil: cuanton tiene xd?
[2020:09:11-04:10:45]  (Local) -> (LOCAL)[1]king_wolf: me quiere comprar uno+
[2020:09:11-04:10:47]  (Local) -> (LOCAL)[1](DV)soplaputas: cuanto levanta
[2020:09:11-04:10:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: 1300
[2020:09:11-04:10:51]  (Local) -> (LOCAL)[1][Z]DanielFly: :3
[2020:09:11-04:10:53]  (Global) -> GT|Cheverry: funar que?
[2020:09:11-04:10:55]  (Local) -> (LOCAL)[1][EVGT]SUMADRE420: reinicie si kiere yo lo espero
[2020:09:11-04:10:57]  (Global) -> GT|Cheverry: respondame
[2020:09:11-04:10:58]  (Local) -> (LOCAL)[2]Hate: me funaron
[2020:09:11-04:10:59]  (Local) -> (LOCAL)[1]Nivek.HH: BREVE PANA, GRACIAS
[2020:09:11-04:10:59]  (Local) -> (LOCAL)[1]Diomedes777: oeee+
[2020:09:11-04:10:59]  (Local) -> (LOCAL)[2][Z]DanielFly: no se mirar
[2020:09:11-04:11:00]  (Local) -> (LOCAL)[1][S.A.S][C]JONS: huy ñero
[2020:09:11-04:11:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: listo
[2020:09:11-04:11:02]  (Global) -> Coronel_Mario: BUENA PAPI ME BUSCA PARA PARCHAR
[2020:09:11-04:11:02]  (Local) -> (LOCAL)[1][EVGT]SUMADRE420: pa q cambie el trailer
[2020:09:11-04:11:03]  (Local) -> (LOCAL)[1]Nivek.HH: SEVERA
[2020:09:11-04:11:03]  (Local) -> (LOCAL)[1](DV)POPEYE: paaa
[2020:09:11-04:11:03]  (Global) -> ratix86: juaz juaz
[2020:09:11-04:11:04]  (Local) -> (LOCAL)[1][S.A.S][C]JONS: todo bien
[2020:09:11-04:11:06]  (Global) -> ratix86: la buena 
[2020:09:11-04:11:06]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFB00ReizerB: vale la pena
[2020:09:11-04:11:06]  (Global) -> (RCA)GustavoPetro: NO AGALE VAMOS
[2020:09:11-04:11:06]  (Local) -> (LOCAL)[1]Martin_Crack04: JSDJASJSAJDASD
[2020:09:11-04:11:06]  (Global) -> [GT]OLAVE: lo van a acusar por hacks nooooo
[2020:09:11-04:11:07]  (Local) -> (LOCAL)[1][S.A.S][C]JONS: no puedo mas
[2020:09:11-04:11:09]  (Global) -> Coronel_Mario: BUENA JAJA
[2020:09:11-04:11:09]  (Local) -> (LOCAL)[1](DV)soplaputas: como le hace para conseguir esos tan melos
[2020:09:11-04:11:10]  (Local) -> (LOCAL)[1](DV)POPEYE: paila se bugueo
[2020:09:11-04:11:10]  (Local) -> (LOCAL)[1]Martin_Crack04: La buena
[2020:09:11-04:11:11]  (Global) -> TUERTO: HEY SE BUGUEO EL PUNTO VERDE DE LOS CAMIONEROS
[2020:09:11-04:11:14]  (Local) -> (LOCAL)[1]bosnian: igual turfeamos en el banco
[2020:09:11-04:11:14]  (Global) -> [ZETAS]Buitre: espere retiro ñero
[2020:09:11-04:11:16]  (Local) -> (LOCAL)[2]king_wolf: es un bugguie
[2020:09:11-04:11:20]  (Local) -> (LOCAL)[1]Willyputoamo: ale
[2020:09:11-04:11:24]  (Local) -> (LOCAL)[1][Z]DanielFly: pues enveces los tuneo
[2020:09:11-04:11:24]  (Local) -> (LOCAL)[1](DV)POPEYE: no mkk
[2020:09:11-04:11:26]  (Global) -> juanes: oe como se llama el tema
[2020:09:11-04:11:28]  (Local) -> (LOCAL)[2]quesoxd: UCANDO ME LOE NECUENTRE
[2020:09:11-04:11:29]  (Local) -> (LOCAL)[5]king_wolf: gracias
[2020:09:11-04:11:30]  (Local) -> (LOCAL)[1][EVGT]SUMADRE420: coja el trailer
[2020:09:11-04:11:31]  (Local) -> (LOCAL)[1]Hate: VAMOS JUNTOS
[2020:09:11-04:11:32]  (Local) -> (LOCAL)[2][Z]DanielFly: y este me lo vendio un admin
[2020:09:11-04:11:34]  (Global) -> Jim: si si 
[2020:09:11-04:11:34]  (Local) -> (LOCAL)[3]quesoxd: HPTA LO MATO HPTA
[2020:09:11-04:11:36]  (Local) -> (LOCAL)[1](DV)POPEYE: pa es solo a ud solo reinicie y brevas
[2020:09:11-04:11:36]  (Local) -> (LOCAL)[3]Judas: szs
[2020:09:11-04:11:37]  (Global) -> Jim: chao
[2020:09:11-04:11:41]  (Global) -> TUERTO: ME IMAGINO QUE LO HICIERON POR QUE NO ESTAMOS ALLA EN ESA PROTESYA
[2020:09:11-04:11:41]  (Global) -> #7F7F7F|CVR|#FF7C00 McBareto: Kene
[2020:09:11-04:11:44]  (Local) -> (LOCAL)[3]quesoxd: CHAO
[2020:09:11-04:11:47]  (Local) -> (LOCAL)[2](DV)soplaputas: entre pal negocio
[2020:09:11-04:11:50]  (Global) -> (RCA)GustavoPetro: OE
