This file was generated by Console at 2021:02:12-00:00:00



[2021:02:12-00:00:00]  (Global) -> AttractiveDunebuggy54: socio
[2021:02:12-04:33:12]  (Local) -> (LOCAL)[1]Javi'ELN': gastatelas todas
[2021:02:12-04:33:14]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Llanerito'ELN': eso
[2021:02:12-04:33:14]  (Global) -> Santy:): ES HACKER:(
[2021:02:12-04:33:14]  (Local) -> (LOCAL)[4]COSCULLUELA"ELN": MELO
[2021:02:12-04:33:15]  (Local) -> (LOCAL)[2]soplo[ELN]: no está tuning
[2021:02:12-04:33:18]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Llanerito'ELN': szs
[2021:02:12-04:33:18]  (Local) -> (LOCAL)[2]PABLO_EMILIO[RCA]: camine camellamos
[2021:02:12-04:33:18]  (Local) -> (LOCAL)[2]Jolyne|2cb: tengo mal bindeadas las skins
[2021:02:12-04:33:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: p''a
[2021:02:12-04:33:20]  (Global) -> ElViejoJuancho|2cb|..: ey admin
[2021:02:12-04:33:21]  (Team - Services) -> (TEAM)xXKennedy69Xx{AK}: Mas le vale
[2021:02:12-04:33:22]  (Local) -> (LOCAL)[2]Strange|2cb: BAN YAYAYA
[2021:02:12-04:33:24]  (Local) -> (LOCAL)[4]COSCULLUELA"ELN": MIRE
[2021:02:12-04:33:24]  (Local) -> (LOCAL)[2]Maracachafa_(RCA): vamos por rl carro
[2021:02:12-04:33:24]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: que le peasa
[2021:02:12-04:33:24]  (Local) -> (LOCAL)[2]Strange|2cb: SUBAN
[2021:02:12-04:33:25]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Llanerito'ELN': mañana tiramos turfs
[2021:02:12-04:33:25]  (Local) -> (LOCAL)[1]Javi'ELN': ten otra
[2021:02:12-04:33:26]  (Local) -> (LOCAL)[3]ElViejoJuancho|2cb|..: quitare eso
[2021:02:12-04:33:30]  (Local) -> (LOCAL)[4]COSCULLUELA"ELN": VA
[2021:02:12-04:33:30]  (Local) -> (LOCAL)[3]soplo[ELN]: va
[2021:02:12-04:33:31]  (Local) -> (LOCAL)[3]ElViejoJuancho|2cb|..: quitate eso
[2021:02:12-04:33:35]  (Local) -> (LOCAL)[1]Javi'ELN': eso lo compras en el hospital
[2021:02:12-04:33:41]  (Global) -> #7F7F7F|ADM|#FF5C00MoraHpta|2GDT: ya lo estoy viendo
[2021:02:12-04:33:42]  (Local) -> (LOCAL)[2]Jolyne|2cb: oye me gusta tu smbrero
[2021:02:12-04:33:43]  (Local) -> (LOCAL)[4]#7F7F7F|ADM||DJ|#FF5C00Jimenez: Pero solo tengo 2 bareticos eg
[2021:02:12-04:33:43]  (Global) -> PumpedLips88: Melo
[2021:02:12-04:33:47]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: que
[2021:02:12-04:33:49]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: que quiere
[2021:02:12-04:33:49]  (Local) -> (LOCAL)[2]Strange|2cb: SUBEEE
[2021:02:12-04:33:49]  (Local) -> (LOCAL)[2]ElViejoJuancho|2cb|..: quitate eso de arriba mk
[2021:02:12-04:33:52]  (Local) -> (LOCAL)[2]ElViejoJuancho|2cb|..: no te ves
[2021:02:12-04:33:53]  (Local) -> (LOCAL)[2]PABLO_EMILIO[RCA]: yo manejo
[2021:02:12-04:33:59]  (Local) -> (LOCAL)[1]Javi'ELN': ahora cuanta plata tienes
[2021:02:12-04:34:00]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Llanerito'ELN': ajjaja melo pana
[2021:02:12-04:34:00]  (Local) -> (LOCAL)[3]Strange|2cb: OK CHAO
[2021:02:12-04:34:03]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Llanerito'ELN': asi es
[2021:02:12-04:34:04]  (Local) -> (LOCAL)[3]COSCULLUELA"ELN": szs
[2021:02:12-04:34:04]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: asi bea
[2021:02:12-04:34:07]  (Global) -> Santy:): SOLTAMEEEEJAJAJAJAJA
[2021:02:12-04:34:07]  (Global) -> PumpedLips88: 6815
[2021:02:12-04:34:07]  (Global) -> Klaus: dsaajdjsadjas
[2021:02:12-04:34:09]  (Global) -> Klaus: juajjaua
[2021:02:12-04:34:10]  (Local) -> (LOCAL)[3]COSCULLUELA"ELN": como se debe
[2021:02:12-04:34:10]  (Local) -> (LOCAL)[1]Jolyne|2cb: jsdjsdjsjd
[2021:02:12-04:34:12]  (Global) -> Klaus: ejejefjufeuufj
[2021:02:12-04:34:13]  (Team - Services) -> (TEAM)xXKennedy69Xx{AK}: Espere, faltan unos socios
[2021:02:12-04:34:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Llanerito'ELN': melo
[2021:02:12-04:34:14]  (Local) -> (LOCAL)[1]Javi'ELN': listo quedatela
[2021:02:12-04:34:18]  (Local) -> (LOCAL)[2]soplo[ELN]: pongo el cronometro
[2021:02:12-04:34:19]  (Local) -> (LOCAL)[1]Javi'ELN': pero cuando tengas mucha
[2021:02:12-04:34:21]  (Global) -> Strange|2cb: Bv
[2021:02:12-04:34:21]  (Local) -> (LOCAL)[2]soplo[ELN]: me dicen cuando
[2021:02:12-04:34:22]  (Local) -> (LOCAL)[1]Javi'ELN': mas de 20k
[2021:02:12-04:34:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: oe grow
[2021:02:12-04:34:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: no quiere ser 2cB
[2021:02:12-04:34:26]  (Local) -> (LOCAL)[1]Javi'ELN': metela al banco
[2021:02:12-04:34:27]  (Local) -> (LOCAL)[3]KAMET: tombo hp
[2021:02:12-04:34:27]  (Team - Services) -> (TEAM)xXKennedy69Xx{AK}: Breve
[2021:02:12-04:34:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: ?
[2021:02:12-04:34:31]  (Global) -> Santy:): NOOOOOOOOOOOOOOO ÑEROOOOOOOOOOOO
[2021:02:12-04:34:32]  (Local) -> (LOCAL)[1]Javi'ELN': porque si no te la roban
[2021:02:12-04:34:33]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: xddd
[2021:02:12-04:34:39]  (Local) -> (LOCAL)[4]#7F7F7F|ADM||LG|#FF0000tussy'2cb: putoletrero
[2021:02:12-04:34:41]  (Global) -> PumpedLips88: Breve
[2021:02:12-04:34:42]  (Global) -> SEVEN33: te curo rey?
[2021:02:12-04:34:42]  (Local) -> (LOCAL)[1]Groow: eres berna?
[2021:02:12-04:34:46]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: sisas
[2021:02:12-04:34:46]  (Local) -> (LOCAL)[1]KAMET: a
[2021:02:12-04:34:47]  (Global) -> Santy:): TODO BIEN
[2021:02:12-04:34:48]  (Local) -> (LOCAL)[1]Jolyne|2cb: deberiamos trolear chimba con este
[2021:02:12-04:34:49]  (Global) -> Big_poppa: si mi rey
[2021:02:12-04:34:50]  (Global) -> Maracachafa_(RCA):  quie es jimenez
[2021:02:12-04:34:52]  (Local) -> (LOCAL)[1]Strange|2cb: xddd
[2021:02:12-04:34:53]  (Local) -> (LOCAL)[4]Samuel_R.: chao ps
[2021:02:12-04:34:54]  (Local) -> (LOCAL)[1]Strange|2cb: ya no tengo
[2021:02:12-04:34:55]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: q
[2021:02:12-04:34:56]  (Local) -> (LOCAL)[1]Strange|2cb: gasofa
[2021:02:12-04:34:58]  (Local) -> (LOCAL)[3]Moebiuz: loca hp}
[2021:02:12-04:34:59]  (Global) -> chayane: SUELTEMEN PIROBOSSSSSS
[2021:02:12-04:35:01]  (Local) -> (LOCAL)[1]Jolyne|2cb: notengo
[2021:02:12-04:35:02]  (Local) -> (LOCAL)[1]Strange|2cb: ahora mira este
[2021:02:12-04:35:02]  (Local) -> (LOCAL)[3]KAMET: muy admin
[2021:02:12-04:35:04]  (Local) -> (LOCAL)[1]Strange|2cb: salta
[2021:02:12-04:35:05]  (Global) -> Big_poppa: muchas gracias mi rey
[2021:02:12-04:35:05]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000bershka: sisas?
[2021:02:12-04:35:08]  (Global) -> Maracachafa_(RCA):  papi su moto se la esatn robandooo
[2021:02:12-04:35:10]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||DJ|#FF5C00Jimenez: Hola
[2021:02:12-04:35:10]  (Global) -> SEVEN33: dale paaaa
[2021:02:12-04:35:16]  (Local) -> (LOCAL)[6]KAMET: ajaja
[2021:02:12-04:35:19]  (Local) -> (LOCAL)[2]Groow: pues si no ponen problema por no estar en pvp a cada rato si
[2021:02:12-04:35:19]  (Local) -> (LOCAL)[1]Jolyne|2cb: ey qqqq
[2021:02:12-04:35:22]  (Global) -> Andres_Ramires|AK|: noooo chayan
[2021:02:12-04:35:23]  (Local) -> (LOCAL)[1]Javi'ELN': mira por ejemplo
[2021:02:12-04:35:23]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: Gracias
[2021:02:12-04:35:23]  (Local) -> (LOCAL)[5]Elortiz: ajaja
[2021:02:12-04:35:27]  (Local) -> (LOCAL)[1]Javi'ELN': ese es un banco
[2021:02:12-04:35:29]  (Local) -> (LOCAL)[5]KAMET: 7w7
[2021:02:12-04:35:33]  (Local) -> (LOCAL)[4]Elortiz: la buena
[2021:02:12-04:35:35]  (Global) -> Maracachafa_(RCA):  to copas
[2021:02:12-04:35:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: ud puede hacer lo q quiera
[2021:02:12-04:35:40]  (Local) -> (LOCAL)[1]Strange|2cb: pegate duro
[2021:02:12-04:35:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: si lo joden me dice
[2021:02:12-04:35:44]  (Local) -> (LOCAL)[1]Jolyne|2cb: si
[2021:02:12-04:35:46]  (Local) -> (LOCAL)[1]Groow: es q se me explota la canaima
[2021:02:12-04:35:49]  (Local) -> (LOCAL)[1]Groow: jsjsjsj
[2021:02:12-04:35:49]  (Local) -> (LOCAL)[6]KAMET: tu tranquilo
[2021:02:12-04:35:50]  (Local) -> (LOCAL)[1]Jolyne|2cb: ajsjasjjas
[2021:02:12-04:35:53]  (Local) -> (LOCAL)[4]soplo[ELN]: ya?
[2021:02:12-04:35:53]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000bershka: pero tambien hay que ir cuando mas pueda
[2021:02:12-04:35:55]  (Local) -> (LOCAL)[4]KAMET: xd
[2021:02:12-04:35:56]  (Global) -> Maracachafa_(RCA):  pabloooooooo
[2021:02:12-04:35:57]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: cuando pueda le hace
[2021:02:12-04:35:57]  (Local) -> (LOCAL)[1]Groow: hagale
[2021:02:12-04:35:58]  (Global) -> Jefxcz: Tussy le di la mano y me escupe en la cara 
[2021:02:12-04:35:59]  (Global) -> Strange|2cb: xddd
[2021:02:12-04:36:02]  (Local) -> (LOCAL)[2]Groow: ya me salgo de nazi
[2021:02:12-04:36:03]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: asi se muera eso no pasa nada
[2021:02:12-04:36:04]  (Global) -> Zoe: XD
[2021:02:12-04:36:08]  (Local) -> (LOCAL)[2]SeOk^|ELN: aaaa
[2021:02:12-04:36:10]  (Local) -> (LOCAL)[3]Zoe: uy
[2021:02:12-04:36:12]  (Global) -> Strange|2cb: aaaaaaaaaaaaaaaaaaa
[2021:02:12-04:36:12]  (Local) -> (LOCAL)[4]Radial'2cb: no se vaya gay
[2021:02:12-04:36:12]  (Local) -> (LOCAL)[4]Zoe: ola
[2021:02:12-04:36:13]  (Team - Criminals) -> (TEAM)RubenSk8[2cb]: }
[2021:02:12-04:36:16]  (Local) -> (LOCAL)[3]Radial'2cb: #CCCCCCFlaco|2cb[2]
[2021:02:12-04:36:17]  (Global) -> RubenSk8[2cb]: x lambon
[2021:02:12-04:36:19]  (Global) -> Santy:): OLE COMO TIENE 2 ESCOPETAS?
[2021:02:12-04:36:21]  (Global) -> chayane: COJIERON CHAYANE AYUDAAAAA
[2021:02:12-04:36:21]  (Local) -> (LOCAL)[6]Radial'2cb: gola
[2021:02:12-04:36:21]  (Local) -> (LOCAL)[1]Javi'ELN': aca es camioneros
[2021:02:12-04:36:25]  (Local) -> (LOCAL)[4]Zoe: ola amigo
[2021:02:12-04:36:25]  (Local) -> (LOCAL)[1]Groow: listo
[2021:02:12-04:36:28]  (Local) -> (LOCAL)[3]Radial'2cb: qn eres
[2021:02:12-04:36:28]  (Local) -> (LOCAL)[2]COSCULLUELA"ELN": vip
[2021:02:12-04:36:29]  (Local) -> (LOCAL)[1]KAMET: DIOS AYUDAME
[2021:02:12-04:36:33]  (Local) -> (LOCAL)[4]Zoe: sancocho
[2021:02:12-04:36:34]  (Local) -> (LOCAL)[1]KAMET: A GANARMEO
[2021:02:12-04:36:35]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: eso
[2021:02:12-04:36:37]  (Local) -> (LOCAL)[4]Radial'2cb: CUM
[2021:02:12-04:36:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: ya le envie
[2021:02:12-04:36:39]  (Global) -> xXKennedy69Xx{AK}: Soplo, cma mierda
[2021:02:12-04:36:40]  (Local) -> (LOCAL)[4]Zoe: claro
[2021:02:12-04:36:41]  (Local) -> (LOCAL)[4]Radial'2cb: el q dic CUM?
[2021:02:12-04:36:42]  (Local) -> (LOCAL)[4]Zoe: solo cum xD
[2021:02:12-04:36:43]  (Local) -> (LOCAL)[4]Radial'2cb: aaa
[2021:02:12-04:36:44]  (Local) -> (LOCAL)[4]soplo[ELN]: JAJAJAAJAJAJ
[2021:02:12-04:36:47]  (Local) -> (LOCAL)[4]La_Garra[AK]: eso tuneado no vale :C
[2021:02:12-04:36:47]  (Local) -> (LOCAL)[7]Zoe: sancocho-Kum
[2021:02:12-04:36:47]  (Local) -> (LOCAL)[4]soplo[ELN]: tiene nitro
[2021:02:12-04:36:47]  (Local) -> (LOCAL)[7]Radial'2cb: hola sancoso
[2021:02:12-04:36:50]  (Local) -> (LOCAL)[7]Zoe: simplemente
[2021:02:12-04:36:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: oe Grow
[2021:02:12-04:36:51]  (Global) -> Jolyne|2cb: hesoyam
[2021:02:12-04:36:53]  (Team - Services) -> (TEAM)xXKennedy69Xx{AK}: Ahhh enserio
[2021:02:12-04:36:54]  (Local) -> (LOCAL)[1]Groow: ya
[2021:02:12-04:36:54]  (Local) -> (LOCAL)[8]Zoe: ola amigo
[2021:02:12-04:36:55]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: y otra cosa
[2021:02:12-04:36:56]  (Global) -> Strange|2cb: AAAAAAAAAAA
[2021:02:12-04:36:57]  (Local) -> (LOCAL)[1]Groow: si ?
[2021:02:12-04:36:57]  (Global) -> Maracachafa_(RCA): admins sirvan pa algo no dejan entrar al banco
[2021:02:12-04:36:58]  (Local) -> (LOCAL)[4]La_Garra[AK]: ajajaj
[2021:02:12-04:36:58]  (Local) -> (LOCAL)[8]Radial'2cb: y pq se cambio el name
[2021:02:12-04:36:58]  (Global) -> Strange|2cb: AYUDAAAAAAAA
[2021:02:12-04:36:59]  (Local) -> (LOCAL)[8]Zoe: veo q sigues en el negocio
[2021:02:12-04:37:00]  (Global) -> Jolyne|2cb: uzumymw
[2021:02:12-04:37:01]  (Global) -> Klaus: Dou
[2021:02:12-04:37:03]  (Local) -> (LOCAL)[7]Zoe: na pa joder xD
[2021:02:12-04:37:03]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: mk el nombre es util ponerse el 2cb
[2021:02:12-04:37:04]  (Local) -> (LOCAL)[4]KAMET: a
[2021:02:12-04:37:04]  (Local) -> (LOCAL)[1]Javi'ELN': a bro
[2021:02:12-04:37:06]  (Local) -> (LOCAL)[5]Radial'2cb: XDD
[2021:02:12-04:37:09]  (Global) -> GOMITA0810|Ak|: MoraHpta|2GDT
[2021:02:12-04:37:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000bershka: para que asi lo reconozcan rapido
[2021:02:12-04:37:12]  (Global) -> Klaus: Tirando pista contra tirofijo
[2021:02:12-04:37:15]  (Global) -> #7F7F7F|ADM||LG|#FF5C00Ricardo|Envigado|: Vendo Virgo, Rancher, Hustler y Oceanic
[2021:02:12-04:37:16]  (Local) -> (LOCAL)[1]Groow: ya me lo pongo
[2021:02:12-04:37:19]  (Local) -> (LOCAL)[10]Loca.I.|2cb|: sapo
[2021:02:12-04:37:19]  (Global) -> Strange|2cb: AYUDAAAAAAAA
[2021:02:12-04:37:19]  (Local) -> (LOCAL)[1]Javi'ELN': puedes poner en el chat /mods
[2021:02:12-04:37:20]  (Local) -> (LOCAL)[1](!POPPER!)(GT): PERO
[2021:02:12-04:37:21]  (Global) -> #7F7F7F|ADM||LG|#FF5C00Ricardo|Envigado|: Pregunte por lo que no vea
[2021:02:12-04:37:22]  (Global) -> Flaco|2cb: Vendo lambo,zcomet y Sunrise
[2021:02:12-04:37:24]  (Local) -> (LOCAL)[1](!POPPER!)(GT): tussy
[2021:02:12-04:37:24]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: Y no lo maten y esas cosas
[2021:02:12-04:37:26]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Me interesa el virgo
[2021:02:12-04:37:26]  (Local) -> (LOCAL)[1]Jolyne|2cb: mca donde estamos
[2021:02:12-04:37:27]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF0000tussy'2cb: q
[2021:02:12-04:37:28]  (Local) -> (LOCAL)[1](!POPPER!)(GT): oiga
[2021:02:12-04:37:31]  (Global) -> #7F7F7F|ADM||LG|#FF5C00Ricardo|Envigado|: Mi virgo?
[2021:02:12-04:37:31]  (Local) -> (LOCAL)[1]Strange|2cb: NOSE XDDD
[2021:02:12-04:37:33]  (Local) -> (LOCAL)[2](!POPPER!)(GT): espere
[2021:02:12-04:37:33]  (Local) -> (LOCAL)[2]Soltec|EVG|: XDDD
[2021:02:12-04:37:33]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Shi
[2021:02:12-04:37:34]  (Local) -> (LOCAL)[4](!POPPER!)(GT): venga
[2021:02:12-04:37:35]  (Local) -> (LOCAL)[1]Javi'ELN': ahi parce
[2021:02:12-04:37:36]  (Local) -> (LOCAL)[1]Jolyne|2cb: jasjajsjas
[2021:02:12-04:37:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: aunque si se conocen ya de una lo van a dejar quieto
[2021:02:12-04:37:37]  (Global) -> #7F7F7F|ADM||LG|#FF5C00Ricardo|Envigado|: interno
[2021:02:12-04:37:38]  (Local) -> (LOCAL)[1]Javi'ELN': no me deja
[2021:02:12-04:37:38]  (Local) -> (LOCAL)[5]ElViejoJuancho|2cb|..: ya lo vi
[2021:02:12-04:37:41]  (Global) -> Jolyne|2cb: ayuda un staff
[2021:02:12-04:37:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000bershka: o a protegerlo
[2021:02:12-04:37:44]  (Global) -> $hadowHunter[EVG]: XDDD}
[2021:02:12-04:37:45]  (Global) -> #7F7F7F|ADM||LG|#FF5C00Ricardo|Envigado|: Dime Jolyne|2cb
[2021:02:12-04:37:46]  (Global) -> Jolyne|2cb: nos perdimos
[2021:02:12-04:37:46]  (Local) -> (LOCAL)[1](!POPPER!)(GT): oiga pero
[2021:02:12-04:37:47]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Que paso Jolyne|2cb
[2021:02:12-04:37:47]  (Local) -> (LOCAL)[2]ElViejoJuancho|2cb|..: oe
[2021:02:12-04:37:48]  (Local) -> (LOCAL)[1]Javi'ELN': dale
[2021:02:12-04:37:48]  (Local) -> (LOCAL)[1]Zoe: veo que tienes competencia xDD
[2021:02:12-04:37:51]  (Local) -> (LOCAL)[2](!POPPER!)(GT): me invita a2cb porfa ajjs
[2021:02:12-04:37:52]  (Global) -> #7F7F7F|ADM|#FF8C00MoraHpta|2GDT: digame jolain
[2021:02:12-04:37:52]  (Local) -> (LOCAL)[1]Radial'2cb: eso veo
[2021:02:12-04:37:53]  (Local) -> (LOCAL)[3]KAMET: a
[2021:02:12-04:37:53]  (Local) -> (LOCAL)[1]Radial'2cb: XD
[2021:02:12-04:37:57]  (Local) -> (LOCAL)[3]ElViejoJuancho|2cb|..: enseña a hacer esa tavuel
[2021:02:12-04:37:58]  (Global) -> Jolyne|2cb: literal nos perdimos
[2021:02:12-04:37:58]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF0000tussy'2cb: falsetin
[2021:02:12-04:37:59]  (Global) -> Strange|2cb: NOSE XDDD
[2021:02:12-04:38:00]  (Local) -> (LOCAL)[1]Felipex'2cb: bro necesito 10k pa reparar mi coche :C
[2021:02:12-04:38:01]  (Global) -> Strange|2cb: AYUDAAAAAAAA
[2021:02:12-04:38:02]  (Local) -> (LOCAL)[1]Javi'ELN': que haces
[2021:02:12-04:38:05]  (Global) -> chayane: QUITEN LA MALPARIDA MUSICA PIROBOSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
[2021:02:12-04:38:08]  (Local) -> (LOCAL)[1]Zoe: sigue handleada? xdd
[2021:02:12-04:38:09]  (Global) -> Strange|2cb: AYUDAAAAAAAA
[2021:02:12-04:38:11]  (Local) -> (LOCAL)[4]Felipex'2cb: tengo nomas 3k
[2021:02:12-04:38:11]  (Local) -> (LOCAL)[1]Radial'2cb: si srs
[2021:02:12-04:38:12]  (Global) -> Andres_Ramires|AK|: rapi
[2021:02:12-04:38:13]  (Local) -> (LOCAL)[1]Radial'2cb: espere
[2021:02:12-04:38:17]  (Local) -> (LOCAL)[4]Groow: no me deja ponerme el 2cb
[2021:02:12-04:38:18]  (Local) -> (LOCAL)[3]ShaffyWarrior-2cb: yo ando pelado
[2021:02:12-04:38:19]  (Global) -> Flaco|2cb: chayane quitala ud como mk
[2021:02:12-04:38:20]  (Local) -> (LOCAL)[1]Javi'ELN': por el otro lado
[2021:02:12-04:38:22]  (Global) -> Andres_Ramires|AK|: quiere 50 mil
[2021:02:12-04:38:22]  (Local) -> (LOCAL)[1]Javi'ELN': como iba
[2021:02:12-04:38:23]  (Global) -> Jolyne|2cb: diosmio 
[2021:02:12-04:38:24]  (Local) -> (LOCAL)[0]#7F7F7F|ADM|#FF8C00MoraHpta|2GDT: buenaa
[2021:02:12-04:38:25]  (Local) -> (LOCAL)[1]Javi'ELN': iba bien
[2021:02:12-04:38:26]  (Global) -> PABLO_EMILIO[RCA]: ponerskin12
[2021:02:12-04:38:26]  (Global) -> #7F7F7F|ADM|#FF8C00MoraHpta|2GDT: ajasjajssa
[2021:02:12-04:38:27]  (Local) -> (LOCAL)[3]ElViejoJuancho|2cb|..: como es la tavuel
[2021:02:12-04:38:32]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: AJAJAJAJAJAA
[2021:02:12-04:38:32]  (Global) -> Strange|2cb: XDDDD
[2021:02:12-04:38:34]  (Global) -> Jolyne|2cb: dond estamos
[2021:02:12-04:38:36]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000bershka: uy quiet
[2021:02:12-04:38:43]  (Local) -> (LOCAL)[3]ElViejoJuancho|2cb|..: tira pa vel
[2021:02:12-04:38:44]  (Global) -> #7F7F7F|ADM|#FF8C00MoraHpta|2GDT: jajaja
[2021:02:12-04:38:44]  (Global) -> Winny7u7[AK]: hesoyam
[2021:02:12-04:38:47]  (Local) -> (LOCAL)[1]Zoe: a
[2021:02:12-04:38:49]  (Local) -> (LOCAL)[2](!POPPER!)(GT): entonces pero
[2021:02:12-04:38:51]  (Local) -> (LOCAL)[4]ElViejoJuancho|2cb|..: como?
[2021:02:12-04:38:52]  (Local) -> (LOCAL)[1]Radial'2cb: ghola
[2021:02:12-04:38:52]  (Local) -> (LOCAL)[2](!POPPER!)(GT): me einitas
[2021:02:12-04:38:53]  (Global) -> Jolyne|2cb: hesoyam XDDDDDDD
[2021:02:12-04:38:55]  (Local) -> (LOCAL)[1]Javi'ELN': parcero no
[2021:02:12-04:38:57]  (Local) -> (LOCAL)[2]PABLO_EMILIO[RCA]: q quiere
[2021:02:12-04:38:57]  (Local) -> (LOCAL)[1]Zoe: qn es xD
[2021:02:12-04:38:58]  (Global) -> Flaco|2cb: Vendo lambo,comet y Sunrise
[2021:02:12-04:39:00]  (Local) -> (LOCAL)[4]#7F7F7F|ADM||LG|#FF0000tussy'2cb: pq
[2021:02:12-04:39:01]  (Local) -> (LOCAL)[3]Maracachafa_(RCA): sigame
[2021:02:12-04:39:02]  (Local) -> (LOCAL)[1]Radial'2cb: ni idea
[2021:02:12-04:39:02]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000tussy'2cb: se falseo
[2021:02:12-04:39:03]  (Local) -> (LOCAL)[2]Toreto-Gt: te amo
[2021:02:12-04:39:03]  (Local) -> (LOCAL)[1]Radial'2cb: XDD
[2021:02:12-04:39:03]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000tussy'2cb: ?
[2021:02:12-04:39:04]  (Global) -> Jvargas: COMO LE SUBO LAS 
[2021:02:12-04:39:05]  (Local) -> (LOCAL)[1]Zoe: XDD
[2021:02:12-04:39:05]  (Local) -> (LOCAL)[1]Javi'ELN': eyy
[2021:02:12-04:39:06]  (Local) -> (LOCAL)[1]Radial'2cb: oe pa
[2021:02:12-04:39:08]  (Local) -> (LOCAL)[5](!POPPER!)(GT): nooo como asi
[2021:02:12-04:39:09]  (Local) -> (LOCAL)[1]Radial'2cb: y q paso con jete
[2021:02:12-04:39:09]  (Global) -> Jvargas: PATAS
[2021:02:12-04:39:12]  (Local) -> (LOCAL)[5](!POPPER!)(GT): ajjsja porque dice eso
[2021:02:12-04:39:13]  (Global) -> Jvargas: AL AVION
[2021:02:12-04:39:14]  (Local) -> (LOCAL)[5](!POPPER!)(GT): normal
[2021:02:12-04:39:16]  (Local) -> (LOCAL)[1]Zoe: na
[2021:02:12-04:39:17]  (Local) -> (LOCAL)[1]Javi'ELN': si ve en el mapa
[2021:02:12-04:39:19]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF0000tussy'2cb: ps se fue a gt
[2021:02:12-04:39:20]  (Local) -> (LOCAL)[2]COSCULLUELA"ELN": pirob
[2021:02:12-04:39:23]  (Local) -> (LOCAL)[1]Javi'ELN': un tractor amarillo
[2021:02:12-04:39:24]  (Local) -> (LOCAL)[4]ElViejoJuancho|2cb|..: deja bajo el vol
[2021:02:12-04:39:25]  (Local) -> (LOCAL)[1]TiroFijo420-DjBass'2cB: a
[2021:02:12-04:39:26]  (Local) -> (LOCAL)[2]Zoe: nos umillaron a todos los lideres
[2021:02:12-04:39:31]  (Local) -> (LOCAL)[1]Radial'2cb: uy enserio
[2021:02:12-04:39:31]  (Local) -> (LOCAL)[1]Zoe: y nos mamamos :v xD
[2021:02:12-04:39:33]  (Local) -> (LOCAL)[3](!POPPER!)(GT): pero esque mk pense que ivana duarar y ne se fueon pa eln
