This file was generated by Console at 2020:09:23-00:00:00



[2020:09:23-00:00:00]  (Local) -> (LOCAL)[4]GT|~Beltran: osi
[2020:09:23-03:50:17]  (Global) -> maicolgiovany: esperamos a mi ppana
[2020:09:23-03:50:18]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: e una
[2020:09:23-03:50:18]  (Local) -> (LOCAL)[5][GT]~[AndresCanson]~: estoy que no me la creo xD
[2020:09:23-03:50:19]  (Local) -> (LOCAL)[4]$BABY$_Rosso: jajaj
[2020:09:23-03:50:20]  (Global) -> maicolgiovany: sisas
[2020:09:23-03:50:22]  (Local) -> (LOCAL)[1]GT|ElChangua: sisisi
[2020:09:23-03:50:24]  (Global) -> [CAPU]CaldoDePapa: nigga wtf
[2020:09:23-03:50:25]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: Drake no
[2020:09:23-03:50:26]  (Local) -> (LOCAL)[2]|GT|~[MAURO]~: gran mlp
[2020:09:23-03:50:28]  (Local) -> (LOCAL)[5]2Cb_walter: PINIO CEJAS Y YO
[2020:09:23-03:50:29]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#1F00FFPatches: listo
[2020:09:23-03:50:30]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#1F00FFPatches: cojalo
[2020:09:23-03:50:30]  (Local) -> (LOCAL)[3]W~>|FabiusxKing|2cb|: que paso
[2020:09:23-03:50:31]  (Local) -> (LOCAL)[1]W~>|FabiusxKing|2cb|: hijo
[2020:09:23-03:50:31]  (Global) -> [CAPU]Gallo_Pepe: tp
[2020:09:23-03:50:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#1F00FFPatches: aksljdña
[2020:09:23-03:50:32]  (Local) -> (LOCAL)[6][EVG]Avalencia: severa marcha
[2020:09:23-03:50:33]  (Local) -> (LOCAL)[1]$2cB$JuanPablo: dilan
[2020:09:23-03:50:34]  (Local) -> (LOCAL)[5][GT]ElCejas3000: osea la vuelta es matar al tombo que lo tiene a ud y ya??
[2020:09:23-03:50:34]  (Global) -> Drake: con amor <3
[2020:09:23-03:50:36]  (Local) -> (LOCAL)[3]PapiCaliche: Pero parcero
[2020:09:23-03:50:37]  (Local) -> (LOCAL)[1]W~>|FabiusxKing|2cb|: lo tenia de hijo
[2020:09:23-03:50:38]  (Local) -> (LOCAL)[4]Haski_$Baby$: vengan aca
[2020:09:23-03:50:38]  (Local) -> (LOCAL)[6](RCA)Obito_Nea: oe
[2020:09:23-03:50:38]  (Local) -> (LOCAL)[1]2cB*dilan: a
[2020:09:23-03:50:38]  (Global) -> maicolgiovany: ya tengo las armas mejoradas
[2020:09:23-03:50:39]  (Local) -> (LOCAL)[2]W~>|FabiusxKing|2cb|: casi que no
[2020:09:23-03:50:40]  (Local) -> (LOCAL)[3]PapiCaliche: Una cosa
[2020:09:23-03:50:40]  (Local) -> (LOCAL)[1]$2cB$JuanPablo: los dos ?
[2020:09:23-03:50:42]  (Local) -> (LOCAL)[5]2Cb_walter: TRATEN DE DEJAR A SEDMS DE ULTINO
[2020:09:23-03:50:43]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: a
[2020:09:23-03:50:43]  (Local) -> (LOCAL)[6](RCA)Obito_Nea: breve
[2020:09:23-03:50:43]  (Local) -> (LOCAL)[1]2cB*dilan: sisas
[2020:09:23-03:50:44]  (Local) -> (LOCAL)[3]Khausu: a
[2020:09:23-03:50:44]  (Local) -> (LOCAL)[1]GT|OLAVE: nao nao
[2020:09:23-03:50:45]  (Local) -> (LOCAL)[1]2cb'Makintosh: AAAA
[2020:09:23-03:50:45]  (Local) -> (LOCAL)[3]PapiCaliche: Para soltarla me da 250k
[2020:09:23-03:50:46]  (Local) -> (LOCAL)[2]GT|ElChangua: exelente
[2020:09:23-03:50:46]  (Local) -> (LOCAL)[2][CAPU]Gallo_Pepe: a
[2020:09:23-03:50:47]  (Local) -> (LOCAL)[3]PapiCaliche: o 200k
[2020:09:23-03:50:48]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: pille
[2020:09:23-03:50:48]  (Local) -> (LOCAL)[1]$2cB$JuanPablo: como un duo
[2020:09:23-03:50:48]  (Local) -> (LOCAL)[4][CAPU]Jeison_Jimenez: OE NO ME VALLAN A DAR BALA
[2020:09:23-03:50:48]  (Local) -> (LOCAL)[4]2Cb_walter: CAPU
[2020:09:23-03:50:50]  (Local) -> (LOCAL)[4]$BABY$_Rosso: uy pilas
[2020:09:23-03:50:51]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: los tombos
[2020:09:23-03:50:51]  (Local) -> (LOCAL)[3]GT|ElChangua: vamos
[2020:09:23-03:50:52]  (Local) -> (LOCAL)[1]$2cB$JuanPablo: :D
[2020:09:23-03:50:52]  (Global) -> Henrry: oe
[2020:09:23-03:50:53]  (Local) -> (LOCAL)[3]|GT|~[MAURO]~: malparida
[2020:09:23-03:50:53]  (Local) -> (LOCAL)[4]2Cb_walter: AYUDE
[2020:09:23-03:50:53]  (Local) -> (LOCAL)[4]$BABY$_Rosso: me mata
[2020:09:23-03:50:53]  (Local) -> (LOCAL)[1]2cB*dilan: bno
[2020:09:23-03:50:53]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: me van a deportar
[2020:09:23-03:50:53]  (Global) -> maicolgiovany: ale
[2020:09:23-03:50:55]  (Global) -> [$BABY$]C4rtex: jimenez
[2020:09:23-03:50:55]  (Local) -> (LOCAL)[3]GT|OLAVE: yo
[2020:09:23-03:50:55]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: ey caliche
[2020:09:23-03:50:57]  (Global) -> Henrry: vamos
[2020:09:23-03:50:58]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: veni
[2020:09:23-03:50:58]  (Local) -> (LOCAL)[6]GT|ElChangua: saben como pegarse a un carro?
[2020:09:23-03:50:58]  (Local) -> (LOCAL)[3]PapiCaliche: dime
[2020:09:23-03:50:58]  (Local) -> (LOCAL)[6]W~>|FabiusxKing|2cb|: lo tenia de hijo
[2020:09:23-03:50:59]  (Global) -> GT|~Beltran: tombo en sf
[2020:09:23-03:50:59]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: me vendes tu casa
[2020:09:23-03:50:59]  (Local) -> (LOCAL)[6]|GT|~[MAURO]~: esta ciega?
[2020:09:23-03:50:59]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: pongale cuidado
[2020:09:23-03:51:00]  (Global) -> 2cB*dilan: :D
[2020:09:23-03:51:00]  (Global) -> ELVIEJOJUANCHO: <3
[2020:09:23-03:51:01]  (Global) -> GT|~Beltran: tombo en sf
[2020:09:23-03:51:01]  (Global) -> maicolgiovany: si
[2020:09:23-03:51:02]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 CrudoMeansRaw: perdoneme
[2020:09:23-03:51:02]  (Global) -> Henrry:  si
[2020:09:23-03:51:02]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: 5 palos ya
[2020:09:23-03:51:03]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 CrudoMeansRaw: jajajaja
[2020:09:23-03:51:05]  (Local) -> (LOCAL)[1]$2cB$JuanPablo: yo tambien compre vip bundle
[2020:09:23-03:51:07]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: los tombos
[2020:09:23-03:51:07]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: XDDDDDDDDDDDDDDDDDDD
[2020:09:23-03:51:09]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: Berna
[2020:09:23-03:51:10]  (Local) -> (LOCAL)[3]Khausu: sii venda ambas
[2020:09:23-03:51:10]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: van a deportarme
[2020:09:23-03:51:11]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: casi no jeugas
[2020:09:23-03:51:11]  (Local) -> (LOCAL)[4][CAPU]Jeison_Jimenez: UO SOY EL DEL AVION
[2020:09:23-03:51:12]  (Global) -> GT|~Beltran: tombo en sf
[2020:09:23-03:51:13]  (Local) -> (LOCAL)[4]GT|ElChangua: vamos
[2020:09:23-03:51:13]  (Local) -> (LOCAL)[3]PapiCaliche: Vendí esa, y me compré la que tenia kaicer antes
[2020:09:23-03:51:14]  (Local) -> (LOCAL)[1]2cB*dilan: q melo nea q casa cogio?
[2020:09:23-03:51:15]  (Global) -> (POPEYE): graffiti
[2020:09:23-03:51:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: porfa
[2020:09:23-03:51:15]  (Local) -> (LOCAL)[5]2Cb_walter: Y LOS OTROS :X
[2020:09:23-03:51:15]  (Local) -> (LOCAL)[1]$2cB$JuanPablo: me lo dan quizas mañana o luego
[2020:09:23-03:51:16]  (Local) -> (LOCAL)[4](BGW)camilop202: que le dijho
[2020:09:23-03:51:19]  (Local) -> (LOCAL)[6]2cb'Andrestp: aaaaaaaa
[2020:09:23-03:51:19]  (Global) -> Haski_$Baby$: quien falta
[2020:09:23-03:51:19]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: el esta aca con el avion para llevarme
[2020:09:23-03:51:20]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: aaahg
[2020:09:23-03:51:20]  (Local) -> (LOCAL)[1]2cB*dilan: aa
[2020:09:23-03:51:22]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: Berna
[2020:09:23-03:51:22]  (Local) -> (LOCAL)[4][CAPU]Jeison_Jimenez: YA VIENEN
[2020:09:23-03:51:22]  (Global) -> Angel_Serna: si?
[2020:09:23-03:51:23]  (Global) -> $BABY$_JIMENEZ: todos
[2020:09:23-03:51:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: a qn
[2020:09:23-03:51:24]  (Global) -> $BABY$_JIMENEZ: xDDDDDDDDDD
[2020:09:23-03:51:26]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: mmmmmm soltec
[2020:09:23-03:51:26]  (Local) -> (LOCAL)[2]|GT|~[MAURO]~: hola
[2020:09:23-03:51:26]  (Global) -> [CAPU]CaldoDePapa: ola bbs
[2020:09:23-03:51:27]  (Local) -> (LOCAL)[3]PapiCaliche: Esa la compré en un palo pero es la misma
[2020:09:23-03:51:28]  (Local) -> (LOCAL)[1][GT]Jhojan: ola
[2020:09:23-03:51:28]  (Local) -> (LOCAL)[4]2Cb_walter: EPA
[2020:09:23-03:51:28]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: adri
[2020:09:23-03:51:28]  (Local) -> (LOCAL)[2]$2cB$JuanPablo: todabia no me han dado casa
[2020:09:23-03:51:29]  (Local) -> (LOCAL)[4][GT]Pinino_Z: aah ya
[2020:09:23-03:51:29]  (Global) -> $BABY$_JIMENEZ: SOLTEC
[2020:09:23-03:51:30]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: ahi ustedes llegan y les apuntan a los tombos
[2020:09:23-03:51:31]  (Global) -> [CAPU]CaldoDePapa: cuarteto?
[2020:09:23-03:51:31]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: y nicole
[2020:09:23-03:51:31]  (Local) -> (LOCAL)[2]2cb'elpablitopai: el pablito pai
[2020:09:23-03:51:32]  (Local) -> (LOCAL)[1]|GT|~[MAURO]~: eso no era para ti
[2020:09:23-03:51:34]  (Local) -> (LOCAL)[3]Khausu: te doy mi cuenta minecraft premium con VIP de 100 dolares
[2020:09:23-03:51:34]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: ahg
[2020:09:23-03:51:34]  (Local) -> (LOCAL)[4][GT]Pinino_Z: como a extraditar?
[2020:09:23-03:51:34]  (Local) -> (LOCAL)[1]|GT|~[MAURO]~: ok?
[2020:09:23-03:51:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 NicoleSharith: hols
[2020:09:23-03:51:38]  (Local) -> (LOCAL)[2][$BABY$]~La_Loli~: dale
[2020:09:23-03:51:38]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: epa
[2020:09:23-03:51:38]  (Local) -> (LOCAL)[3][CAPU]Gallo_Pepe: :o
[2020:09:23-03:51:38]  (Local) -> (LOCAL)[3]PapiCaliche: ud verá
[2020:09:23-03:51:39]  (Local) -> (LOCAL)[4][$BABY$]C4rtex: ahy loli
[2020:09:23-03:51:40]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: yo kiero la q queda aqui cerca
[2020:09:23-03:51:40]  (Local) -> (LOCAL)[1]GT|~Beltran: wtf
[2020:09:23-03:51:42]  (Local) -> (LOCAL)[3]PapiCaliche: queda por el groove
[2020:09:23-03:51:43]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: ajahjaja
[2020:09:23-03:51:43]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: eso me van a hacer ami
[2020:09:23-03:51:43]  (Local) -> (LOCAL)[4][GT]Pinino_Z: aah ya listo
[2020:09:23-03:51:44]  (Local) -> (LOCAL)[6]2cb'Andrestp: sorra
[2020:09:23-03:51:47]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: nah
[2020:09:23-03:51:48]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: Listo, gracias berna 
[2020:09:23-03:51:48]  (Local) -> (LOCAL)[3]PapiCaliche: parce esa cuesta 10 palos
[2020:09:23-03:51:51]  (Local) -> (LOCAL)[2]PapiCaliche: Vaya comprela
[2020:09:23-03:51:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: y la de aqui cerca?
[2020:09:23-03:52:01]  (Global) -> Haski_$Baby$: faltan mas no?
[2020:09:23-03:52:02]  (Global) -> 2Cb_walter: NICOLE VENGA CANTE JAJAJAJA
[2020:09:23-03:52:06]  (Global) -> 2Cb_walter: HASKI
[2020:09:23-03:52:06]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: royale
[2020:09:23-03:52:07]  (Local) -> (LOCAL)[7][Zetas]JUAN: ponete tombo llanerito
[2020:09:23-03:52:09]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: cejon
[2020:09:23-03:52:10]  (Global) -> Haski_$Baby$: oe
[2020:09:23-03:52:10]  (Local) -> (LOCAL)[2]PapiCaliche: pues khausu mel a compra en 500k y para soltarla me da 2004
[2020:09:23-03:52:10]  (Local) -> (LOCAL)[2]2cb'terse: xd
[2020:09:23-03:52:10]  (Local) -> (LOCAL)[3]$BABY$_Rosso: pongalo a volar nea
[2020:09:23-03:52:11]  (Global) -> $BABY$_JIMENEZ: soltec
[2020:09:23-03:52:12]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: caliche
[2020:09:23-03:52:12]  (Global) -> 2Cb_walter: SEDMS
[2020:09:23-03:52:13]  (Local) -> (LOCAL)[2]PapiCaliche: 200k*
[2020:09:23-03:52:14]  (Local) -> (LOCAL)[6][Zetas]JUAN: quiero aprender
[2020:09:23-03:52:15]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 Zllanerito: vamos
[2020:09:23-03:52:16]  (Local) -> (LOCAL)[3]Khausu: a
[2020:09:23-03:52:17]  (Local) -> (LOCAL)[4]2Cb_walter: TP A HASKI
[2020:09:23-03:52:17]  (Local) -> (LOCAL)[3]Haski_$Baby$: naa
[2020:09:23-03:52:18]  (Local) -> (LOCAL)[3]Khausu: tengo q verla
[2020:09:23-03:52:20]  (Local) -> (LOCAL)[3]Haski_$Baby$: esto se cago
[2020:09:23-03:52:25]  (Global) -> Henrry: t
[2020:09:23-03:52:27]  (Global) -> |GT|~SubditoDeSatanas: todavia no son las 2 am
[2020:09:23-03:52:28]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: no son serios unu
[2020:09:23-03:52:32]  (Local) -> (LOCAL)[2]GT|ElChangua: arriba
[2020:09:23-03:52:33]  (Local) -> (LOCAL)[4]PapiCaliche: ud verá
[2020:09:23-03:52:35]  (Global) -> [Z]DanielFly: xd
[2020:09:23-03:52:36]  (Local) -> (LOCAL)[2][CAPU]Gallo_Pepe: devuelvase
[2020:09:23-03:52:36]  (Local) -> (LOCAL)[3]Haski_$Baby$: nos van a warpear crewo
[2020:09:23-03:52:37]  (Global) -> FUZE2229: XD
[2020:09:23-03:52:37]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: SEMDS
[2020:09:23-03:52:38]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: calichin maneja
[2020:09:23-03:52:38]  (Global) -> Haski_$Baby$: nos van a warpear crewo
[2020:09:23-03:52:38]  (Global) -> ZetasValeria: xdddddd
[2020:09:23-03:52:39]  (Global) -> neibor_xd: tahks
[2020:09:23-03:52:39]  (Global) -> #7F7F7F|CVR|#1F00FFPatches: Hey bueno cuando llegan
[2020:09:23-03:52:41]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: caldo
[2020:09:23-03:52:41]  (Local) -> (LOCAL)[2]Khausu: vrd
[2020:09:23-03:52:43]  (Global) -> $BABY$_JIMENEZ: porq
[2020:09:23-03:52:43]  (Global) -> Haski_$Baby$: creo
[2020:09:23-03:52:45]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: Esta ocupado?
[2020:09:23-03:52:46]  (Local) -> (LOCAL)[2]Khausu: licencia a los 11
[2020:09:23-03:52:47]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: SEMDS
[2020:09:23-03:52:47]  (Local) -> (LOCAL)[2]PapiCaliche: pille, 350k
[2020:09:23-03:52:48]  (Global) -> Henrry:  mi amigo tiene fobia a las alturas ,cuidado
[2020:09:23-03:52:49]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: ale
[2020:09:23-03:52:50]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: ajahjaja
[2020:09:23-03:52:52]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: un capo
[2020:09:23-03:52:53]  (Global) -> maicolgiovany: xd
[2020:09:23-03:52:55]  (Local) -> (LOCAL)[4]PapiCaliche: pq ud es conocido
[2020:09:23-03:52:57]  (Global) -> 2Cb_walter: HASKI VIENE?
[2020:09:23-03:52:58]  (Local) -> (LOCAL)[5]PapiCaliche: y me da 100k
[2020:09:23-03:53:00]  (Global) -> 2cb'terse: hp admin
[2020:09:23-03:53:00]  (Local) -> (LOCAL)[5]PapiCaliche: ya q tienes 500k
[2020:09:23-03:53:01]  (Local) -> (LOCAL)[2]2cB*dilan: cbug todo bugeado ._.
[2020:09:23-03:53:04]  (Global) -> $BABY$_JIMENEZ: porq
[2020:09:23-03:53:04]  (Local) -> (LOCAL)[5]PapiCaliche: y se queda con 50k de sobra
[2020:09:23-03:53:04]  (Global) -> Haski_$Baby$: nada nea ando ocupado
[2020:09:23-03:53:05]  (Global) -> [CAPU]CaldoDePapa: que pajO?
[2020:09:23-03:53:06]  (Global) -> Haski_$Baby$: ahora voy
[2020:09:23-03:53:07]  (Local) -> (LOCAL)[2]2cb'Judas?Iscariotes: caigan a discor
[2020:09:23-03:53:07]  (Local) -> (LOCAL)[2][CAPU]Gallo_Pepe: dagarbimba, a la comisaria
[2020:09:23-03:53:11]  (Global) -> 2Cb_walter: F
[2020:09:23-03:53:13]  (Global) -> [EVGT]Javier: EY
[2020:09:23-03:53:15]  (Global) -> Haski_$Baby$: me warpearon pero andaba en carro
[2020:09:23-03:53:17]  (Global) -> [EVGT]Javier: ADMINS
[2020:09:23-03:53:17]  (Local) -> (LOCAL)[4]2Cb_walter: Y LOS TOMBOS
[2020:09:23-03:53:17]  (Local) -> (LOCAL)[2]Khausu: uy se hubiera acercado
[2020:09:23-03:53:19]  (Local) -> (LOCAL)[3]Khausu: ya q
[2020:09:23-03:53:19]  (Global) -> FUZE2229: TENGO HAMBRE
[2020:09:23-03:53:21]  (Global) -> Drake: con que hablo por voz?
[2020:09:23-03:53:22]  (Global) -> $BABY$_JIMENEZ: f
[2020:09:23-03:53:22]  (Global) -> Haski_$Baby$: ya me baje
[2020:09:23-03:53:23]  (Local) -> (LOCAL)[2]2cb'Judas?Iscariotes: caigan a discor
[2020:09:23-03:53:25]  (Global) -> #7F7F7F|CVR|#1F00FFPatches: [EVGT]Javier dime
[2020:09:23-03:53:27]  (Global) -> Drake:  con que tecla ?
[2020:09:23-03:53:28]  (Global) -> [EVGT]Javier: ADMINS PORQUE NO FUNCIONA EL BAFLE?
[2020:09:23-03:53:29]  (Local) -> (LOCAL)[2]ZetasValeria: solo 2cb
[2020:09:23-03:53:29]  (Global) -> FUZE2229: XD
[2020:09:23-03:53:31]  (Local) -> (LOCAL)[1]UltraBirdbath92: z
[2020:09:23-03:53:31]  (Global) -> #7F7F7F|CVR|#FF7C00 NicoleSharith: PATCHEEEES
[2020:09:23-03:53:32]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: oe haski
[2020:09:23-03:53:32]  (Global) -> $BABY$_JIMENEZ: javier
[2020:09:23-03:53:33]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: COMOOO
[2020:09:23-03:53:34]  (Global) -> GT|~Beltran: como que yo
[2020:09:23-03:53:35]  (Local) -> (LOCAL)[2][CAPU]Gallo_Pepe: a donde llegó antes calso
[2020:09:23-03:53:35]  (Local) -> (LOCAL)[4]2Cb_walter: tombos tan lentos
[2020:09:23-03:53:36]  (Global) -> GT|~Beltran: wtf
[2020:09:23-03:53:38]  (Global) -> $BABY$_JIMENEZ: porquue no esta la radio on
[2020:09:23-03:53:38]  (Global) -> #7F7F7F|CVR|#1F00FFPatches: si funciona
[2020:09:23-03:53:38]  (Local) -> (LOCAL)[1]UltraBirdbath92: jajaja
[2020:09:23-03:53:39]  (Global) -> Drake: me escucha?
[2020:09:23-03:53:39]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: como se hizo gordo?XD
[2020:09:23-03:53:43]  (Global) -> [CAPU]CaldoDePapa: como asi?
[2020:09:23-03:53:44]  (Local) -> (LOCAL)[3]$BABY$_Rosso: y el video
[2020:09:23-03:53:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: ese laser es pa visajear
[2020:09:23-03:53:45]  (Local) -> (LOCAL)[2]2cb'Judas?Iscariotes: caigan a discor
[2020:09:23-03:53:45]  (Local) -> (LOCAL)[1]UltraBirdbath92: sisas
[2020:09:23-03:53:47]  (Local) -> (LOCAL)[3]Haski_$Baby$: aaa con el vip xd
[2020:09:23-03:53:49]  (Local) -> (LOCAL)[4][GT]Pinino_Z: ellos piensan que toca volver alla no?
[2020:09:23-03:53:49]  (Global) -> 2cb'Judas?Iscariotes: caigan a discor
[2020:09:23-03:53:50]  (Local) -> (LOCAL)[2]Khausu: sisas
[2020:09:23-03:53:51]  (Global) -> [EVGT]Javier: BUENO NO ME FUNCIONA
[2020:09:23-03:53:51]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: xD
[2020:09:23-03:53:51]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: no ayuda nada
[2020:09:23-03:53:52]  (Local) -> (LOCAL)[3]Haski_$Baby$: noc
[2020:09:23-03:53:54]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: no falte al respeto
[2020:09:23-03:53:54]  (Global) -> (RCA)GustavoPetro: L
[2020:09:23-03:53:55]  (Local) -> (LOCAL)[2]UltraBirdbath92: tu maldita madre
[2020:09:23-03:53:55]  (Local) -> (LOCAL)[2][CAPU]Gallo_Pepe: donde empezamos ahorita
[2020:09:23-03:53:56]  (Local) -> (LOCAL)[1][GT]Jhojan: todos los barcos que vende ahi sirven para pescar?
[2020:09:23-03:53:56]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: sol oen la franco
[2020:09:23-03:53:59]  (Local) -> (LOCAL)[4]2Cb_walter: si jaajja
[2020:09:23-03:53:59]  (Local) -> (LOCAL)[2]Khausu: pero da miedito a la otra gente
[2020:09:23-03:53:59]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: sera otro dia
[2020:09:23-03:54:01]  (Global) -> (RCA)GustavoPetro: LOLI VEO MI MAMADA
[2020:09:23-03:54:02]  (Local) -> (LOCAL)[3]$BABY$_Rosso: butifarra hp
[2020:09:23-03:54:02]  (Local) -> (LOCAL)[2]UltraBirdbath92: jajaja
[2020:09:23-03:54:03]  (Global) -> [CAPU]CaldoDePapa: ale
[2020:09:23-03:54:03]  (Local) -> (LOCAL)[3]ZetasValeria: mucho gt?
[2020:09:23-03:54:04]  (Local) -> (LOCAL)[3]Haski_$Baby$: xd
[2020:09:23-03:54:04]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: pero mas temprano
[2020:09:23-03:54:05]  (Local) -> (LOCAL)[4]2Cb_walter: go
[2020:09:23-03:54:05]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: ajha exacto
[2020:09:23-03:54:05]  (Local) -> (LOCAL)[3]$BABY$_Rosso: ajaja
[2020:09:23-03:54:05]  (Global) -> $BABY$_JIMENEZ: Javier si vvas a colocar la radio no funcionara
[2020:09:23-03:54:10]  (Local) -> (LOCAL)[1][GT]Jhojan: sabes si el /tele esta gratis?
[2020:09:23-03:54:14]  (Global) -> Haski_$Baby$: a
[2020:09:23-03:54:14]  (Local) -> (LOCAL)[3][$BABY$]~La_Loli~: jajajja
[2020:09:23-03:54:15]  (Local) -> (LOCAL)[2]PapiCaliche: la misma de kevin cocampo
[2020:09:23-03:54:15]  (Local) -> (LOCAL)[3]Haski_$Baby$: pos vamos
[2020:09:23-03:54:18]  (Local) -> (LOCAL)[3][$BABY$]~La_Loli~: ash sueñe
[2020:09:23-03:54:18]  (Local) -> (LOCAL)[2]PapiCaliche: pero a menor precio
[2020:09:23-03:54:18]  (Global) -> $BABY$_JIMENEZ: nos abrimos o q
[2020:09:23-03:54:19]  (Local) -> (LOCAL)[4]2Cb_walter: jeison go
[2020:09:23-03:54:19]  (Local) -> (LOCAL)[3]2cb'terse: cuanto meney tiene si es el primero
[2020:09:23-03:54:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#1F00FFZllanerito: noio
[2020:09:23-03:54:21]  (Local) -> (LOCAL)[2]GT|ElChangua: bueno
[2020:09:23-03:54:22]  (Local) -> (LOCAL)[3]2cb'ALEXsad: nah
[2020:09:23-03:54:23]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#1F00FFZllanerito: no mates
[2020:09:23-03:54:23]  (Local) -> (LOCAL)[3][$BABY$]~La_Loli~: oiga bajese
[2020:09:23-03:54:24]  (Local) -> (LOCAL)[2]|GT|~[MAURO]~: oe berna
[2020:09:23-03:54:24]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: dejalo
[2020:09:23-03:54:24]  (Global) -> Henrry: buen
[2020:09:23-03:54:26]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: vamos a franquear xd
[2020:09:23-03:54:26]  (Global) -> 2Cb_walter: YA VAMOS TOMBOS
[2020:09:23-03:54:27]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: a el aca en el avion
[2020:09:23-03:54:28]  (Local) -> (LOCAL)[2]GT|ElChangua: esa es de nuestras casa
[2020:09:23-03:54:28]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 |STAFF|Berna~Level1: A
