This file was generated by Console at 2020:10:11-00:00:00



[2020:10:11-00:00:00]  (Global) -> |2cb|dilan: a
[2020:10:11-02:08:32]  (Local) -> (LOCAL)[2]M19|Barry-Seal|GT: vengan y se lavan el culito
[2020:10:11-02:08:33]  (Local) -> (LOCAL)[8]La_Loli~profesora: dejelos
[2020:10:11-02:08:33]  (Local) -> (LOCAL)[8]2cb'Jolyne: piskero es mañoso xdd
[2020:10:11-02:08:34]  (Local) -> (LOCAL)[1]2cb'palomo: dele x y ya
[2020:10:11-02:08:35]  (Local) -> (LOCAL)[8]|2cb|Jabon: OLA PIPO
[2020:10:11-02:08:35]  (Local) -> (LOCAL)[1]2cb'GALLEGO: la bna
[2020:10:11-02:08:36]  (Local) -> (LOCAL)[8]2cb'tussy: parcero
[2020:10:11-02:08:37]  (Global) -> [GT]percy: DJ PERCY EN LA RADIO AÑAÑAI DALE PUES AL F3
[2020:10:11-02:08:37]  (Local) -> (LOCAL)[8]2cb'Q'Piskero: dizq mañoso
[2020:10:11-02:08:37]  (Global) -> [Z]Bazuko: Drink 
[2020:10:11-02:08:38]  (Local) -> (LOCAL)[8]2cb'tussy: q hace crudo aca
[2020:10:11-02:08:39]  (Local) -> (LOCAL)[1]2cb'palomo: pero una sola vwez
[2020:10:11-02:08:39]  (Local) -> (LOCAL)[8]2cb'Q'Piskero: solo pa ganar
[2020:10:11-02:08:43]  (Local) -> (LOCAL)[8]pipo: tu me distraes
[2020:10:11-02:08:43]  (Local) -> (LOCAL)[1]2cb'palomo: epa
[2020:10:11-02:08:44]  (Local) -> (LOCAL)[8]|2cb|Jabon: COMOESTAMINOVIOFAVORITO
[2020:10:11-02:08:46]  (Local) -> (LOCAL)[8]GT|OLAVE: ey
[2020:10:11-02:08:47]  (Local) -> (LOCAL)[8][GT]FranciscoBY: marika a los del spawn no
[2020:10:11-02:08:47]  (Local) -> (LOCAL)[8]GT|OLAVE: liso
[2020:10:11-02:08:50]  (Local) -> (LOCAL)[2]M19|Barry-Seal|GT: ufff
[2020:10:11-02:08:52]  (Global) -> #7F7F7F|CVR|#FF0000LitroDePapa: naaaa
[2020:10:11-02:08:54]  (Local) -> (LOCAL)[2]GT|Cheverry: papi la escuela pvp es abajo
[2020:10:11-02:08:54]  (Global) -> C4rtex: Ey percy ponete pasaerela de dalmata
[2020:10:11-02:08:59]  (Global) -> [GT]percy: listo
[2020:10:11-02:09:04]  (Local) -> (LOCAL)[2]M19|Barry-Seal|GT: eso se ciente un fresquito
[2020:10:11-02:09:04]  (Local) -> (LOCAL)[2]2cb'El_marra: u
[2020:10:11-02:09:05]  (Local) -> (LOCAL)[4]|2cb|Jabon: Saltese todo y ya
[2020:10:11-02:09:05]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: piske takeando
[2020:10:11-02:09:07]  (Local) -> (LOCAL)[1]|2cb|Jabon: :V
[2020:10:11-02:09:09]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: pa ir motivao
[2020:10:11-02:09:16]  (Local) -> (LOCAL)[7]2cb'Horizon: q uquiere
[2020:10:11-02:09:19]  (Local) -> (LOCAL)[7]La_Loli~profesora: calmense
[2020:10:11-02:09:19]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Cazaputas42: hola
[2020:10:11-02:09:23]  (Local) -> (LOCAL)[7]La_Loli~profesora: presteno la zona
[2020:10:11-02:09:24]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Cazaputas42: me das staff
[2020:10:11-02:09:25]  (Local) -> (LOCAL)[7]GT|OLAVE: nos puedes dejar un ratyo
[2020:10:11-02:09:25]  (Global) -> |2cb|Jabon: mamawebaso
[2020:10:11-02:09:28]  (Local) -> (LOCAL)[7]GT|OLAVE: esta zona
[2020:10:11-02:09:30]  (Global) -> #7F7F7F|CVR|#FF7C00 Cazaputas42: me das staff
[2020:10:11-02:09:30]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#1F00FFZllanerito: xde
[2020:10:11-02:09:31]  (Local) -> (LOCAL)[7]2cb'Horizon: para q
[2020:10:11-02:09:32]  (Global) -> C4rtex: maicol
[2020:10:11-02:09:33]  (Local) -> (LOCAL)[7]GT|OLAVE: es q les voy a enseñar algo xd
[2020:10:11-02:09:35]  (Local) -> (LOCAL)[7]GT|OLAVE: todo bn
[2020:10:11-02:09:39]  (Local) -> (LOCAL)[7]2cb'Horizon: veo
[2020:10:11-02:09:41]  (Local) -> (LOCAL)[7][GT]Jhojan: chao sapa
[2020:10:11-02:09:42]  (Local) -> (LOCAL)[1]2cb'Jolyne: ese hp de alejo con un carro bugueado cargandose a todo mundo ajsjasjjas
[2020:10:11-02:09:44]  (Local) -> (LOCAL)[7]La_Loli~profesora: fuera de joda ya
[2020:10:11-02:09:45]  (Local) -> (LOCAL)[1]|2cb|Jabon: añañai pipo
[2020:10:11-02:09:46]  (Local) -> (LOCAL)[7][GT]Jhojan: despeguela
[2020:10:11-02:09:51]  (Local) -> (LOCAL)[7]GT|OLAVE: ps two shoot con dobles
[2020:10:11-02:09:51]  (Local) -> (LOCAL)[1]|2cb|Jabon: confirmados 32 gamines
[2020:10:11-02:09:53]  (Local) -> (LOCAL)[7][GT]FranciscoBY: marika a los del spawn no
[2020:10:11-02:10:01]  (Local) -> (LOCAL)[1]2cb'JuanPablo: :v
[2020:10:11-02:10:01]  (Local) -> (LOCAL)[1]pipo: gamers
[2020:10:11-02:10:04]  (Local) -> (LOCAL)[7]La_Loli~profesora: se quedan quietos o los pelo
[2020:10:11-02:10:05]  (Local) -> (LOCAL)[1]|2cb|Jabon: gamines
[2020:10:11-02:10:08]  (Local) -> (LOCAL)[7]GT|OLAVE: jajaja
[2020:10:11-02:10:09]  (Local) -> (LOCAL)[1]2cb'_YOGAN666: jajaja
[2020:10:11-02:10:09]  (Local) -> (LOCAL)[2]Santiagonorrea: hi
[2020:10:11-02:10:12]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: JAJAJAJ
[2020:10:11-02:10:15]  (Local) -> (LOCAL)[2][ZETAS]Tartarus: XDDDDDDD
[2020:10:11-02:10:17]  (Global) -> 2cb'Q'Piskero: jajajajaj
[2020:10:11-02:10:22]  (Local) -> (LOCAL)[2]Santiagonorrea: hi
[2020:10:11-02:10:22]  (Local) -> (LOCAL)[1]|2cb|Jabon: soltese pista pipo xdddd
[2020:10:11-02:10:23]  (Global) -> 2cb'Horizon: peroo
[2020:10:11-02:10:24]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: yo ando takeando
[2020:10:11-02:10:28]  (Local) -> (LOCAL)[2]Pinino_Z: :3
[2020:10:11-02:10:29]  (Local) -> (LOCAL)[2]2cb'GALLEGO: OLA
[2020:10:11-02:10:34]  (Local) -> (LOCAL)[2]Santiagonorrea: q hacen
[2020:10:11-02:10:36]  (Local) -> (LOCAL)[2]Santiagonorrea: pinini
[2020:10:11-02:10:36]  (Local) -> (LOCAL)[9]La_Loli~profesora: nada vamos hacer matandolos
[2020:10:11-02:10:38]  (Local) -> (LOCAL)[9]GT|OLAVE: bueno ya dejen la webonada
[2020:10:11-02:10:39]  (Local) -> (LOCAL)[2]Santiagonorrea: pinino
[2020:10:11-02:10:40]  (Local) -> (LOCAL)[2]2cb'GALLEGO: q mi so ud es el de los videos melitos ? jsjsjs
[2020:10:11-02:10:41]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: espere
[2020:10:11-02:10:42]  (Local) -> (LOCAL)[9]LR|-Benson-|GT: ok profe
[2020:10:11-02:10:45]  (Local) -> (LOCAL)[2]Santiagonorrea: buenos videos los q hace
[2020:10:11-02:10:45]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: cuanto quiere
[2020:10:11-02:10:45]  (Local) -> (LOCAL)[3]|2cb|Jabon: aqui salte
[2020:10:11-02:10:46]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: dizq mañoso
[2020:10:11-02:10:46]  (Local) -> (LOCAL)[9]La_Loli~profesora: bueno
[2020:10:11-02:10:46]  (Local) -> (LOCAL)[9]GT|OLAVE: XDDDDDDDDDDDDDDDD}
[2020:10:11-02:10:47]  (Local) -> (LOCAL)[9]2cb'Horizon: despeguela
[2020:10:11-02:10:47]  (Global) -> C4rtex: voy a ser directo y conciso
[2020:10:11-02:10:48]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: solo me gusta ganar
[2020:10:11-02:10:49]  (Local) -> (LOCAL)[2]Santiagonorrea: eso le iba a decir
[2020:10:11-02:10:50]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: >:v
[2020:10:11-02:10:50]  (Global) -> CHORIZO: COMO SALGO DE UN TRABAJO QUIERO SE POLICIA
[2020:10:11-02:10:51]  (Local) -> (LOCAL)[2]2cb'Jolyne: mañoso.l.
[2020:10:11-02:10:52]  (Local) -> (LOCAL)[9]GT|OLAVE: dejelo sano
[2020:10:11-02:10:52]  (Global) -> ProductiveDagger70: ayuda
[2020:10:11-02:10:53]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: .l.
[2020:10:11-02:10:53]  (Local) -> (LOCAL)[10]GT|OLAVE: dejelo sano
[2020:10:11-02:10:54]  (Local) -> (LOCAL)[2]2cb'GALLEGO: sjsjjsjsjsjs mera gomeleria de videos nea
[2020:10:11-02:10:57]  (Global) -> C4rtex: EY PARSERO COMO PUEDO SER ADMINN
[2020:10:11-02:10:58]  (Local) -> (LOCAL)[1]|2cb|Jabon: xddddddddddd
[2020:10:11-02:10:58]  (Local) -> (LOCAL)[2]Santiagonorrea: sisas
[2020:10:11-02:11:01]  (Global) -> [M19]arete[GT]: que pasa
[2020:10:11-02:11:02]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: si voy por carretera
[2020:10:11-02:11:03]  (Local) -> (LOCAL)[1]2cb'JuanPablo: en ceros
[2020:10:11-02:11:06]  (Global) -> DonHector: oigan no sean gonorreas por que mis carros ya no aparecen en el celular
[2020:10:11-02:11:08]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: me gusta cogerla con style
[2020:10:11-02:11:09]  (Local) -> (LOCAL)[1]2cb'_YOGAN666: estas matando tombos o que
[2020:10:11-02:11:10]  (Local) -> (LOCAL)[3]2cb'Jolyne: se driftea en asfalto parsero
[2020:10:11-02:11:11]  (Local) -> (LOCAL)[5]$CHAPO$GUSMAN$: hye
[2020:10:11-02:11:12]  (Global) -> C4rtex: XDDDDDDDD
[2020:10:11-02:11:12]  (Global) -> ProductiveDagger70: estoy triste
[2020:10:11-02:11:12]  (Local) -> (LOCAL)[3]2cb'Jolyne: asjjasja
[2020:10:11-02:11:14]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: si es carrera si soy muy mañoso
[2020:10:11-02:11:14]  (Local) -> (LOCAL)[1]2cb'JuanPablo: siza
[2020:10:11-02:11:14]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: cuanto quiere
[2020:10:11-02:11:16]  (Global) -> [M19]arete[GT]: xd
[2020:10:11-02:11:17]  (Local) -> (LOCAL)[2]Santiagonorrea: bno muchachos
[2020:10:11-02:11:19]  (Global) -> CHORIZO: HEY
[2020:10:11-02:11:19]  (Local) -> (LOCAL)[1]OMAR25: 30k
[2020:10:11-02:11:20]  (Local) -> (LOCAL)[2]Santiagonorrea: nos vemos
[2020:10:11-02:11:21]  (Local) -> (LOCAL)[1]2cb'_YOGAN666: bueno yo te ayudo
[2020:10:11-02:11:22]  (Local) -> (LOCAL)[5]2cb'Q'Piskero: cuando habia colision
[2020:10:11-02:11:22]  (Local) -> (LOCAL)[5]2cb'El_marra: sssssssss
[2020:10:11-02:11:22]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: espere
[2020:10:11-02:11:23]  (Global) -> |2cb|Jabon: GANO PIPO
[2020:10:11-02:11:23]  (Local) -> (LOCAL)[6]2cB''$elTrakegunz: por que putas no me pude logear
[2020:10:11-02:11:24]  (Local) -> (LOCAL)[5]2cb'El_marra: shç
[2020:10:11-02:11:24]  (Local) -> (LOCAL)[1]2cb'palomo: y zonas
[2020:10:11-02:11:26]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: psss
[2020:10:11-02:11:26]  (Local) -> (LOCAL)[6]2cb'Q'Piskero: dejaba que todos fuerna primeros
[2020:10:11-02:11:27]  (Global) -> pipo: xddd
[2020:10:11-02:11:28]  (Global) -> CHORIZO: COMO ME SALGO DE ESTE TRABAJO
[2020:10:11-02:11:28]  (Local) -> (LOCAL)[6]2cb'Jolyne: cambia ese trake
[2020:10:11-02:11:29]  (Global) -> #7F7F7F|CVR|#FF7C00 Cazaputas42: DonHector estan embargados
[2020:10:11-02:11:30]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: no me vala arobar
[2020:10:11-02:11:31]  (Local) -> (LOCAL)[6]2cb'Q'Piskero: y me los llevaba
[2020:10:11-02:11:32]  (Local) -> (LOCAL)[6]2cb'Jolyne: no tiene ghost
[2020:10:11-02:11:33]  (Global) -> ProductiveDagger70: me chupas el pene
[2020:10:11-02:11:34]  (Local) -> (LOCAL)[4]2cb'Horizon: xd
[2020:10:11-02:11:35]  (Local) -> (LOCAL)[2]OMAR25: altoque
[2020:10:11-02:11:36]  (Local) -> (LOCAL)[1]2cb'palomo: esos pirobos no son de mi gang, me pueden matar
[2020:10:11-02:11:37]  (Local) -> (LOCAL)[6]2cB''$elTrakegunz: no tengo mas
[2020:10:11-02:11:37]  (Global) -> #7F7F7F|CVR|#FF7C00 Cazaputas42: con /resign te sales del trabajo
[2020:10:11-02:11:38]  (Global) -> Santiagonorrea: xd
[2020:10:11-02:11:39]  (Local) -> (LOCAL)[10]M19|Barry-Seal|GT: oe
[2020:10:11-02:11:40]  (Local) -> (LOCAL)[2]OMAR25: cuento a 3
[2020:10:11-02:11:40]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: listo
[2020:10:11-02:11:41]  (Local) -> (LOCAL)[1]2cb'GALLEGO: aaaa y estas en la gang y tales
[2020:10:11-02:11:41]  (Local) -> (LOCAL)[10]M19|Barry-Seal|GT: pablo
[2020:10:11-02:11:41]  (Global) -> DonHector: por eso y como quito el embargo xd
[2020:10:11-02:11:42]  (Local) -> (LOCAL)[6]2cb'Q'Piskero: bno piskero dandose los plo
[2020:10:11-02:11:44]  (Local) -> (LOCAL)[3]$CHAPO$GUSMAN$: no me
[2020:10:11-02:11:45]  (Local) -> (LOCAL)[11]LR|-PABLO-|GT: Oe
[2020:10:11-02:11:45]  (Local) -> (LOCAL)[1]2cb'GALLEGO: muy firme bro
[2020:10:11-02:11:45]  (Local) -> (LOCAL)[6]2cb'Jolyne: coge del spawn
[2020:10:11-02:11:46]  (Local) -> (LOCAL)[6]2cb'Q'Piskero: y con polita
[2020:10:11-02:11:49]  (Local) -> (LOCAL)[11]M19|Barry-Seal|GT: pvp usted y yo
[2020:10:11-02:11:50]  (Local) -> (LOCAL)[5]2cb'Q'Piskero: hoy me trasnocho
[2020:10:11-02:11:51]  (Local) -> (LOCAL)[5]|2cb|Jabon: ey no esa cancion q
[2020:10:11-02:11:52]  (Local) -> (LOCAL)[1]OMAR25: ya ?
[2020:10:11-02:11:52]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: litspo
[2020:10:11-02:11:54]  (Local) -> (LOCAL)[6]2cb'El_marra: chorizo
[2020:10:11-02:11:57]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: pa solo tengo 12
[2020:10:11-02:11:58]  (Local) -> (LOCAL)[1]OMAR25: no me llega nada
[2020:10:11-02:12:00]  (Local) -> (LOCAL)[7]Rastacualdo: baile del troleao
[2020:10:11-02:12:02]  (Global) -> CHORIZO: HOLA
[2020:10:11-02:12:03]  (Local) -> (LOCAL)[5]2cb'El_marra: ponga /resign
[2020:10:11-02:12:03]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: no tengo mas
[2020:10:11-02:12:04]  (Local) -> (LOCAL)[10]LR|-PABLO-|GT: Pa qure?
[2020:10:11-02:12:06]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: vamos al banco
[2020:10:11-02:12:07]  (Local) -> (LOCAL)[7]2cb'Haze: demen ventaja :c}
[2020:10:11-02:12:09]  (Local) -> (LOCAL)[2]OMAR25: te dije 30
[2020:10:11-02:12:10]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: le doy 40k
[2020:10:11-02:12:10]  (Global) -> CHORIZO: GRACIAS
[2020:10:11-02:12:11]  (Local) -> (LOCAL)[10]AndresDirector: XD PERDON
[2020:10:11-02:12:14]  (Local) -> (LOCAL)[11]La_Loli~profesora: matenlos pa q practiquen
[2020:10:11-02:12:18]  (Global) -> C4rtex: XD
[2020:10:11-02:12:18]  (Local) -> (LOCAL)[11]M19|Barry-Seal|GT: oe
[2020:10:11-02:12:19]  (Local) -> (LOCAL)[3]$CHAPO$GUSMAN$: pero aca no tengo nada
[2020:10:11-02:12:24]  (Local) -> (LOCAL)[10]LR|-PABLO-|GT: Pa qure?
[2020:10:11-02:12:29]  (Global) -> [GT]percy: DJ PERCY ANDA EN LA RADIO DALE PUES AL F3 AÑAÑAI
[2020:10:11-02:12:31]  (Local) -> (LOCAL)[3](CTA)juann: mlp JAJAAJAJ
[2020:10:11-02:12:32]  (Local) -> (LOCAL)[1]2cb'GALLEGO: a trabajar que la familia no se sostiene sola
[2020:10:11-02:12:33]  (Local) -> (LOCAL)[3]OMAR25: socio
[2020:10:11-02:12:35]  (Local) -> (LOCAL)[11]M19|Barry-Seal|GT: para molestar y ya
[2020:10:11-02:12:38]  (Local) -> (LOCAL)[3]OMAR25: oe socio
[2020:10:11-02:12:40]  (Local) -> (LOCAL)[3]OMAR25: tienes carro ?
[2020:10:11-02:12:42]  (Local) -> (LOCAL)[3](CTA)juann: buena
[2020:10:11-02:12:43]  (Local) -> (LOCAL)[3]OMAR25: ya ?
[2020:10:11-02:12:44]  (Global) -> C4rtex: Pero ponete el tema ps
[2020:10:11-02:12:44]  (Global) -> GT|Cheverry: ese man disque 1000 de ping XDDDD
[2020:10:11-02:12:45]  (Local) -> (LOCAL)[10]M19|Barry-Seal|GT: mateme
[2020:10:11-02:12:46]  (Local) -> (LOCAL)[11][GT]Jhojan: pa q me mata
[2020:10:11-02:12:47]  (Global) -> AndresDirector: te amo percy xd
[2020:10:11-02:12:47]  (Local) -> (LOCAL)[3](CTA)juann: sikas
[2020:10:11-02:12:50]  (Local) -> (LOCAL)[4]2cb'AlejoCS: Oes
[2020:10:11-02:12:51]  (Local) -> (LOCAL)[1]|2cb|Jabon: ahorita mire ds
[2020:10:11-02:12:53]  (Global) -> TIROFIJO420: pendejo
[2020:10:11-02:12:55]  (Local) -> (LOCAL)[4]2cb'AlejoCS: Josely{{
[2020:10:11-02:12:56]  (Global) -> [GT]percy: DJ PERCY ANDA EN LA RADIO DALE PUES AL F3 AÑAÑAI
[2020:10:11-02:12:57]  (Local) -> (LOCAL)[1](CTA)juann: pero anda frenado:(
[2020:10:11-02:12:57]  (Local) -> (LOCAL)[1]OMAR25: cuanto te costo
[2020:10:11-02:12:59]  (Global) -> 2cb'Haze: mas bn entrenemos
[2020:10:11-02:12:59]  (Local) -> (LOCAL)[6]Yandrixin: no me lo creo
[2020:10:11-02:12:59]  (Team - Criminals) -> (TEAM)2cb'AlejoCS:  ¿¿+
[2020:10:11-02:13:01]  (Local) -> (LOCAL)[2]2cb'JuanPablo: 8k
[2020:10:11-02:13:01]  (Local) -> (LOCAL)[4]2cb'Jolyne: q fue
[2020:10:11-02:13:04]  (Local) -> (LOCAL)[3]2cb'JuanPablo: :D
[2020:10:11-02:13:05]  (Local) -> (LOCAL)[5]Yandrixin: ADMINNNNNNN
[2020:10:11-02:13:09]  (Local) -> (LOCAL)[4]2cb'AlejoCS: Ya se me olvido xd
[2020:10:11-02:13:11]  (Local) -> (LOCAL)[3]Santiagonorrea: q
[2020:10:11-02:13:11]  (Local) -> (LOCAL)[1](CTA)juann: como 650k
[2020:10:11-02:13:13]  (Local) -> (LOCAL)[3]2cb'ELpepe: pendejo por k?
[2020:10:11-02:13:13]  (Local) -> (LOCAL)[4]2cb'Jolyne: XDDDDD
[2020:10:11-02:13:17]  (Local) -> (LOCAL)[1]OMAR25: bato
[2020:10:11-02:13:17]  (Local) -> (LOCAL)[4]Yandrixin: MATÉ A BAZUKO EN ZONA VERDE
[2020:10:11-02:13:17]  (Global) -> 2cb'ELpepe: pendejo por k?
[2020:10:11-02:13:18]  (Local) -> (LOCAL)[1]2cb'JuanPablo: que
[2020:10:11-02:13:19]  (Global) -> pipo: xdd
[2020:10:11-02:13:19]  (Global) -> Yandrixin: ADMINNNNNNN
[2020:10:11-02:13:19]  (Local) -> (LOCAL)[1]OMAR25: barato
[2020:10:11-02:13:21]  (Global) -> #7F7F7F|CVR|#FF7C00 Cazaputas42: a
[2020:10:11-02:13:22]  (Global) -> 2cb'Horizon: despegala
[2020:10:11-02:13:23]  (Local) -> (LOCAL)[1](CTA)juann: sikas
[2020:10:11-02:13:23]  (Global) -> [Z]Bazuko: como activo los mods 
[2020:10:11-02:13:24]  (Global) -> HangingPainting23: bamos aser una pandilla
[2020:10:11-02:13:24]  (Global) -> Yandrixin: MATÉ A BAZUKO EN ZONA VERDE
[2020:10:11-02:13:25]  (Local) -> (LOCAL)[1]OMAR25: ponte de tombo para ir a joder
[2020:10:11-02:13:27]  (Local) -> (LOCAL)[1]|2cb|Jabon: gogo
[2020:10:11-02:13:28]  (Local) -> (LOCAL)[4]Santiagonorrea: ajajaja
[2020:10:11-02:13:29]  (Local) -> (LOCAL)[1]2cb'JuanPablo: ahh si
[2020:10:11-02:13:30]  (Local) -> (LOCAL)[1](CTA)juann: voy
[2020:10:11-02:13:31]  (Local) -> (LOCAL)[1]2cb'JuanPablo: vamos?
[2020:10:11-02:13:32]  (Local) -> (LOCAL)[1]2cb'tussy: :V
[2020:10:11-02:13:46]  (Local) -> (LOCAL)[1]2cb'JuanPablo: yo tampoco :V
[2020:10:11-02:13:46]  (Local) -> (LOCAL)[4]Yandrixin: merezco ser penetrado :(
[2020:10:11-02:13:47]  (Local) -> (LOCAL)[1]2cb'palomo: yo ya estoy en una pandilla, aqui les decimos "gang" y yo lo voy a entrenar
[2020:10:11-02:13:49]  (Global) -> [GT]percy: DJ PERCY ANDA EN LA RADIO DALE PUES AL F3 AÑAÑAI
[2020:10:11-02:13:51]  (Local) -> (LOCAL)[8]La_Loli~profesora: hpta me meti loq nora
[2020:10:11-02:13:51]  (Local) -> (LOCAL)[1]2cb'_YOGAN666: jajajaja
[2020:10:11-02:13:52]  (Local) -> (LOCAL)[5]Yandrixin: xdddddd
[2020:10:11-02:13:56]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: hagamole aqui
[2020:10:11-02:13:57]  (Global) -> C4rtex: QUE VA NO ENTREN
[2020:10:11-02:13:59]  (Global) -> CHORIZO: hola
[2020:10:11-02:14:01]  (Global) -> HangingPainting23: aaa buno
[2020:10:11-02:14:02]  (Global) -> [GT]percy: DJ PERCY ANDA EN LA RADIO DALE PUES AL F3 AÑAÑAI
[2020:10:11-02:14:04]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: pero abajo
[2020:10:11-02:14:07]  (Global) -> C4rtex: uno le pide un tema y tome no lo pone
[2020:10:11-02:14:11]  (Global) -> Jimenez: DJ PERCY EN LA RADIO 
[2020:10:11-02:14:13]  (Global) -> GT|Cheverry: #ccff00 DJ PROPIO JEFE EN LA RADIO---F3----RADIO----CVR 2020
[2020:10:11-02:14:14]  (Global) -> OMAR25: llego mi señora tussy
[2020:10:11-02:14:15]  (Global) -> [GT]percy: DJ PERCY ANDA EN LA RADIO DALE PUES AL F3 AÑAÑAI
[2020:10:11-02:14:19]  (Global) -> 2cb'palomo: entonces pana mire...
[2020:10:11-02:14:21]  (Global) -> Jimenez: Cartex cacorro donde esta 
[2020:10:11-02:14:27]  (Global) -> HangingPainting23: que
[2020:10:11-02:14:30]  (Global) -> M19|tayson|GT: dele saquelo
[2020:10:11-02:14:32]  (Local) -> (LOCAL)[6]2cb'JuanPablo: carrera o q
[2020:10:11-02:14:35]  (Global) -> 2cb'palomo: primero cambiese ese nombre
[2020:10:11-02:14:35]  (Global) -> C4rtex: Estoy haciendo platica pa la zorra klaro k si
[2020:10:11-02:14:36]  (Local) -> (LOCAL)[1]2cB'Pinino_Z: ñero dejeme por aca
[2020:10:11-02:14:42]  (Global) -> Jimenez: donde 
[2020:10:11-02:14:45]  (Global) -> AndresDirector: aparte de falsos metidos
[2020:10:11-02:14:46]  (Global) -> HangingPainting23: como
[2020:10:11-02:14:47]  (Local) -> (LOCAL)[3]2cb'El_marra: uy
[2020:10:11-02:14:48]  (Global) -> C4rtex: en los santos
[2020:10:11-02:14:54]  (Global) -> C4rtex: piloteando xd
[2020:10:11-02:14:56]  (Local) -> (LOCAL)[2]2cb'El_marra: jajajajajajajajajajajaj q
[2020:10:11-02:14:58]  (Team - Unemployed) -> (TEAM)2cb'palomo: /cambiarnick
[2020:10:11-02:15:02]  (Global) -> [GT]percy: DJ PERCY ANDA EN LA RADIO DALE PUES AL F3 AÑAÑAI
[2020:10:11-02:15:04]  (Local) -> (LOCAL)[1]2cb'palomo: asi
[2020:10:11-02:15:06]  (Local) -> (LOCAL)[6]2cb'El_marra: ooooooos
[2020:10:11-02:15:08]  (Local) -> (LOCAL)[1]2cb'ELpepe: oe
[2020:10:11-02:15:09]  (Global) -> [Z]Bazuko: oe no 
[2020:10:11-02:15:11]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: qe
[2020:10:11-02:15:12]  (Local) -> (LOCAL)[1]2cb'ELpepe: como se ponia los bind
[2020:10:11-02:15:12]  (Local) -> (LOCAL)[3]2cb'Ander07: xd
[2020:10:11-02:15:12]  (Global) -> [Z]Bazuko: no vale 
[2020:10:11-02:15:13]  (Local) -> (LOCAL)[2]2cb'AlejoCS: enseñame prro
[2020:10:11-02:15:14]  (Global) -> HangingPainting23: como es
[2020:10:11-02:15:24]  (Local) -> (LOCAL)[1]2cb'palomo: o mejor pille...
[2020:10:11-02:15:27]  (Local) -> (LOCAL)[4]2cb'El_marra: te arreste?
[2020:10:11-02:15:27]  (Global) -> [Z]Bazuko: one no wdawd
[2020:10:11-02:15:29]  (Team - Unemployed) -> (TEAM)2cb'palomo: dele la tecla escape
[2020:10:11-02:15:32]  (Global) -> [Z]Bazuko: sisa 
[2020:10:11-02:15:35]  (Global) -> [Z]Bazuko: :(
[2020:10:11-02:15:39]  (Global) -> 2cb'palomo: luego en configuraciones
[2020:10:11-02:15:53]  (Global) -> TIROFIJO420: JAJAJAJJA
[2020:10:11-02:15:53]  (Local) -> (LOCAL)[2]2cb'El_marra: q idiota
[2020:10:11-02:15:55]  (Global) -> TIROFIJO420: PA DONDE IBA
[2020:10:11-02:15:57]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: le enseño ahorita
[2020:10:11-02:15:58]  (Global) -> TIROFIJO420: CAMPERO
[2020:10:11-02:15:58]  (Global) -> [Z]Bazuko: buena bro 
[2020:10:11-02:16:01]  (Global) -> DonHector: como desembarbo mi carro AAAAAAAA
[2020:10:11-02:16:02]  (Team - Unemployed) -> (TEAM)2cb'palomo: y en donde dice nick, ay pone el nombre que ut quirra
[2020:10:11-02:16:03]  (Local) -> (LOCAL)[1]pipo: le da x
[2020:10:11-02:16:03]  (Local) -> (LOCAL)[4]2cb'Jolyne: a comprar armas ojete
[2020:10:11-02:16:08]  (Local) -> (LOCAL)[5]2cb'Jolyne: ni lo habia visto
[2020:10:11-02:16:08]  (Local) -> (LOCAL)[1]|2cb|Jabon: aa
