This file was generated by Console at 2021:02:04-00:00:00



[2021:02:04-00:00:00]  (Local) -> (LOCAL)[1]manuuwu: q
[2021:02:04-02:48:00]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: breves
[2021:02:04-02:48:01]  (Local) -> (LOCAL)[2]Pablo_Escobar: y paseme un arma
[2021:02:04-02:48:04]  (Global) -> (GAVIRIA): JAVIER Y ENTONCES?
[2021:02:04-02:48:05]  (Global) -> ALVAROURIBE|CDP|: suelte no empiecen
[2021:02:04-02:48:05]  (Local) -> (LOCAL)[1]Miccaty: y mira cual le gusta
[2021:02:04-02:48:06]  (Local) -> (LOCAL)[1]Natalia: vamos
[2021:02:04-02:48:06]  (Global) -> Rompeqkas: cabrob brr
[2021:02:04-02:48:08]  (Local) -> (LOCAL)[1]javierRD|AK|: NO TE VEO
[2021:02:04-02:48:10]  (Local) -> (LOCAL)[1]Natalia: vale
[2021:02:04-02:48:10]  (Local) -> (LOCAL)[1]Miccaty: que autos tienes?
[2021:02:04-02:48:11]  (Local) -> (LOCAL)[7]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: oe
[2021:02:04-02:48:11]  (Local) -> (LOCAL)[2]Radial'2cb: cuanto tienes en el banco=?
[2021:02:04-02:48:12]  (Local) -> (LOCAL)[2]marceljose: digame
[2021:02:04-02:48:13]  ([Msg] de Jimenez para RicardoJorge|EVG|: nea AAAJAJAAJAJAJAJAJAJAA) -> nil
[2021:02:04-02:48:14]  (Global) -> RayoMcqueen: CALLAO CABRON
[2021:02:04-02:48:17]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF0000_!Megu: Hola Luisa te amo
[2021:02:04-02:48:19]  (Local) -> (LOCAL)[2]marceljose: quiere saber?
[2021:02:04-02:48:19]  (Global) -> Pablo_Escobar: estoy en amunation
[2021:02:04-02:48:20]  (Local) -> (LOCAL)[1]Natalia: ni unooooo jajaja
[2021:02:04-02:48:22]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: me interesa
[2021:02:04-02:48:23]  (Local) -> (LOCAL)[4]Cagaleto|EVG|: arretao por patraco
[2021:02:04-02:48:23]  (Local) -> (LOCAL)[1]Miccaty: ajajja
[2021:02:04-02:48:25]  ([Msg] de Jimenez para RicardoJorge|EVG|: nea XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD) -> nil
[2021:02:04-02:48:25]  (Local) -> (LOCAL)[2]marceljose: es un pequeño negocio
[2021:02:04-02:48:27]  (Local) -> (LOCAL)[1]Radial'2cb: ya nos pagaron :D
[2021:02:04-02:48:27]  (Local) -> (LOCAL)[1]Miccaty: vamos
[2021:02:04-02:48:28]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: paraco*
[2021:02:04-02:48:29]  (Local) -> (LOCAL)[1]Natalia: quiero comprar uno
[2021:02:04-02:48:31]  (Local) -> (LOCAL)[7]TOMBO_NEA: llegue y lo curo
[2021:02:04-02:48:34]  ([Msg] de RicardoJorge|EVG| para Jimenez: que tonto sjajjsajjaa) -> nil
[2021:02:04-02:48:35]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: XD
[2021:02:04-02:48:36]  (Local) -> (LOCAL)[1]javierRD|AK|: NO BRO ESO NO ME GUSTA
[2021:02:04-02:48:37]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: jajaaja cuente
[2021:02:04-02:48:41]  (Local) -> (LOCAL)[3]Miccaty: mi autoooo
[2021:02:04-02:48:41]  (Global) -> Gonzalo-gaviria[CDP]: pablo donde queda
[2021:02:04-02:48:41]  (Local) -> (LOCAL)[6]iMrSaiko|EVG|: EPA
[2021:02:04-02:48:42]  (Local) -> (LOCAL)[2]Pablo_Escobar: mijo
[2021:02:04-02:48:44]  (Local) -> (LOCAL)[5]Miccaty: ratas
[2021:02:04-02:48:46]  (Local) -> (LOCAL)[5]Miccaty: ajjaja
[2021:02:04-02:48:47]  (Global) -> Gonzalo-gaviria[CDP]: pablo donde queda eso
[2021:02:04-02:48:48]  (Local) -> (LOCAL)[3]Natalia: OO.O
[2021:02:04-02:48:49]  (Local) -> (LOCAL)[1](GAVIRIA): ESE CABBIE ES EXCLUSIVO U FULL TUNING LO VENDES EN 15 PALOS
[2021:02:04-02:48:50]  (Global) -> PrettyBoy: ola
[2021:02:04-02:48:50]  (Local) -> (LOCAL)[3]Miccaty: esta gente
[2021:02:04-02:48:50]  (Local) -> (LOCAL)[1]Lau|2cb: tengo 150
[2021:02:04-02:48:50]  (Local) -> (LOCAL)[2]marceljose: le vendemos drogas y usted como policia las vende
[2021:02:04-02:48:51]  (Local) -> (LOCAL)[2]Pablo_Escobar: compreme un arma
[2021:02:04-02:48:53]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: a mimir
[2021:02:04-02:48:54]  ([Msg] de Jimenez para RicardoJorge|EVG|: Apenas vengo a caer en cuenta ajjajsjs) -> nil
[2021:02:04-02:48:57]  (Local) -> (LOCAL)[1]Radial'2cb: 150 mil?
[2021:02:04-02:48:58]  (Global) -> Az_Nico: t/release EL_RICHARD'2CB
[2021:02:04-02:48:59]  (Local) -> (LOCAL)[1]Lau|2cb: ahora me los gané en las mulas
[2021:02:04-02:48:59]  (Local) -> (LOCAL)[2](NRS)JOTAMARIO: gracias pana
[2021:02:04-02:49:00]  (Local) -> (LOCAL)[2]Pablo_Escobar: que a mi no me deja
[2021:02:04-02:49:01]  (Local) -> (LOCAL)[1]Lau|2cb: sip
[2021:02:04-02:49:04]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: Como q miccaty volvio
[2021:02:04-02:49:05]  (Local) -> (LOCAL)[1]javierRD|AK|: NO BRO
[2021:02:04-02:49:05]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: este taxi tiene SOAT? porque me voy es a matar con este conductor
[2021:02:04-02:49:08]  (Local) -> (LOCAL)[1]Radial'2cb: trabaja de piloto de avion
[2021:02:04-02:49:09]  (Local) -> (LOCAL)[1]Lau|2cb: estoy en ruinas xd
[2021:02:04-02:49:11]  (Local) -> (LOCAL)[1]Radial'2cb: ganas mas
[2021:02:04-02:49:15]  (Local) -> (LOCAL)[2]Pablo_Escobar: yo le doy la plata
[2021:02:04-02:49:15]  (Local) -> (LOCAL)[1](GAVIRIA): BUENO
[2021:02:04-02:49:16]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: pase la droga pues
[2021:02:04-02:49:17]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: jmmmmmmmmm
[2021:02:04-02:49:17]  (Local) -> (LOCAL)[1]Radial'2cb: sabes manejar?
[2021:02:04-02:49:19]  (Local) -> (LOCAL)[5]Miccaty: swwwdmwddswds
[2021:02:04-02:49:21]  (Local) -> (LOCAL)[2]Petrobb|2cb: oe
[2021:02:04-02:49:21]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: donde anda mora?
[2021:02:04-02:49:22]  (Local) -> (LOCAL)[1]Pablo_Escobar: una desert
[2021:02:04-02:49:23]  (Local) -> (LOCAL)[2]-FISCALIA-2cb: sacalo otra vex pls
[2021:02:04-02:49:24]  (Local) -> (LOCAL)[5][O]reo~|GT: mamasitas
[2021:02:04-02:49:24]  (Global) -> #7F7F7F|ADM|#0064FFLopez: a
[2021:02:04-02:49:26]  (Local) -> (LOCAL)[2]KirigayaYuulAKl: que
[2021:02:04-02:49:26]  (Global) -> DonBazuco(D.D.P): -play
[2021:02:04-02:49:27]  (Global) -> Pablo_Escobar: espereme en el hospital gonzalo
[2021:02:04-02:49:28]  (Local) -> (LOCAL)[7]Cristian--GT: este paraco hpta
[2021:02:04-02:49:29]  (Local) -> (LOCAL)[7]serginho|-GT: JAAJJAAJJAA
[2021:02:04-02:49:29]  (Global) -> Onomatopeya: UPSI
[2021:02:04-02:49:30]  (Local) -> (LOCAL)[1]Lau|2cb: hay un problema y es que no sé como aterrizar
[2021:02:04-02:49:30]  (Local) -> (LOCAL)[7]serginho|-GT: que crack{
[2021:02:04-02:49:31]  (Local) -> (LOCAL)[2]Petrobb|2cb: mostrá el carrito
[2021:02:04-02:49:33]  (Local) -> (LOCAL)[1]Pinina/2cb.: como hago don pablo pa comprala y darcela
[2021:02:04-02:49:33]  (Local) -> (LOCAL)[2]Petrobb|2cb: meloso
[2021:02:04-02:49:34]  (Local) -> (LOCAL)[1]Radial'2cb: AJAJAJAJAAJAJAJAJAJ
[2021:02:04-02:49:35]  (Global) -> Gonzalo-gaviria[CDP]: bueno pablo
[2021:02:04-02:49:37]  (Local) -> (LOCAL)[1]Radial'2cb: ya le enseño
[2021:02:04-02:49:38]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: aghh esta pelada ome mera callada
[2021:02:04-02:49:38]  (Global) -> isabela_alvarezlAKl: sisa
[2021:02:04-02:49:38]  (Local) -> (LOCAL)[7]Cristian--GT: nos va a silenciar
[2021:02:04-02:49:39]  (Global) -> Miccaty: no me puedo mover
[2021:02:04-02:49:40]  (Global) -> Pablo_Escobar: ahi tiene la plata no?
[2021:02:04-02:49:40]  (Local) -> (LOCAL)[1]Lau|2cb: por lo regular me mato
[2021:02:04-02:49:42]  (Global) -> -FISCALIA-2cb: el de volver al futuro
[2021:02:04-02:49:44]  (Local) -> (LOCAL)[1]Lau|2cb: xddd
[2021:02:04-02:49:45]  ([Msg] de RicardoJorge|EVG| para Jimenez: jsjajajajajaja) -> nil
[2021:02:04-02:49:45]  (Global) -> Pablo_Escobar: metase ahi a la luz amarilla
[2021:02:04-02:49:49]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: ando con 10 palos encima
[2021:02:04-02:49:51]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: XDDDDDDDDDDDDDDDD
[2021:02:04-02:49:51]  (Global) -> ALVAROURIBE|CDP|: desahoguense con uribe
[2021:02:04-02:49:51]  (Local) -> (LOCAL)[1]marceljose: digame si le interesa el negocio
[2021:02:04-02:49:52]  (Local) -> (LOCAL)[2]-FISCALIA-2cb: lo quiero ver bien
[2021:02:04-02:49:53]  (Global) -> Pablo_Escobar: mire cuanto vale la deset
[2021:02:04-02:49:53]  (Local) -> (LOCAL)[1]Miccaty: ajjaja
[2021:02:04-02:49:56]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: COMO SI NADA
[2021:02:04-02:49:57]  (Team - Criminals) -> (TEAM)Gonzalo-gaviria[CDP]: si señor aqui la tengo
[2021:02:04-02:49:58]  (Local) -> (LOCAL)[1]TitoCesar[CDLS]: jajaa de cuales vende
[2021:02:04-02:50:00]  (Local) -> (LOCAL)[1]Miccaty: sin gasolina
[2021:02:04-02:50:00]  (Local) -> (LOCAL)[1]Lau|2cb: dale
[2021:02:04-02:50:03]  (Local) -> (LOCAL)[2]KirigayaYuulAKl: ese es de la mision del carro
[2021:02:04-02:50:06]  (Local) -> (LOCAL)[2]KirigayaYuulAKl: criminal
[2021:02:04-02:50:10]  (Local) -> (LOCAL)[2]Miccaty: sorry
[2021:02:04-02:50:11]  (Local) -> (LOCAL)[3]Natalia: nojjjjjjjjjjj jajajaja
[2021:02:04-02:50:11]  (Local) -> (LOCAL)[2]-FISCALIA-2cb: ahhhh
[2021:02:04-02:50:12]  (Global) -> Gonzalo-gaviria[CDP]: ya voy
[2021:02:04-02:50:14]  (Local) -> (LOCAL)[2]Natalia: y ahora?
[2021:02:04-02:50:17]  (Team - Criminals) -> (TEAM)Pablo_Escobar: donde estoa gonzalo
[2021:02:04-02:50:17]  (Local) -> (LOCAL)[1]Radial'2cb: claro, los clasicos
[2021:02:04-02:50:18]  (Local) -> (LOCAL)[1]Pinina/2cb.: pablo cual es la deset
[2021:02:04-02:50:20]  (Local) -> (LOCAL)[1]Radial'2cb: el perreo
[2021:02:04-02:50:21]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: https://discord.gg/EeaemXa
[2021:02:04-02:50:21]  (Team - Criminals) -> (TEAM)Pablo_Escobar: comprese un arma
[2021:02:04-02:50:21]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: ESTO ES TRAP LO TUYO ES BASURA
[2021:02:04-02:50:23]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: https://discord.gg/EeaemXa
[2021:02:04-02:50:24]  (Local) -> (LOCAL)[2]TOMBO_NEA: wenas
[2021:02:04-02:50:30]  (Team - Unemployed) -> (TEAM)ALVAROURIBE|CDP|: pablo me encanaron
[2021:02:04-02:50:35]  (Local) -> (LOCAL)[2]TOMBO_NEA: vanessa
[2021:02:04-02:50:36]  (Local) -> (LOCAL)[1]marceljose: subase
[2021:02:04-02:50:37]  (Local) -> (LOCAL)[2]Natalia: oe noi me puedo levantar
[2021:02:04-02:50:39]  (Local) -> (LOCAL)[1]Lau|2cb: canciones tan buenas
[2021:02:04-02:50:39]  ([Msg] de Jimenez para RicardoJorge|EVG|: ñero que caja jjJjajjaja) -> nil
[2021:02:04-02:50:39]  (Local) -> (LOCAL)[1]Pablo_Escobar: compre la escopeta
[2021:02:04-02:50:39]  (Global) -> KapsuGamer: severo tema
[2021:02:04-02:50:41]  (Local) -> (LOCAL)[1]TOMBO_NEA: oiga
[2021:02:04-02:50:43]  (Local) -> (LOCAL)[1]Radial'2cb: ahora coloco
[2021:02:04-02:50:44]  (Local) -> (LOCAL)[1]Pablo_Escobar: o la que vale 2k
[2021:02:04-02:50:44]  (Local) -> (LOCAL)[1]LUCHO2z1: levantese
[2021:02:04-02:50:45]  (Local) -> (LOCAL)[0]Miccaty: ajajja
[2021:02:04-02:50:45]  (Local) -> (LOCAL)[1]TOMBO_NEA: galindo
[2021:02:04-02:50:46]  (Global) -> stevenflorez99: admin se me bugea la carga que hagoooo
[2021:02:04-02:50:46]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: ME LLAMÓ TU GUAGUA PORQUE QUIERE UNA AVENTURA
[2021:02:04-02:50:49]  (Local) -> (LOCAL)[0]Miccaty: wtf??
[2021:02:04-02:50:51]  (Global) -> Gonzalo-gaviria[CDP]: pablo yo tengo armas
[2021:02:04-02:50:53]  (Local) -> (LOCAL)[1]Radial'2cb: saca el shamal
[2021:02:04-02:50:57]  (Global) -> Vaneee: DIGATAHHH JAJAJA
[2021:02:04-02:50:58]  (Global) -> Gonzalo-gaviria[CDP]: usted donde esta pablo
[2021:02:04-02:51:00]  (Local) -> (LOCAL)[1]Pablo_Escobar: yo despues los voy a montar a todos con m4
[2021:02:04-02:51:03]  (Local) -> (LOCAL)[2]marceljose: digame señor cesar
[2021:02:04-02:51:03]  (Global) -> Pablo_Escobar: en amunation
[2021:02:04-02:51:06]  (Local) -> (LOCAL)[1]Radial'2cb: mira
[2021:02:04-02:51:09]  (Local) -> (LOCAL)[1]TOMBO_NEA: usted es galindo?
[2021:02:04-02:51:11]  (Local) -> (LOCAL)[1]Radial'2cb: con q y la e
[2021:02:04-02:51:11]  (Local) -> (LOCAL)[2]marceljose: le interesa la vuelta?
[2021:02:04-02:51:11]  (Global) -> Onomatopeya: Que pena don cesar
[2021:02:04-02:51:14]  (Local) -> (LOCAL)[3]Miccaty: que paso??
[2021:02:04-02:51:15]  (Local) -> (LOCAL)[1]Radial'2cb: le das dirrecion
[2021:02:04-02:51:16]  (Global) -> Vaneee: SI TAN BOBO
[2021:02:04-02:51:17]  (Local) -> (LOCAL)[1]Radial'2cb: a
[2021:02:04-02:51:18]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FF12Benr: hola patrona
[2021:02:04-02:51:19]  (Local) -> (LOCAL)[1]Radial'2cb: ya sabes
[2021:02:04-02:51:19]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: breves
[2021:02:04-02:51:21]  (Local) -> (LOCAL)[2]TOMBO_NEA: hola amor jajajajajaj
[2021:02:04-02:51:24]  (Global) -> OnarB_(C.D.P): ñeros empezo pedro el escamoso
[2021:02:04-02:51:26]  (Local) -> (LOCAL)[1]RayoMcqueen: entonces que sapa
[2021:02:04-02:51:27]  (Local) -> (LOCAL)[2]marceljose: diga
[2021:02:04-02:51:29]  (Local) -> (LOCAL)[1]Pinina/2cb.: esta o la otra señor
[2021:02:04-02:51:29]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FF12Benr: como esta mora
[2021:02:04-02:51:30]  (Local) -> (LOCAL)[1]Radial'2cb: aterriza
[2021:02:04-02:51:30]  (Global) -> stevenflorez99: ADMIN ayudaaaaaaa
[2021:02:04-02:51:31]  (Local) -> (LOCAL)[1]Radial'2cb: en ese
[2021:02:04-02:51:31]  (Local) -> (LOCAL)[3]marceljose: si o no?
[2021:02:04-02:51:33]  (Global) -> Orgalor|AUC: voy
[2021:02:04-02:51:33]  (Local) -> (LOCAL)[1]Radial'2cb: aeropuesto
[2021:02:04-02:51:35]  (Global) -> #7F7F7F|ADM|#FF0000_!Megu: q pasa stevenflorez99
[2021:02:04-02:51:35]  (Local) -> (LOCAL)[6]TitoCesar[CDLS]: me interesa
[2021:02:04-02:51:36]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: Pastelo
[2021:02:04-02:51:36]  (Local) -> (LOCAL)[1]Radial'2cb: frena
[2021:02:04-02:51:37]  (Local) -> (LOCAL)[3]Miccaty: naty que pasi?
[2021:02:04-02:51:39]  (Local) -> (LOCAL)[6]javierRD|AK|: como esta igual alamia
[2021:02:04-02:51:39]  (Local) -> (LOCAL)[1]Radial'2cb: y vuela bajo
[2021:02:04-02:51:40]  (Local) -> (LOCAL)[2]Pablo_Escobar: gonzalo
[2021:02:04-02:51:40]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: poneme el freestyle de kr
[2021:02:04-02:51:42]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: asi se llama
[2021:02:04-02:51:43]  (Local) -> (LOCAL)[2]Gonzalo-gaviria[CDP]: quiubo pablo
[2021:02:04-02:51:43]  (Local) -> (LOCAL)[4]CarlosT: apagen esa mierda hptas
[2021:02:04-02:51:45]  (Local) -> (LOCAL)[1]Radial'2cb: da la vuelta
[2021:02:04-02:51:46]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: freestyle 
[2021:02:04-02:51:47]  (Local) -> (LOCAL)[2]Natalia: no me podia levantar
[2021:02:04-02:51:48]  (Local) -> (LOCAL)[5](GAVIRIA): jeje sii
[2021:02:04-02:51:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: la
[2021:02:04-02:51:51]  (Local) -> (LOCAL)[2]Natalia: poegas
[2021:02:04-02:51:51]  (Local) -> (LOCAL)[1]Radial'2cb: alineate
[2021:02:04-02:51:53]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: q paso
[2021:02:04-02:51:54]  (Local) -> (LOCAL)[1]Radial'2cb: con la pista
[2021:02:04-02:51:56]  (Local) -> (LOCAL)[3]Pablo_Escobar: como hago para que el amigo me pase el arma
[2021:02:04-02:51:56]  (Local) -> (LOCAL)[1]Radial'2cb: y vuela bajo
[2021:02:04-02:51:57]  (Local) -> (LOCAL)[4]CarlosT: suena asqueroso
[2021:02:04-02:51:58]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: No vas a colocar esa porqueria
[2021:02:04-02:51:59]  (Global) -> stevenflorez99: se me bugeo la cargaaa a mi y a muchos de los camionerooos
[2021:02:04-02:52:02]  (Local) -> (LOCAL)[1]Radial'2cb: JJJAAJAJAJJAAJAJ
[2021:02:04-02:52:03]  (Local) -> (LOCAL)[2]Miccaty: ajaja
[2021:02:04-02:52:04]  (Global) -> #7F7F7F|DJ|#FF5C00PasteloHpta: Primero va gargola y ahí pongo 
[2021:02:04-02:52:07]  (Global) -> #7F7F7F|ADM|#FF0000_!Megu: q
[2021:02:04-02:52:07]  (Local) -> (LOCAL)[1]Radial'2cb: ya veo q nos vamos a matar
[2021:02:04-02:52:09]  (Global) -> #7F7F7F|DJ|#FF5C00PasteloHpta: el q dijo kevin
[2021:02:04-02:52:11]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: si
[2021:02:04-02:52:12]  (Local) -> (LOCAL)[3]marceljose: digame
[2021:02:04-02:52:13]  (Local) -> (LOCAL)[1]Radial'2cb: eso
[2021:02:04-02:52:13]  (Local) -> (LOCAL)[2]Miccaty: upaaa
[2021:02:04-02:52:16]  (Local) -> (LOCAL)[2]Miccaty: ajjaa
[2021:02:04-02:52:16]  (Local) -> (LOCAL)[1]Radial'2cb: frene
[2021:02:04-02:52:16]  (Local) -> (LOCAL)[3]Onomatopeya: nos culiaron
[2021:02:04-02:52:18]  (Local) -> (LOCAL)[3]TitoCesar[CDLS]: si
[2021:02:04-02:52:19]  (Local) -> (LOCAL)[2]Natalia: mucho perro
[2021:02:04-02:52:21]  (Local) -> (LOCAL)[1]Miccaty: siii
[2021:02:04-02:52:21]  (Global) -> Pablo_Escobar: kevin ocampo
[2021:02:04-02:52:22]  (Global) -> [O]reo~|GT: ok
[2021:02:04-02:52:22]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: a nea lo unico es llendo por otro
[2021:02:04-02:52:23]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: q
[2021:02:04-02:52:23]  (Local) -> (LOCAL)[3]marceljose: jajajaj sisi
[2021:02:04-02:52:25]  (Local) -> (LOCAL)[2]Pablo_Escobar: ya saben
[2021:02:04-02:52:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: ya esta carga se bugueo
[2021:02:04-02:52:28]  (Global) -> TOMBO_NEA: kevin ocampo sapo ahp
[2021:02:04-02:52:32]  (Local) -> (LOCAL)[2]Pablo_Escobar: admin y todo jajjaa
[2021:02:04-02:52:34]  (Local) -> (LOCAL)[3]marceljose: subase
[2021:02:04-02:52:34]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: dick jouse
[2021:02:04-02:52:36]  (Local) -> (LOCAL)[3]TitoCesar[CDLS]: a cuanto la vende
[2021:02:04-02:52:41]  (Global) -> RodolfoAicardi: ocampo es de lo mejorsito
[2021:02:04-02:52:44]  (Local) -> (LOCAL)[4]marceljose: le iba aa cerrar la puerta
[2021:02:04-02:52:48]  (Local) -> (LOCAL)[1]Radial'2cb: ahi
[2021:02:04-02:52:49]  (Local) -> (LOCAL)[2]stevenflorez99: no me deja cojer otra hasta no entrgar esta
[2021:02:04-02:52:49]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FFOrgalor|AUC: nea estallas este y vas por otro
[2021:02:04-02:52:50]  (Local) -> (LOCAL)[1]Radial'2cb: puede
[2021:02:04-02:52:51]  (Global) -> #7F7F7F|DJ|#FF5C00PasteloHpta: Enfocao en mi?
[2021:02:04-02:52:52]  (Local) -> (LOCAL)[2]Gonzalo-gaviria[CDP]: pablo ya me hablo al wpp
[2021:02:04-02:52:52]  (Local) -> (LOCAL)[3]Stivenv28[GT]: xd
[2021:02:04-02:52:53]  (Global) -> #7F7F7F|DJ|#FF5C00PasteloHpta: o el q se llama
[2021:02:04-02:52:54]  (Local) -> (LOCAL)[1]Radial'2cb: frena
[2021:02:04-02:52:55]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: si
[2021:02:04-02:52:55]  (Global) -> TOMBO_NEA: saludes de deckhouse ocampo
[2021:02:04-02:52:56]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FFOrgalor|AUC: la estallas y ya
[2021:02:04-02:52:56]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: ese
[2021:02:04-02:52:56]  (Local) -> (LOCAL)[1]Radial'2cb: vuela bajo
[2021:02:04-02:52:56]  (Global) -> #7F7F7F|DJ|#FF5C00PasteloHpta: Solo kr free
[2021:02:04-02:52:58]  (Global) -> TOMBO_NEA: que si se lo mama
[2021:02:04-02:52:58]  (Local) -> (LOCAL)[2]Pablo_Escobar: si
[2021:02:04-02:52:59]  (Local) -> (LOCAL)[5][O]reo~|GT: Lopez
[2021:02:04-02:53:00]  (Local) -> (LOCAL)[2]Pablo_Escobar: pinina
[2021:02:04-02:53:01]  (Local) -> (LOCAL)[2]stevenflorez99: ok
[2021:02:04-02:53:01]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|GDT: enfocao en mi
[2021:02:04-02:53:02]  (Local) -> (LOCAL)[3]marceljose: le doy 2 de lsd en 9k
[2021:02:04-02:53:03]  (Local) -> (LOCAL)[2]Pablo_Escobar: deme su whataspap
[2021:02:04-02:53:03]  (Local) -> (LOCAL)[5][O]reo~|GT: Lopez
[2021:02:04-02:53:03]  (Global) -> RayoMcqueen: pastelo ponete hoy
[2021:02:04-02:53:05]  (Local) -> (LOCAL)[5][O]reo~|GT: Lopez
[2021:02:04-02:53:05]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FFOrgalor|AUC: venga le colaboro
[2021:02:04-02:53:07]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FFOrgalor|AUC: bajese
[2021:02:04-02:53:08]  (Local) -> (LOCAL)[2][O]reo~|GT: Lopez
[2021:02:04-02:53:10]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: lo tepeo alli
[2021:02:04-02:53:10]  (Local) -> (LOCAL)[1]Radial'2cb: nos matamos
[2021:02:04-02:53:10]  (Local) -> (LOCAL)[1]stevenflorez99: cuidado te mato
[2021:02:04-02:53:12]  (Local) -> (LOCAL)[3][O]reo~|GT: Lopez
[2021:02:04-02:53:14]  (Local) -> (LOCAL)[2]marceljose: y usted las vende a ya usted sabra
[2021:02:04-02:53:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: baja
[2021:02:04-02:53:15]  (Local) -> (LOCAL)[2][O]reo~|GT: Lopez
[2021:02:04-02:53:18]  (Local) -> (LOCAL)[2][O]reo~|GT: Lopez
[2021:02:04-02:53:18]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00KevinOcampo|GDT: oe
[2021:02:04-02:53:21]  (Local) -> (LOCAL)[2]TitoCesar[CDLS]: perico y marihuana tiene?
[2021:02:04-02:53:21]  (Local) -> (LOCAL)[2][O]reo~|GT: Lopez
[2021:02:04-02:53:25]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#0064FFLopez: ya
[2021:02:04-02:53:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: ojo
[2021:02:04-02:53:26]  (Local) -> (LOCAL)[5]Gonzalo-gaviria[CDP]: 3143021967
[2021:02:04-02:53:28]  (Local) -> (LOCAL)[1]stevenflorez99: gracias
[2021:02:04-02:53:29]  (Local) -> (LOCAL)[2]marceljose: tengo marihuana
[2021:02:04-02:53:29]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#0064FFOrgalor|AUC: corrase mas
[2021:02:04-02:53:29]  (Global) -> Onomatopeya: OUIQDMW
[2021:02:04-02:53:31]  (Global) -> alexispagedj-EVG: A
[2021:02:04-02:53:34]  (Local) -> (LOCAL)[1]Radial'2cb: JAJAJAJAAJAJAJAJAAJAJAJA
[2021:02:04-02:53:35]  (Global) -> Onomatopeya: LSD
[2021:02:04-02:53:35]  (Global) -> TOMBO_NEA: ocampo ponga los reyes del balin pa
