This file was generated by Console at 2021:01:26-00:00:00



[2021:01:26-00:00:00]  (Local) -> (LOCAL)[1]SffOquez|6969.: x2
[2021:01:26-04:00:07]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: a no
[2021:01:26-04:00:07]  (Global) -> [CDLS]TitoCesar: de verdad?
[2021:01:26-04:00:08]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: wtf
[2021:01:26-04:00:09]  (Global) -> Mate0: nea
[2021:01:26-04:00:10]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: xd
[2021:01:26-04:00:12]  (Local) -> (LOCAL)[1]Stivenv28[GT]: y tenia 1 estrella
[2021:01:26-04:00:12]  (Local) -> (LOCAL)[11]Groow: si
[2021:01:26-04:00:13]  (Local) -> (LOCAL)[1]Natalia: sigaaaaaaaaaaaaaaaaaaa
[2021:01:26-04:00:13]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: y q quiera aprender pvp
[2021:01:26-04:00:13]  (Global) -> Mate0: cuanto tiempo te falta?
[2021:01:26-04:00:13]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: mm sisas
[2021:01:26-04:00:20]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: pero veo si hay mas reportes suyos
[2021:01:26-04:00:21]  (Global) -> [CDLS]TitoCesar: y si me lo mama un ratico
[2021:01:26-04:00:21]  (Local) -> (LOCAL)[7]ratix: XDD
[2021:01:26-04:00:24]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: no sabia q habia mas
[2021:01:26-04:00:25]  (Local) -> (LOCAL)[1]Natalia: uyyyyyyyyyyyyyyy
[2021:01:26-04:00:27]  (Local) -> (LOCAL)[1]Stivenv28[GT]: de tiro
[2021:01:26-04:00:30]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: aaaa bres ps nose
[2021:01:26-04:00:30]  (Local) -> (LOCAL)[8]Groow: pos tambien
[2021:01:26-04:00:30]  (Local) -> (LOCAL)[3]Stuzzy.2cb: a
[2021:01:26-04:00:30]  (Local) -> (LOCAL)[3]Tetranutra-CAPU-: porque me mato ahora mano
[2021:01:26-04:00:31]  (Global) -> TIROFIJO420: ADMIN
[2021:01:26-04:00:31]  (Local) -> (LOCAL)[1]Stivenv28[GT]: por/kill
[2021:01:26-04:00:34]  (Global) -> TIROFIJO420: UN MAN USA BUGS
[2021:01:26-04:00:34]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: me gustaria pero nose sjsjsj
[2021:01:26-04:00:36]  (Local) -> (LOCAL)[9]Groow: si tiene cuca
[2021:01:26-04:00:37]  (Local) -> (LOCAL)[7]ratix: ush parece que hubieran robao gasolina
[2021:01:26-04:00:37]  (Local) -> (LOCAL)[2]Stuzzy.2cb: no vi que era ud
[2021:01:26-04:00:37]  (Global) -> TIROFIJO420: PA CAMINAR MUY RAPIDO
[2021:01:26-04:00:38]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: si ud tiene algun amigo en Ak
[2021:01:26-04:00:38]  (Local) -> (LOCAL)[1]Stivenv28[GT]: pero yo creia que era legal
[2021:01:26-04:00:38]  (Global) -> E-caN_2cB: brahiam
[2021:01:26-04:00:41]  (Local) -> (LOCAL)[2]Tetranutra-CAPU-: ):
[2021:01:26-04:00:41]  (Local) -> (LOCAL)[3]Stuzzy.2cb: vente pa 2cb
[2021:01:26-04:00:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: me dice y lo invito tambien
[2021:01:26-04:00:43]  (Global) -> E-caN_2cB: pedon
[2021:01:26-04:00:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: no hay problema
[2021:01:26-04:00:44]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: bueno
[2021:01:26-04:00:44]  (Local) -> (LOCAL)[1]Natalia: vos te conoces todo el mapa?
[2021:01:26-04:00:45]  (Local) -> (LOCAL)[1]Stivenv28[GT]: y no lo volvi a hacer
[2021:01:26-04:00:46]  (Global) -> #7F7F7F|ADM|#FF0000KevinOcampo|GDT: ÑERO
[2021:01:26-04:00:46]  (Global) -> Andres~|GT: jjj me mataron y me pagaron XD
[2021:01:26-04:00:47]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: quien quiere cerveza
[2021:01:26-04:00:49]  (Local) -> (LOCAL)[1]Stivenv28[GT]: y vea
[2021:01:26-04:00:50]  (Local) -> (LOCAL)[1]Stivenv28[GT]: kakakakak
[2021:01:26-04:00:51]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: sia
[2021:01:26-04:00:53]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Catre|2cb: a
[2021:01:26-04:00:54]  (Local) -> (LOCAL)[3]GatoAragang[CDP]: poker o light?
[2021:01:26-04:00:55]  (Global) -> ratix: ush parece que hubieran robao gasolina
[2021:01:26-04:00:55]  (Local) -> (LOCAL)[3]Kegorrrr|CDP|: yo
[2021:01:26-04:00:56]  (Local) -> (LOCAL)[3]Tetranutra-CAPU-: mano que me ofrce 2cb
[2021:01:26-04:00:57]  (Local) -> (LOCAL)[7]ratix: a
[2021:01:26-04:01:00]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: bno
[2021:01:26-04:01:01]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: vale ps dejeme y le aviso por whats haber si los 2 mks estan conectados
[2021:01:26-04:01:02]  (Local) -> (LOCAL)[1]Natalia: ushhhhhhhhhhh
[2021:01:26-04:01:03]  (Local) -> (LOCAL)[1]piltrafa_2cb: OE
[2021:01:26-04:01:04]  (Local) -> (LOCAL)[3]Stuzzy.2cb: mejor gang
[2021:01:26-04:01:04]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: la ultima fue de 600
[2021:01:26-04:01:05]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Catre|2cb: suelteme XD
[2021:01:26-04:01:06]  (Global) -> 2cb/MINI: ey cuanto tiemepo dura uno pa subir de nivel de driff
[2021:01:26-04:01:06]  (Local) -> (LOCAL)[1]Cheverry: q
[2021:01:26-04:01:06]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: si no le aviso mñna
[2021:01:26-04:01:06]  (Local) -> (LOCAL)[3]Stuzzy.2cb: q esa y que capu
[2021:01:26-04:01:06]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: pker
[2021:01:26-04:01:08]  (Local) -> (LOCAL)[2]Stuzzy.2cb: toda peye
[2021:01:26-04:01:09]  (Local) -> (LOCAL)[1]Stivenv28[GT]: pero si el man me reporto pues me jailea
[2021:01:26-04:01:09]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: por el kill
[2021:01:26-04:01:09]  (Global) -> TIROFIJO420: JAKJSDJKDASJADSKAS
[2021:01:26-04:01:10]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: pere les escribo
[2021:01:26-04:01:11]  (Global) -> TIROFIJO420: LO COGIERON POR MK
[2021:01:26-04:01:12]  (Local) -> (LOCAL)[1]Natalia: chimbaaa
[2021:01:26-04:01:12]  (Local) -> (LOCAL)[1]Stivenv28[GT]: sisa
[2021:01:26-04:01:13]  (Global) -> Fabius|AUC: no se, pero gracias 2cb/MINI[1]
[2021:01:26-04:01:14]  (Local) -> (LOCAL)[1]Tetranutra-CAPU-: ajjajaa
[2021:01:26-04:01:14]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: severoo
[2021:01:26-04:01:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000KevinOcampo|GDT: Esos puntos se peuden correr?
[2021:01:26-04:01:15]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: jaaj
[2021:01:26-04:01:16]  (Local) -> (LOCAL)[1]Tetranutra-CAPU-: sisas?
[2021:01:26-04:01:17]  (Local) -> (LOCAL)[2]piltrafa_2cb: le cuento una historia
[2021:01:26-04:01:19]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Catre|2cb: suelteme XD
[2021:01:26-04:01:19]  (Local) -> (LOCAL)[1]Stuzzy.2cb: ARO
[2021:01:26-04:01:20]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000KevinOcampo|GDT: estan en la mera mtiad
[2021:01:26-04:01:21]  (Global) -> SffOquez|6969.: pero no tu mor
[2021:01:26-04:01:22]  (Local) -> (LOCAL)[1]Stuzzy.2cb: plata de turf
[2021:01:26-04:01:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: normalmente lo q sigue de 600 es ban
[2021:01:26-04:01:25]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: Breve
[2021:01:26-04:01:25]  (Local) -> (LOCAL)[3]Cheverry: no
[2021:01:26-04:01:26]  (Local) -> (LOCAL)[1]Natalia: eterno esto
[2021:01:26-04:01:26]  (Local) -> (LOCAL)[1]Tetranutra-CAPU-: pero que hace uno en el gang
[2021:01:26-04:01:27]  (Local) -> (LOCAL)[4]piltrafa_2cb: si
[2021:01:26-04:01:28]  (Local) -> (LOCAL)[1]Stuzzy.2cb: q son 67 lukas
[2021:01:26-04:01:29]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: pero komo la situa ta asi
[2021:01:26-04:01:29]  (Global) -> AGUAPANELA-[GT]: bro gas un man me mato y me quito plata
[2021:01:26-04:01:30]  (Global) -> Arturo_Acera: seguime
[2021:01:26-04:01:31]  (Global) -> #7F7F7F|ADM|#FF0000Catre|2cb: ty
[2021:01:26-04:01:31]  (Local) -> (LOCAL)[3]Stuzzy.2cb: nada papi
[2021:01:26-04:01:33]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: asi como nuestro amor bb xdd
[2021:01:26-04:01:34]  (Local) -> (LOCAL)[1]SubditoDeSatanas|~GT: driftear
[2021:01:26-04:01:34]  (Local) -> (LOCAL)[4]fumarrato421-()2cb: estemen
[2021:01:26-04:01:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: le meto otros 600
[2021:01:26-04:01:36]  (Local) -> (LOCAL)[1]Arturo_Acera: le quito todo?
[2021:01:26-04:01:37]  (Local) -> (LOCAL)[1]MiloJclAKk: donde le toco
[2021:01:26-04:01:37]  (Global) -> #7F7F7F|ADM|#FF0000KevinOcampo|GDT: xd
[2021:01:26-04:01:37]  (Local) -> (LOCAL)[2]piltrafa_2cb: diciendome un cachaco ahorita
[2021:01:26-04:01:38]  (Global) -> TIROFIJO420: PERO LO COGIERON PRO MI
[2021:01:26-04:01:38]  (Global) -> Nostalgy@|2cb: que desparche ñero
[2021:01:26-04:01:38]  (Local) -> (LOCAL)[1]Stivenv28[GT]: pues pana
[2021:01:26-04:01:38]  (Local) -> (LOCAL)[3]Tetranutra-CAPU-: umano que es turf
[2021:01:26-04:01:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: para el proximo
[2021:01:26-04:01:39]  (Global) -> TIROFIJO420: ASJDDASKJDASKDAS
[2021:01:26-04:01:40]  (Local) -> (LOCAL)[1]Natalia: jajajajajajajaja
[2021:01:26-04:01:42]  (Global) -> Arturo_Acera: pongase modo pasivo
[2021:01:26-04:01:43]  (Local) -> (LOCAL)[1]Stivenv28[GT]: soy muy demalas
[2021:01:26-04:01:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: si
[2021:01:26-04:01:44]  (Global) -> WarySwordsman45: oe neas
[2021:01:26-04:01:46]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: ajsja
[2021:01:26-04:01:46]  (Local) -> (LOCAL)[1]Stivenv28[GT]: >c
[2021:01:26-04:01:47]  (Local) -> (LOCAL)[3]Cheverry: q coteño mamaburra
[2021:01:26-04:01:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: este seran 600s
[2021:01:26-04:01:50]  (Global) -> WarySwordsman45: donde hago plata ?
[2021:01:26-04:01:51]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: q gonorrea mira p arriba todo eso
[2021:01:26-04:01:53]  (Local) -> (LOCAL)[4]piltrafa_2cb: jajajajajajajajaja
[2021:01:26-04:01:55]  (Local) -> (LOCAL)[1]Stivenv28[GT]: ok
[2021:01:26-04:01:56]  (Local) -> (LOCAL)[3]piltrafa_2cb: no
[2021:01:26-04:01:56]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: para el proximo ban
[2021:01:26-04:01:56]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: oes
[2021:01:26-04:01:56]  (Global) -> AGUAPANELA-[GT]: okkk
[2021:01:26-04:01:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: bno
[2021:01:26-04:01:59]  (Global) -> Mate0: kawaii
[2021:01:26-04:02:01]  (Global) -> Mate0: curame nea
[2021:01:26-04:02:02]  (Local) -> (LOCAL)[1]Stivenv28[GT]: pero si ud se pone a analizar
[2021:01:26-04:02:02]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: entendible
[2021:01:26-04:02:04]  (Local) -> (LOCAL)[1]Arturo_Acera: en el celacho
[2021:01:26-04:02:04]  (Global) -> Mate0: pls
[2021:01:26-04:02:06]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: ajjajaja
[2021:01:26-04:02:07]  (Local) -> (LOCAL)[1]Natalia: yyyyyyyyyyyyyyyyyyyyyyw
[2021:01:26-04:02:09]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: vamos a descuartizar a un man
[2021:01:26-04:02:09]  (Global) -> Mate0: o cómo me pongo eso que compré
[2021:01:26-04:02:09]  (Local) -> (LOCAL)[3]GatoAragang[CDP]: oe
[2021:01:26-04:02:11]  (Local) -> (LOCAL)[1]Arturo_Acera: hagale pa que vamos porr dragan
[2021:01:26-04:02:12]  (Global) -> JUANCHO: las venturas
[2021:01:26-04:02:12]  (Local) -> (LOCAL)[1]Stivenv28[GT]: para que voy a evadir por una estrella
[2021:01:26-04:02:13]  (Global) -> Mate0: los health packs
[2021:01:26-04:02:16]  (Local) -> (LOCAL)[8]KawaiiGirlsG: Parce yo no puedo debes ir donde un medico
[2021:01:26-04:02:18]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: vamos
[2021:01:26-04:02:19]  (Local) -> (LOCAL)[1]Stivenv28[GT]: osea no es nada
[2021:01:26-04:02:20]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: szs nea
[2021:01:26-04:02:21]  (Local) -> (LOCAL)[1]Natalia: mk hay muchooooooooooooo
[2021:01:26-04:02:22]  (Global) -> AGUAPANELA-[GT]: vamos d1 q tengo ya 
[2021:01:26-04:02:23]  (Global) -> JUANCHO: a ud?
[2021:01:26-04:02:24]  (Local) -> (LOCAL)[1]MiloJclAKk: ahora nos vemos ami me toco en los santos
[2021:01:26-04:02:24]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: por eso no te baneo
[2021:01:26-04:02:24]  (Global) -> Mate0: pero nea no veo ningun medico jajajajaja
[2021:01:26-04:02:25]  (Local) -> (LOCAL)[5]fumarrato421-()2cb: veo
[2021:01:26-04:02:26]  (Local) -> (LOCAL)[1]Stivenv28[GT]: pero ash
[2021:01:26-04:02:28]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: no pasa nada
[2021:01:26-04:02:28]  (Global) -> javierRD(AK): de la buena
[2021:01:26-04:02:29]  (Local) -> (LOCAL)[3]GatoAragang[CDP]: vamos a dar plomo
[2021:01:26-04:02:30]  (Local) -> (LOCAL)[7]LUCHO2z1: tas encanado
[2021:01:26-04:02:31]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: ya me voy a mimir
[2021:01:26-04:02:31]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: porq no fue esa la intencion
[2021:01:26-04:02:32]  (Global) -> JUANCHO: listo socio
[2021:01:26-04:02:32]  (Global) -> #7F7F7F|ADM|#FF0000Catre|2cb: (LOCAL)[6]Cheverry: enamorado vive ese hp
[2021:01:26-04:02:33]  (Global) -> WarySwordsman45: hi guys
[2021:01:26-04:02:33]  (Global) -> Don_Mario|CDP|: QUIEN QUIERE PLATA
[2021:01:26-04:02:33]  (Local) -> (LOCAL)[1]Stivenv28[GT]: pero dele
[2021:01:26-04:02:34]  (Global) -> KawaiiGirlsG: O compra en el corazon y apretas f7 
[2021:01:26-04:02:35]  (Global) -> Nostalgy@|2cb: sosa
[2021:01:26-04:02:36]  (Global) -> Don_Mario|CDP|: QUIEN QUIERE PLATA
[2021:01:26-04:02:37]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: mañana clases
[2021:01:26-04:02:37]  (Local) -> (LOCAL)[1]MiloJclAKk: cuando llegue aya le sale igual que aca
[2021:01:26-04:02:38]  (Global) -> Nostalgy@|2cb: sisa
[2021:01:26-04:02:38]  (Global) -> Don_Mario|CDP|: QUIEN QUIERE PLATA
[2021:01:26-04:02:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: bno ojo ps
[2021:01:26-04:02:41]  (Local) -> (LOCAL)[4]Razzork|Z: ey
[2021:01:26-04:02:41]  (Local) -> (LOCAL)[1]Stivenv28[GT]: igual gracias
[2021:01:26-04:02:42]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: yoooooooooo
[2021:01:26-04:02:43]  (Global) -> KawaiiGirlsG: Y te sale Healt
[2021:01:26-04:02:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: con los proximos reports
[2021:01:26-04:02:43]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: meta marimba
[2021:01:26-04:02:43]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: YA SE VA?
[2021:01:26-04:02:44]  (Team - Law Enforcement) -> (TEAM)LUCHO2z1: no hay salida
[2021:01:26-04:02:45]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: weno
[2021:01:26-04:02:47]  (Global) -> Mate0: no tengo drogas
[2021:01:26-04:02:47]  (Local) -> (LOCAL)[3]Kegorrrr|CDP|: yooo
[2021:01:26-04:02:48]  (Local) -> (LOCAL)[8]KawaiiGirlsG: Y lo usas
[2021:01:26-04:02:51]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: XD ES UNA TRAMPA PA MATARLO
[2021:01:26-04:02:53]  (Global) -> #7F7F7F|ADM||DJ|#FF0000Jimenez: naaa
[2021:01:26-04:02:53]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: sisas
[2021:01:26-04:02:53]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: ya escribi haber que dicen pa
[2021:01:26-04:02:56]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: ya me voy
[2021:01:26-04:02:57]  (Global) -> Mate0: no sale eso
[2021:01:26-04:02:57]  (Local) -> (LOCAL)[1]Natalia: jajajaj tenog que guardar para mañana
[2021:01:26-04:02:58]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: ahah
[2021:01:26-04:02:59]  (Global) -> #7F7F7F|ADM|#FF0000KevinOcampo|GDT: puta
[2021:01:26-04:03:01]  (Local) -> (LOCAL)[3]GatoAragang[CDP]: mk yo creo que tambien me voy a mimir
[2021:01:26-04:03:03]  (Local) -> (LOCAL)[2]Stuzzy.2cb: no doy recover MAS
[2021:01:26-04:03:03]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: toca mimir
[2021:01:26-04:03:03]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: melo pai
[2021:01:26-04:03:04]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: de todas maneras donde me puedo comunicar con ud
[2021:01:26-04:03:04]  (Local) -> (LOCAL)[1]EmilioGaviria/GT: no en el juego
[2021:01:26-04:03:06]  (Local) -> (LOCAL)[1]SubditoDeSatanas|~GT: d
[2021:01:26-04:03:07]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: si algo
[2021:01:26-04:03:07]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: xd
[2021:01:26-04:03:07]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: vemos parce
[2021:01:26-04:03:08]  (Local) -> (LOCAL)[1]Stuzzy.2cb: HPPPPPP
[2021:01:26-04:03:08]  (Global) -> Andres~|GT: xdddddddddddddd
[2021:01:26-04:03:08]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: entendo
[2021:01:26-04:03:10]  (Local) -> (LOCAL)[1]Natalia: mañana me quedare en casa
[2021:01:26-04:03:10]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: entiendo
[2021:01:26-04:03:10]  (Local) -> (LOCAL)[2]Eusebio'2cb: xq
[2021:01:26-04:03:11]  (Global) -> Brahian|2cb|: que pirobo mas gey
[2021:01:26-04:03:11]  (Global) -> elviejojuancho2cb: admin
[2021:01:26-04:03:14]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: la buena Dios los bendiga
[2021:01:26-04:03:14]  (Local) -> (LOCAL)[1]Stuzzy.2cb: toy peor que tu con ese rango de criminal
[2021:01:26-04:03:15]  (Local) -> (LOCAL)[1]Natalia: trabajare aca desde mi casa
[2021:01:26-04:03:15]  (Global) -> #7F7F7F|ADM|#FF0000Orgalor|AUC: dime
[2021:01:26-04:03:15]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: listo
[2021:01:26-04:03:16]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: 3005419118
[2021:01:26-04:03:18]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: jugamos mañana
[2021:01:26-04:03:18]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: mañan
[2021:01:26-04:03:19]  (Local) -> (LOCAL)[3]Don_Mario|CDP|: nos vemos
[2021:01:26-04:03:20]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: gracias
[2021:01:26-04:03:20]  (Global) -> $hadowHunter[EVG]: Orgalor|AUC gei
[2021:01:26-04:03:21]  (Global) -> Radial'2cb: AAAAAAAAAAAAAAAAAAAA
[2021:01:26-04:03:23]  (Local) -> (LOCAL)[2]Eusebio'2cb: qn es ud
[2021:01:26-04:03:24]  (Global) -> elviejojuancho2cb: hay un caremonda franqueando en el bancio
[2021:01:26-04:03:24]  (Local) -> (LOCAL)[3]SoplaMondalCDPl: chau
[2021:01:26-04:03:24]  (Global) -> Mate0: me sale bareta, popper, perica, lsd y bazuco
[2021:01:26-04:03:25]  (Local) -> (LOCAL)[7]ratix: joda sin querer undi la bindeaada
[2021:01:26-04:03:25]  (Local) -> (LOCAL)[3]GatoAragang[CDP]: vemos mañana
[2021:01:26-04:03:25]  (Global) -> Fabius|AUC: tranquilos, puse algo bien aspero 
[2021:01:26-04:03:26]  (Local) -> (LOCAL)[7]ratix: ajjaja
[2021:01:26-04:03:27]  (Local) -> (LOCAL)[3]Stuzzy.2cb: pimp
[2021:01:26-04:03:27]  (Global) -> Mate0: pero no health packs
[2021:01:26-04:03:29]  (Global) -> elviejojuancho2cb: banco*
[2021:01:26-04:03:29]  (Local) -> (LOCAL)[11]Eusebio'2cb: ay maricaaa subí
[2021:01:26-04:03:30]  (Local) -> (LOCAL)[2]Don_Mario|CDP|: la buena
[2021:01:26-04:03:30]  (Local) -> (LOCAL)[2]GatoAragang[CDP]: se cuidan esas tapas
[2021:01:26-04:03:31]  (Local) -> (LOCAL)[7]ratix: toca esperar 5min
[2021:01:26-04:03:31]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#0064FFtussy'2cb: Lo anoto?
[2021:01:26-04:03:31]  (Local) -> (LOCAL)[11]Eusebio'2cb: a lider de combo
[2021:01:26-04:03:33]  (Local) -> (LOCAL)[2]Don_Mario|CDP|: pana
[2021:01:26-04:03:34]  (Global) -> KawaiiGirlsG: F6
[2021:01:26-04:03:35]  (Phone:SMS) -> From DonBazuco15 | To: Don_Mario|CDP| | Message: mano como le llego?
[2021:01:26-04:03:36]  (Local) -> (LOCAL)[14]Eusebio'2cb: >:)))
[2021:01:26-04:03:36]  (Local) -> (LOCAL)[14]Stuzzy.2cb: q rango papi
[2021:01:26-04:03:37]  (Global) -> Andres~|GT: aaaaaaaaaaaaaa
[2021:01:26-04:03:38]  (Global) -> Mate0: Aaaaaa
[2021:01:26-04:03:38]  (Local) -> (LOCAL)[14]Stuzzy.2cb: qqqqq
[2021:01:26-04:03:39]  (Global) -> Andres~|GT: hp lag
[2021:01:26-04:03:39]  (Team - Unemployed) -> (TEAM)MykeTowers|AK|: vea
[2021:01:26-04:03:40]  (Local) -> (LOCAL)[1]|SAPOHP||ElMarino|AK|: ale ps siza
[2021:01:26-04:03:40]  (Local) -> (LOCAL)[14]Stuzzy.2cb: q
[2021:01:26-04:03:40]  (Local) -> (LOCAL)[1]Don_Mario|CDP|: kegro se queda?
[2021:01:26-04:03:42]  (Local) -> (LOCAL)[2]Cheverry: añañy
[2021:01:26-04:03:42]  (Global) -> #7F7F7F|ADM|#FF0000Orgalor|AUC: ya no hay nadie so
[2021:01:26-04:03:42]  (Local) -> (LOCAL)[9]Stuzzy.2cb: y como?
[2021:01:26-04:03:45]  (Global) -> WarySwordsman45: can you help me ?
[2021:01:26-04:03:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#0064FFtussy'2cb: 3005419118
[2021:01:26-04:03:46]  (Local) -> (LOCAL)[2]|SAPOHP||ElMarino|AK|: pere le mando msm por si acaso
[2021:01:26-04:03:46]  (Local) -> (LOCAL)[2]Stuzzy.2cb: tan rapido
[2021:01:26-04:03:47]  (Local) -> (LOCAL)[2]Cheverry: top 2
[2021:01:26-04:03:48]  (Local) -> (LOCAL)[3]Brahian|2cb|: jajajaj
[2021:01:26-04:03:49]  (Local) -> (LOCAL)[5]Stivenv28[GT]: mateme
[2021:01:26-04:03:50]  (Local) -> (LOCAL)[7]Razzork|Z: es ese
[2021:01:26-04:03:50]  (Local) -> (LOCAL)[3]Cheverry: si señor
[2021:01:26-04:03:50]  (Global) -> WarySwordsman45: i need money 
[2021:01:26-04:03:51]  (Local) -> (LOCAL)[2]Eusebio'2cb: haciendo misiones de criminal
[2021:01:26-04:03:51]  (Local) -> (LOCAL)[1]Kegorrrr|CDP|: si
[2021:01:26-04:03:51]  (Local) -> (LOCAL)[10]KawaiiGirlsG: Asi te curas
[2021:01:26-04:03:52]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#0064FFtussy'2cb: bre
[2021:01:26-04:03:53]  (Global) -> elviejojuancho2cb: casi me tumban 5 palos
[2021:01:26-04:03:54]  (Local) -> (LOCAL)[1]Natalia: mañana jugamos
[2021:01:26-04:03:55]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Orgalor|AUC: q le estaban haciendo
[2021:01:26-04:03:56]  (Local) -> (LOCAL)[2]Stuzzy.2cb: ahh si vio
[2021:01:26-04:03:56]  (Local) -> (LOCAL)[1]Don_Mario|CDP|: vamos a hacer un atentado terrorista conn un jet
[2021:01:26-04:03:56]  (Local) -> (LOCAL)[3]Brahian|2cb|: aragan
[2021:01:26-04:03:57]  (Local) -> (LOCAL)[2]Eusebio'2cb: eso es mejor que matar tombos
