This file was generated by Console at 2020:12:18-00:00:04



[2020:12:18-00:00:04]  (Local) -> (LOCAL)[11]COMANDANTEEE: bn
[2020:12:18-00:55:41]  (Local) -> (LOCAL)[1]miguelospitia: oe mk va re lento
[2020:12:18-00:55:42]  (Local) -> (LOCAL)[6]CAPU|~Orion~|: PANA
[2020:12:18-00:55:42]  (Local) -> (LOCAL)[1]|Z|BAZUCO[LP]: tiene que decirle a el lider de la gang
[2020:12:18-00:55:45]  (Local) -> (LOCAL)[2]|Z|BAZUCO[LP]: que lo invite
[2020:12:18-00:55:47]  (Local) -> (LOCAL)[5]CAPU|~Orion~|: Ah se fue
[2020:12:18-00:55:48]  (Local) -> (LOCAL)[1]Sancocho-Kun: PQ HAy unas turfs azules y otras rosadas? xd
[2020:12:18-00:55:48]  (Local) -> (LOCAL)[5]CAPU|~Orion~|: xddd
[2020:12:18-00:55:51]  (Local) -> (LOCAL)[2]surimc30: y quien es?
[2020:12:18-00:55:51]  (Local) -> (LOCAL)[1]miguelospitia: 1800 perdidos
[2020:12:18-00:55:57]  (Local) -> (LOCAL)[2]surimc30: .-.
[2020:12:18-00:56:00]  (Local) -> (LOCAL)[3][MZ]24k: Curate po
[2020:12:18-00:56:06]  (Local) -> (LOCAL)[4]AK~Fear: subase srta
[2020:12:18-00:56:12]  (Local) -> (LOCAL)[3]2cB-Bellaqueohpta: vamos donde el patron q debe estar esperandonos
[2020:12:18-00:56:16]  (Local) -> (LOCAL)[5]LocaHp: voyvovyvoy
[2020:12:18-00:56:22]  (Local) -> (LOCAL)[3]AK~Fear: las lucas
[2020:12:18-00:56:22]  (Local) -> (LOCAL)[4]CAPU~!Algarete: respetame queroso
[2020:12:18-00:56:25]  (Team - Services) -> (TEAM)KRATTOSClarinet: oeeee
[2020:12:18-00:56:31]  (Local) -> (LOCAL)[3]2cB-Bellaqueohpta: vamos donde el patron q debe estar esperandonos
[2020:12:18-00:56:34]  (Local) -> (LOCAL)[3][MZ]24k: onos
[2020:12:18-00:56:38]  (Global) -> 2cB'PULIDUSKI: joder se me bugio el trailer
[2020:12:18-00:56:40]  (Local) -> (LOCAL)[3][MZ]24k: reizer va'
[2020:12:18-00:56:42]  (Local) -> (LOCAL)[2]LocaHp: keso
[2020:12:18-00:56:44]  (Local) -> (LOCAL)[2]LocaHp: XD
[2020:12:18-00:56:46]  (Local) -> (LOCAL)[2]2cb'KesoDePene: amigaaaaaaaaaaaaaaaa
[2020:12:18-00:56:47]  (Global) -> 2cB'PULIDUSKI: ecploto
[2020:12:18-00:56:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: no
[2020:12:18-00:56:48]  (Local) -> (LOCAL)[2]Sancocho-Kun: hagale xd
[2020:12:18-00:56:48]  (Local) -> (LOCAL)[2]2cb'KesoDePene: como estas
[2020:12:18-00:56:50]  (Local) -> (LOCAL)[2]LocaHp: subiteeeee
[2020:12:18-00:56:52]  (Local) -> (LOCAL)[2]2cb'KesoDePene: soy jolyne
[2020:12:18-00:56:52]  (Global) -> CAPU|~Orion~|: De tanto turfear
[2020:12:18-00:56:54]  (Local) -> (LOCAL)[2]2cb'KesoDePene: asjjasjas
[2020:12:18-00:57:05]  (Local) -> (LOCAL)[6][MZ]24k: HMMMM
[2020:12:18-00:57:07]  (Global) -> 2cB'PULIDUSKI: bad ending
[2020:12:18-00:57:07]  (Local) -> (LOCAL)[1]2cB'IBIZA: chaleco
[2020:12:18-00:57:12]  (Local) -> (LOCAL)[6]AK~Fear: Roxayni a la tienda
[2020:12:18-00:57:13]  (Local) -> (LOCAL)[3]CAPU~!Algarete: a
[2020:12:18-00:57:16]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: oe
[2020:12:18-00:57:22]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: es en el blanco
[2020:12:18-00:57:30]  (Local) -> (LOCAL)[6][Perico]: lo requisa
[2020:12:18-00:57:37]  (Local) -> (LOCAL)[6][MZ]24k: Patron ahi le viene visita
[2020:12:18-00:57:41]  (Local) -> (LOCAL)[1][EVG]TREBOOL: lo llevo?
[2020:12:18-00:57:43]  (Local) -> (LOCAL)[5]AK~Fear: sr su papa de permiso
[2020:12:18-00:57:49]  (Global) -> [Perico]: Lo requisa
[2020:12:18-00:57:56]  (Local) -> (LOCAL)[2]CAPU~!Algarete: XD
[2020:12:18-00:57:58]  (Local) -> (LOCAL)[5][MZ]24k: ese estaba con el vibra
[2020:12:18-00:58:05]  (Local) -> (LOCAL)[4]AK~Fear: tiene pailas el carro
[2020:12:18-00:58:15]  (Local) -> (LOCAL)[1]2cB'IBIZA: vago
[2020:12:18-00:58:24]  (Global) -> jorge_nitalez: W
[2020:12:18-00:58:26]  (Local) -> (LOCAL)[1]CAPU~!Algarete: anda encana a ese sapo
[2020:12:18-00:58:27]  (Local) -> (LOCAL)[2]KRATTOSClarinet: donde lo llevo voy para la estacion de buses
[2020:12:18-00:58:28]  (Global) -> jorge_nitalez: GRACIAS
[2020:12:18-00:58:29]  (Global) -> LocaHp: flow futuraaaaama
[2020:12:18-00:58:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: voy para alla
[2020:12:18-00:58:41]  (Local) -> (LOCAL)[1]KRATTOSClarinet: ok vamos
[2020:12:18-00:58:54]  (Local) -> (LOCAL)[6][MZ]24k: QUe violencia
[2020:12:18-00:58:59]  (Local) -> (LOCAL)[5][MZ]24k: Que mas
[2020:12:18-00:59:01]  (Local) -> (LOCAL)[1]Apu: quedate
[2020:12:18-00:59:03]  (Local) -> (LOCAL)[4][MZ]24k: SI sr venga
[2020:12:18-00:59:09]  (Team - Services) -> (TEAM)Gilaexxx: que paso??
[2020:12:18-00:59:14]  (Local) -> (LOCAL)[1]KRATTOSClarinet: jajaj
[2020:12:18-00:59:14]  (Local) -> (LOCAL)[5]2cB-Bellaqueohpta: qien es ese
[2020:12:18-00:59:21]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: saco carro o que?
[2020:12:18-00:59:23]  (Local) -> (LOCAL)[0]2cb'Petito: ps XD FFFFFFFFFF
[2020:12:18-00:59:28]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: o moto rapida
[2020:12:18-00:59:29]  (Local) -> (LOCAL)[6][MZ]24k: SI quiere esperelo
[2020:12:18-00:59:29]  (Local) -> (LOCAL)[1]LocaHp: ammu
[2020:12:18-00:59:30]  (Local) -> (LOCAL)[1]KRATTOSClarinet: no el abus
[2020:12:18-00:59:33]  (Local) -> (LOCAL)[1]LocaHp: q no tengo balas
[2020:12:18-00:59:34]  (Team - Services) -> (TEAM)Gilaexxx: como cambio de skin??
[2020:12:18-00:59:35]  (Local) -> (LOCAL)[6][MZ]24k: YA s elo llamo
[2020:12:18-00:59:37]  (Local) -> (LOCAL)[1]LocaHp: c me acabo la m4
[2020:12:18-00:59:38]  (Local) -> (LOCAL)[6]2cB-Bellaqueohpta: a usted quien lo autorizo
[2020:12:18-00:59:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Llanerito: llgaromç
[2020:12:18-00:59:52]  (Global) -> Gilaexxx: alguien sabe como se cambia la skin?
[2020:12:18-00:59:53]  (Local) -> (LOCAL)[5]2cB-Bellaqueohpta: ok
[2020:12:18-00:59:55]  (Global) -> jorge_nitalez: ./resign
[2020:12:18-00:59:55]  (Local) -> (LOCAL)[3]LocaHp: kkk
[2020:12:18-00:59:56]  (Global) -> 2cb'Petito: F que asco me va a un fps
[2020:12:18-01:00:02]  (Global) -> Sancocho-Kun:  /ponerskin idskin
[2020:12:18-01:00:05]  (Global) -> jorge_nitalez: asi pero sin el punto
[2020:12:18-01:00:07]  (Global) -> #7F7F7F|CVR|#FF0000DonBerna: Flow futurama
[2020:12:18-01:00:09]  (Global) -> Gilaexxx: ./resing
[2020:12:18-01:00:10]  (Local) -> (LOCAL)[7][MZ]24k: PAtron que pena interrumpirlo
[2020:12:18-01:00:14]  (Team - Law Enforcement) -> (TEAM)capitanmini: ./resingn
[2020:12:18-01:00:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: sabes quienes son los admin?
[2020:12:18-01:00:18]  (Local) -> (LOCAL)[1]KRATTOSClarinet: son 1800a
[2020:12:18-01:00:18]  (Local) -> (LOCAL)[11][MZ]24k: LO buscan
[2020:12:18-01:00:19]  (Local) -> (LOCAL)[2]KP=W4$LTER: uy
[2020:12:18-01:00:20]  (Global) -> 2cB'IBIZA: bua
[2020:12:18-01:00:20]  (Global) -> jorge_nitalez: primero la g
[2020:12:18-01:00:22]  (Local) -> (LOCAL)[2]KP=W4$LTER: mero lagazo
[2020:12:18-01:00:23]  (Global) -> 2cB'IBIZA: lopez se conecto
[2020:12:18-01:00:27]  (Global) -> jorge_nitalez: pero sin el punto
[2020:12:18-01:00:29]  (Local) -> (LOCAL)[2]KP=W4$LTER: arriba
[2020:12:18-01:00:29]  (Local) -> (LOCAL)[11]2cB-Bellaqueohpta: un man dicde q lo conoce
[2020:12:18-01:00:30]  (Global) -> XqCL: ayuda, ya llegue a donde debo entregar el trailer 
[2020:12:18-01:00:30]  (Local) -> (LOCAL)[1]KRATTOSClarinet: no soy nuevo
[2020:12:18-01:00:35]  (Global) -> XqCL: pero no pasa nada
[2020:12:18-01:00:35]  (Local) -> (LOCAL)[11]2cB-Bellaqueohpta: este
[2020:12:18-01:00:38]  (Local) -> (LOCAL)[11]2cb,francovillar: solo vibra+}}w
[2020:12:18-01:00:39]  (Global) -> CAPU~!Algarete: YO TAMBIEN TENGO UNA JEEPETA
[2020:12:18-01:00:44]  (Local) -> (LOCAL)[2]Apu: a
[2020:12:18-01:00:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: los que tienen |CVR| en gris
[2020:12:18-01:00:47]  (Global) -> Sancocho-Kun: ok
[2020:12:18-01:00:47]  (Local) -> (LOCAL)[11]2cb,francovillar: fuera
[2020:12:18-01:00:52]  (Global) -> jorge_nitalez: en bus pagan mucho
[2020:12:18-01:00:52]  (Global) -> CAPU~!Algarete: su
[2020:12:18-01:00:56]  (Local) -> (LOCAL)[1]Apu: ven
[2020:12:18-01:00:59]  (Team - Unemployed) -> (TEAM)2cb,francovillar: fuera
[2020:12:18-01:01:00]  (Local) -> (LOCAL)[3]2cB'IBIZA: berna
[2020:12:18-01:01:10]  (Global) -> XqCL: ayuda, ya llegue a donde debo entregar el trailer  pero no pasa nada
[2020:12:18-01:01:13]  (Local) -> (LOCAL)[2]2cb*ARETE: oe
[2020:12:18-01:01:14]  (Local) -> (LOCAL)[10]2cb,francovillar: fuera
[2020:12:18-01:01:14]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: buenas noches
[2020:12:18-01:01:15]  (Global) -> jorge_nitalez: en bus pagan bastante
[2020:12:18-01:01:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00ReizerB: te voy a dar 50k
[2020:12:18-01:01:15]  (Local) -> (LOCAL)[10]MONCAA: hola don pablo
[2020:12:18-01:01:17]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: oelo
[2020:12:18-01:01:17]  (Global) -> Daniel_Diaz-c: FrancoVillar llamado el tirador de rol
[2020:12:18-01:01:17]  (Local) -> (LOCAL)[3]KRATTOSClarinet: con gusto jhajajaj
[2020:12:18-01:01:18]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: contame
[2020:12:18-01:01:19]  (Local) -> (LOCAL)[3]2cB'IBIZA: no q podian cuando quieran
[2020:12:18-01:01:23]  (Local) -> (LOCAL)[1]GT|~PABLO: oe
[2020:12:18-01:01:26]  (Local) -> (LOCAL)[1]Juam.: hableme
[2020:12:18-01:01:27]  (Global) -> Gilaexxx: }
[2020:12:18-01:01:28]  (Global) -> jorge_nitalez: diga
[2020:12:18-01:01:32]  (Local) -> (LOCAL)[2]KRATTOSClarinet: enserio
[2020:12:18-01:01:32]  (Local) -> (LOCAL)[1]2cb*ARETE: piense rapido
[2020:12:18-01:01:33]  (Local) -> (LOCAL)[1]GT|~PABLO: se embobo o que
[2020:12:18-01:01:39]  (Team - Services) -> (TEAM)Gilaexxx: me dieron 10000
[2020:12:18-01:01:42]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: jAJJAJA
[2020:12:18-01:01:42]  (Local) -> (LOCAL)[9]2cb,francovillar: fuera
[2020:12:18-01:01:44]  (Local) -> (LOCAL)[1]Juam.: nonas si no q lo queria curar pa
[2020:12:18-01:01:44]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: EASY
[2020:12:18-01:01:50]  (Local) -> (LOCAL)[1]2cb*ARETE: es juego
[2020:12:18-01:01:51]  (Team - Services) -> (TEAM)Gilaexxx: y en la ruta como 10000 mas
[2020:12:18-01:01:52]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: JSJS
[2020:12:18-01:01:53]  (Global) -> CAPU~!Algarete: hp
[2020:12:18-01:01:54]  (Local) -> (LOCAL)[7]2cB-Bellaqueohpta: nadie enga;a a el partron
[2020:12:18-01:01:56]  (Global) -> Sancocho-Kun: flow futurama xd
[2020:12:18-01:01:58]  (Global) -> [Perico]: POLICIA NACI=ONAL DEL ROLL PUEDEN LLEGAR
[2020:12:18-01:01:59]  (Local) -> (LOCAL)[7]SUPAPA: rela
[2020:12:18-01:01:59]  (Global) -> jorge_nitalez: a bueno chao boy a serra mente
[2020:12:18-01:02:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: listo
[2020:12:18-01:02:01]  (Local) -> (LOCAL)[1]GT|~PABLO: no me choque
[2020:12:18-01:02:03]  (Local) -> (LOCAL)[8]SUPAPA: vengo con vibra
[2020:12:18-01:02:07]  (Local) -> (LOCAL)[8]2cb,francovillar: oe
[2020:12:18-01:02:09]  (Local) -> (LOCAL)[4]Apu: xd
[2020:12:18-01:02:09]  (Local) -> (LOCAL)[4]KP=W4$LTER: f
[2020:12:18-01:02:10]  (Local) -> (LOCAL)[1]GT|~PABLO: eeeeeeeeeeeeeeee
[2020:12:18-01:02:10]  (Local) -> (LOCAL)[2]MONCada: hola hermano
[2020:12:18-01:02:12]  (Local) -> (LOCAL)[1]Juam.: hagale fresco
[2020:12:18-01:02:12]  (Global) -> Gilaexxx: t
[2020:12:18-01:02:12]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: los admin
[2020:12:18-01:02:16]  (Team - Services) -> (TEAM)Gilaexxx: no doy pa bajar
[2020:12:18-01:02:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: tienen esta skin
[2020:12:18-01:02:20]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: solo los admin
[2020:12:18-01:02:23]  (Local) -> (LOCAL)[6]2cB-Bellaqueohpta: A USTED QUIEN LO DEJO ENTAR
[2020:12:18-01:02:24]  (Team - Staff) -> (TEAM)#7F7F7F|CVR|#FF8C00ReizerB:  
[2020:12:18-01:02:25]  (Global) -> 2cb*ARETE: a donde llego
[2020:12:18-01:02:27]  (Local) -> (LOCAL)[3]AK~Fear: esos manes me mataron mk
[2020:12:18-01:02:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: y vuelan
[2020:12:18-01:02:29]  (Global) -> Sancocho-Kun: jumm
[2020:12:18-01:02:31]  (Global) -> KP=W4$LTER: pq putas quite los efectos
[2020:12:18-01:02:32]  (Local) -> (LOCAL)[3]2cb'DrStrange: ajajja
[2020:12:18-01:02:32]  (Local) -> (LOCAL)[1]2cb'Fabius: polloo
[2020:12:18-01:02:33]  (Global) -> KRATTOSClarinet: uno yosolo estsa
[2020:12:18-01:02:34]  (Team - Services) -> (TEAM)Gilaexxx: se me bugeo creo
[2020:12:18-01:02:34]  (Local) -> (LOCAL)[3][Kp]~[S]p^cem: tengo el anuncio de la gasolineria en la cara
[2020:12:18-01:02:35]  (Global) -> ElRodriguez: oe mano
[2020:12:18-01:02:37]  (Local) -> (LOCAL)[3]2cB'IBIZA: ey le alquilo 1 turf
[2020:12:18-01:02:38]  (Global) -> KP=W4$LTER: ahora nos e cuando se me estalla el carro
[2020:12:18-01:02:38]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_:  CONTRASEÑA capumaricos
[2020:12:18-01:02:40]  (Local) -> (LOCAL)[3]2cb'Fabius: ah ya
[2020:12:18-01:02:42]  (Global) -> ElRodriguez: que carro me recomienda
[2020:12:18-01:02:43]  (Global) -> jorge_nitalez: chao
[2020:12:18-01:02:43]  (Local) -> (LOCAL)[4]2cb,francovillar: oe
[2020:12:18-01:02:45]  (Local) -> (LOCAL)[2]2cb'KesoDePene: muevalo pa un lado
[2020:12:18-01:02:47]  (Local) -> (LOCAL)[2]2cb'KesoDePene: con la m
[2020:12:18-01:02:50]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: ojo
[2020:12:18-01:02:53]  (Global) -> XqCL: ayuda, ya llegue a donde debo entregar el trailer  pero no pasa nada
[2020:12:18-01:02:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerna: PILLE A HACER KILL CON ESTA
[2020:12:18-01:02:55]  (Local) -> (LOCAL)[4]AK~Fear: lo mataron tambien
[2020:12:18-01:02:55]  (Local) -> (LOCAL)[2]Dxvid: DENME TODO
[2020:12:18-01:02:55]  (Local) -> (LOCAL)[5]2cb,francovillar: nadie esntra
[2020:12:18-01:02:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00ReizerB: noo
[2020:12:18-01:02:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerna: XD
[2020:12:18-01:03:01]  (Local) -> (LOCAL)[4]AK~Fear: sisas
[2020:12:18-01:03:01]  (Local) -> (LOCAL)[4]2cb'DrStrange: jajajja
[2020:12:18-01:03:03]  (Local) -> (LOCAL)[3]g7: ole
[2020:12:18-01:03:03]  (Global) -> 2cb'DrStrange: xdxdd
[2020:12:18-01:03:04]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: ie
[2020:12:18-01:03:06]  (Local) -> (LOCAL)[6]AK~Fear: yo me quedo
[2020:12:18-01:03:13]  (Local) -> (LOCAL)[6]KP=W4$LTER: pq estoy
[2020:12:18-01:03:14]  (Global) -> #7F7F7F|CVR|#FFFF00|EVG|CrudoMeansRaw: Espere un rato y lo vuelve a intentar XqCL
[2020:12:18-01:03:15]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: nea
[2020:12:18-01:03:15]  (Local) -> (LOCAL)[6]CAPU~!Algarete: yo tambien tengo una jeepeta
[2020:12:18-01:03:15]  (Local) -> (LOCAL)[6]KP=W4$LTER: tan lejos :(
[2020:12:18-01:03:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: lea las reglas
[2020:12:18-01:03:20]  (Local) -> (LOCAL)[2]KRATTOSClarinet: perdom ppr los golpes
[2020:12:18-01:03:21]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: en F1
[2020:12:18-01:03:23]  (Local) -> (LOCAL)[1]MONCada: pa donde va
[2020:12:18-01:03:27]  (Local) -> (LOCAL)[6]CAPU~!Algarete: /bind 9 resign
[2020:12:18-01:03:28]  (Global) -> 2cb'RandyNotaLoca: zZzZ
[2020:12:18-01:03:29]  (Global) -> 2cb'DrStrange: jajajja
[2020:12:18-01:03:30]  (Global) -> Sancocho-Kun: coooooooooooooooooooomo
[2020:12:18-01:03:30]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: no puedes matar trabajadores
[2020:12:18-01:03:32]  (Global) -> ElRodriguez: oe
[2020:12:18-01:03:37]  (Global) -> XqCL: ya llevo como 5 minutos
[2020:12:18-01:03:39]  (Local) -> (LOCAL)[1]2cb'KesoDePene: va a volver creo
[2020:12:18-01:03:40]  (Global) -> ElRodriguez: oe
[2020:12:18-01:03:41]  (Local) -> (LOCAL)[1]MONCada: que ba hacer
[2020:12:18-01:03:41]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00_SEMDS_: hola
[2020:12:18-01:03:43]  (Team - Unemployed) -> (TEAM)KRATTOSClarinet: ahhhhh verdad pero no lo mate 
[2020:12:18-01:03:43]  (Local) -> (LOCAL)[6]CAPU~!Algarete: ola
[2020:12:18-01:03:43]  (Global) -> 2cb'DrStrange: hijueputas me mataron mi burra
[2020:12:18-01:03:43]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00_SEMDS_: como te llamas
[2020:12:18-01:03:43]  (Local) -> (LOCAL)[6]KP=W4$LTER: hola
[2020:12:18-01:03:44]  (Local) -> (LOCAL)[6]CAPU|'Smoky'Nagata: hola
[2020:12:18-01:03:46]  (Global) -> 2cb,francovillar: no dege entrar ala gente
[2020:12:18-01:03:46]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00_SEMDS_: hice el evento mal
[2020:12:18-01:03:47]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00Lopez: hola
[2020:12:18-01:03:47]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00_SEMDS_: jeje
[2020:12:18-01:03:50]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: oe
[2020:12:18-01:03:50]  (Global) -> 2cb'DrStrange: valen mondá
[2020:12:18-01:03:57]  (Local) -> (LOCAL)[6]MenorCaliGang: jmmm
[2020:12:18-01:04:01]  (Local) -> (LOCAL)[6]CAPU~!Algarete: sigueme bailando
[2020:12:18-01:04:02]  (Local) -> (LOCAL)[4]AK~Fear: ese
[2020:12:18-01:04:03]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: no mate con job
[2020:12:18-01:04:04]  (Global) -> Z_jeferuwu: callate costeño marica
[2020:12:18-01:04:05]  (Global) -> 2cb,francovillar: no degen que entren mas gente si entra los mata
[2020:12:18-01:04:06]  (Local) -> (LOCAL)[2]Sancocho-Kun: xd
[2020:12:18-01:04:07]  (Local) -> (LOCAL)[6]CAPU~!Algarete: :'v
[2020:12:18-01:04:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: eso le gasta sangre
[2020:12:18-01:04:13]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: y lo mata
[2020:12:18-01:04:14]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00_SEMDS_: ajjjaj walter
[2020:12:18-01:04:15]  (Local) -> (LOCAL)[6]CAPU~!Algarete: uy kieto
[2020:12:18-01:04:15]  (Global) -> 2cb'DrStrange: me vale  mondá perro hijueputa
[2020:12:18-01:04:17]  (Global) -> 2cb'DrStrange: jajajajja
[2020:12:18-01:04:24]  (Local) -> (LOCAL)[2]Sancocho-Kun: pa donde
[2020:12:18-01:04:25]  (Local) -> (LOCAL)[2]LocaHp: XD
[2020:12:18-01:04:25]  (Team - Services) -> (TEAM)Raiden527: /sound
[2020:12:18-01:04:26]  (Local) -> (LOCAL)[2]Dxvid: si pero no me deja quitar el trabajo
[2020:12:18-01:04:29]  (Local) -> (LOCAL)[6]KP=W4$LTER: feliz navidad
[2020:12:18-01:04:29]  (Local) -> (LOCAL)[6]CAPU~!Algarete: baño baño
[2020:12:18-01:04:31]  (Local) -> (LOCAL)[6]SUPAPA: vengo con vibra gays
[2020:12:18-01:04:33]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: use
[2020:12:18-01:04:35]  (Local) -> (LOCAL)[2]LocaHp: strange
[2020:12:18-01:04:36]  (Global) -> ElRodriguez: marica mas bobo
[2020:12:18-01:04:36]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: XDDDD
[2020:12:18-01:04:37]  (Global) -> Z_jeferuwu: bno pero no me mate desde zona segura
[2020:12:18-01:04:38]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: /resign
[2020:12:18-01:04:40]  (Global) -> 2cb'DrStrange: uola
[2020:12:18-01:04:41]  (Local) -> (LOCAL)[5]AK~Fear: el es de vibra
[2020:12:18-01:04:41]  (Local) -> (LOCAL)[2]LocaHp: te dedico ese tema de la radio
[2020:12:18-01:04:42]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00_SEMDS_: espera mi vida
[2020:12:18-01:04:42]  (Global) -> KP=W4$LTER: .----------------------.
[2020:12:18-01:04:43]  (Local) -> (LOCAL)[6]2cb,francovillar: no degen entrar gente
[2020:12:18-01:04:47]  (Local) -> (LOCAL)[2]2cb'DrStrange: cooooomooo
[2020:12:18-01:04:47]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00Lopez: ok
[2020:12:18-01:04:49]  (Local) -> (LOCAL)[5][MZ]24k: QUE?
[2020:12:18-01:04:53]  (Local) -> (LOCAL)[1]KRATTOSClarinet: boy al banco
[2020:12:18-01:04:53]  (Local) -> (LOCAL)[2]2cb'KesoDePene: coooooooooomo
[2020:12:18-01:04:54]  (Local) -> (LOCAL)[4][MZ]24k: A
[2020:12:18-01:04:55]  (Local) -> (LOCAL)[5]2cb,francovillar: vibra
[2020:12:18-01:04:58]  (Global) -> XqCL: panas, mi abuela lleva dormida todo el dia, será que se fué con el chapecoense?
[2020:12:18-01:04:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: yo lo llevo
[2020:12:18-01:04:58]  (Local) -> (LOCAL)[4]AK~Fear: el es de vibra
[2020:12:18-01:04:59]  (Team - Unemployed) -> (TEAM)2cb,francovillar: benga
[2020:12:18-01:05:03]  (Global) -> ElRodriguez: porq me arresto loca yo no hice nada
[2020:12:18-01:05:05]  (Local) -> (LOCAL)[5]2cb,francovillar: se escapo
[2020:12:18-01:05:06]  (Global) -> 2cb'DrStrange: mi burraaaaaa
[2020:12:18-01:05:09]  (Global) -> KP=W4$LTER: voy a san fierro?
[2020:12:18-01:05:10]  (Global) -> 2cb'DrStrange: quiero culearrrrr
[2020:12:18-01:05:11]  (Global) -> 2cB'IBIZA: uy kieto por querrer hacer una cosa toda rara me mataron re feo xd
[2020:12:18-01:05:12]  (Global) -> KP=W4$LTER: xd
[2020:12:18-01:05:13]  (Global) -> 2cb'DrStrange: a mi burra
[2020:12:18-01:05:14]  (Local) -> (LOCAL)[5]CAPU~!Algarete: COMOOOOOOOOOOOO
[2020:12:18-01:05:16]  (Local) -> (LOCAL)[2]Sancocho-Kun: ajaja
[2020:12:18-01:05:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: oe
[2020:12:18-01:05:20]  (Local) -> (LOCAL)[2]LocaHp: uy kieto
[2020:12:18-01:05:22]  (Local) -> (LOCAL)[1][EVG]TREBOOL: puedo curar
[2020:12:18-01:05:23]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FFFF00|EVG|CrudoMeansRaw: oe
[2020:12:18-01:05:23]  (Local) -> (LOCAL)[2]LocaHp: salio culea burras
[2020:12:18-01:05:25]  (Local) -> (LOCAL)[2]KRATTOSClarinet: digame
[2020:12:18-01:05:28]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: eso del vip ya lo hacen
[2020:12:18-01:05:34]  (Local) -> (LOCAL)[3]Sancocho-Kun: uy
[2020:12:18-01:05:34]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: pero se puede hablar
[2020:12:18-01:05:37]  (Global) -> KP=W4$LTER: sedms
