This file was generated by Console at 2020:12:22-00:00:02



[2020:12:22-00:00:02]  (Global) -> |MZ|Omar: JOKEEEEEEERRRRRRRR
[2020:12:22-01:07:14]  (Local) -> (LOCAL)[17]|Gualdronsito|: si gfesito
[2020:12:22-01:07:15]  (Global) -> [EVG]juann: YO
[2020:12:22-01:07:15]  (Global) -> Cheverry: TP
[2020:12:22-01:07:16]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF5C00ReizerB: o algun fastidioso
[2020:12:22-01:07:17]  (Global) -> NeutroPimp2cb: tp
[2020:12:22-01:07:19]  (Global) -> Kp-[C]ogoying: yo
[2020:12:22-01:07:20]  (Global) -> ISMAELITO: YO
[2020:12:22-01:07:22]  (Global) -> Cheverry: TP
[2020:12:22-01:07:24]  (Local) -> (LOCAL)[19]-![Z]:_Hir0: ey de q es el evento
[2020:12:22-01:07:24]  (Local) -> (LOCAL)[1]2cb|Woch: ese cheverry me metio preso con una estrella
[2020:12:22-01:07:25]  (Local) -> (LOCAL)[1]?'ffa#00017?: uy q
[2020:12:22-01:07:26]  (Global) -> Kp~Diego: yooo
[2020:12:22-01:07:27]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: xDDDD
[2020:12:22-01:07:28]  (Local) -> (LOCAL)[1]?'ffa#00017?: XD
[2020:12:22-01:07:28]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Bueno fila 
[2020:12:22-01:07:28]  (Local) -> (LOCAL)[1]2cb|Woch: tremendo pendejo
[2020:12:22-01:07:29]  (Local) -> (LOCAL)[21]Joker.: gualdron
[2020:12:22-01:07:29]  (Global) -> #7F7F7F|CVR|#FF5C00|EVG|CrudoMeansRaw: HAGAN FILA DETRAS DE JIMENEZ
[2020:12:22-01:07:30]  (Local) -> (LOCAL)[3]Braulio: qn puso ese temosky tan hpt
[2020:12:22-01:07:30]  (Team - Unemployed) -> (TEAM)Kp-[C]ogoying: yo
[2020:12:22-01:07:31]  (Local) -> (LOCAL)[21]CAPU|Algarete!: purgam
[2020:12:22-01:07:32]  (Local) -> (LOCAL)[2][KP]McUribe: dimelo
[2020:12:22-01:07:32]  (Global) -> #7F7F7F|CVR|#FF5C00|EVG|CrudoMeansRaw: HAGAN FILA DETRAS DE JIMENEZ
[2020:12:22-01:07:35]  (Local) -> (LOCAL)[2]fallalaputa: suelteme
[2020:12:22-01:07:35]  (Global) -> [ZETAS]HijoDeOrion: YO
[2020:12:22-01:07:35]  (Global) -> ISMAELITO: YO
[2020:12:22-01:07:36]  (Local) -> (LOCAL)[20]Joker.: ¿discord?
[2020:12:22-01:07:38]  (Global) -> #7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: HAGAN FILA DETRAS DE JIMENEZ
[2020:12:22-01:07:39]  (Local) -> (LOCAL)[2]2cb'Jolyne: y porque
[2020:12:22-01:07:42]  (Global) -> NeutroPimp2cb: tp
[2020:12:22-01:07:44]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: oe
[2020:12:22-01:07:45]  (Local) -> (LOCAL)[20]CAPU|Algarete!: PAPI
[2020:12:22-01:07:46]  (Local) -> (LOCAL)[2]fallalaputa: le doy plta
[2020:12:22-01:07:46]  (Global) -> [EVG]Arison45: yo
[2020:12:22-01:07:48]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: FILA DETRAS MIO
[2020:12:22-01:07:48]  (Global) -> ?'ffa#00017?: Tp
[2020:12:22-01:07:49]  (Local) -> (LOCAL)[20]CAPU|Algarete!: AHORA LO PICO
[2020:12:22-01:07:49]  (Local) -> (LOCAL)[1]2cb~#Fear: ola
[2020:12:22-01:07:50]  (Global) -> ISMAELITO: YO
[2020:12:22-01:07:50]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: pai
[2020:12:22-01:07:51]  (Local) -> (LOCAL)[2]fallalaputa: plata
[2020:12:22-01:07:52]  (Local) -> (LOCAL)[1]MCYorman: hola
[2020:12:22-01:07:52]  (Global) -> Kp-[C]ogoying: yoooooo
[2020:12:22-01:07:53]  (Global) -> CAPU|~Orion~|: tp
[2020:12:22-01:07:53]  (Global) -> Kp~Diego: tp
[2020:12:22-01:07:53]  (Global) -> [ZETAS]HijoDeOrion: YO
[2020:12:22-01:07:53]  (Global) -> ViejitoGei: para que el tp?
[2020:12:22-01:07:54]  (Local) -> (LOCAL)[21]|EVG|Soltec: kien
[2020:12:22-01:07:54]  (Global) -> CAPU|~Orion~|: tp
[2020:12:22-01:07:55]  (Global) -> 2cb-Bellaqueohpt: tp
[2020:12:22-01:07:57]  (Global) -> [ZETAS]HijoDeOrion: YO
[2020:12:22-01:07:57]  (Global) -> 2cb.tayson: tp
[2020:12:22-01:07:58]  (Global) -> 2cb-Bellaqueohpt: tp
[2020:12:22-01:07:58]  (Local) -> (LOCAL)[21]CAPU|Algarete!: X BESAR A MI MENOR LINDO
[2020:12:22-01:07:58]  (Global) -> ISMAELITO: YO
[2020:12:22-01:08:00]  (Global) -> 2cb-Bellaqueohpt: tp
[2020:12:22-01:08:00]  (Global) -> jefer: compro hotring racer 3 xd
[2020:12:22-01:08:03]  (Local) -> (LOCAL)[1]?'ffa#00017?: pida tp
[2020:12:22-01:08:03]  (Global) -> Kp~Diego: tp
[2020:12:22-01:08:04]  (Local) -> (LOCAL)[22]CAPU|Algarete!: hp
[2020:12:22-01:08:04]  (Local) -> (LOCAL)[22]2cb'Razzork: aa
[2020:12:22-01:08:04]  (Global) -> 2cb-Bellaqueohpt: tp
[2020:12:22-01:08:04]  (Local) -> (LOCAL)[2]fallalaputa: sueltme
[2020:12:22-01:08:04]  (Global) -> [ZETAS]HijoDeOrion: YO
[2020:12:22-01:08:05]  (Local) -> (LOCAL)[22]|EVG|Soltec: wow
[2020:12:22-01:08:06]  (Global) -> Kp~Diego: tp
[2020:12:22-01:08:07]  (Global) -> ISMAELITO: YO
[2020:12:22-01:08:07]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: QUIETOS PARA PODER DARLES EL PARACAIDAS
[2020:12:22-01:08:08]  (Global) -> Kp~Diego: yo
[2020:12:22-01:08:12]  (Global) -> 2cb-Bellaqueohpt: tp admin por fa
[2020:12:22-01:08:12]  (Local) -> (LOCAL)[1]MCYorman: como vamos?
[2020:12:22-01:08:13]  (Global) -> Kp-[C]ogoying: YooooOOOO
[2020:12:22-01:08:15]  (Local) -> (LOCAL)[2]Kp~Diego: es la purga?
[2020:12:22-01:08:16]  (Global) -> 2cb-Bellaqueohpt: tp admin por fa
[2020:12:22-01:08:17]  (Global) -> 2cb-Bellaqueohpt: tp admin por fa
[2020:12:22-01:08:19]  (Global) -> ISMAELITO: YO
[2020:12:22-01:08:23]  (Local) -> (LOCAL)[25]2cb'Razzork: naa
[2020:12:22-01:08:27]  (Local) -> (LOCAL)[1]fallalaputa: suelteme
[2020:12:22-01:08:27]  (Local) -> (LOCAL)[1]2cb~#Fear: que hace
[2020:12:22-01:08:30]  (Local) -> (LOCAL)[1]fallalaputa: pirobo
[2020:12:22-01:08:32]  (Local) -> (LOCAL)[2]MCYorman: nada
[2020:12:22-01:08:32]  (Global) -> [EVG]Arison45: yo
[2020:12:22-01:08:35]  (Global) -> ManyPlanters55: hola
[2020:12:22-01:08:35]  (Local) -> (LOCAL)[27]2cb-Bellaqueohpt: evento de batel yoyal
[2020:12:22-01:08:36]  (Local) -> (LOCAL)[2]MCYorman: desparche
[2020:12:22-01:08:37]  (Local) -> (LOCAL)[1]2cb'Jolyne: callese
[2020:12:22-01:08:37]  (Local) -> (LOCAL)[27]^Tay'Zhou: no disparen
[2020:12:22-01:08:38]  (Local) -> (LOCAL)[2]2cb~#Fear: u
[2020:12:22-01:08:38]  (Local) -> (LOCAL)[27]Kp~Diego: xd
[2020:12:22-01:08:40]  (Local) -> (LOCAL)[27]^Tay'Zhou: quietos
[2020:12:22-01:08:41]  (Local) -> (LOCAL)[27]2cb'Razzork: yo no vuelvo a confiar en los de atras
[2020:12:22-01:08:41]  (Global) -> ManyPlanters55: soy nuevo
[2020:12:22-01:08:42]  (Global) -> Villa: que hago
[2020:12:22-01:08:47]  (Local) -> (LOCAL)[1]fallalaputa: lo boy a matar
[2020:12:22-01:08:47]  (Local) -> (LOCAL)[28]2cb'Razzork: lo hacen jailiar a uno
[2020:12:22-01:08:48]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: QUIETOS PARA DARLES EL PARACAIDAS 
[2020:12:22-01:08:49]  (Local) -> (LOCAL)[2]2cb~#Fear: um
[2020:12:22-01:08:49]  (Local) -> (LOCAL)[2]fallalaputa: cuando salga
[2020:12:22-01:08:50]  (Global) -> #7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: Quien mas para TP
[2020:12:22-01:08:51]  (Local) -> (LOCAL)[28]ISMAELITO: EY YO NO TENGO M4
[2020:12:22-01:08:51]  (Local) -> (LOCAL)[28]^Tay'Zhou: que paso maricon
[2020:12:22-01:08:52]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: ay bo
[2020:12:22-01:08:52]  (Global) -> ?'ffa#00017?: tp
[2020:12:22-01:08:54]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: q mierdero de gente
[2020:12:22-01:08:55]  (Local) -> (LOCAL)[2]2cb~#Fear: subase arriba nuevo
[2020:12:22-01:08:55]  (Local) -> (LOCAL)[4]jefer: loca
[2020:12:22-01:08:56]  (Local) -> (LOCAL)[28]PATRON: xd
[2020:12:22-01:08:58]  (Local) -> (LOCAL)[2]2cb'Jolyne: intentelo
[2020:12:22-01:08:59]  (Local) -> (LOCAL)[28]2cb'Razzork: jajaja
[2020:12:22-01:08:59]  (Global) -> 2cb.tayson: yooo
[2020:12:22-01:08:59]  (Global) -> ViejitoGei: YO
[2020:12:22-01:08:59]  (Local) -> (LOCAL)[28]|Gualdronsito|: que melo
[2020:12:22-01:09:00]  (Local) -> (LOCAL)[28]Kp~Diego: que toca hacer
[2020:12:22-01:09:00]  (Global) -> [KP]McUribe: pregunta a admin pq no se porque no te deja
[2020:12:22-01:09:00]  (Local) -> (LOCAL)[1]?'ffa#00017?: .___________.
[2020:12:22-01:09:01]  (Local) -> (LOCAL)[28]ISMAELITO: EY YO NO TENGO M4
[2020:12:22-01:09:03]  (Local) -> (LOCAL)[6]jefer: skipper
[2020:12:22-01:09:04]  (Local) -> (LOCAL)[29]|Gualdronsito|: mochilita veneca gracias
[2020:12:22-01:09:07]  (Local) -> (LOCAL)[29]NeutroPimp2cb: ey orion
[2020:12:22-01:09:07]  (Local) -> (LOCAL)[2]2cb~#Fear: aprete x
[2020:12:22-01:09:08]  (Global) -> Cristhian15: perdon
[2020:12:22-01:09:08]  (Global) -> 2cb.tayson: tp 
[2020:12:22-01:09:11]  (Local) -> (LOCAL)[2]2cb~#Fear: para que no se caiga
[2020:12:22-01:09:11]  (Global) -> 2cb.tayson: porfa
[2020:12:22-01:09:11]  (Local) -> (LOCAL)[5]jefer: donde compro el carro que va re rapido
[2020:12:22-01:09:12]  (Global) -> ManyPlanters55: y si los sigo
[2020:12:22-01:09:12]  (Local) -> (LOCAL)[30]ISMAELITO: ME PUEDES DAR M4?
[2020:12:22-01:09:13]  (Local) -> (LOCAL)[30]?'ffa#00017?: me das chalequito
[2020:12:22-01:09:13]  (Local) -> (LOCAL)[30]Joker.: sems gei
[2020:12:22-01:09:14]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF5C00ReizerB: fila
[2020:12:22-01:09:16]  (Local) -> (LOCAL)[0]EnchantedDove95: donde estan
[2020:12:22-01:09:16]  (Global) -> #7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: Quitense el job
[2020:12:22-01:09:17]  (Local) -> (LOCAL)[29]#7F7F7F|CVR|#FF5C00ReizerB: fila
[2020:12:22-01:09:19]  (Local) -> (LOCAL)[29]#7F7F7F|CVR|#FF5C00Jimenez: HAGAN FILA
[2020:12:22-01:09:19]  (Global) -> [CAPU]DJ-NICO-PRESTIGE: pirobo 
[2020:12:22-01:09:20]  (Local) -> (LOCAL)[29]-![Z]:_Hir0: e
[2020:12:22-01:09:20]  (Local) -> (LOCAL)[2]MCYorman: jajaa
[2020:12:22-01:09:22]  (Local) -> (LOCAL)[2]2cb~#Fear: para que no se caiga
[2020:12:22-01:09:23]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: HAGAN FILA
[2020:12:22-01:09:23]  (Local) -> (LOCAL)[29]ISMAELITO: ME PUEDES DAR M4?
[2020:12:22-01:09:23]  (Local) -> (LOCAL)[2]2cb~#Fear: aprete x
[2020:12:22-01:09:25]  (Local) -> (LOCAL)[29]CAPU|~Orion~|: crudo
[2020:12:22-01:09:25]  (Global) -> [MZ]cagaleto: heyy
[2020:12:22-01:09:28]  (Local) -> (LOCAL)[2]2cb~#Fear: voy muy rapdo
[2020:12:22-01:09:28]  (Global) -> ^Tay'Zhou: NAA HPTAS EVG
[2020:12:22-01:09:29]  (Global) -> [MZ]cagaleto: un admin
[2020:12:22-01:09:29]  (Local) -> (LOCAL)[29]Kp~Diego: uy
[2020:12:22-01:09:30]  (Global) -> EnchantedDove95: donde estan
[2020:12:22-01:09:31]  (Local) -> (LOCAL)[29]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: q
[2020:12:22-01:09:31]  (Global) -> ^Tay'Zhou: TURFEANDO
[2020:12:22-01:09:32]  (Global) -> GohanStark!~: bRR REAL HASTA LA MUERTE OITE BEBY
[2020:12:22-01:09:32]  (Local) -> (LOCAL)[2][CAPU]DJ-NICO-PRESTIGE: abrace
[2020:12:22-01:09:32]  (Local) -> (LOCAL)[2]2cb~#Fear: epa
[2020:12:22-01:09:34]  (Local) -> (LOCAL)[30]CAPU|~Orion~|: me da armor?
[2020:12:22-01:09:35]  (Local) -> (LOCAL)[30]?'ffa#00017?: Crudo
[2020:12:22-01:09:35]  (Local) -> (LOCAL)[30]ISMAELITO: ME PUEDES DAR M4?
[2020:12:22-01:09:37]  (Global) -> [MZ]cagaleto: UN ADMINNNNNNNNNNNNNNNNNNNNNNNNNNNNNN
[2020:12:22-01:09:39]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF8C00Llanerito: ya puse los carros
[2020:12:22-01:09:39]  (Global) -> GohanStark!~: TA CABRON SER YO BRRRR
[2020:12:22-01:09:41]  (Global) -> [MZ]cagaleto: AYUDA
[2020:12:22-01:09:41]  (Global) -> Cristhian15: señor usted a que se dedica
[2020:12:22-01:09:42]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: ISMAELITO HAGA FILA
[2020:12:22-01:09:44]  (Global) -> |EVG|Soltec: mamarre mamarre
[2020:12:22-01:09:45]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF5C00ReizerB: ah no parcero
[2020:12:22-01:09:45]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF8C00Llanerito: en los santos
[2020:12:22-01:09:45]  (Local) -> (LOCAL)[30]?'ffa#00017?: me das chaleco
[2020:12:22-01:09:46]  (Local) -> (LOCAL)[30][EVG]Arison45: es con m4
[2020:12:22-01:09:46]  (Global) -> 2cb.tayson: tp 
[2020:12:22-01:09:46]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: eso
[2020:12:22-01:09:47]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF8C00Llanerito: xde
[2020:12:22-01:09:48]  (Global) -> 2cb.tayson: porfa
[2020:12:22-01:09:48]  (Global) -> [EVG]BOMBITA: drstrange
[2020:12:22-01:09:49]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF5C00ReizerB: fila
[2020:12:22-01:09:50]  (Global) -> [MZ]cagaleto: UN ADMINNN
[2020:12:22-01:09:50]  (Global) -> [EVG]BOMBITA: drstrange
[2020:12:22-01:09:50]  (Local) -> (LOCAL)[30]ISMAELITO: NO TENGO :8
[2020:12:22-01:09:56]  (Global) -> ViejitoGei: YO
[2020:12:22-01:09:56]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Dime [MZ]cagaleto
[2020:12:22-01:09:57]  (Local) -> (LOCAL)[31]#7F7F7F|CVR|#FF5C00Jimenez: ISMAELITO FILA
[2020:12:22-01:09:57]  (Local) -> (LOCAL)[31]CAPU|~Orion~|: denme chaleco pls xd
[2020:12:22-01:09:58]  (Global) -> [MZ]cagaleto: MIREN DONDE ESTOY AYUDAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2020:12:22-01:09:59]  (Local) -> (LOCAL)[31]#7F7F7F|CVR|#FF5C00_SEMDS_: hagala fila parserin
[2020:12:22-01:10:00]  (Local) -> (LOCAL)[2]MCYorman: espere activo los mods
[2020:12:22-01:10:04]  (Local) -> (LOCAL)[2]2cb~#Fear: ok
[2020:12:22-01:10:05]  (Global) -> #7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: Hagan fila para darles paracaidas
[2020:12:22-01:10:08]  (Global) -> [MZ]cagaleto: HAGANSE TP HACIA MI 
[2020:12:22-01:10:08]  (Global) -> ManyPlanters55: donde consigo trabajo?
[2020:12:22-01:10:11]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: EL QUE NO ESTE EN LA FILA LO SACO DEL EVENTO
[2020:12:22-01:10:11]  (Global) -> [EVG]BOMBITA: drstrange
[2020:12:22-01:10:13]  (Global) -> ViejitoGei: como me quito el trabajo
[2020:12:22-01:10:15]  (Local) -> (LOCAL)[2]2cb~#Fear: a eso lo voy a llevar
[2020:12:22-01:10:16]  (Local) -> (LOCAL)[3](TUERTO): popeyeeeeeeeeeeeeeeeeeeee
[2020:12:22-01:10:17]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: ManyPlanters55 En los iconos de muñecos que hay por el mapa
[2020:12:22-01:10:18]  (Local) -> (LOCAL)[1]Rompeqkas: gracias
[2020:12:22-01:10:18]  (Global) -> #7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: #FC33F4 Hagan fila para darles paracaidas
[2020:12:22-01:10:21]  (Local) -> (LOCAL)[32]|EVG|Soltec: mochila veneka wow
[2020:12:22-01:10:21]  (Local) -> (LOCAL)[32]Kp~Diego: oe cogoyin
[2020:12:22-01:10:22]  (Global) -> [EVG]BOMBITA: QUIEN VENDE STRAUM DE MILLONARIOS
[2020:12:22-01:10:22]  (Global) -> ManyPlanters55: aa
[2020:12:22-01:10:22]  (Local) -> (LOCAL)[3](POPEYE): qeu mas bebe
[2020:12:22-01:10:23]  (Global) -> [MZ]cagaleto: ESTOY RE BUGUEADO
[2020:12:22-01:10:24]  (Local) -> (LOCAL)[32]-![Z]:_Hir0: ey reizr me das chaleco
[2020:12:22-01:10:26]  (Local) -> (LOCAL)[32]Kp-[C]ogoying: hable
[2020:12:22-01:10:27]  (Local) -> (LOCAL)[3](TUERTO): hace rato no lo veiaaaaaaaaa omeeee
[2020:12:22-01:10:27]  (Global) -> Cristhian15: ./resign
[2020:12:22-01:10:28]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Los amarillos son trabajos normales, los otros son otro tipo de trabajos
[2020:12:22-01:10:29]  (Local) -> (LOCAL)[32]Kp~Diego: esto es purga
[2020:12:22-01:10:30]  (Local) -> (LOCAL)[32]Kp~Diego: ?
[2020:12:22-01:10:32]  (Local) -> (LOCAL)[32]Kp-[C]ogoying: si
[2020:12:22-01:10:32]  (Local) -> (LOCAL)[2]2cb~#Fear: vea este laser
[2020:12:22-01:10:33]  (Local) -> (LOCAL)[32]Juan: hey pa me das escudo?
[2020:12:22-01:10:35]  (Team - Unemployed) -> (TEAM)Kp~Diego: aaa
[2020:12:22-01:10:38]  (Local) -> (LOCAL)[32]?'ffa#00017?: ey
[2020:12:22-01:10:41]  (Local) -> (LOCAL)[32]NeutroPimp2cb: uy zona
[2020:12:22-01:10:41]  (Global) -> [EVG]BOMBITA: QUIEN VENDE STRAUM DE MILLONARIOS
[2020:12:22-01:10:43]  (Local) -> (LOCAL)[32]NeutroPimp2cb: suave pa
[2020:12:22-01:10:43]  (Local) -> (LOCAL)[32]Juan: gracias
[2020:12:22-01:10:44]  (Local) -> (LOCAL)[32]PATRON: beti la jeros
[2020:12:22-01:10:44]  (Global) -> ManyPlanters55: como consigo eso?
[2020:12:22-01:10:52]  (Global) -> (POPEYE):  mkandaba de viaje jaja
[2020:12:22-01:10:55]  (Local) -> (LOCAL)[32]CAPU|Algarete!: yo con esta mochila parezco un niño inteligente
[2020:12:22-01:10:55]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: ¿Qué cosa ManyPlanters55?
[2020:12:22-01:10:56]  (Global) -> Juan: hey walter ojo se mata de caida pues
[2020:12:22-01:10:57]  (Global) -> [MZ]cagaleto: UY
[2020:12:22-01:10:57]  (Local) -> (LOCAL)[32]CAPU|Algarete!: jjjjj
[2020:12:22-01:10:58]  (Local) -> (LOCAL)[2]2cb~#Fear: con vip
[2020:12:22-01:11:01]  (Global) -> [MZ]cagaleto: EL Q ME SALVO
[2020:12:22-01:11:01]  (Local) -> (LOCAL)[32]?'ffa#00017?: crudo
[2020:12:22-01:11:02]  (Local) -> (LOCAL)[32]#7F7F7F|CVR|#FF5C00Jimenez: Haga fila gohan
[2020:12:22-01:11:04]  (Local) -> (LOCAL)[32]?'ffa#00017?: no tengo parachute
[2020:12:22-01:11:08]  (Global) -> [MZ]cagaleto: MUCHAS GRACOAS
[2020:12:22-01:11:13]  (Local) -> (LOCAL)[32]Juan: yo tmpoco
[2020:12:22-01:11:13]  (Global) -> Cristhian15: señor ud a que de dedica?
[2020:12:22-01:11:14]  (Local) -> (LOCAL)[32]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: ya les damos
[2020:12:22-01:11:15]  (Global) -> ManyPlanters55: aaa en este server ay reiglas?
[2020:12:22-01:11:16]  (Global) -> [EVG]BOMBITA: QUIEN VENDE STRAUM DE MILLONARIOS
[2020:12:22-01:11:18]  (Local) -> (LOCAL)[32]GohanStark!~: QUIEN QUIERE UN BESITOXD
[2020:12:22-01:11:18]  (Local) -> (LOCAL)[32]CAPU|Algarete!: camisa de la sele y mochila veneca
[2020:12:22-01:11:21]  (Local) -> (LOCAL)[32]GohanStark!~: brrr
[2020:12:22-01:11:22]  (Local) -> (LOCAL)[2]2cb~#Fear: no matar a los trabajadores
[2020:12:22-01:11:24]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: ManyPlanters55 Sí, están todas en el F1
[2020:12:22-01:11:24]  (Local) -> (LOCAL)[32][EVG]Arison45: se necesita m4 crudo
[2020:12:22-01:11:26]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: ManyPlanters5 SI en f1 deebes leerlas
[2020:12:22-01:11:28]  (Global) -> [KP]McUribe: oe cagaleto
[2020:12:22-01:11:29]  (Local) -> (LOCAL)[2]2cb~#Fear: los trabajadores son los amarillos
[2020:12:22-01:11:31]  (Global) -> Cristhian15: Hola
[2020:12:22-01:11:33]  (Local) -> (LOCAL)[2]2cb~#Fear: suba
[2020:12:22-01:11:33]  (Global) -> [MZ]cagaleto: DIGAME PA
[2020:12:22-01:11:34]  (Global) -> [EVG]BOMBITA: QUIEN VENDE STRAUM DE MILLONARIOS
[2020:12:22-01:11:34]  (Local) -> (LOCAL)[2]MCYorman: listo
[2020:12:22-01:11:34]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: hola
[2020:12:22-01:11:36]  (Global) -> Cristhian15: eres hacker?
[2020:12:22-01:11:38]  (Local) -> (LOCAL)[32]2cb-Bellaqueohpt: naa tanto cuesta ponerle paracaidas a alguien
[2020:12:22-01:11:39]  (Global) -> ManyPlanters55: ocea yo?
[2020:12:22-01:11:40]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: si
[2020:12:22-01:11:41]  (Local) -> (LOCAL)[32]#7F7F7F|CVR|#FF8C00Llanerito: es en los santos
[2020:12:22-01:11:42]  (Global) -> [KP]McUribe: que hay para hacer
[2020:12:22-01:11:44]  (Local) -> (LOCAL)[32]NeutroPimp2cb: ey
[2020:12:22-01:11:46]  (Local) -> (LOCAL)[32]NeutroPimp2cb: coziud
[2020:12:22-01:11:48]  (Local) -> (LOCAL)[32]CAPU|~Orion~|: crudo
[2020:12:22-01:11:48]  (Local) -> (LOCAL)[32]NeutroPimp2cb: mamabicho
[2020:12:22-01:11:50]  (Local) -> (LOCAL)[2]Rompeqkas: mi socio juanda
[2020:12:22-01:11:52]  (Local) -> (LOCAL)[32]2cb-Bellaqueohpt: siiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
[2020:12:22-01:11:52]  (Local) -> (LOCAL)[32]CAPU|~Orion~|: me das chaleco?
[2020:12:22-01:11:53]  (Local) -> (LOCAL)[32]^Tay'Zhou: noo
[2020:12:22-01:11:53]  (Global) -> Cristhian15: a que te dedicas?
[2020:12:22-01:11:56]  (Local) -> (LOCAL)[32]CAPU|~Orion~|: grax
[2020:12:22-01:11:58]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: a nada
[2020:12:22-01:12:00]  (Local) -> (LOCAL)[32]CAPU|Algarete!: q dios t perdone
[2020:12:22-01:12:00]  (Local) -> (LOCAL)[32]PATRON: colombioa
[2020:12:22-01:12:00]  (Local) -> (LOCAL)[2]Rompeqkas: como me le ha ido
[2020:12:22-01:12:01]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: a ser vago
[2020:12:22-01:12:02]  (Local) -> (LOCAL)[2][MZ]JuanDa: oe
[2020:12:22-01:12:03]  (Global) -> [MZ]cagaleto: PAPI 
[2020:12:22-01:12:08]  (Local) -> (LOCAL)[2][MZ]JuanDa: quien sos?
[2020:12:22-01:12:08]  (Global) -> Cristhian15: a copiarme mi prendas
[2020:12:22-01:12:10]  (Global) -> [EVG]BOMBITA: QUIEN VENDE STRAUM DE MILLONARIOS
[2020:12:22-01:12:11]  (Local) -> (LOCAL)[32]?'ffa#00017?: Escuadras
[2020:12:22-01:12:12]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: reizer
[2020:12:22-01:12:13]  (Global) -> [MZ]cagaleto: PS YO ANDO JODIDAMENTE DESPARCHADO
[2020:12:22-01:12:13]  (Local) -> (LOCAL)[32]^Tay'Zhou: leccion de vida
[2020:12:22-01:12:15]  (Local) -> (LOCAL)[2]Rompeqkas: no te acordas de mi?
[2020:12:22-01:12:16]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: dame cavron
[2020:12:22-01:12:18]  (Local) -> (LOCAL)[32]^Tay'Zhou: no dar mouse 2
[2020:12:22-01:12:19]  (Local) -> (LOCAL)[32]^Tay'Zhou: xddd
[2020:12:22-01:12:20]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: reizer
[2020:12:22-01:12:20]  (Local) -> (LOCAL)[32]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: quitese modo pasivo pa
[2020:12:22-01:12:21]  (Global) -> [KP]McUribe: donde anda
[2020:12:22-01:12:21]  (Local) -> (LOCAL)[2]Rompeqkas: pailots
[2020:12:22-01:12:23]  (Local) -> (LOCAL)[32][ZETAS]HijoDeOrion: ;(
[2020:12:22-01:12:25]  (Local) -> (LOCAL)[32]2cb'sofii: venezuela alla te voy
[2020:12:22-01:12:26]  (Local) -> (LOCAL)[2][MZ]JuanDa: rompe kukas no jsjs{
[2020:12:22-01:12:28]  (Global) -> [MZ]cagaleto: TIENDA DE ROPA
[2020:12:22-01:12:29]  (Local) -> (LOCAL)[32]Coziud: ya
[2020:12:22-01:12:30]  (Local) -> (LOCAL)[32]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: epa
[2020:12:22-01:12:30]  (Local) -> (LOCAL)[2]Rompeqkas: jajjaja
