This file was generated by Console at 2020:10:28-00:00:02



[2020:10:28-00:00:02]  (Local) -> (LOCAL)[4]C4rtex: veni
[2020:10:28-03:41:37]  (Local) -> (LOCAL)[3]GT|Jhojan: bre
[2020:10:28-03:41:38]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: jajajaajjaja
[2020:10:28-03:41:39]  (Local) -> (LOCAL)[5]Aguapanela:D: ud que no revisa dc
[2020:10:28-03:41:39]  (Global) -> [Z]PiedraXlll: tp a sanfierrro plisssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
[2020:10:28-03:41:39]  (Global) -> Teytaru: quien me explica pls? :v
[2020:10:28-03:41:39]  (Local) -> (LOCAL)[0]2cb'Escobar: espere,ew
[2020:10:28-03:41:41]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00^Berna-2cB: otro que se va
[2020:10:28-03:41:43]  (Global) -> Salomierda: gracias por el putazo
[2020:10:28-03:41:43]  (Global) -> [GT]LOCO: concele quedese hay
[2020:10:28-03:41:43]  (Global) -> Obito_Nea: CASA ROJA
[2020:10:28-03:41:45]  (Global) -> Butifarra: ;v
[2020:10:28-03:41:45]  (Local) -> (LOCAL)[1]2cb''palomo69: TU HACES UNA CARRERA Y LUEGO ME PRESTAS EL CAMIO, Y LUEGO A MI BEBE
[2020:10:28-03:41:45]  (Local) -> (LOCAL)[3]CurvedLegumes81: vaya haciendome la transferencia por efecty
[2020:10:28-03:41:47]  (Local) -> (LOCAL)[1]2cb''palomo69: TU HACES UNA CARRERA Y LUEGO ME PRESTAS EL CAMIO, Y LUEGO A MI BEBE
[2020:10:28-03:41:48]  (Local) -> (LOCAL)[1]2cb*sumadre420: BNO
[2020:10:28-03:41:48]  (Local) -> (LOCAL)[1]2cb''palomo69: TU HACES UNA CARRERA Y LUEGO ME PRESTAS EL CAMIO, Y LUEGO A MI BEBE
[2020:10:28-03:41:49]  (Local) -> (LOCAL)[1]2cb''palomo69: TU HACES UNA CARRERA Y LUEGO ME PRESTAS EL CAMIO, Y LUEGO A MI BEBE
[2020:10:28-03:41:49]  (Local) -> (LOCAL)[3]GT|Jhojan: sajksjkjksa
[2020:10:28-03:41:51]  (Local) -> (LOCAL)[1]2cb*sumadre420: PERA
[2020:10:28-03:41:51]  (Local) -> (LOCAL)[1][GT]LOCO: ok
[2020:10:28-03:41:54]  (Local) -> (LOCAL)[5]EVG|~Orgalor~|: nah F
[2020:10:28-03:41:54]  (Local) -> (LOCAL)[3]GT|Jhojan: ole salo
[2020:10:28-03:41:56]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: xd
[2020:10:28-03:41:56]  (Local) -> (LOCAL)[5]Aguapanela:D: ud no revisa discord
[2020:10:28-03:41:58]  (Local) -> (LOCAL)[3]GT|Jhojan: habla con u
[2020:10:28-03:42:05]  (Local) -> (LOCAL)[8]2cb'Escobar: oe
[2020:10:28-03:42:05]  (Local) -> (LOCAL)[3]GT|Jhojan: cuando estemos cerca
[2020:10:28-03:42:06]  (Local) -> (LOCAL)[7]GT|Andres: q
[2020:10:28-03:42:07]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: a donde la llevamos?
[2020:10:28-03:42:09]  (Global) -> WorkableConsole21: ale
[2020:10:28-03:42:10]  (Local) -> (LOCAL)[7]2cb'Escobar: papito amneje
[2020:10:28-03:42:12]  (Local) -> (LOCAL)[3]GT|Jhojan: a camionero q da mas
[2020:10:28-03:42:14]  (Local) -> (LOCAL)[5]Aguapanela:D: uy q
[2020:10:28-03:42:15]  (Local) -> (LOCAL)[5]Jabon: ese mk q
[2020:10:28-03:42:15]  (Global) -> Salomierda: con u?
[2020:10:28-03:42:15]  (Local) -> (LOCAL)[2]2cb'Escobar: tiene el sofa
[2020:10:28-03:42:15]  (Local) -> (LOCAL)[5]EVG|~Orgalor~|: noo
[2020:10:28-03:42:18]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: si
[2020:10:28-03:42:18]  (Local) -> (LOCAL)[2]GT|Andres: si
[2020:10:28-03:42:19]  (Local) -> (LOCAL)[3]GT|Jhojan: si bb
[2020:10:28-03:42:19]  (Global) -> [EVG]RicardoJorge: Listo, premios entregados
[2020:10:28-03:42:20]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: me meti marihuana
[2020:10:28-03:42:20]  (Local) -> (LOCAL)[1][GT]LOCO: ya
[2020:10:28-03:42:21]  (Local) -> (LOCAL)[2]2cb'Escobar: apareun momento
[2020:10:28-03:42:22]  (Local) -> (LOCAL)[5]SCRIMBOY_69: k
[2020:10:28-03:42:25]  (Local) -> (LOCAL)[5]EVG|~Orgalor~|: eicardou
[2020:10:28-03:42:26]  (Local) -> (LOCAL)[2]2cb'Escobar: dme bro
[2020:10:28-03:42:28]  (Global) -> [EVG]Judas?Iscariotes: Patrocinios Judas
[2020:10:28-03:42:28]  (Local) -> (LOCAL)[1]2cb'Escobar: paree
[2020:10:28-03:42:29]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: oe
[2020:10:28-03:42:29]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: oe tienes discord?
[2020:10:28-03:42:30]  (Global) -> Salomierda: por que?
[2020:10:28-03:42:30]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: los meto a f2
[2020:10:28-03:42:32]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: me trabe
[2020:10:28-03:42:32]  (Local) -> (LOCAL)[5]SCRIMBOY_69: por q no nos lleva o hace algo?
[2020:10:28-03:42:33]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: metelos a la gang
[2020:10:28-03:42:33]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00^Berna-2cB: y pq se va
[2020:10:28-03:42:34]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: 5 minutos
[2020:10:28-03:42:35]  (Local) -> (LOCAL)[2]2cb'Escobar: deme
[2020:10:28-03:42:36]  (Team - Criminals) -> (TEAM)[EVG]RicardoJorge:  y luego los sacas
[2020:10:28-03:42:36]  (Local) -> (LOCAL)[3]EVG|~Orgalor~|: si
[2020:10:28-03:42:37]  (Global) -> Teytaru: Quien me explica como vendo drogas? :v
[2020:10:28-03:42:38]  (Local) -> (LOCAL)[2]2cb'Escobar: rapdio
[2020:10:28-03:42:39]  (Global) -> [EVG]RicardoJorge: Berna
[2020:10:28-03:42:40]  (Local) -> (LOCAL)[5]GT|Jhojan: para q solo lo veamos los q estamos cerca
[2020:10:28-03:42:41]  (Local) -> (LOCAL)[2]Jabon: aa
[2020:10:28-03:42:43]  (Local) -> (LOCAL)[2]GT|Andres: deme?
[2020:10:28-03:42:44]  (Global) -> #7F7F7F|CVR|#FF5C00^Berna-2cB: a
[2020:10:28-03:42:44]  (Local) -> (LOCAL)[2]2cb'Escobar: PAZ
[2020:10:28-03:42:44]  (Global) -> Salomierda: sizas
[2020:10:28-03:42:46]  (Local) -> (LOCAL)[2]2cb_ElSocito: vendes el sofa ?
[2020:10:28-03:42:47]  (Local) -> (LOCAL)[6]GT|ElKevinnPai: exacto
[2020:10:28-03:42:47]  (Global) -> Obito_Nea: EN LAS CASAS ROJAS
[2020:10:28-03:42:47]  (Local) -> (LOCAL)[6]GT|Jhojan: la t es para el chat general
[2020:10:28-03:42:51]  (Local) -> (LOCAL)[2]2cb'Escobar: siiiç
[2020:10:28-03:42:55]  (Local) -> (LOCAL)[2]2cb'Escobar: e lm en me lo vendio
[2020:10:28-03:42:56]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: oe hable mas xdddd
[2020:10:28-03:42:57]  (Global) -> #7F7F7F|CVR|#FF5C00|EVG|CrudoMeansRaw: Dinero patrocinado por [EVG]Judas?Iscariotes añañay
[2020:10:28-03:42:57]  (Global) -> Salomierda: ah listo listo
[2020:10:28-03:43:00]  (Local) -> (LOCAL)[3]2cb_ElSocito: deje probarlo
[2020:10:28-03:43:00]  (Local) -> (LOCAL)[1]2cb''palomo69: NOOO TE BUGIASTE;(
[2020:10:28-03:43:00]  (Local) -> (LOCAL)[3]GT|Andres: sin gasolina xd
[2020:10:28-03:43:01]  (Local) -> (LOCAL)[3][EVG]RicardoJorge: Qué otro evento para otros dos palos, o bueno, 2 de judas y dos míos para que sea más
[2020:10:28-03:43:01]  (Local) -> (LOCAL)[3]GT|Jhojan: XD
[2020:10:28-03:43:02]  (Team - Criminals) -> (TEAM)[EVG]Judas?Iscariotes: o
[2020:10:28-03:43:02]  (Global) -> Teytaru: Gracias obito
[2020:10:28-03:43:03]  (Local) -> (LOCAL)[3]2cb'Escobar: dw
[2020:10:28-03:43:03]  (Global) -> Salomierda: hable ud xd
[2020:10:28-03:43:06]  (Local) -> (LOCAL)[3]GT|Andres: que?
[2020:10:28-03:43:10]  (Local) -> (LOCAL)[3]2cb'Escobar: vams
[2020:10:28-03:43:10]  (Local) -> (LOCAL)[6]GT|ElKevinnPai: no tengo audios jajajaj
[2020:10:28-03:43:12]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00^Berna-2cB: que quieren hacer
[2020:10:28-03:43:13]  (Local) -> (LOCAL)[6]GT|Jhojan: sajkjksajajk papaiado
[2020:10:28-03:43:14]  (Local) -> (LOCAL)[2]2cb'Escobar: a banci
[2020:10:28-03:43:15]  (Local) -> (LOCAL)[3][EVG]RicardoJorge: No sé
[2020:10:28-03:43:16]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00^Berna-2cB: que sea bueno y de poco tiempo
[2020:10:28-03:43:18]  (Local) -> (LOCAL)[1]GT|Andres: jmmm
[2020:10:28-03:43:18]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00^Berna-2cB: no tengo time
[2020:10:28-03:43:19]  (Local) -> (LOCAL)[6]GT|ElKevinnPai: sapa xd
[2020:10:28-03:43:19]  (Global) -> Obito_Nea: ESTOY BUSCANDO UN HPTA CHANTI
[2020:10:28-03:43:21]  (Global) -> [GT]AriasPai: Teytaru, tienes que coger trabajo de ciminal, vas  a la cosa azul el simbolo de la ciencia xd 
[2020:10:28-03:43:22]  (Global) -> Salomierda: ah no pai
[2020:10:28-03:43:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00^Berna-2cB: ya me tengo que abrir
[2020:10:28-03:43:24]  (Local) -> (LOCAL)[6]CurvedLegumes81: loco
[2020:10:28-03:43:26]  (Local) -> (LOCAL)[6]GT|ElKevinnPai: mal ahi
[2020:10:28-03:43:29]  (Local) -> (LOCAL)[6][GT]LOCO: oe
[2020:10:28-03:43:30]  (Global) -> Butifarra: *shade
[2020:10:28-03:43:30]  (Global) -> [GT]AriasPai: Vas a las casas rojas y ya 
[2020:10:28-03:43:31]  (Local) -> (LOCAL)[6]GT|ElKevinnPai: suba con G
[2020:10:28-03:43:31]  (Local) -> (LOCAL)[6]CurvedLegumes81: soy wili
[2020:10:28-03:43:33]  (Local) -> (LOCAL)[3][EVG]RicardoJorge: Dime vos
[2020:10:28-03:43:33]  (Global) -> 2cb'ELVIEJOJUANCHO69: busco una madamme
[2020:10:28-03:43:35]  (Local) -> (LOCAL)[1]GT|Andres: su pana no entendio q no esta a la venta XDDDDDD
[2020:10:28-03:43:38]  (Local) -> (LOCAL)[5]CurvedLegumes81: se acuerda
[2020:10:28-03:43:38]  (Local) -> (LOCAL)[5]WorkableConsole21: oe
[2020:10:28-03:43:42]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00^Berna-2cB: ya hice los eventos que me gustan no se
[2020:10:28-03:43:42]  (Local) -> (LOCAL)[5]CurvedLegumes81: stark
[2020:10:28-03:43:42]  (Local) -> (LOCAL)[2]GT|Andres: q
[2020:10:28-03:43:43]  (Local) -> (LOCAL)[2]2cb_ElSocito: jajajajajajaj
[2020:10:28-03:43:46]  (Local) -> (LOCAL)[5][GT]LOCO: espere
[2020:10:28-03:43:47]  (Local) -> (LOCAL)[2]2cb'Escobar: oe
[2020:10:28-03:43:47]  (Local) -> (LOCAL)[9][GT]~$Fabio_vidal69$:): no
[2020:10:28-03:43:51]  (Local) -> (LOCAL)[2]GT|Jhojan: q
[2020:10:28-03:43:51]  (Global) -> Obito_Nea: ESTOY BUSCANDO UN HPTA CHANTI
[2020:10:28-03:43:52]  (Local) -> (LOCAL)[2][GT]LOCO: bro
[2020:10:28-03:43:52]  (Global) -> Salomierda: ajaajjajaja
[2020:10:28-03:43:53]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: emm
[2020:10:28-03:43:53]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: algo sencillo para rifar easy
[2020:10:28-03:43:53]  (Local) -> (LOCAL)[1]2cb*sumadre420: q te paso bb
[2020:10:28-03:43:55]  (Local) -> (LOCAL)[1]2cb''palomo69: aña ña i
[2020:10:28-03:43:55]  (Local) -> (LOCAL)[2]2cb'Escobar: vamos al banco se lo compro
[2020:10:28-03:43:57]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: uno rapido?
[2020:10:28-03:43:58]  (Local) -> (LOCAL)[2]GT|Jhojan: epa
[2020:10:28-03:43:58]  (Local) -> (LOCAL)[2]2cb_ElSocito: no esta a la f¿venta
[2020:10:28-03:43:59]  (Local) -> (LOCAL)[1]2cb''palomo69: estaba mimiendo
[2020:10:28-03:44:01]  (Local) -> (LOCAL)[2]WorkableConsole21: dime
[2020:10:28-03:44:02]  (Local) -> (LOCAL)[2]2cb'Escobar: uy
[2020:10:28-03:44:04]  (Global) -> Salomierda: este pirobo en el coche xd
[2020:10:28-03:44:04]  (Local) -> (LOCAL)[1]2cb*sumadre420: bno tqm
[2020:10:28-03:44:04]  (Local) -> (LOCAL)[2]2cb'Escobar: como asi
[2020:10:28-03:44:05]  (Global) -> [GT]~$Fabio_vidal69$:): ey diganle a capucurioso que deje de sacar gente de zona con el camiob
[2020:10:28-03:44:05]  (Local) -> (LOCAL)[2]GT|Andres: no esta a la venta xd
[2020:10:28-03:44:06]  (Local) -> (LOCAL)[3][GT]LOCO: tienes plata
[2020:10:28-03:44:08]  (Local) -> (LOCAL)[5]EVG|~Orgalor~|: ps una carrerita no?
[2020:10:28-03:44:10]  (Local) -> (LOCAL)[2]2cb_ElSocito: asi me dijo jaa
[2020:10:28-03:44:10]  (Local) -> (LOCAL)[2]2cb'Escobar: no se mj
[2020:10:28-03:44:11]  (Global) -> [Z]PiedraXlll: aeropuerto plis
[2020:10:28-03:44:12]  (Local) -> (LOCAL)[5][EVG]Judas?Iscariotes: una purguita y estamos pedientes alos premios
[2020:10:28-03:44:15]  (Local) -> (LOCAL)[2]GT|Jhojan: sjajsa
[2020:10:28-03:44:16]  (Global) -> |GT|~La_Loli~: w
[2020:10:28-03:44:16]  (Local) -> (LOCAL)[3]CurvedLegumes81: szs
[2020:10:28-03:44:18]  (Local) -> (LOCAL)[5][EVG]Judas?Iscariotes: o una carrerita de ciclas
[2020:10:28-03:44:18]  (Global) -> 2cb'Escobar: UINE VENDE EL SOFA
[2020:10:28-03:44:18]  (Local) -> (LOCAL)[2]GT|Andres: pero quiero escuchar caunto esta dispuesto a pagar xd
[2020:10:28-03:44:19]  (Local) -> (LOCAL)[5]EVG|~Orgalor~|: nahh
[2020:10:28-03:44:22]  (Global) -> |GT|~La_Loli~: si ya fastidia con eso
[2020:10:28-03:44:22]  (Local) -> (LOCAL)[2]CurvedLegumes81: tengo 2000 mil
[2020:10:28-03:44:26]  (Global) -> [EVG]Judas?Iscariotes: tirofijo nea pq jodes
[2020:10:28-03:44:26]  (Local) -> (LOCAL)[6][EVG]RicardoJorge: uy
[2020:10:28-03:44:27]  (Global) -> ParallelManatee34: hola
[2020:10:28-03:44:27]  (Global) -> [Z]PiedraXlll: me hace el favor?
[2020:10:28-03:44:27]  (Local) -> (LOCAL)[2]WorkableConsole21: tegno 700 que saque en trucos
[2020:10:28-03:44:29]  (Global) -> [EVG]Judas?Iscariotes: tirofijo nea pq jodes
[2020:10:28-03:44:31]  (Local) -> (LOCAL)[2]GT|Andres: solo diga un numero
[2020:10:28-03:44:31]  (Local) -> (LOCAL)[1]MrNadieOwO: si
[2020:10:28-03:44:31]  (Local) -> (LOCAL)[3]GT|Jhojan: voy a hacer un graffiti de salo
[2020:10:28-03:44:33]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: no te vallas a volver 2cb :((
[2020:10:28-03:44:37]  (Global) -> [EVG]RicardoJorge: Se mató a un trabajador pa
[2020:10:28-03:44:38]  (Local) -> (LOCAL)[2]EVG|~Orgalor~|: lleveme
[2020:10:28-03:44:38]  (Local) -> (LOCAL)[2][GT]LOCO: ya te doy
[2020:10:28-03:44:38]  (Global) -> 2cb'Escobar: QUIEN VENDE EL SOFA
[2020:10:28-03:44:39]  (Local) -> (LOCAL)[4]SebastianMontoya: a
[2020:10:28-03:44:39]  (Local) -> (LOCAL)[2]CurvedLegumes81: yo 2000 F
[2020:10:28-03:44:41]  (Global) -> Salomierda:  por qué? xd
[2020:10:28-03:44:42]  (Team - Unemployed) -> (TEAM)ParallelManatee34: Soy nuevo quien me enseña
[2020:10:28-03:44:44]  (Local) -> (LOCAL)[2]GT|Jhojan: 2cb lo peor
[2020:10:28-03:44:47]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: meros pirobos
[2020:10:28-03:44:47]  (Local) -> (LOCAL)[2]GT|Jhojan: del server
[2020:10:28-03:44:48]  (Local) -> (LOCAL)[4]Jabon: jm
[2020:10:28-03:44:48]  (Local) -> (LOCAL)[2]CurvedLegumes81: que melo un carrito
[2020:10:28-03:44:49]  (Local) -> (LOCAL)[3]EVG|~Orgalor~|: hp traba
[2020:10:28-03:44:50]  (Local) -> (LOCAL)[2]GT|Jhojan: solo GT
[2020:10:28-03:44:50]  (Global) -> 2cb'Escobar: LO NECEITO 
[2020:10:28-03:44:51]  (Local) -> (LOCAL)[3][EVG]Judas?Iscariotes: organo
[2020:10:28-03:44:52]  (Local) -> (LOCAL)[3]Jabon: pillen
[2020:10:28-03:44:52]  (Local) -> (LOCAL)[1]2cb*sumadre420: kual te pongo bb
[2020:10:28-03:44:53]  (Local) -> (LOCAL)[2]2cb_ElSocito: cuanto pediria ?
[2020:10:28-03:44:53]  (Local) -> (LOCAL)[3]EVG|~Orgalor~|: q gonorrea
[2020:10:28-03:44:54]  (Local) -> (LOCAL)[2]2cb'Escobar: NA CRRERA
[2020:10:28-03:44:55]  (Local) -> (LOCAL)[3]Jabon: vaya a lv
[2020:10:28-03:44:56]  (Local) -> (LOCAL)[2]WorkableConsole21: D:
[2020:10:28-03:44:56]  (Local) -> (LOCAL)[2]GT|Andres: y me lo gané diciendo una cancion xd
[2020:10:28-03:44:57]  (Global) -> [EVG]Paisa: VIVAN LOS GHOTS TURFERS
[2020:10:28-03:44:58]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: quiere mas dildo?
[2020:10:28-03:44:58]  (Local) -> (LOCAL)[3][EVG]RicardoJorge: si
[2020:10:28-03:44:58]  (Local) -> (LOCAL)[1]2cb''palomo69: ESA ESTA CHIMBAAAAA
[2020:10:28-03:44:58]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: digalo
[2020:10:28-03:45:00]  (Local) -> (LOCAL)[3]Jabon: y berna le pone una skin de pony
[2020:10:28-03:45:00]  (Local) -> (LOCAL)[3]WorkableConsole21: ENSERIO?
[2020:10:28-03:45:00]  (Global) -> Salomierda: esa mierda de puerta no cierra ome
[2020:10:28-03:45:01]  (Local) -> (LOCAL)[3]Jabon: y ya
[2020:10:28-03:45:01]  (Local) -> (LOCAL)[1][EVG]Judas?Iscariotes: nada
[2020:10:28-03:45:01]  (Local) -> (LOCAL)[1]2cb*sumadre420: bno
[2020:10:28-03:45:02]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: gracias por el millon
[2020:10:28-03:45:02]  (Local) -> (LOCAL)[1]2cb''palomo69: AAABIRGEAR
[2020:10:28-03:45:03]  (Global) -> Aguapanela:D: sii
[2020:10:28-03:45:04]  (Local) -> (LOCAL)[3][GT]LOCO: ya
[2020:10:28-03:45:04]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: xdd
[2020:10:28-03:45:04]  (Global) -> Aguapanela:D: cbug
[2020:10:28-03:45:04]  (Local) -> (LOCAL)[2]GT|Andres: la verdad ni idea pana xd
[2020:10:28-03:45:06]  (Local) -> (LOCAL)[3]Jabon: el q encuentre el pony
[2020:10:28-03:45:07]  (Local) -> (LOCAL)[1]2cb*sumadre420: a
[2020:10:28-03:45:07]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: con o
[2020:10:28-03:45:08]  (Local) -> (LOCAL)[2][GT]LOCO: te llego
[2020:10:28-03:45:09]  (Local) -> (LOCAL)[1]2cb*sumadre420: q
[2020:10:28-03:45:09]  (Local) -> (LOCAL)[1]2cb''palomo69: TU HACES UNA CARRERA Y LUEGO ME PRESTAS EL CAMIO, Y LUEGO A MI BEBE
[2020:10:28-03:45:09]  (Local) -> (LOCAL)[2]CurvedLegumes81: y a mi
[2020:10:28-03:45:11]  (Global) -> 2cb'Escobar: PAPI
[2020:10:28-03:45:11]  (Local) -> (LOCAL)[2]2cb_ElSocito: x2 jaja
[2020:10:28-03:45:12]  (Local) -> (LOCAL)[1]2cb''palomo69: TU HACES UNA CARRERA Y LUEGO ME PRESTAS EL CAMIO, Y LUEGO A MI BEBE
[2020:10:28-03:45:13]  (Local) -> (LOCAL)[1]2cb*sumadre420: buenooooooo
[2020:10:28-03:45:13]  (Local) -> (LOCAL)[3]WorkableConsole21: OE PAPI Y PORQUE
[2020:10:28-03:45:15]  (Global) -> 2cb'Escobar: LE DOY 10 PALOS
[2020:10:28-03:45:17]  (Global) -> 2cb'Escobar: YA 
[2020:10:28-03:45:18]  (Local) -> (LOCAL)[2]GT|Andres: por eso quiero q me endulce el oido xd
[2020:10:28-03:45:19]  (Local) -> (LOCAL)[2]GT|Andres: jmm
[2020:10:28-03:45:20]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: regaleme un carrito
[2020:10:28-03:45:20]  (Global) -> [GT]CARDING: admi
[2020:10:28-03:45:22]  (Local) -> (LOCAL)[3]WorkableConsole21: GRCIAS BUENA BUENA
[2020:10:28-03:45:22]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: XD
[2020:10:28-03:45:24]  (Local) -> (LOCAL)[1][EVG]Judas?Iscariotes: no
[2020:10:28-03:45:27]  (Local) -> (LOCAL)[1][EVG]Judas?Iscariotes: :v
[2020:10:28-03:45:27]  (Global) -> [Z]PiedraXlll: graciasssssssssss
[2020:10:28-03:45:28]  (Local) -> (LOCAL)[2]2cb'Escobar: USTED DIRA
[2020:10:28-03:45:28]  (Local) -> (LOCAL)[1]2cb*sumadre420: conectados
[2020:10:28-03:45:28]  (Local) -> (LOCAL)[2][GT]LOCO: okwuok
[2020:10:28-03:45:29]  (Local) -> (LOCAL)[2]GT|Andres: nah pana xd
[2020:10:28-03:45:30]  (Local) -> (LOCAL)[1]MrNadieOwO: dnd
[2020:10:28-03:45:30]  (Local) -> (LOCAL)[1]2cb''palomo69: SINCRONISAOS
[2020:10:28-03:45:31]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: :v
[2020:10:28-03:45:31]  (Local) -> (LOCAL)[2][GT]LOCO: ok
[2020:10:28-03:45:34]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: pirobo
[2020:10:28-03:45:34]  (Local) -> (LOCAL)[2][GT]LOCO: oe
[2020:10:28-03:45:37]  (Local) -> (LOCAL)[1]EVG|~Orgalor~|: XDD
[2020:10:28-03:45:37]  (Local) -> (LOCAL)[1]GT|Andres: se alguien q lo tiene
[2020:10:28-03:45:38]  (Local) -> (LOCAL)[5]Aguapanela:D: jajaj
[2020:10:28-03:45:38]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00^Berna-2cB: nah yo me voy
[2020:10:28-03:45:38]  (Local) -> (LOCAL)[1]2cb'Escobar: PORQUE
[2020:10:28-03:45:39]  (Local) -> (LOCAL)[2]CurvedLegumes81: da e
[2020:10:28-03:45:39]  (Local) -> (LOCAL)[4]Jabon: malparido pa canson ome
[2020:10:28-03:45:39]  (Local) -> (LOCAL)[7]Aguapanela:D: ni modo
[2020:10:28-03:45:40]  (Local) -> (LOCAL)[1]2cb'Escobar: BRI
[2020:10:28-03:45:40]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00^Berna-2cB: ya
[2020:10:28-03:45:40]  (Local) -> (LOCAL)[1]2cb''palomo69: dijo hasta lo mismo jajajaaj
[2020:10:28-03:45:41]  (Global) -> Salomierda: ve
[2020:10:28-03:45:42]  (Local) -> (LOCAL)[4]Jabon: a
[2020:10:28-03:45:42]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: si necesitan algo nsotoros dos estamos casi q 24/7
[2020:10:28-03:45:45]  (Local) -> (LOCAL)[2][GT]LOCO: si nesesita algo me dice
[2020:10:28-03:45:45]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00^Berna-2cB: chao jabonsito
[2020:10:28-03:45:46]  (Local) -> (LOCAL)[1]GT|Andres: cheverry pero no se si lo vende
[2020:10:28-03:45:46]  (Local) -> (LOCAL)[1]2cb'Escobar: UCANTO
[2020:10:28-03:45:47]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00^Berna-2cB: chaos
[2020:10:28-03:45:48]  (Local) -> (LOCAL)[5]Jabon: xao
[2020:10:28-03:45:48]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: :c
[2020:10:28-03:45:49]  (Global) -> Salomierda:  la u es para voz o texto?
[2020:10:28-03:45:49]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: xd
[2020:10:28-03:45:50]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: chao berna
[2020:10:28-03:45:53]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00^Berna-2cB: parchense
[2020:10:28-03:45:54]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: texto
[2020:10:28-03:45:56]  (Local) -> (LOCAL)[2]WorkableConsole21: DALE BRO GRACIAS
[2020:10:28-03:45:56]  (Global) -> Cornizo: Na, como 2 segundos
[2020:10:28-03:45:57]  (Local) -> (LOCAL)[4]EVG|~Orgalor~|: berna
[2020:10:28-03:45:58]  (Local) -> (LOCAL)[2]2cb'Escobar: PAPI
[2020:10:28-03:46:00]  (Local) -> (LOCAL)[1]2cb*sumadre420: sabes q
[2020:10:28-03:46:00]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: para voz en la z
[2020:10:28-03:46:01]  (Local) -> (LOCAL)[2]Salomierda: ah listo listo
[2020:10:28-03:46:02]  (Local) -> (LOCAL)[2]GT|Andres: de resto ni idea de quien mas lo tenga pana
[2020:10:28-03:46:02]  (Global) -> 2cb*care_loco: la u es para texto
[2020:10:28-03:46:03]  (Local) -> (LOCAL)[1]2cb''palomo69: tu has una y luego oyo otra bb
[2020:10:28-03:46:05]  (Local) -> (LOCAL)[6]CAPU|PASTOR_LOPEZ: ola
[2020:10:28-03:46:06]  (Local) -> (LOCAL)[1]2cb*sumadre420: se me caban de buguear los carros
[2020:10:28-03:46:07]  (Local) -> (LOCAL)[2]Jabon: ey si
[2020:10:28-03:46:08]  (Local) -> (LOCAL)[3]2cb'Escobar: QUIENÇDW
[2020:10:28-03:46:09]  (Local) -> (LOCAL)[2]GT|Jhojan: XDDDD
[2020:10:28-03:46:10]  (Local) -> (LOCAL)[2]ColitasElCrack: nueno tambien?
[2020:10:28-03:46:11]  (Global) -> 2cb*care_loco: la z espara voz
[2020:10:28-03:46:11]  (Local) -> (LOCAL)[2]Jabon: jailea a ese mk
