This file was generated by Console at 2021:01:11-00:00:00



[2021:01:11-00:00:00]  (Local) -> (LOCAL)[1]Royal2cb: pere
[2021:01:11-03:04:12]  (Global) -> CAPU|Milplones666: presio
[2021:01:11-03:04:12]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: presio
[2021:01:11-03:04:15]  (Global) -> #7F7F7F|ADM|#FF0000!#Megu: pero algo es algo
[2021:01:11-03:04:15]  (Global) -> Walter: presio
[2021:01:11-03:04:16]  (Local) -> (LOCAL)[1]Su-papa: subase
[2021:01:11-03:04:17]  (Global) -> #7F7F7F|ADM|#FF8C00|EVG|Catre: me lo regalas
[2021:01:11-03:04:18]  (Team - Services) -> (TEAM)CarCel: bunaaaa
[2021:01:11-03:04:18]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: #ff00ff Comando /sound para escuchar los temas
[2021:01:11-03:04:19]  (Local) -> (LOCAL)[1]Karenko038: hOLA
[2021:01:11-03:04:19]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|CrudoMeansRaw: tus nalgas
[2021:01:11-03:04:19]  (Local) -> (LOCAL)[3]Sayayin'fumarrato: toca que guarde la plata en el banco
[2021:01:11-03:04:19]  (Team - Services) -> (TEAM)Drogba: el?
[2021:01:11-03:04:21]  (Local) -> (LOCAL)[1]Su-papa: lo llevo a camellar
[2021:01:11-03:04:24]  (Local) -> (LOCAL)[5]2cb~SamanthaOwO: AJSAJDASJDH
[2021:01:11-03:04:24]  (Global) -> #7F7F7F|ADM|#FF0000!#Megu: vendo Pizzaboy
[2021:01:11-03:04:26]  (Local) -> (LOCAL)[1]Sayayin^piltrafa: ji
[2021:01:11-03:04:27]  (Global) -> D'aniel_Rodriguez: ...
[2021:01:11-03:04:28]  (Local) -> (LOCAL)[5]2cb~SamanthaOwO: XDXDXD
[2021:01:11-03:04:28]  (Global) -> #7F7F7F|ADM|#FF8C00|EVG|Catre: me lo regalas crudo
[2021:01:11-03:04:28]  (Local) -> (LOCAL)[5]2cBuitre.: JAJAJAJJ AJAJAJAJJJAJAS
[2021:01:11-03:04:28]  (Global) -> #7F7F7F|ADM||LiderCelacho|#FF5C00OjosTristes: pq no se baj
[2021:01:11-03:04:28]  (Global) -> Walter: comprese algo exclusivo
[2021:01:11-03:04:29]  (Global) -> CAPU|Milplones666: presio
[2021:01:11-03:04:30]  (Global) -> #7F7F7F|ADM|#FF8C00|EVG|Catre: me lo regalas crudo
[2021:01:11-03:04:30]  (Global) -> #7F7F7F|ADM||LiderCelacho|#FF5C00OjosTristes: ay ombe
[2021:01:11-03:04:31]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|CrudoMeansRaw: No sr
[2021:01:11-03:04:32]  (Global) -> CAPU|Milplones666: ese si me interesa
[2021:01:11-03:04:33]  (Global) -> LikeableTeacher34: done
[2021:01:11-03:04:34]  (Local) -> (LOCAL)[1]Su-papa: huevon es con g
[2021:01:11-03:04:38]  (Global) -> #7F7F7F|ADM|#FF8C00|EVG|Catre: ok 
[2021:01:11-03:04:38]  (Team - Services) -> (TEAM)Karenko038: A
[2021:01:11-03:04:38]  (Global) -> [MZ]~Im_Dark: mijo
[2021:01:11-03:04:42]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: tomemos una foto al lado del sancocho
[2021:01:11-03:04:43]  (Global) -> #7F7F7F|ADM|#FF0000!#Megu: Walter ya tengo la pizzaboy xd
[2021:01:11-03:04:43]  (Local) -> (LOCAL)[1]Sayayin'fumarrato: tombo marika
[2021:01:11-03:04:43]  (Local) -> (LOCAL)[1]Dominio: A MI ME ENCANA QY ME QUEDO HASTA EL OTRO ALÑO AJAJ
[2021:01:11-03:04:43]  (Global) -> 2cBPrexto: compro pizza boy, 500k
[2021:01:11-03:04:44]  (Local) -> (LOCAL)[1]Su-papa: jajajaj
[2021:01:11-03:04:45]  (Global) -> [MZ]~Im_Dark: presteme su carro 
[2021:01:11-03:04:48]  ([Msg] de |EVG|CrudoMeansRaw para CAPU|Milplones666: 50 Palos, tiene handleo admin) -> nil
[2021:01:11-03:04:48]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Seb: Prueba
[2021:01:11-03:04:50]  (Global) -> CAPU|Milplones666: megu
[2021:01:11-03:04:50]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: oe bale f2 donde donde my envite
[2021:01:11-03:04:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: pon la radio CVR
[2021:01:11-03:04:53]  (Local) -> (LOCAL)[1]lAKlAXION: jajajaj
[2021:01:11-03:04:53]  (Global) -> CAPU|Milplones666: a como la pizzaboy
[2021:01:11-03:04:55]  (Local) -> (LOCAL)[1]Sayayin"Chaman: hagale asajsajas
[2021:01:11-03:04:55]  (Local) -> (LOCAL)[1]Sayayin'Lufero: si baja lento por la mula aca
[2021:01:11-03:04:56]  (Global) -> #7F7F7F|ADM|#FF8C00|EVG|Catre: la buena malparido Crudo
[2021:01:11-03:04:56]  (Local) -> (LOCAL)[6]|EVG|Soltec: sancocho de conejo
[2021:01:11-03:04:56]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ???????????
[2021:01:11-03:04:57]  (Global) -> LikeableTeacher34: donde me puedo hacer de  su vanda 
[2021:01:11-03:04:58]  (Local) -> (LOCAL)[2]Sayayin'Lufero: es mas facil xd
[2021:01:11-03:04:59]  (Global) -> CAPU|Milplones666: yo
[2021:01:11-03:05:01]  (Local) -> (LOCAL)[2]Sayayin"Chaman: sisa
[2021:01:11-03:05:02]  (Local) -> (LOCAL)[2]Sayayin'Lufero: mas corto el camino
[2021:01:11-03:05:02]  (Local) -> (LOCAL)[5]2cBuitre.: DENSE RIENDA
[2021:01:11-03:05:02]  (Local) -> (LOCAL)[6]|EVG|Soltec: siiiiii
[2021:01:11-03:05:03]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: LA RADIO CVR ES LA RADIO DEL SERVIDOR
[2021:01:11-03:05:03]  (Global) -> #7F7F7F|ADM|#FF0000!#Megu: a 700 palos
[2021:01:11-03:05:04]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|CrudoMeansRaw: eyeyeye respetame
[2021:01:11-03:05:05]  (Local) -> (LOCAL)[5]#7F7F7F|ADM||LG|#FF5C00CAPU|~Curiosin~|: hola jopeamos
[2021:01:11-03:05:05]  (Global) -> [MZ]~Im_Dark: le hago un bailesito
[2021:01:11-03:05:05]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: wtf
[2021:01:11-03:05:06]  (Local) -> (LOCAL)[5]2cb~SamanthaOwO: ya casi esra de noche
[2021:01:11-03:05:06]  (Local) -> (LOCAL)[2][z]tribilin: ez
[2021:01:11-03:05:07]  (Global) -> CaceresParaco: asi?
[2021:01:11-03:05:08]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ???????????
[2021:01:11-03:05:09]  (Global) -> Walter: pero si corre mas mi mamita diabetica que esa vuelta
[2021:01:11-03:05:10]  (Local) -> (LOCAL)[3]lAKlAXION: uy nea q lagaso
[2021:01:11-03:05:10]  (Local) -> (LOCAL)[5]2cBuitre.: CY
[2021:01:11-03:05:10]  (Global) -> (CT.S)ElMaicke777: admin tirame carreritas
[2021:01:11-03:05:10]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|CrudoMeansRaw: ayer si me querias hijoeperra
[2021:01:11-03:05:11]  (Global) -> Walter: xda
[2021:01:11-03:05:12]  (Local) -> (LOCAL)[6]|EVG|Soltec: me voy a comer a beltronc0
[2021:01:11-03:05:12]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00Royal2cb: q tu abla niño
[2021:01:11-03:05:12]  (Global) -> CAPU|Milplones666: yo
[2021:01:11-03:05:14]  (Local) -> (LOCAL)[5]2cb~SamanthaOwO: shi cuando se haga mas noche
[2021:01:11-03:05:15]  (Local) -> (LOCAL)[6]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: :V
[2021:01:11-03:05:15]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: LA RADIO CVR ES LA RADIO DEL SERVIDOR
[2021:01:11-03:05:17]  (Local) -> (LOCAL)[2]Drogba: no me aparece nada
[2021:01:11-03:05:17]  (Local) -> (LOCAL)[3]lAKlAXION: 15 fps
[2021:01:11-03:05:18]  (Local) -> (LOCAL)[5]#7F7F7F|ADM||LG|#FF5C00CAPU|~Curiosin~|: ok
[2021:01:11-03:05:19]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: pon la radio cvr
[2021:01:11-03:05:21]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|Catre: todavia te quiero piroba
[2021:01:11-03:05:22]  (Local) -> (LOCAL)[0]#7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ???????????
[2021:01:11-03:05:23]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Royal2cb: o eras vos
[2021:01:11-03:05:23]  (Local) -> (LOCAL)[3]Dominio: Este man que?
[2021:01:11-03:05:25]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: ahi a veces se rifan VIPS
[2021:01:11-03:05:25]  (Local) -> (LOCAL)[3]Dominio: Esta pesao?
[2021:01:11-03:05:26]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Royal2cb: qn fue el q hablo
[2021:01:11-03:05:26]  (Local) -> (LOCAL)[6]|EVG|Soltec: me voy a comer a beltronc0
[2021:01:11-03:05:27]  (Local) -> (LOCAL)[2]NeatSwordsman52: como xd
[2021:01:11-03:05:27]  (Global) -> CAPU|Milplones666: yo me quiero ganar el palo
[2021:01:11-03:05:28]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: y se comunican eventos
[2021:01:11-03:05:30]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ???????????
[2021:01:11-03:05:30]  (Global) -> D'aniel_Rodriguez: nada:/
[2021:01:11-03:05:30]  (Global) -> #7F7F7F|ADM||LiderCelacho|#FF5C00OjosTristes: A
[2021:01:11-03:05:31]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|Catre: falsa
[2021:01:11-03:05:31]  (Local) -> (LOCAL)[1]Sayayin'fumarrato: ya esta muerto
[2021:01:11-03:05:33]  (Local) -> (LOCAL)[3]Ak-JuanPablo: ojo
[2021:01:11-03:05:34]  (Local) -> (LOCAL)[3]3fj.francovilla,pato: donde
[2021:01:11-03:05:34]  (Local) -> (LOCAL)[6]Beltronc0: soltec esta en discord?
[2021:01:11-03:05:34]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Royal2cb: y preguntele a ese cuando se le caen los dientes de leche
[2021:01:11-03:05:34]  (Local) -> (LOCAL)[1]Sayayin'fumarrato: jajajajaja
[2021:01:11-03:05:35]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: paradero del tren
[2021:01:11-03:05:36]  (Local) -> (LOCAL)[1]Karenko038: gracias
[2021:01:11-03:05:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: algo asi
[2021:01:11-03:05:37]  (Local) -> (LOCAL)[5]2cBuitre.: JAJAJAJAJAJJA
[2021:01:11-03:05:40]  (Global) -> Walter: antes cuando bala hacia eventos
[2021:01:11-03:05:40]  (Global) -> CaceresParaco: no puedo poner mi musica?
[2021:01:11-03:05:41]  (Global) -> Walter: :(
[2021:01:11-03:05:41]  (Local) -> (LOCAL)[1][AK][Perico]: yo le ayude cuando era nuevo
[2021:01:11-03:05:41]  (Local) -> (LOCAL)[2]Dominio: Oe
[2021:01:11-03:05:42]  (Local) -> (LOCAL)[2]Sayayin'fumarrato: ramos
[2021:01:11-03:05:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: debes seleccionar radio cvr
[2021:01:11-03:05:42]  (Local) -> (LOCAL)[6]|EVG|Soltec: ci
[2021:01:11-03:05:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Seb: Nada amigo
[2021:01:11-03:05:43]  (Local) -> (LOCAL)[1][AK][Perico]: todo bien
[2021:01:11-03:05:43]  (Global) -> #7F7F7F|ADM||LiderCelacho|#FF5C00OjosTristes: diganme el nombre de un barco
[2021:01:11-03:05:45]  (Global) -> [MZ]~Im_Dark: eu
[2021:01:11-03:05:46]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: metro medellin
[2021:01:11-03:05:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: Si claro que puedes
[2021:01:11-03:05:47]  (Local) -> (LOCAL)[2]LeviAckerman: y que va hacer
[2021:01:11-03:05:48]  (Local) -> (LOCAL)[2]Dominio: No se asare
[2021:01:11-03:05:48]  (Team - Unemployed) -> (TEAM)Sayayin'Lufero: xd
[2021:01:11-03:05:48]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FFFF00Seb: Mejor reconecta
[2021:01:11-03:05:49]  (Global) -> Walter: y me ganaba rares xd
[2021:01:11-03:05:49]  (Global) -> 2cb-pablito: t
[2021:01:11-03:05:50]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FFFF00Seb: Es la unica
[2021:01:11-03:05:51]  (Global) -> 2cb-pablito: t
[2021:01:11-03:05:51]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ??????????? me localiza y venga 
[2021:01:11-03:05:51]  (Local) -> (LOCAL)[2]Sayayin'fumarrato: que paso
[2021:01:11-03:05:52]  (Team - Unemployed) -> (TEAM)#7F7F7F|ADM|#FF5C00|EVG|Catre: ajsdhagsdhasd
[2021:01:11-03:05:52]  (Local) -> (LOCAL)[2]Dominio: Vamos
[2021:01:11-03:05:52]  (Global) -> Sayayin'ElButifarra: uy mi hermano que le pasa al mata
[2021:01:11-03:05:52]  (Local) -> (LOCAL)[1]Sayayin'Lufero: xd
[2021:01:11-03:05:52]  (Local) -> (LOCAL)[1][MZ]Cagaleto: UD ME ESTAFO
[2021:01:11-03:05:53]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Royal2cb: aa
[2021:01:11-03:05:54]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|CrudoMeansRaw: Squalo
[2021:01:11-03:05:54]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Royal2cb: kietos ome
[2021:01:11-03:05:54]  (Global) -> [MZ]~Im_Dark: a?
[2021:01:11-03:05:55]  (Global) -> Sayayin'ElButifarra: mapa*
[2021:01:11-03:05:57]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Royal2cb: cansones
[2021:01:11-03:05:57]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: Para hacerlo debes tener un link de mp3
[2021:01:11-03:05:57]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FFFF00Seb: Popeye
[2021:01:11-03:05:57]  (Local) -> (LOCAL)[4]Sayayin'fumarrato: mani
[2021:01:11-03:05:58]  (Global) -> Brahian: tirame tp
[2021:01:11-03:05:59]  (Global) -> THLzampollero: hola
[2021:01:11-03:06:00]  (Local) -> (LOCAL)[6][AK][Perico]: cuaaales
[2021:01:11-03:06:00]  (Global) -> D'aniel_Rodriguez: bueno gracias
[2021:01:11-03:06:01]  (Local) -> (LOCAL)[4]2cb~SamanthaOwO: reifezer
[2021:01:11-03:06:02]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: Puedes usar ytmp3
[2021:01:11-03:06:03]  (Local) -> (LOCAL)[2](POPEYE): o mula ropia asi no s ebugea
[2021:01:11-03:06:03]  (Global) -> JuJoWarudo: peos
[2021:01:11-03:06:03]  (Global) -> LeviAckerman: malparida
[2021:01:11-03:06:04]  (Local) -> (LOCAL)[3]MoaningMariachi77: huy sano
[2021:01:11-03:06:04]  (Local) -> (LOCAL)[4]Sayayin'fumarrato: e pena mani
[2021:01:11-03:06:05]  (Global) -> #7F7F7F|ADM||LiderCelacho|#FF5C00OjosTristes: BUITRE PIROBO
[2021:01:11-03:06:05]  (Local) -> (LOCAL)[6][MZ]Cagaleto: disq rare ese carro
[2021:01:11-03:06:06]  (Global) -> [MZ]~Im_Dark: a donde vamos?
[2021:01:11-03:06:06]  (Local) -> (LOCAL)[4]Sayayin^piltrafa: a que pena
[2021:01:11-03:06:06]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: para convertir videos de YT
[2021:01:11-03:06:07]  (Local) -> (LOCAL)[4][AK][Perico]: meatem as, bien
[2021:01:11-03:06:09]  (Local) -> (LOCAL)[2](POPEYE): dime
[2021:01:11-03:06:09]  (Local) -> (LOCAL)[2][MZ]Cagaleto: d
[2021:01:11-03:06:10]  (Local) -> (LOCAL)[1]Walter: nombre
[2021:01:11-03:06:12]  (Local) -> (LOCAL)[2]Dominio: Con el que vino a donde fue?
[2021:01:11-03:06:12]  (Global) -> #7F7F7F|ADM|#FFFF00Seb: Ya no sirven las mulas propias
[2021:01:11-03:06:13]  (Local) -> (LOCAL)[2]Sayayin'fumarrato: ya nos abrimos
[2021:01:11-03:06:14]  (Global) -> FernanditoGAUCHO-3fj.: eee
[2021:01:11-03:06:14]  (Local) -> (LOCAL)[4]2cb~SamanthaOwO: tomate una
[2021:01:11-03:06:15]  (Local) -> (LOCAL)[3]MoaningMariachi77: por que lo mato
[2021:01:11-03:06:16]  (Local) -> (LOCAL)[2]Dominio: Vine
[2021:01:11-03:06:16]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: breve
[2021:01:11-03:06:17]  (Local) -> (LOCAL)[2](POPEYE): ajajaja
[2021:01:11-03:06:18]  (Local) -> (LOCAL)[2]Dominio: **
[2021:01:11-03:06:19]  (Local) -> (LOCAL)[1]Ak-JuanPablo: PARCERO DEJAME QUIETO Q SOY 2CB HP
[2021:01:11-03:06:19]  (Local) -> (LOCAL)[2](POPEYE): uajajaja
[2021:01:11-03:06:21]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ??????????? me localiza y venga 
[2021:01:11-03:06:21]  (Global) -> Dominio: AXIONNNNNNNNNNNNNNN
[2021:01:11-03:06:22]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: nah facil
[2021:01:11-03:06:23]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: quién caje al sancocho evg, ni maluma lo hace como evg lo hace
[2021:01:11-03:06:24]  (Local) -> (LOCAL)[1]2cb/MINI: ey
[2021:01:11-03:06:25]  (Local) -> (LOCAL)[2][AK][Perico]: XDDD
[2021:01:11-03:06:27]  (Local) -> (LOCAL)[2]Ak-JuanPablo: este vago si jode nea
[2021:01:11-03:06:27]  (Global) -> Strange'2cb: ai
[2021:01:11-03:06:29]  (Team - Services) -> (TEAM)CaceresParaco: como pongo los de youtobe?
[2021:01:11-03:06:29]  (Global) -> |EVG|Soltec: claro
[2021:01:11-03:06:30]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|Catre: ash 
[2021:01:11-03:06:30]  (Local) -> (LOCAL)[1]Dominio: Dime
[2021:01:11-03:06:31]  (Local) -> (LOCAL)[4]BocatoPa: oe
[2021:01:11-03:06:31]  (Global) -> JuJoWarudo: no hay nivel pelele
[2021:01:11-03:06:31]  (Local) -> (LOCAL)[2][AK][Perico]: nos volvemosa a encontrar
[2021:01:11-03:06:32]  (Local) -> (LOCAL)[2]Sayayin'fumarrato: sisass
[2021:01:11-03:06:33]  (Local) -> (LOCAL)[3]3fj.francovilla,pato: OE
[2021:01:11-03:06:34]  (Local) -> (LOCAL)[1]2cb/MINI: le vendo un clovin
[2021:01:11-03:06:34]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: Para hacerlo debes tener un link de mp3
[2021:01:11-03:06:35]  (Global) -> Brahian: reizer
[2021:01:11-03:06:35]  (Local) -> (LOCAL)[4]Sayayin'Lufero: ya
[2021:01:11-03:06:35]  (Local) -> (LOCAL)[3]BocatoPa: lulfero mano
[2021:01:11-03:06:36]  (Local) -> (LOCAL)[2]Sayayin'fumarrato: manii
[2021:01:11-03:06:37]  (Local) -> (LOCAL)[2]Sayayin^piltrafa: ale
[2021:01:11-03:06:37]  (Local) -> (LOCAL)[1]2cBPrexto: :O
[2021:01:11-03:06:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: para convertir videos de YT
[2021:01:11-03:06:37]  (Local) -> (LOCAL)[2]2cb/MINI: tuneado
[2021:01:11-03:06:38]  (Local) -> (LOCAL)[2]Dominio: Cuanto
[2021:01:11-03:06:39]  (Local) -> (LOCAL)[2]Ak-JuanPablo: dejame quieto q acaso no vez
[2021:01:11-03:06:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Seb: Reconecta amigo
[2021:01:11-03:06:39]  (Local) -> (LOCAL)[3]Sayayin"Chaman: ash si joden
[2021:01:11-03:06:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: Puedes usar ytmp3
[2021:01:11-03:06:41]  (Local) -> (LOCAL)[3]Sayayin'Lufero: sisa bro?
[2021:01:11-03:06:41]  (Global) -> #7F7F7F|ADM|#FF5C00|EVG|Catre: este man habla mucho ricardo pirobo
[2021:01:11-03:06:43]  (Local) -> (LOCAL)[1]Ak-JuanPablo: preguntale a tussy webon
[2021:01:11-03:06:43]  (Local) -> (LOCAL)[6][EVG]ElChapo: NI PAOLA JARA LO HACE COMO EVG LO HACE
[2021:01:11-03:06:43]  (Global) -> JuJoWarudo: paco peorro
[2021:01:11-03:06:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Seb: O trabaja mientras en otra cosa
[2021:01:11-03:06:44]  (Local) -> (LOCAL)[6]Beltronc0: foto foto
[2021:01:11-03:06:46]  (Local) -> (LOCAL)[1]Sayayin'fumarrato: jajajaj
[2021:01:11-03:06:47]  (Local) -> (LOCAL)[1]2cb/MINI: 800k negociaboe
[2021:01:11-03:06:47]  (Global) -> Sancocho.Kum: qXDDD
[2021:01:11-03:06:47]  (Local) -> (LOCAL)[2]2cBPrexto: enserio sos z
[2021:01:11-03:06:48]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00|EVG|Catre: como era XD
[2021:01:11-03:06:49]  (Local) -> (LOCAL)[1]Sayayin^piltrafa: jajaja
[2021:01:11-03:06:49]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF00002cb'DJ_Nico: a
[2021:01:11-03:06:50]  (Local) -> (LOCAL)[6]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: uy
[2021:01:11-03:06:51]  (Local) -> (LOCAL)[2]Walter: y sigue sin aprender
[2021:01:11-03:06:51]  (Local) -> (LOCAL)[2]Ak-JuanPablo: eso encaneme
[2021:01:11-03:06:52]  (Local) -> (LOCAL)[1]Sayayin'fumarrato: ledimos piso
[2021:01:11-03:06:52]  (Local) -> (LOCAL)[1]Dominio: Muestrelo
[2021:01:11-03:06:53]  (Local) -> (LOCAL)[6]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: ya tnego frecam
[2021:01:11-03:06:53]  (Local) -> (LOCAL)[1]Drogba: aiss
[2021:01:11-03:06:55]  (Local) -> (LOCAL)[2]Ak-JuanPablo: luego no me llore
[2021:01:11-03:06:57]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: epaaa
[2021:01:11-03:06:57]  (Local) -> (LOCAL)[4]Sayayin'Lufero: chaman
[2021:01:11-03:06:58]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: meloo
[2021:01:11-03:06:58]  (Local) -> (LOCAL)[4][Z]Razzork: sisas
[2021:01:11-03:06:59]  (Local) -> (LOCAL)[3]Ak-JuanPablo: sapo hpta
[2021:01:11-03:06:59]  (Local) -> (LOCAL)[1]MoaningMariachi77: carrera o que jajaj
[2021:01:11-03:06:59]  (Local) -> (LOCAL)[1]2cb/MINI: tiene los mods activos
[2021:01:11-03:06:59]  (Local) -> (LOCAL)[3]Sayayin"Chaman: eo
[2021:01:11-03:06:59]  (Local) -> (LOCAL)[3]Sayayin'Lufero: le pagaron?
[2021:01:11-03:07:00]  (Global) -> Karenko038: Maldito gnorrea
[2021:01:11-03:07:00]  (Global) -> FernanditoGAUCHO-3fj.: quien pa mi fiesta de 15 ????
[2021:01:11-03:07:01]  (Local) -> (LOCAL)[1]Drogba: acompañeme a arreglar el carro
[2021:01:11-03:07:02]  (Local) -> (LOCAL)[4][AK][Perico]: ajaja
[2021:01:11-03:07:02]  (Local) -> (LOCAL)[5]2cBPrexto: o andas mamando gallo
[2021:01:11-03:07:02]  (Local) -> (LOCAL)[3]Sayayin"Chaman: sisa
[2021:01:11-03:07:04]  (Local) -> (LOCAL)[4]2cb*TavoVilla: deje de llorar sapo
[2021:01:11-03:07:04]  (Local) -> (LOCAL)[2]Dominio: No
[2021:01:11-03:07:04]  (Local) -> (LOCAL)[4]2cBPrexto: anda
[2021:01:11-03:07:05]  (Local) -> (LOCAL)[1]Sayayin^piltrafa: que gnrrea pero si el trabajo nuestro es matar tombo
[2021:01:11-03:07:06]  (Local) -> (LOCAL)[4]Sayayin'Lufero: eso sjjsjsj
[2021:01:11-03:07:06]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: un tombo que se quiera ganar 1 palo ya ??????????? me localiza y venga 
[2021:01:11-03:07:06]  (Local) -> (LOCAL)[1]Sayayin'fumarrato: vamos a darle piso a ese tonmbo
[2021:01:11-03:07:07]  (Local) -> (LOCAL)[2]Dominio: Deje los actuivio
[2021:01:11-03:07:08]  (Local) -> (LOCAL)[2]2cb/MINI: prendalos
[2021:01:11-03:07:08]  (Local) -> (LOCAL)[5]Ak-JuanPablo: chupelo
[2021:01:11-03:07:09]  (Local) -> (LOCAL)[1]Drogba: venga
[2021:01:11-03:07:09]  (Local) -> (LOCAL)[3][Z]Razzork: naa
[2021:01:11-03:07:09]  (Local) -> (LOCAL)[1]MoaningMariachi77: vamos
[2021:01:11-03:07:09]  (Local) -> (LOCAL)[3]2cBPrexto: de lo que me entero :o
[2021:01:11-03:07:12]  (Local) -> (LOCAL)[1]Dominio: vamos al aeropuerto
[2021:01:11-03:07:12]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: JuJoWarudo mi parcero siendo Jujo como siempre
[2021:01:11-03:07:12]  (Local) -> (LOCAL)[5]Sayayin"Chaman: esos vagos si joden nea
[2021:01:11-03:07:15]  (Local) -> (LOCAL)[5]Ak-JuanPablo: oe walter veni
[2021:01:11-03:07:16]  (Global) -> CaceresParaco: pana mañana cumplo 15 años :3
[2021:01:11-03:07:18]  (Local) -> (LOCAL)[5]Sayayin'Lufero: sisa
[2021:01:11-03:07:20]  (Global) -> 2cb-pablito: vas report
[2021:01:11-03:07:20]  (Local) -> (LOCAL)[1]Sayayin^piltrafa: a quien
[2021:01:11-03:07:21]  (Local) -> (LOCAL)[1]MoaningMariachi77: me quitaron la moto jajaja
[2021:01:11-03:07:24]  (Global) -> JuJoWarudo: yop
[2021:01:11-03:07:26]  (Global) -> #7F7F7F|ADM|#FFFF00FurryTrash: ey deja a jujito en paz
