This file was generated by Console at 2020:11:27-00:00:00



[2020:11:27-00:00:00]  (Global) -> 2cb'ViejoRichard: si
[2020:11:27-01:25:13]  (Global) -> #7F7F7F|CVR|#FF0000Catre: me alegro amigo
[2020:11:27-01:25:14]  (Local) -> (LOCAL)[1]Cheverry: si
[2020:11:27-01:25:14]  (Local) -> (LOCAL)[1]Orion|LR: Yo mantengo tuenado
[2020:11:27-01:25:16]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: no esta no
[2020:11:27-01:25:17]  (Local) -> (LOCAL)[1]Orion|LR: Yo se
[2020:11:27-01:25:19]  (Local) -> (LOCAL)[6]|EVG|Soltec: a
[2020:11:27-01:25:20]  (Local) -> (LOCAL)[1](POPEYE): ya le envio al whasaa
[2020:11:27-01:25:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: me ves acostado¿
[2020:11:27-01:25:22]  (Local) -> (LOCAL)[2]Loli: le toco curarse
[2020:11:27-01:25:23]  (Local) -> (LOCAL)[1]Orion|LR: Cuando lo mete otravez no le parece
[2020:11:27-01:25:23]  (Local) -> (LOCAL)[1]Cheverry: salte
[2020:11:27-01:25:24]  (Local) -> (LOCAL)[7](BGW)CHOCORRAMOCAMILOP: emgu vamos aaali
[2020:11:27-01:25:24]  (Local) -> (LOCAL)[7]|CAPU|JulianGg: q man tan fasti
[2020:11:27-01:25:26]  (Local) -> (LOCAL)[1]Cheverry: no
[2020:11:27-01:25:26]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: serian aqui
[2020:11:27-01:25:29]  (Local) -> (LOCAL)[7]|Sr.g8|: con MP y colocando c4 en zona el yandrix
[2020:11:27-01:25:29]  (Local) -> (LOCAL)[2]Loli: xd
[2020:11:27-01:25:29]  (Local) -> (LOCAL)[1]Orion|LR: Pero ya esta aplicado
[2020:11:27-01:25:31]  (Global) -> 2cb'DrStrange: bravoooo
[2020:11:27-01:25:33]  (Global) -> JuanDelPiz: e
[2020:11:27-01:25:34]  (Global) -> #7F7F7F|CVR|#FF0000Catre: aaaaa que spam 
[2020:11:27-01:25:34]  (Local) -> (LOCAL)[1](POPEYE): si
[2020:11:27-01:25:34]  (Local) -> (LOCAL)[1]Cheverry: pero si lo veo corriendo con la anim
[2020:11:27-01:25:35]  (Global) -> 2cb'DrStrange: muy bn mi vida
[2020:11:27-01:25:35]  (Local) -> (LOCAL)[6][CAPU]C4rtex: bueno pq se meten al racnho
[2020:11:27-01:25:38]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: aaahg esa mierda esta rebug
[2020:11:27-01:25:38]  (Local) -> (LOCAL)[1]mata: oe
[2020:11:27-01:25:38]  (Local) -> (LOCAL)[5]|CAPU|JulianGg: tenia q ser costeño
[2020:11:27-01:25:39]  (Local) -> (LOCAL)[1](POPEYE): suba y le muestro
[2020:11:27-01:25:40]  (Local) -> (LOCAL)[1]Loli: e
[2020:11:27-01:25:40]  (Local) -> (LOCAL)[1]mata: venga vamos ahi
[2020:11:27-01:25:40]  (Local) -> (LOCAL)[1]Orion|LR: No le cambia nada
[2020:11:27-01:25:42]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: aca dele
[2020:11:27-01:25:42]  (Local) -> (LOCAL)[6][CAPU]C4rtex: YO NO COPEO DE NADIE
[2020:11:27-01:25:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: aaaahg
[2020:11:27-01:25:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Megu: PA Q
[2020:11:27-01:25:46]  (Local) -> (LOCAL)[4]|Sr.g8|: costeño no
[2020:11:27-01:25:47]  (Local) -> (LOCAL)[1]Cheverry: haga una anim de acostardo
[2020:11:27-01:25:48]  (Local) -> (LOCAL)[4]|Sr.g8|: es marico
[2020:11:27-01:25:49]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: pa reprotar un bug
[2020:11:27-01:25:52]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: que esta sacnado
[2020:11:27-01:25:52]  (Local) -> (LOCAL)[6]Vibra_Alegre_Games: marihuana
[2020:11:27-01:25:53]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Megu: q bug
[2020:11:27-01:25:56]  (Local) -> (LOCAL)[2](BGW)CHOCORRAMOCAMILOP: 3 stojs de dinero
[2020:11:27-01:25:56]  (Local) -> (LOCAL)[1]Cheverry: j
[2020:11:27-01:25:58]  (Local) -> (LOCAL)[1]LocaHp: pero avisa ome
[2020:11:27-01:25:58]  (Global) -> 2cb'DarkLondres: uff
[2020:11:27-01:25:58]  (Local) -> (LOCAL)[1]Cheverry: jajaj
[2020:11:27-01:25:59]  (Local) -> (LOCAL)[4]|CAPU|JulianGg: antes me caia bien
[2020:11:27-01:26:00]  (Local) -> (LOCAL)[1]LocaHp: xd
[2020:11:27-01:26:01]  (Local) -> (LOCAL)[1]Cheverry: noooooooooooo
[2020:11:27-01:26:01]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Megu: si xd
[2020:11:27-01:26:02]  (Local) -> (LOCAL)[4]|CAPU|JulianGg: qn pasooooooo
[2020:11:27-01:26:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: ya¿
[2020:11:27-01:26:03]  (Local) -> (LOCAL)[1]Cheverry: q asco
[2020:11:27-01:26:05]  (Local) -> (LOCAL)[1]Cheverry: si
[2020:11:27-01:26:05]  (Local) -> (LOCAL)[1](POPEYE): espere y pille
[2020:11:27-01:26:07]  (Local) -> (LOCAL)[6]2cb'JEFERuwu: tengo lsd
[2020:11:27-01:26:10]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Megu: normal
[2020:11:27-01:26:10]  (Local) -> (LOCAL)[6]|EVG|Soltec: epa
[2020:11:27-01:26:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: y yo me veo parado xd
[2020:11:27-01:26:11]  (Local) -> (LOCAL)[0][EVG]ElMono: nicolas
[2020:11:27-01:26:11]  (Local) -> (LOCAL)[2](BGW)CHOCORRAMOCAMILOP: poreso dele pa mandrela las pruebas a reizer
[2020:11:27-01:26:15]  (Local) -> (LOCAL)[6]|EVG|Soltec: rote rote
[2020:11:27-01:26:15]  (Local) -> (LOCAL)[3][Z]Petrosky: a
[2020:11:27-01:26:15]  (Local) -> (LOCAL)[2](BGW)CHOCORRAMOCAMILOP: es bug
[2020:11:27-01:26:16]  (Local) -> (LOCAL)[1]Cheverry: ud se ve parado
[2020:11:27-01:26:16]  (Local) -> (LOCAL)[6]CarlosBaretaChar|C&A|: neas no se hagan en la zona de spawn del barco :/
[2020:11:27-01:26:17]  (Global) -> #7F7F7F|CVR|#FF5C00XhnGuaracha: jm a Yandrix ya se le ha reportado como 4 o 5 veces por mal uso del P
[2020:11:27-01:26:18]  (Local) -> (LOCAL)[1]LocaHp: esq si no avisa me coje desprevenido
[2020:11:27-01:26:19]  (Local) -> (LOCAL)[1]Cheverry: yo no
[2020:11:27-01:26:20]  (Local) -> (LOCAL)[2](BGW)CHOCORRAMOCAMILOP: por que quita mas $
[2020:11:27-01:26:20]  (Local) -> (LOCAL)[6]|CAPU|JulianGg: g8
[2020:11:27-01:26:24]  (Local) -> (LOCAL)[1]Cheverry: pere
[2020:11:27-01:26:26]  (Global) -> Vibra_Alegre_Games: marihuana
[2020:11:27-01:26:27]  (Local) -> (LOCAL)[1]2cb'DarkLondres: son todas las armas
[2020:11:27-01:26:27]  (Local) -> (LOCAL)[1]LocaHp: y ps obviamente me va a bajar mas
[2020:11:27-01:26:29]  (Global) -> Cheverry: taseeme
[2020:11:27-01:26:29]  (Local) -> (LOCAL)[1]LocaHp: szs
[2020:11:27-01:26:30]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: y como evaden
[2020:11:27-01:26:31]  (Global) -> #7F7F7F|CVR|#0064FFbernaaaa: Pablito5645
[2020:11:27-01:26:38]  (Global) -> Vibra_Alegre_Games: perdon me equivoque de chat
[2020:11:27-01:26:39]  (Local) -> (LOCAL)[5]|Sr.g8|: oe
[2020:11:27-01:26:39]  (Global) -> CarlosBaretaChar|C&A|: El mejor DJ de todo CVR? pues claro, el mismisimo nico prestige
[2020:11:27-01:26:40]  (Local) -> (LOCAL)[2]Cheverry: aaa
[2020:11:27-01:26:42]  (Global) -> #7F7F7F|CVR|#0064FFbernaaaa: CAPU/Pablito5654 
[2020:11:27-01:26:42]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: vamos por granadas
[2020:11:27-01:26:42]  (Local) -> (LOCAL)[5]|Sr.g8|: vamos de tombos o q
[2020:11:27-01:26:42]  (Local) -> (LOCAL)[6]|CAPU|JulianGg: q hacemos
[2020:11:27-01:26:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: normal
[2020:11:27-01:26:45]  (Local) -> (LOCAL)[2]Cheverry: hp
[2020:11:27-01:26:45]  (Team - Services) -> (TEAM)Uribe: /resogn
[2020:11:27-01:26:46]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: hola
[2020:11:27-01:26:47]  (Local) -> (LOCAL)[2]Cheverry: no se
[2020:11:27-01:26:47]  (Local) -> (LOCAL)[5]|Sr.g8|: pa rolear
[2020:11:27-01:26:50]  (Local) -> (LOCAL)[5]|CAPU|JulianGg: bueno pero tenes 1 estrella
[2020:11:27-01:26:51]  (Global) -> [EVG].DJ-NICO-PRESTIGE: gracias bro
[2020:11:27-01:26:51]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: agh no quiero perder 7k de bombas :c
[2020:11:27-01:26:52]  (Local) -> (LOCAL)[2]Cheverry: pero asi evaden mucho
[2020:11:27-01:26:54]  (Local) -> (LOCAL)[5]|Sr.g8|: szs
[2020:11:27-01:26:54]  (Local) -> (LOCAL)[3]#Yimer100'SiCkOMoDe: q
[2020:11:27-01:26:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Catre: chamoo
[2020:11:27-01:26:58]  (Local) -> (LOCAL)[5]|CAPU|JulianGg: vamos
[2020:11:27-01:27:00]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Catre: me quiero trabar
[2020:11:27-01:27:00]  (Global) -> [EVG].DJ-NICO-PRESTIGE: #01f2e5 DJ NICOLAS PRESTIGE EN LA RADIO 
[2020:11:27-01:27:01]  (Local) -> (LOCAL)[2]Cheverry: por eso no se quitan de la zona segura
[2020:11:27-01:27:03]  (Local) -> (LOCAL)[1]zares: PA
[2020:11:27-01:27:04]  (Local) -> (LOCAL)[5]|Sr.g8|: gogogo
[2020:11:27-01:27:04]  (Local) -> (LOCAL)[5]|CAPU|JulianGg: busquemos a vribra
[2020:11:27-01:27:06]  (Local) -> (LOCAL)[2][CAPU]C4rtex: chao ermoso
[2020:11:27-01:27:10]  (Local) -> (LOCAL)[1]zares: AHI NO LO SACA
[2020:11:27-01:27:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000MenteMaestra: no me da puntos de drift como me debsugeo
[2020:11:27-01:27:12]  (Local) -> (LOCAL)[5]|Sr.g8|: eso
[2020:11:27-01:27:12]  (Global) -> 2cb'*-#AlexSama: como hago eso que esos manes tienen como un laser
[2020:11:27-01:27:13]  (Local) -> (LOCAL)[1]2cb'Falcao: JAJAJ nada
[2020:11:27-01:27:16]  (Local) -> (LOCAL)[2]|EVG|Soltec: juimonos
[2020:11:27-01:27:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Catre: pille
[2020:11:27-01:27:16]  (Local) -> (LOCAL)[1]2cb'Falcao: me toca relogear
[2020:11:27-01:27:17]  (Local) -> (LOCAL)[2][CAPU]C4rtex: no copeo pa
[2020:11:27-01:27:18]  (Global) -> 2cb'*-#AlexSama: o es mejorando el arma
[2020:11:27-01:27:18]  (Local) -> (LOCAL)[4]|Sr.g8|: tienes la ubicacion de vibra?
[2020:11:27-01:27:18]  (Global) -> |CAPU|JulianGg: vibra
[2020:11:27-01:27:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: hmmm
[2020:11:27-01:27:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Catre: aaa f
[2020:11:27-01:27:22]  (Local) -> (LOCAL)[4]|CAPU|JulianGg: nope
[2020:11:27-01:27:24]  (Local) -> (LOCAL)[1]zares: sii
[2020:11:27-01:27:24]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: trata de pillarlos
[2020:11:27-01:27:25]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Catre: se bugueo nea
[2020:11:27-01:27:25]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: STE MK
[2020:11:27-01:27:26]  (Local) -> (LOCAL)[1]2cb'~#[I]BIZA: ey ud q
[2020:11:27-01:27:28]  (Local) -> (LOCAL)[1][CAPU]C4rtex: ey q es ese grafiti
[2020:11:27-01:27:29]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: owO
[2020:11:27-01:27:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Catre: eso lo reportaron
[2020:11:27-01:27:29]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: y asi prestan mas atencion
[2020:11:27-01:27:30]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: 2cb'*-#AlexSama Puedes comprar el taser en la armería
[2020:11:27-01:27:33]  (Local) -> (LOCAL)[5]|CAPU|JulianGg: uy esta re lejos
[2020:11:27-01:27:33]  (Local) -> (LOCAL)[1][CAPU]C4rtex: ta bonito
[2020:11:27-01:27:34]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: vine a a hablar con pablito
[2020:11:27-01:27:35]  (Local) -> (LOCAL)[1]|EVG|Soltec: cual
[2020:11:27-01:27:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: ya se sabe q eso esta dando problemas
[2020:11:27-01:27:37]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: el J
[2020:11:27-01:27:37]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: termuinen el duelo
[2020:11:27-01:27:37]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: Que montes no se entere XDD
[2020:11:27-01:27:38]  (Global) -> (BGW)CHOCORRAMOCAMILOP: SEB LLEGE
[2020:11:27-01:27:39]  (Local) -> (LOCAL)[2]Cheverry: ya sem tiene fichado a uno
[2020:11:27-01:27:39]  (Global) -> EquinoxBull: hola
[2020:11:27-01:27:40]  (Global) -> [CAPU]C4rtex: me da envidia
[2020:11:27-01:27:41]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Aaaa leí mal, disculpa
[2020:11:27-01:27:42]  (Local) -> (LOCAL)[1]CAPUCone: XDD
[2020:11:27-01:27:43]  (Local) -> (LOCAL)[2]2cb'~#[I]BIZA: hablen
[2020:11:27-01:27:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: qn
[2020:11:27-01:27:44]  (Local) -> (LOCAL)[1][CAPU]C4rtex: lo voy a quitar
[2020:11:27-01:27:45]  (Local) -> (LOCAL)[7]|Sr.g8|: vamos
[2020:11:27-01:27:47]  (Local) -> (LOCAL)[1]LocaHp: ai
[2020:11:27-01:27:48]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: pablito
[2020:11:27-01:27:49]  (Local) -> (LOCAL)[2]Cheverry: el 2cb gomelo
[2020:11:27-01:27:50]  (Local) -> (LOCAL)[1]LocaHp: estoy cartel
[2020:11:27-01:27:50]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Alex eso es una función del vip
[2020:11:27-01:27:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: con razon
[2020:11:27-01:27:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: pablito
[2020:11:27-01:27:54]  (Global) -> (BUM)daesrewaint: w
[2020:11:27-01:27:54]  (Local) -> (LOCAL)[1]|EVG|Soltec: eiii nooo
[2020:11:27-01:27:54]  (Local) -> (LOCAL)[2]Cheverry: ayer lo jaileo por 1800
[2020:11:27-01:27:55]  (Global) -> (BGW)CHOCORRAMOCAMILOP: SEB LLEGE
[2020:11:27-01:27:55]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: parce
[2020:11:27-01:27:55]  (Local) -> (LOCAL)[3]Vibra_Alegre_Games: perdon me equivoque de chat
[2020:11:27-01:27:56]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: vamos por granadas
[2020:11:27-01:27:57]  (Local) -> (LOCAL)[3]Vibra_Alegre_Games: marihuana
[2020:11:27-01:27:57]  (Global) -> 2cb'*-#AlexSama: a ya
[2020:11:27-01:27:57]  (Local) -> (LOCAL)[1][CAPU]C4rtex: me dio envidia pa
[2020:11:27-01:27:58]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: reconecte
[2020:11:27-01:27:58]  (Local) -> (LOCAL)[7]|CAPU|JulianGg: pidelo bro
[2020:11:27-01:27:59]  (Local) -> (LOCAL)[2]CAPU/Pablito5654: a
[2020:11:27-01:28:00]  (Local) -> (LOCAL)[1]LocaHp: pere q me de tiempp
[2020:11:27-01:28:00]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: ese man siempre en zona ssegura
[2020:11:27-01:28:02]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: su ping esta muy alto
[2020:11:27-01:28:02]  (Local) -> (LOCAL)[1]LocaHp: a
[2020:11:27-01:28:02]  (Global) -> (BGW)CHOCORRAMOCAMILOP: PA REPORTAR EL BUG
[2020:11:27-01:28:02]  (Local) -> (LOCAL)[6]|CAPU|JulianGg: no lo quites asi
[2020:11:27-01:28:03]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: AAAAA
[2020:11:27-01:28:03]  (Local) -> (LOCAL)[1]|EVG|Soltec: ese es el graffiti de mi cuarto
[2020:11:27-01:28:03]  (Local) -> (LOCAL)[2]CAPU/Pablito5654: si
[2020:11:27-01:28:04]  (Local) -> (LOCAL)[2]Cheverry: por eso no salen de la zona segura
[2020:11:27-01:28:04]  (Local) -> (LOCAL)[1][CAPU]C4rtex: xD
[2020:11:27-01:28:05]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: pilla
[2020:11:27-01:28:06]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: ¡¿A donde?
[2020:11:27-01:28:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: ahorita
[2020:11:27-01:28:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: reconecte para ver si se soluciona
[2020:11:27-01:28:09]  (Team - Law Enforcement) -> (TEAM)(BUM)daesrewaint: yy
[2020:11:27-01:28:11]  (Local) -> (LOCAL)[2]Cheverry: todos ahora son alla
[2020:11:27-01:28:12]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: tasee a ibiza
[2020:11:27-01:28:12]  (Local) -> (LOCAL)[2]CAPU/Pablito5654: xd
[2020:11:27-01:28:13]  (Local) -> (LOCAL)[3][BGW]Ragnarok: V:v
[2020:11:27-01:28:13]  (Global) -> (BGW)CHOCORRAMOCAMILOP: ACA AL HOSPITAL CENTRAL
[2020:11:27-01:28:15]  (Local) -> (LOCAL)[1][CAPU]C4rtex: es q estaba ariiba de jesus pa
[2020:11:27-01:28:17]  (Local) -> (LOCAL)[4]2cb'JEFERuwu: deee
[2020:11:27-01:28:18]  (Global) -> #7F7F7F|CVR|#FF0000Megu: hp yimer
[2020:11:27-01:28:18]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: y se movio unos segundos
[2020:11:27-01:28:18]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: ahorita lo iba a arrestar
[2020:11:27-01:28:20]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: y era imposible
[2020:11:27-01:28:22]  (Local) -> (LOCAL)[4]2cb'JEFERuwu: de marihuana
[2020:11:27-01:28:22]  (Global) -> #7F7F7F|CVR|#FF0000Megu: menseñas
[2020:11:27-01:28:22]  (Local) -> (LOCAL)[2]Cheverry: lo mismo tussy
[2020:11:27-01:28:23]  (Local) -> (LOCAL)[1]|EVG|Soltec: a
[2020:11:27-01:28:23]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: toca hacer algo
[2020:11:27-01:28:24]  (Local) -> (LOCAL)[2]Cheverry: si
[2020:11:27-01:28:25]  (Global) -> #7F7F7F|CVR|#FF0000Megu: ᗒ ͟ʖᗕ
[2020:11:27-01:28:25]  (Global) -> Jabonsito: OLA CHOCORRAMOCAMILOP me das un carro todo bn
[2020:11:27-01:28:25]  (Local) -> (LOCAL)[3][CAPU]Gallo_Pepe: ola
[2020:11:27-01:28:26]  (Local) -> (LOCAL)[1]Orion|LR: pille wp
[2020:11:27-01:28:27]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: cojones
[2020:11:27-01:28:29]  (Local) -> (LOCAL)[2]CAPU/Pablito5654: xd
[2020:11:27-01:28:29]  (Local) -> (LOCAL)[1]|EVG|Soltec: es mi cuadro
[2020:11:27-01:28:30]  (Local) -> (LOCAL)[2]Cheverry: naaa
[2020:11:27-01:28:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: holaaa
[2020:11:27-01:28:31]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: si no reconecta yo lo kickeo
[2020:11:27-01:28:32]  (Global) -> (BGW)CHOCORRAMOCAMILOP: nop
[2020:11:27-01:28:33]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: video y hay funa
[2020:11:27-01:28:35]  (Local) -> (LOCAL)[1][CAPU]C4rtex: eso pasacuando me dan poderes de adm
[2020:11:27-01:28:36]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: por ping
[2020:11:27-01:28:37]  (Local) -> (LOCAL)[1](POPEYE): sube vamso si pilla
[2020:11:27-01:28:38]  (Local) -> (LOCAL)[2]Cheverry: balaclava dice q soy yo
[2020:11:27-01:28:38]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: que hace
[2020:11:27-01:28:39]  (Team - Law Enforcement) -> (TEAM)(BUM)daesrewaint: yyyyyyyyyyyy
[2020:11:27-01:28:39]  (Local) -> (LOCAL)[1](POPEYE): ahora si
[2020:11:27-01:28:39]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFbernaaaa: para que vuelva a entrar
[2020:11:27-01:28:39]  (Global) -> CarlosBaretaChar|C&A|: #f0f000 se ha logueado - Level 5
[2020:11:27-01:28:43]  (Local) -> (LOCAL)[1][CAPU]C4rtex: ey quedaste limdo
[2020:11:27-01:28:47]  (Global) -> (BGW)CHOCORRAMOCAMILOP: BAN A ESE MK
[2020:11:27-01:28:47]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: entonces habla con caza
[2020:11:27-01:28:48]  (Local) -> (LOCAL)[2]Cheverry: naaa ya ni ganas de jugar tengo
[2020:11:27-01:28:48]  (Local) -> (LOCAL)[4][CAPU]Gallo_Pepe: aa
[2020:11:27-01:28:50]  (Local) -> (LOCAL)[5][CAPU]Gallo_Pepe: keeeeeeeeeee
[2020:11:27-01:28:50]  (Local) -> (LOCAL)[1]|EVG|Soltec: onde
[2020:11:27-01:28:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: noooo
[2020:11:27-01:28:56]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: comoasi
[2020:11:27-01:28:58]  (Local) -> (LOCAL)[1][CAPU]C4rtex: ese es ud
[2020:11:27-01:29:00]  (Local) -> (LOCAL)[1]CAPUCone: granadas de q
[2020:11:27-01:29:03]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: solo te molesta el es asi
[2020:11:27-01:29:04]  (Local) -> (LOCAL)[1]Orion|LR: Pile el aduio gran mrk
[2020:11:27-01:29:05]  (Local) -> (LOCAL)[2]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~CapuCurioso~|: esas
[2020:11:27-01:29:07]  (Local) -> (LOCAL)[1]CAPUCone: a
[2020:11:27-01:29:08]  (Local) -> (LOCAL)[1]|EVG|Soltec: yo no veo ni chimba
[2020:11:27-01:29:09]  (Local) -> (LOCAL)[6](BGW)CHOCORRAMOCAMILOP: DELE /KILL
[2020:11:27-01:29:09]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00Seb: Dime
[2020:11:27-01:29:09]  (Phone:SMS) -> From elPepe | To: maicolMMG | Message: :b
[2020:11:27-01:29:13]  (Local) -> (LOCAL)[1][CAPU]C4rtex: enserio?
[2020:11:27-01:29:16]  (Local) -> (LOCAL)[1][CAPU]C4rtex: avr
[2020:11:27-01:29:17]  (Local) -> (LOCAL)[1]|EVG|Soltec: no
[2020:11:27-01:29:20]  (Local) -> (LOCAL)[2]Cheverry: supuestamente balaclva dijo q tenia 4reportes bugear con J
[2020:11:27-01:29:21]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Añañay sems
[2020:11:27-01:29:21]  (Global) -> [EVG].DJ-NICO-PRESTIGE: DE PE A PA TEMA PARA EL PARCERO SHUNEN
[2020:11:27-01:29:23]  (Global) -> (BUM)daesrewaint: ayudddddaaaaaaaaaaaaaaaaaaaaaaaaa admins nme quede pillado me aparese la flechita
[2020:11:27-01:29:24]  (Local) -> (LOCAL)[1][CAPU]C4rtex: ahora?
[2020:11:27-01:29:24]  (Global) -> (BGW)CHOCORRAMOCAMILOP: AA
[2020:11:27-01:29:25]  (Global) -> Uribe: se me fue el puño 
[2020:11:27-01:29:25]  (Local) -> (LOCAL)[2]2cb'*-#AlexSama: bruh
[2020:11:27-01:29:28]  (Global) -> maicolMMG: yato
[2020:11:27-01:29:29]  (Local) -> (LOCAL)[0][EVG]ElMono: uffff temazos
[2020:11:27-01:29:29]  (Global) -> maicolMMG: elPepe
[2020:11:27-01:29:30]  (Global) -> (BGW)CHOCORRAMOCAMILOP: LO DIO MUY RAPIDO SAJSAJJSASA
[2020:11:27-01:29:30]  (Local) -> (LOCAL)[3]Cheverry: el proximo me baneaba perma
[2020:11:27-01:29:30]  (Local) -> (LOCAL)[1]|EVG|Soltec: nada
[2020:11:27-01:29:32]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: bruh
[2020:11:27-01:29:34]  (Global) -> #7F7F7F|CVR|#FF0000Megu: dame M (BUM)daesrewaint
[2020:11:27-01:29:35]  (Local) -> (LOCAL)[1]CAPUCone: wtf
[2020:11:27-01:29:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: q mierda
[2020:11:27-01:29:36]  (Local) -> (LOCAL)[2]Cheverry: y yo q cojones
