This file was generated by Console at 2020:11:11-00:00:00



[2020:11:11-00:00:00]  (Global) -> 2cB'Sant:D: NA DJ CALLESE  HP
[2020:11:11-00:00:05]  (Global) -> 2cb|ZACK|: wii
[2020:11:11-02:53:48]  (Local) -> (LOCAL)[2][Zetas]'Londo: nuevo?
[2020:11:11-02:53:50]  (Local) -> (LOCAL)[15][EVG]alexispagedj: boy
[2020:11:11-02:53:50]  (Local) -> (LOCAL)[2]IceWipe: si
[2020:11:11-02:53:52]  (Local) -> (LOCAL)[2]Tonygamerxdpro999: SI
[2020:11:11-02:53:53]  (Local) -> (LOCAL)[1](Z)LOKILLO: va a tocar
[2020:11:11-02:53:53]  (Local) -> (LOCAL)[15][EVG]JuanPablo: dele
[2020:11:11-02:53:53]  (Global) -> paulo.mafiaa: MANDELE LA ENVITASION
[2020:11:11-02:53:54]  (Local) -> (LOCAL)[2][Zetas]'Londo: que necesita
[2020:11:11-02:53:56]  (Local) -> (LOCAL)[3]MZ/VendoArepas: cabezon
[2020:11:11-02:53:56]  (Local) -> (LOCAL)[6]2cb'pablitopai: ey
[2020:11:11-02:53:57]  (Local) -> (LOCAL)[1]2cb*kevin: y porq no queria que lo mataran tambien
[2020:11:11-02:53:57]  (Local) -> (LOCAL)[15]|DJ|Pastelo):: wow fransin
[2020:11:11-02:53:58]  (Local) -> (LOCAL)[3]IceWipe: le dañaron
[2020:11:11-02:53:59]  (Local) -> (LOCAL)[3]IceWipe: el carro
[2020:11:11-02:54:01]  (Local) -> (LOCAL)[1][BGW]CARDING: nah
[2020:11:11-02:54:01]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00~Piskero~2cb: ojala pusieran top kills
[2020:11:11-02:54:02]  (Local) -> (LOCAL)[1]Tartarus: A QUE NO ME DAS
[2020:11:11-02:54:02]  (Local) -> (LOCAL)[4][Zetas]'Londo: a
[2020:11:11-02:54:02]  (Local) -> (LOCAL)[4]IceWipe: no sabe como sacarlo
[2020:11:11-02:54:05]  (Local) -> (LOCAL)[3]MZ/VendoArepas: vendo arepitas baratas
[2020:11:11-02:54:05]  (Local) -> (LOCAL)[1](Z)LOKILLO: no tneog ni gasolian ni reparados ni nada
[2020:11:11-02:54:06]  (Local) -> (LOCAL)[2]CAPU.|.penecabezon: a
[2020:11:11-02:54:06]  (Local) -> (LOCAL)[6]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: :(
[2020:11:11-02:54:07]  (Local) -> (LOCAL)[1][BGW]CARDING: a mi no me matan facilw
[2020:11:11-02:54:08]  (Local) -> (LOCAL)[1](Z)LOKILLO: vmaosa pie
[2020:11:11-02:54:11]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: hey me dejan ver
[2020:11:11-02:54:12]  (Global) -> #7F7F7F|CVR|#FF0000Francine98:  ������
[2020:11:11-02:54:14]  (Local) -> (LOCAL)[2][Zetas]'Londo: salgase
[2020:11:11-02:54:14]  (Local) -> (LOCAL)[2]IceWipe: listo
[2020:11:11-02:54:16]  (Local) -> (LOCAL)[2]CAPU.|.penecabezon: comoasi
[2020:11:11-02:54:17]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: vamos
[2020:11:11-02:54:17]  (Global) -> |DJ|Pastelo):: n0
[2020:11:11-02:54:17]  (Local) -> (LOCAL)[6]2cb'pablitopai: como soluciono el q se me pone el coursor invisible
[2020:11:11-02:54:19]  (Local) -> (LOCAL)[3][Zetas]'Londo: salgase
[2020:11:11-02:54:20]  (Local) -> (LOCAL)[2]MZ/VendoArepas: vendo arepas
[2020:11:11-02:54:23]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: si ok entiendo
[2020:11:11-02:54:23]  (Local) -> (LOCAL)[5]IceWipe: deja que te lo arregle
[2020:11:11-02:54:25]  (Local) -> (LOCAL)[14]EVG|ElCucho: como es la clave?
[2020:11:11-02:54:26]  (Local) -> (LOCAL)[1]IceWipe: para
[2020:11:11-02:54:27]  (Local) -> (LOCAL)[5]|2cb|-MAX-_-: m
[2020:11:11-02:54:27]  (Local) -> (LOCAL)[4]CAPU.|.penecabezon: le
[2020:11:11-02:54:30]  (Local) -> (LOCAL)[14][EVG]JuanPablo: uy que paso
[2020:11:11-02:54:30]  (Local) -> (LOCAL)[4]CAPU.|.penecabezon: ale
[2020:11:11-02:54:31]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00~Piskero~2cb: dele m
[2020:11:11-02:54:31]  (Local) -> (LOCAL)[1]IceWipe: sube
[2020:11:11-02:54:32]  (Global) -> [EVG].DJ-NICO-PRESTIGE: w
[2020:11:11-02:54:32]  (Local) -> (LOCAL)[5]2cb'pablitopai: como soluciono eso
[2020:11:11-02:54:33]  (Local) -> (LOCAL)[4]MZ/VendoArepas: me compras
[2020:11:11-02:54:34]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: esos Lr
[2020:11:11-02:54:34]  (Local) -> (LOCAL)[5]2cb*kevin: ahora s que menos voy acomprar un auto
[2020:11:11-02:54:37]  (Local) -> (LOCAL)[2]Tartarus: MONTE
[2020:11:11-02:54:38]  (Local) -> (LOCAL)[1](Z)LOKILLO: ahsta slo santos
[2020:11:11-02:54:40]  (Local) -> (LOCAL)[14]EVG|ElCucho: como es la clave?
[2020:11:11-02:54:40]  (Local) -> (LOCAL)[2]Tartarus: NECESITA LINK
[2020:11:11-02:54:40]  (Local) -> (LOCAL)[5]2cb'pablitopai: no,pero es fuera del juego
[2020:11:11-02:54:41]  (Local) -> (LOCAL)[14][EVG].DJ-NICO-PRESTIGE: no puedo sacar la barrita inclinada
[2020:11:11-02:54:42]  (Local) -> (LOCAL)[4]CAPU.|.penecabezon: deme 2
[2020:11:11-02:54:42]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00~Piskero~2cb: ponga gata oficial
[2020:11:11-02:54:42]  (Local) -> (LOCAL)[2]MontesSicario: siii
[2020:11:11-02:54:42]  (Local) -> (LOCAL)[4]MZ/VendoArepas: qndo mas pobre que niño en africa govn
[2020:11:11-02:54:42]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: pille ese tal pablo
[2020:11:11-02:54:43]  (Global) -> [BRAYAN]: FRANCINE AYUDA A UN AMIGO
[2020:11:11-02:54:44]  (Local) -> (LOCAL)[1](Z)LOKILLO: o al hsopital
[2020:11:11-02:54:44]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: la chimba
[2020:11:11-02:54:47]  (Local) -> (LOCAL)[1](Z)LOKILLO: XD
[2020:11:11-02:54:48]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: vea job de tombos
[2020:11:11-02:54:48]  (Local) -> (LOCAL)[1][Zetas]'Londo: nao nao
[2020:11:11-02:54:48]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00~Piskero~2cb: q paso
[2020:11:11-02:54:49]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: qn pa reclutarlo ya
[2020:11:11-02:54:49]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: vamos
[2020:11:11-02:54:51]  (Global) -> S!carioo: ESTAS EN ALGUNA OTRA GANG OSCAR? 
[2020:11:11-02:54:52]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00~Piskero~2cb: vamos
[2020:11:11-02:54:52]  (Local) -> (LOCAL)[4]MZ/VendoArepas: dos paqueticos
[2020:11:11-02:54:54]  (Local) -> (LOCAL)[3][Zetas]'Londo: salgase
[2020:11:11-02:54:54]  (Global) -> [BRAYAN]: SELLAMA ALEJO
[2020:11:11-02:54:55]  (Local) -> (LOCAL)[5]2cb'pablitopai: a quien
[2020:11:11-02:54:55]  (Local) -> (LOCAL)[14]#7F7F7F|CVR||DJ|#FF5C00Jimenez: Salte
[2020:11:11-02:54:56]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: maneje ud pero
[2020:11:11-02:54:56]  (Local) -> (LOCAL)[4]MZ/VendoArepas: de arepas normales?
[2020:11:11-02:54:57]  (Local) -> (LOCAL)[2]oscar_gonzalez: no
[2020:11:11-02:54:58]  (Local) -> (LOCAL)[5]2cb'pablitopai: yo voy
[2020:11:11-02:54:58]  (Local) -> (LOCAL)[2]IceWipe: q pereza
[2020:11:11-02:54:58]  (Local) -> (LOCAL)[4]MZ/VendoArepas: o chocolo
[2020:11:11-02:54:59]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF5C00EVG|Orgalor: losiento
[2020:11:11-02:54:59]  (Local) -> (LOCAL)[5][BGW]CARDING: QUE CARRO QUIERE
[2020:11:11-02:54:59]  (Local) -> (LOCAL)[4]CAPU.|.penecabezon: si apa
[2020:11:11-02:55:00]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: que tiene ru amigo
[2020:11:11-02:55:00]  (Local) -> (LOCAL)[2]IceWipe: ya se acabo mi vip
[2020:11:11-02:55:02]  (Global) -> 2cbCoronel_Mario: pero que putas aaj
[2020:11:11-02:55:03]  (Local) -> (LOCAL)[1]Z|MARIANA: aaa que mal
[2020:11:11-02:55:03]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: esta en bigear
[2020:11:11-02:55:04]  (Local) -> (LOCAL)[2]Tartarus: como ahces eso
[2020:11:11-02:55:04]  (Local) -> (LOCAL)[5]|2cb|-MAX-_-: alt + tabulador
[2020:11:11-02:55:05]  (Local) -> (LOCAL)[5]2cb*kevin: nose
[2020:11:11-02:55:05]  (Local) -> (LOCAL)[2]IceWipe: ya
[2020:11:11-02:55:06]  (Local) -> (LOCAL)[14][EVG]JuanPablo: hey
[2020:11:11-02:55:07]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00~Piskero~2cb: ja
[2020:11:11-02:55:08]  (Local) -> (LOCAL)[5]2cb'pablitopai: a quien
[2020:11:11-02:55:08]  (Local) -> (LOCAL)[5]CAPU.|.penecabezon: normales seño
[2020:11:11-02:55:11]  (Local) -> (LOCAL)[2]S!carioo: PAULO PUDO HOY
[2020:11:11-02:55:12]  (Team - Unemployed) -> (TEAM)[EVG]alexispagedj: /entrarevento ricardo123
[2020:11:11-02:55:12]  (Local) -> (LOCAL)[7]MZ/VendoArepas: a gueno
[2020:11:11-02:55:14]  (Local) -> (LOCAL)[6]Tartarus: como hace eso?
[2020:11:11-02:55:14]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: PAblo
[2020:11:11-02:55:14]  (Local) -> (LOCAL)[3][BRAYAN]: ESTA DEBAJO DEL PISO
[2020:11:11-02:55:14]  (Local) -> (LOCAL)[14][EVG]juann: xdddddddddd
[2020:11:11-02:55:15]  (Local) -> (LOCAL)[5]2cb'pablitopai: cual es el nick
[2020:11:11-02:55:15]  (Local) -> (LOCAL)[14]EVG|Jhojan: xao pato
[2020:11:11-02:55:15]  (Local) -> (LOCAL)[14]#7F7F7F|CVR||DJ|#FF5C00Jimenez: vuelva entrar al evento
[2020:11:11-02:55:16]  (Global) -> #7F7F7F|CVR|#FF5C00~Piskero~2cb: XD
[2020:11:11-02:55:16]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: se llama
[2020:11:11-02:55:17]  (Local) -> (LOCAL)[14][EVG]JuanPablo: me buguee?
[2020:11:11-02:55:17]  (Local) -> (LOCAL)[2]S!carioo: VOS SOS EL UNICO AL QUE NO LE ANDA
[2020:11:11-02:55:17]  (Global) -> Diosmedez: dsd
[2020:11:11-02:55:18]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: yap
[2020:11:11-02:55:19]  (Local) -> (LOCAL)[3]Tonygamerxdpro999: hay gracias
[2020:11:11-02:55:19]  (Global) -> #7F7F7F|CVR|#FF5C00~Piskero~2cb: ey
[2020:11:11-02:55:20]  (Local) -> (LOCAL)[4]elvisconti: que
[2020:11:11-02:55:20]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: uy gonorrea no saque 100 en las icfes y igual me toco ser tombo
[2020:11:11-02:55:20]  (Local) -> (LOCAL)[4]2cb*kevin: nose
[2020:11:11-02:55:22]  (Local) -> (LOCAL)[1](Z)LOKILLO: vamso
[2020:11:11-02:55:22]  (Local) -> (LOCAL)[4]MontesSicario: vengta pa ca
[2020:11:11-02:55:22]  (Global) -> #7F7F7F|CVR|#FF5C00~Piskero~2cb: dijeron la pass por team
[2020:11:11-02:55:23]  (Local) -> (LOCAL)[3][BRAYAN]: GRASIAS
[2020:11:11-02:55:27]  (Global) -> BGW-SANTI: olee
[2020:11:11-02:55:27]  (Local) -> (LOCAL)[1](POPEYE): si
[2020:11:11-02:55:27]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: dale bien
[2020:11:11-02:55:27]  (Global) -> #7F7F7F|CVR|#FF5C00~Piskero~2cb: jajjjj
[2020:11:11-02:55:28]  (Local) -> (LOCAL)[4]CAPU.|.penecabezon: wtf
[2020:11:11-02:55:28]  (Local) -> (LOCAL)[4][BGW]CARDING: MMM
[2020:11:11-02:55:29]  (Global) -> [EVG].DJ-NICO-PRESTIGE: mmm\
[2020:11:11-02:55:29]  (Local) -> (LOCAL)[2]S!carioo: APRETA F2 Y FIJATE SI TE APARECE LA INVITACION
[2020:11:11-02:55:29]  (Local) -> (LOCAL)[1](Z)LOKILLO: XD
[2020:11:11-02:55:29]  (Local) -> (LOCAL)[3]MontesSicario: me cubro y corro
[2020:11:11-02:55:30]  (Local) -> (LOCAL)[13]#7F7F7F|CVR||DJ|#FF5C00Jimenez: vuelve a entra
[2020:11:11-02:55:33]  (Local) -> (LOCAL)[2]oscar_gonzalez: depronto es mi pc
[2020:11:11-02:55:34]  (Global) -> BGW-SANTI: usted es jj gamer
[2020:11:11-02:55:36]  (Local) -> (LOCAL)[4]Tartarus: como q se cubre
[2020:11:11-02:55:38]  (Local) -> (LOCAL)[1](POPEYE): no
[2020:11:11-02:55:40]  (Local) -> (LOCAL)[13][EVG]juann: gracias xddd
[2020:11:11-02:55:42]  (Local) -> (LOCAL)[4]2cb*kevin: cualquier cosa esta bien desde que pueda escapar con el
[2020:11:11-02:55:42]  (Local) -> (LOCAL)[4]MZ/VendoArepas: *se los da*
[2020:11:11-02:55:43]  (Local) -> (LOCAL)[1](Z)LOKILLO: tod por no irno a pie XD
[2020:11:11-02:55:43]  (Global) -> paulo.mafiaa: no medega pa
[2020:11:11-02:55:43]  (Local) -> (LOCAL)[2]MontesSicario: es bug segun lo que me dijeron
[2020:11:11-02:55:45]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00~Piskero~2cb: vamos bigear
[2020:11:11-02:55:46]  (Team - Services) -> (TEAM)[BRAYAN]: PERDON
[2020:11:11-02:55:46]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: usted como le fue en las icfes ?
[2020:11:11-02:55:47]  (Global) -> elvisconti: sueltenme
[2020:11:11-02:55:49]  (Local) -> (LOCAL)[2]Tartarus: se cubre?
[2020:11:11-02:55:49]  (Local) -> (LOCAL)[2]MontesSicario: Con shif y click
[2020:11:11-02:55:49]  (Local) -> (LOCAL)[2][Zetas]'Londo: este carro esta muy feo mano xd hay mejores baratos
[2020:11:11-02:55:50]  (Local) -> (LOCAL)[13]EVG|Jhojan: todo bn
[2020:11:11-02:55:52]  (Local) -> (LOCAL)[2]MZ/VendoArepas: pa son dos lucas dosiento
[2020:11:11-02:55:53]  (Local) -> (LOCAL)[3]Tartarus: cual clok
[2020:11:11-02:55:53]  (Local) -> (LOCAL)[1](Z)LOKILLO: no mk
[2020:11:11-02:55:55]  (Local) -> (LOCAL)[5]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: cuanto cuesta esto
[2020:11:11-02:55:55]  (Local) -> (LOCAL)[3]MontesSicario: click derecho
[2020:11:11-02:55:56]  (Local) -> (LOCAL)[2]S!carioo: QUE NO TE DEJA PAULO
[2020:11:11-02:55:57]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF5C00EVG|Orgalor: a
[2020:11:11-02:56:00]  (Local) -> (LOCAL)[1](Z)LOKILLO: yo no es presentaod esa modna
[2020:11:11-02:56:01]  (Local) -> (LOCAL)[13]EVG|Jhojan: /skingang
[2020:11:11-02:56:03]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: como 7 palos o 8
[2020:11:11-02:56:03]  (Local) -> (LOCAL)[13]EVG|Jhojan: /skingang
[2020:11:11-02:56:04]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: ai
[2020:11:11-02:56:05]  (Global) -> 2cB'TRAQUETO: bind ñ reclamar recompensas
[2020:11:11-02:56:05]  (Local) -> (LOCAL)[13][EVG]juann: /skingang
[2020:11:11-02:56:05]  (Local) -> (LOCAL)[3]2cb'pablitopai: creo q 8 palos
[2020:11:11-02:56:07]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: en que grado esta pues usted
[2020:11:11-02:56:09]  (Global) -> 2cB'TRAQUETO: xdd
[2020:11:11-02:56:09]  (Local) -> (LOCAL)[13]EVG|Jhojan: /skingang
[2020:11:11-02:56:12]  (Local) -> (LOCAL)[1]2cb*kevin: desde que me sirva para escapar
[2020:11:11-02:56:14]  (Local) -> (LOCAL)[2]IceWipe: la plena
[2020:11:11-02:56:14]  (Local) -> (LOCAL)[1](Z)LOKILLO: mk sweptimo
[2020:11:11-02:56:15]  (Local) -> (LOCAL)[13]EVG|Jhojan: /skingang
[2020:11:11-02:56:15]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: *le da 5 mil
[2020:11:11-02:56:15]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: joder lastima que tengo 60 palos
[2020:11:11-02:56:15]  (Team - Unemployed) -> (TEAM)[EVG]ThisisCalde: /skingang
[2020:11:11-02:56:17]  (Local) -> (LOCAL)[3]MontesSicario: hay veces me sale
[2020:11:11-02:56:17]  (Local) -> (LOCAL)[2]oscar_gonzalez: no pude
[2020:11:11-02:56:19]  (Local) -> (LOCAL)[2]MontesSicario: otra veces no
[2020:11:11-02:56:20]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: hey
[2020:11:11-02:56:21]  (Local) -> (LOCAL)[2]MZ/VendoArepas: melon
[2020:11:11-02:56:22]  (Local) -> (LOCAL)[2][Zetas]'Londo: f
[2020:11:11-02:56:23]  (Local) -> (LOCAL)[3]2cb'pablitopai: uy k
[2020:11:11-02:56:24]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: ay gonorrea yo soy un hpta anciano
[2020:11:11-02:56:24]  (Local) -> (LOCAL)[2][Zetas]'Londo: f
[2020:11:11-02:56:24]  (Local) -> (LOCAL)[3][BGW]CARDING: qe carros tienes
[2020:11:11-02:56:24]  (Local) -> (LOCAL)[2]MontesSicario: ajajaj
[2020:11:11-02:56:25]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: de donde sacas todo eso
[2020:11:11-02:56:25]  (Local) -> (LOCAL)[3][EVG]JuanPablo: parce que pasa}
[2020:11:11-02:56:27]  (Local) -> (LOCAL)[2]MontesSicario: probecito
[2020:11:11-02:56:28]  (Local) -> (LOCAL)[2]MZ/VendoArepas: oe
[2020:11:11-02:56:28]  (Local) -> (LOCAL)[3]2cb'pablitopai: como consigui plata
[2020:11:11-02:56:28]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: ni yo se
[2020:11:11-02:56:28]  (Local) -> (LOCAL)[2]MontesSicario: ASDHASJDAJ
[2020:11:11-02:56:28]  (Global) -> [EVG]JuanPablo: orgalor
[2020:11:11-02:56:29]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: si te compraste la zorra
[2020:11:11-02:56:29]  (Local) -> (LOCAL)[1](Z)LOKILLO: XD
[2020:11:11-02:56:29]  (Local) -> (LOCAL)[2]CAPU.|.penecabezon: melo seño dios le pague
[2020:11:11-02:56:30]  (Local) -> (LOCAL)[1]2cb*kevin: ninguno
[2020:11:11-02:56:31]  (Local) -> (LOCAL)[2]Tartarus: jJAJAJAJJAJAJAJAAJ
[2020:11:11-02:56:31]  (Local) -> (LOCAL)[2]S!carioo: HAY TE DI OTRO RANGO
[2020:11:11-02:56:31]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: :_:
[2020:11:11-02:56:32]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: jajjj
[2020:11:11-02:56:33]  (Local) -> (LOCAL)[2]Tartarus: que pecao mk
[2020:11:11-02:56:33]  (Local) -> (LOCAL)[3]MontesSicario: bueno creo que m,e voy
[2020:11:11-02:56:34]  (Local) -> (LOCAL)[1](Z)LOKILLO: sted ya slaio
[2020:11:11-02:56:34]  (Global) -> [EVG]JuanPablo: por que estoy bugueadp
[2020:11:11-02:56:35]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: a
[2020:11:11-02:56:35]  (Local) -> (LOCAL)[3]MontesSicario: xao
[2020:11:11-02:56:35]  (Local) -> (LOCAL)[2]Tonygamerxdpro999: me arregla mi coche
[2020:11:11-02:56:36]  (Local) -> (LOCAL)[2]S!carioo: FIJATE SI PODES A HORA
[2020:11:11-02:56:37]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: Szs
[2020:11:11-02:56:37]  (Local) -> (LOCAL)[3]MZ/VendoArepas: uno no puede bugear esta anim?
[2020:11:11-02:56:37]  (Local) -> (LOCAL)[2]IceWipe: cuanto le costo este?
[2020:11:11-02:56:39]  (Local) -> (LOCAL)[3]2cb'pablitopai: se roba la plata del panel
[2020:11:11-02:56:39]  (Local) -> (LOCAL)[1][BGW]CARDING: ahora miro
[2020:11:11-02:56:39]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: jajj
[2020:11:11-02:56:39]  (Local) -> (LOCAL)[1](Z)LOKILLO: Xd
[2020:11:11-02:56:39]  (Local) -> (LOCAL)[1]2cb'ratix: a
[2020:11:11-02:56:40]  (Local) -> (LOCAL)[2]Tartarus: le envio eso ´por wpp
[2020:11:11-02:56:40]  (Local) -> (LOCAL)[2][Zetas]'Londo: espere 2 min
[2020:11:11-02:56:41]  (Local) -> (LOCAL)[13][EVG]JhonGomez: /entrarevento ricardo123
[2020:11:11-02:56:42]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Jimenez: Por la skin Xdd
[2020:11:11-02:56:43]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: de tanto evento
[2020:11:11-02:56:43]  (Local) -> (LOCAL)[1][BGW]CARDING: si tienes o no
[2020:11:11-02:56:44]  (Local) -> (LOCAL)[5]MZ/VendoArepas: pa andar asi
[2020:11:11-02:56:44]  (Local) -> (LOCAL)[1](Z)LOKILLO: yo hasta arita empse Xd
[2020:11:11-02:56:46]  (Global) -> [EVG]JuanPablo: mierda
[2020:11:11-02:56:48]  (Local) -> (LOCAL)[13][EVG]alexispagedj: no mor
[2020:11:11-02:56:49]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: si creo
[2020:11:11-02:56:49]  (Local) -> (LOCAL)[1](Z)LOKILLO: voy en el seugndo
[2020:11:11-02:56:49]  (Local) -> (LOCAL)[4]CAPU.|.penecabezon: no c
[2020:11:11-02:56:50]  (Local) -> (LOCAL)[13][EVG]juann: no sirve el menu de k?
[2020:11:11-02:56:52]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: creo que no
[2020:11:11-02:56:52]  (Local) -> (LOCAL)[13][EVG]alexispagedj: relajese
[2020:11:11-02:56:54]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: almenos no embaraze a una pela a los 14
[2020:11:11-02:56:55]  (Local) -> (LOCAL)[2]IceWipe: falta trabajo de mecanico
[2020:11:11-02:56:57]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: ola
[2020:11:11-02:56:58]  (Global) -> [EVG]JuanPablo: que hago hay entonces?
[2020:11:11-02:56:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: yo tengo clips diciendo
[2020:11:11-02:57:00]  (Local) -> (LOCAL)[13][EVG]alexispagedj: metase y ya
[2020:11:11-02:57:01]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: ai
[2020:11:11-02:57:01]  (Local) -> (LOCAL)[1](Z)LOKILLO: Xd
[2020:11:11-02:57:03]  (Local) -> (LOCAL)[3]MontesSicario: XD
[2020:11:11-02:57:03]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: "racha de tussy en eventos"
[2020:11:11-02:57:04]  (Local) -> (LOCAL)[2][Zetas]'Londo: ji
[2020:11:11-02:57:04]  (Global) -> #005F55|#00D3BDLG#005F55|#FF5C00[EVG]RicardoJorge: Pablo, si estas bugueado dale kill
[2020:11:11-02:57:04]  (Local) -> (LOCAL)[13]EVG|Jhojan: salgace de la gang q tiene actualmente
[2020:11:11-02:57:05]  (Local) -> (LOCAL)[1]2cb'SrTomate: oe
[2020:11:11-02:57:06]  (Local) -> (LOCAL)[1](Z)LOKILLO: juptua vago
[2020:11:11-02:57:07]  (Local) -> (LOCAL)[3]CAPU.|.penecabezon: portoso
[2020:11:11-02:57:08]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: muxos clips jajj
[2020:11:11-02:57:08]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: siii
[2020:11:11-02:57:11]  (Local) -> (LOCAL)[1](Z)LOKILLO: XD
[2020:11:11-02:57:15]  (Local) -> (LOCAL)[4][Zetas]MAJACA: UY
[2020:11:11-02:57:16]  (Local) -> (LOCAL)[1]2cb'SrTomate: parqueelo bien
[2020:11:11-02:57:16]  (Local) -> (LOCAL)[1][BGW]CARDING: unase a bgw
[2020:11:11-02:57:16]  (Global) -> [EVG]JuanPablo: me dice no puedes si estas arrestado
[2020:11:11-02:57:16]  (Local) -> (LOCAL)[13][EVG]alexispagedj: dele /resign y despues /skingang
[2020:11:11-02:57:17]  (Local) -> (LOCAL)[3]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: hoy gane los 3 q hicieron
[2020:11:11-02:57:18]  (Local) -> (LOCAL)[2][Zetas]'Londo: tony le recomiendo por ahora que trabaje lo mas que pueda
[2020:11:11-02:57:18]  (Local) -> (LOCAL)[1]|Z|ChicoStunt: oe que paso JAJJAJAJAJA
[2020:11:11-02:57:23]  (Local) -> (LOCAL)[1](Z)LOKILLO: no se Xd
[2020:11:11-02:57:24]  (Local) -> (LOCAL)[5]CAPU.|.penecabezon: que pasa pa
[2020:11:11-02:57:24]  (Local) -> (LOCAL)[5][Zetas]MAJACA: lindos
[2020:11:11-02:57:24]  (Global) -> [EVG]JuanPablo: me esperan para el evento y reconecto
[2020:11:11-02:57:25]  (Local) -> (LOCAL)[5]MontesSicario: cuales son esas animaciones?
[2020:11:11-02:57:25]  (Local) -> (LOCAL)[1](Z)LOKILLO: el die nte
[2020:11:11-02:57:26]  (Global) -> #005F55|#00D3BDLG#005F55|#FF5C00[EVG]RicardoJorge: dame un segundo
[2020:11:11-02:57:26]  (Local) -> (LOCAL)[2]IceWipe: full piloto
[2020:11:11-02:57:26]  (Global) -> paulo.mafiaa: tno
[2020:11:11-02:57:28]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00~Piskero~2cb: ayer tmb gano las dos purgas y una carrera
