This file was generated by Console at 2020:09:10-00:00:00



[2020:09:10-00:00:00]  (Global) -> dilan: Patches
[2020:09:10-02:41:46]  (Global) -> Jhaideru_u: hagale
[2020:09:10-02:41:46]  (Local) -> (LOCAL)[23]FelipeV: jjaja
[2020:09:10-02:41:46]  (Global) -> |DV|Carding999: oee camilo
[2020:09:10-02:41:46]  (Local) -> (LOCAL)[23]Judas?Iscariotes: sobelo
[2020:09:10-02:41:49]  (Local) -> (LOCAL)[23]FelipeV: llorelo
[2020:09:10-02:41:53]  (Local) -> (LOCAL)[8][$BABY$]Sebls: Uy nea
[2020:09:10-02:41:55]  (Local) -> (LOCAL)[0]CageyDeckchair53: hola
[2020:09:10-02:41:56]  (Global) -> Jhaideru_u: un plom 
[2020:09:10-02:41:59]  (Global) -> (F.A.R.C)Huevardo: ok
[2020:09:10-02:41:59]  (Local) -> (LOCAL)[23]Judas?Iscariotes: ok guapo
[2020:09:10-02:41:59]  (Local) -> (LOCAL)[23]Orgalor: mejor
[2020:09:10-02:42:00]  (Global) -> elLoquito: si señor
[2020:09:10-02:42:00]  (Local) -> (LOCAL)[7][$BABY$]Sebls: No me acordaba de esta skin de venezolana
[2020:09:10-02:42:02]  (Local) -> (LOCAL)[22]#7F7F7F|CVR|#A9A9A9 Francine98: sí señor bala
[2020:09:10-02:42:03]  (Global) -> [S.A.S][C]Royal: Alguien me dice como abro la puerta trasera de un cargobob
[2020:09:10-02:42:04]  (Local) -> (LOCAL)[22]Orgalor: callao
[2020:09:10-02:42:04]  (Local) -> (LOCAL)[0]CageyDeckchair53: hola
[2020:09:10-02:42:06]  (Local) -> (LOCAL)[22]Orgalor: sky
[2020:09:10-02:42:08]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: JAJAJAJ la veneca
[2020:09:10-02:42:11]  (Global) -> [GT]OLAVE: no se puede
[2020:09:10-02:42:12]  (Global) -> elLoquito: si señor
[2020:09:10-02:42:13]  (Local) -> (LOCAL)[22]Orgalor: ok señor
[2020:09:10-02:42:14]  (Global) -> [DV]CamiloSZ: quieto
[2020:09:10-02:42:20]  (Global) -> (F.A.R.C)Huevardo: pero si es de anime la skin
[2020:09:10-02:42:20]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Sentemonos mientras
[2020:09:10-02:42:21]  (Local) -> (LOCAL)[22]Orgalor: graccias
[2020:09:10-02:42:21]  (Global) -> (CT.S)MAURO: oe
[2020:09:10-02:42:22]  (Local) -> (LOCAL)[22][COSTELAND]Briham: SI SEÑOR
[2020:09:10-02:42:23]  (Local) -> (LOCAL)[22]Judas?Iscariotes: te dolio cuato te caites del cielo? guapo
[2020:09:10-02:42:25]  (Global) -> (CT.S)MAURO: espere
[2020:09:10-02:42:27]  (Local) -> (LOCAL)[6]dilan: nao nao amigao
[2020:09:10-02:42:27]  (Local) -> (LOCAL)[22][COSTELAND]Briham: A LA ORDEN PAL DESORDEN
[2020:09:10-02:42:28]  (Local) -> (LOCAL)[6]Capitanllanerito: meros temas
[2020:09:10-02:42:29]  (Global) -> GT|~[TOXIC]~: bala con respecto a lo de saltar camino
[2020:09:10-02:42:36]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: pitalito drift club xdd
[2020:09:10-02:42:40]  (Global) -> FelipeV: los mejores pa
[2020:09:10-02:42:41]  (Team - Unemployed) -> (TEAM)Jmcastro: /
[2020:09:10-02:42:43]  (Global) -> TUERTO: VENDO CARRO WINDSORD FULL TUNIG 
[2020:09:10-02:42:46]  (Global) -> #7F7F7F|CVR|#A9A9A9 Francine98: CUCK
[2020:09:10-02:42:48]  (Local) -> (LOCAL)[5]dilan: aqui la chupan gratis?
[2020:09:10-02:42:50]  (Global) -> elLoquito: ola
[2020:09:10-02:42:51]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Y entonces cómo te va en la vida
[2020:09:10-02:42:51]  (Local) -> (LOCAL)[23][COSTELAND]Briham: CAZA
[2020:09:10-02:42:51]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:42:51]  (Local) -> (LOCAL)[23]Judas?Iscariotes: Judas?Iscariotes
[2020:09:10-02:42:57]  (Global) -> lapaja: epa
[2020:09:10-02:42:58]  (Global) -> GT|~[TOXIC]~: ?????
[2020:09:10-02:42:58]  (Global) -> (F.A.R.C)Huevardo: maso
[2020:09:10-02:43:01]  (Global) -> NicolasMaduro: tombo malparido
[2020:09:10-02:43:03]  (Local) -> (LOCAL)[24][COSTELAND]Briham: banearon al pana tello
[2020:09:10-02:43:04]  (Global) -> lapaja: epa hpt
[2020:09:10-02:43:05]  (Local) -> (LOCAL)[24]Orgalor: bala una pregunta si depronto nos salimos del camino sin culpa podemos volver a la pista?
[2020:09:10-02:43:06]  (Global) -> Haski_Scott: jmm se acabó el peaje gratis, eso ya está bueno :c
[2020:09:10-02:43:07]  (Global) -> #7F7F7F|CVR|#FF0000Kreator: HOLA QIEN GANÓ
[2020:09:10-02:43:07]  (Local) -> (LOCAL)[23]GT|~[Beltran-Driftero]: melo
[2020:09:10-02:43:07]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: ¿Y eso por qué?
[2020:09:10-02:43:09]  (Global) -> GT|~[TOXIC]~: ?????
[2020:09:10-02:43:10]  (Local) -> (LOCAL)[25]GT|Cheverry: pan de luka somos nosotros bala
[2020:09:10-02:43:11]  (Local) -> (LOCAL)[25]Judas?Iscariotes: y0
[2020:09:10-02:43:12]  (Global) -> elLoquito: xd
[2020:09:10-02:43:12]  (Global) -> Jhaideru_u: sirvala
[2020:09:10-02:43:12]  (Local) -> (LOCAL)[4](DV)ESCOBAR: sbaaa bro
[2020:09:10-02:43:12]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:43:13]  (Local) -> (LOCAL)[25][COSTELAND]Briham: dile a bala pa que lo desbanee
[2020:09:10-02:43:14]  (Global) -> (F.A.R.C)Huevardo: solo juego este juego por es en lo unco soy bueno
[2020:09:10-02:43:16]  (Global) -> NicolasMaduro: vaya agarrele la qk a su madre malparido
[2020:09:10-02:43:16]  (Local) -> (LOCAL)[25][EVG]ElChapo: nosotros eramos pan de luka
[2020:09:10-02:43:21]  (Global) -> lapaja: ojala q a su tia le den por ese culo
[2020:09:10-02:43:23]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Naaah
[2020:09:10-02:43:23]  (Local) -> (LOCAL)[25]Orgalor: bala una pregunta si depronto nos salimos del camino sin culpa podemos volver a la pista?
[2020:09:10-02:43:23]  (Local) -> (LOCAL)[1]Fisher: q mas
[2020:09:10-02:43:24]  (Local) -> (LOCAL)[25][COSTELAND]Briham: me estaba esperando en un carro
[2020:09:10-02:43:26]  (Global) -> (F.A.R.C)Huevardo: si
[2020:09:10-02:43:27]  (Local) -> (LOCAL)[25]kana: oe sin adelantar por la arena
[2020:09:10-02:43:27]  (Global) -> #7F7F7F|CVR|#FF0000Kreator: euy ud pq tiene esa skin
[2020:09:10-02:43:30]  (Global) -> MagsayRayas: neibor
[2020:09:10-02:43:30]  (Local) -> (LOCAL)[1](DV)ESCOBAR: bien
[2020:09:10-02:43:31]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Debe haber algo más
[2020:09:10-02:43:32]  (Local) -> (LOCAL)[25]GT|Cheverry: pan de luka somos nosotros bala
[2020:09:10-02:43:35]  (Local) -> (LOCAL)[25]Judas?Iscariotes: a
[2020:09:10-02:43:35]  (Global) -> MagsayRayas: q haces tomando en turno
[2020:09:10-02:43:35]  (Local) -> (LOCAL)[1]Fisher: pa donde
[2020:09:10-02:43:36]  (Global) -> (S.AS)(CAD)ANDRES: bien alineados 
[2020:09:10-02:43:37]  (Local) -> (LOCAL)[1](DV)ESCOBAR: quieres plata
[2020:09:10-02:43:37]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:43:38]  (Global) -> ELCATREHP: presteme plata pa arreglar la moto
[2020:09:10-02:43:38]  (Local) -> (LOCAL)[1][$BABY$]Sebls: Buenas noches
[2020:09:10-02:43:40]  (Local) -> (LOCAL)[1]Fisher: de una
[2020:09:10-02:43:41]  (Local) -> (LOCAL)[1](DV)soplaputas: oe
[2020:09:10-02:43:41]  (Local) -> (LOCAL)[25][COSTELAND]Briham: porque soy un niño especial
[2020:09:10-02:43:41]  (Team - Criminals) -> (TEAM)NegroCachondo: OE
[2020:09:10-02:43:41]  (Local) -> (LOCAL)[25]GT|~[Beltran-Driftero]: entonces ponganos pan de 2 mil
[2020:09:10-02:43:42]  (Local) -> (LOCAL)[1](DV)ESCOBAR: ??
[2020:09:10-02:43:43]  (Global) -> Jhaideru_u: xdddd
[2020:09:10-02:43:43]  (Local) -> (LOCAL)[2][GT]OLAVE: nop
[2020:09:10-02:43:44]  (Global) -> NegroCachondo: oe
[2020:09:10-02:43:45]  (Local) -> (LOCAL)[1]Fisher: q toca hacer
[2020:09:10-02:43:46]  (Global) -> Elcarlitos: buenas caballerp
[2020:09:10-02:43:47]  (Local) -> (LOCAL)[25]GT|~[Beltran-Driftero]: bres
[2020:09:10-02:43:47]  (Global) -> |DV|Carding999: oee
[2020:09:10-02:43:47]  (Global) -> NegroCachondo: que se dice
[2020:09:10-02:43:50]  (Local) -> (LOCAL)[25]Orgalor: mmm ok
[2020:09:10-02:43:52]  (Global) -> (F.A.R.C)Huevardo: pued no me la paso jugando desde las 5am hasta las 10pm
[2020:09:10-02:43:56]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:43:56]  (Local) -> (LOCAL)[24]GT|~[Beltran-Driftero]: entonces ponganos pan de 2 mil
[2020:09:10-02:43:57]  (Global) -> Jhaideru_u: escuche ese tema 
[2020:09:10-02:43:57]  (Local) -> (LOCAL)[24]Orgalor: toxic pregunte
[2020:09:10-02:43:59]  (Global) -> |DV|Carding999: como me cambio la ropa
[2020:09:10-02:44:00]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Breve
[2020:09:10-02:44:00]  (Local) -> (LOCAL)[24]GT|~[Beltran-Driftero]: bala
[2020:09:10-02:44:01]  (Global) -> marioruiz: .
[2020:09:10-02:44:02]  (Local) -> (LOCAL)[24]GT|~[Beltran-Driftero]: xd
[2020:09:10-02:44:02]  (Local) -> (LOCAL)[1](DV)ESCOBAR: cuanto tiene que en efectivo
[2020:09:10-02:44:03]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Yo también
[2020:09:10-02:44:03]  (Global) -> NegroCachondo: tengo 6 estrellas
[2020:09:10-02:44:03]  (Local) -> (LOCAL)[24]Orgalor: mira lo de toxic
[2020:09:10-02:44:06]  (Global) -> (F.A.R.C)Huevardo: ok
[2020:09:10-02:44:07]  (Local) -> (LOCAL)[8][S.A.S][C]JOSN: como le fue
[2020:09:10-02:44:08]  (Local) -> (LOCAL)[8][S.A.S][C]Royal: oe
[2020:09:10-02:44:08]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:44:08]  (Local) -> (LOCAL)[24]GT|~[Beltran-Driftero]: entonces ponganos pan de 2 mil
[2020:09:10-02:44:08]  (Global) -> |DV|Carding999: uy melo
[2020:09:10-02:44:09]  (Global) -> NegroCachondo: ./resing
[2020:09:10-02:44:12]  (Global) -> MagsayRayas: man no escucho nada xd
[2020:09:10-02:44:13]  (Team - Fuerzas Armadas) -> (TEAM)|S.A.S|C|M/N: cierren las puertas
[2020:09:10-02:44:14]  (Local) -> (LOCAL)[1]Fisher: poquito porque lo acabo de meter casi todo al banco
[2020:09:10-02:44:15]  (Global) -> NegroCachondo: sin el punto
[2020:09:10-02:44:15]  (Local) -> (LOCAL)[25]Orgalor: es evgt
[2020:09:10-02:44:16]  (Global) -> Jhaideru_u: peguelo socio 
[2020:09:10-02:44:17]  (Local) -> (LOCAL)[25]Orgalor: el nombre
[2020:09:10-02:44:18]  (Local) -> (LOCAL)[1]Fisher: como 10k
[2020:09:10-02:44:18]  (Local) -> (LOCAL)[25]GT|~[Beltran-Driftero]: Al de nosotros pan de 2 mil
[2020:09:10-02:44:19]  (Local) -> (LOCAL)[25][COSTELAND]Briham: ven y te sobo
[2020:09:10-02:44:20]  (Local) -> (LOCAL)[8][S.A.S][C]JOSN: aplausos
[2020:09:10-02:44:22]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:44:22]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Pero jugar todo el día no te hace un bueno para nada
[2020:09:10-02:44:26]  (Global) -> GT|~[TOXIC]~: ?????
[2020:09:10-02:44:28]  (Global) -> MagsayRayas: ahora se malviajo
[2020:09:10-02:44:31]  (Global) -> [COSTELAND]Briham: *lo soba*
[2020:09:10-02:44:31]  (Local) -> (LOCAL)[26]Judas?Iscariotes: uuuuf
[2020:09:10-02:44:32]  (Global) -> (F.A.R.C)Huevardo: no no es eso
[2020:09:10-02:44:33]  (Local) -> (LOCAL)[1](DV)ESCOBAR: entonces hay cuanto tiene
[2020:09:10-02:44:34]  (Local) -> (LOCAL)[26]Judas?Iscariotes: ricoo
[2020:09:10-02:44:37]  (Local) -> (LOCAL)[1][EVG]FIPPER: kitaron el sine
[2020:09:10-02:44:37]  (Global) -> (S.AS)(CAD)ANDRES: BUENAS
[2020:09:10-02:44:38]  (Local) -> (LOCAL)[26]Judas?Iscariotes: ese vip
[2020:09:10-02:44:38]  (Local) -> (LOCAL)[26]GT|~[Beltran-Driftero]: solo 5?:(
[2020:09:10-02:44:40]  (Global) -> #7F7F7F|CVR|#FF0000Kreator: hoal ya ganaron
[2020:09:10-02:44:40]  (Global) -> dilan: Tartarus en cuanto me vende este super gt
[2020:09:10-02:44:43]  (Local) -> (LOCAL)[1][EVG]FIPPER: mira como estoy de facha
[2020:09:10-02:44:43]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:44:43]  (Local) -> (LOCAL)[26]GT|~[Beltran-Driftero]: almenos 7 o 8
[2020:09:10-02:44:43]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#FF0000MenteMaestra: xd
[2020:09:10-02:44:44]  (Local) -> (LOCAL)[2]Fisher: a mano tengo 16k
[2020:09:10-02:44:44]  (Global) -> MagsayRayas: ole como me quito la borrachera?
[2020:09:10-02:44:44]  (Global) -> dilan: Tartarus en cuanto me vende este super gt
[2020:09:10-02:44:44]  (Local) -> (LOCAL)[7](CT.S)MAURO: oe
[2020:09:10-02:44:46]  (Local) -> (LOCAL)[26][CAPU]Pastor_Lopez777: aca es es el tropel
[2020:09:10-02:44:47]  (Global) -> dilan: Tartarus en cuanto me vende este super gt
[2020:09:10-02:44:47]  (Local) -> (LOCAL)[5][C.T.S]ELVIEJOJUANCHO: cureme
[2020:09:10-02:44:48]  (Local) -> (LOCAL)[26]Megu: que linda te ves Satania
[2020:09:10-02:44:48]  (Global) -> SlimMall78: hola soy nuevo como me cambio el nombreds
[2020:09:10-02:44:48]  (Global) -> GT|~[TOXIC]~: se puede adelantar curvas por la arena pero sin salir de la pista
[2020:09:10-02:44:49]  (Global) -> marioruiz: donde es el ebentooooo
[2020:09:10-02:44:49]  (Global) -> [Z]Tartarus: dilan[1]
[2020:09:10-02:44:51]  (Global) -> GT|~[TOXIC]~: ?????
[2020:09:10-02:44:52]  (Local) -> (LOCAL)[26][CAPU]Changua-Curiosa: tropel?
[2020:09:10-02:44:52]  (Local) -> (LOCAL)[26][CAPU]Pastor_Lopez777: aca es es el tropel
[2020:09:10-02:44:53]  (Local) -> (LOCAL)[26]GT|Cheverry: no
[2020:09:10-02:44:53]  (Local) -> (LOCAL)[7](CT.S)MAURO: una pregunta
[2020:09:10-02:44:53]  (Local) -> (LOCAL)[1][CAPU]Naomi09_smp: L
[2020:09:10-02:44:53]  (Local) -> (LOCAL)[26][CAPU]Pastor_Lopez777: aca es es el tropel
[2020:09:10-02:44:54]  (Global) -> [Z]Tartarus: caiga a groove
[2020:09:10-02:44:54]  (Local) -> (LOCAL)[26]Judas?Iscariotes: va pa esa
[2020:09:10-02:44:54]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#FF0000MenteMaestra: empezamos
[2020:09:10-02:44:56]  (Local) -> (LOCAL)[26][CAPU]Pastor_Lopez777: aca es es el tropel
[2020:09:10-02:44:57]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#A9A9A9 Francine98: no
[2020:09:10-02:44:57]  (Local) -> (LOCAL)[1][CAPU]Naomi09_smp: re L
[2020:09:10-02:44:58]  (Global) -> Jhaideru_u: jajaj
[2020:09:10-02:44:59]  (Global) -> NegroCachondo: pteunte
[2020:09:10-02:45:00]  (Local) -> (LOCAL)[4][C.T.S]ELVIEJOJUANCHO: se hace el billetico
[2020:09:10-02:45:01]  (Local) -> (LOCAL)[1]dilan: en cuanto
[2020:09:10-02:45:02]  (Local) -> (LOCAL)[2](DV)ESCOBAR: vea
[2020:09:10-02:45:02]  (Global) -> Jhaideru_u: anda bien prendo 
[2020:09:10-02:45:03]  (Global) -> NegroCachondo: pregunte
[2020:09:10-02:45:05]  (Local) -> (LOCAL)[1][Z]Tartarus: oe
[2020:09:10-02:45:06]  (Local) -> (LOCAL)[7](CT.S)MAURO: como tengo la doble escopeta?
[2020:09:10-02:45:06]  (Global) -> (F.A.R.C)Huevardo: pero no mira que en el juego soy maso pero en la vida soy un facasado
[2020:09:10-02:45:07]  (Local) -> (LOCAL)[2]Fisher: veo
[2020:09:10-02:45:07]  (Local) -> (LOCAL)[26]Orgalor: ahh bueno
[2020:09:10-02:45:08]  (Global) -> Judas?Iscariotes: XDRIFT CON EL COLOR BLANCO
[2020:09:10-02:45:09]  (Global) -> GT|~[TOXIC]~: listo
[2020:09:10-02:45:10]  (Local) -> (LOCAL)[1][Z]Tartarus: no se si lo vendo, es que me gusta
[2020:09:10-02:45:11]  (Global) -> NegroCachondo: vip parce
[2020:09:10-02:45:13]  (Global) -> neibor_xd: xdddddddddddddd
[2020:09:10-02:45:14]  (Global) -> MagsayRayas: es vip
[2020:09:10-02:45:14]  (Local) -> (LOCAL)[1][Z]Tartarus: pero le propongo alog
[2020:09:10-02:45:14]  (Local) -> (LOCAL)[26]Orgalor: listo
[2020:09:10-02:45:15]  (Local) -> (LOCAL)[7](CT.S)MAURO: ash
[2020:09:10-02:45:16]  (Local) -> (LOCAL)[1](DV)ESCOBAR: usted me ayuda y yo le ayudo
[2020:09:10-02:45:18]  (Global) -> neibor_xd: cule embaleeeeeeeeeee
[2020:09:10-02:45:18]  (Global) -> NegroCachondo: vale 8 k
[2020:09:10-02:45:18]  (Local) -> (LOCAL)[1]dilan: diga
[2020:09:10-02:45:20]  (Global) -> Martin_Crack04: DONDE ES EL EVENTO?
[2020:09:10-02:45:20]  (Local) -> (LOCAL)[1]Fisher: de una
[2020:09:10-02:45:20]  (Local) -> (LOCAL)[26]Megu: francine
[2020:09:10-02:45:21]  (Global) -> MagsayRayas: manoos
[2020:09:10-02:45:21]  (Global) -> NegroCachondo: barato
[2020:09:10-02:45:22]  (Local) -> (LOCAL)[5][C.T.S]ELVIEJOJUANCHO: trta seio mka
[2020:09:10-02:45:22]  (Global) -> Jhaideru_u: cuidado la palida mano 
[2020:09:10-02:45:24]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: xd
[2020:09:10-02:45:25]  (Local) -> (LOCAL)[1][EVG]FIPPER: :3
[2020:09:10-02:45:26]  (Global) -> MagsayRayas: saben como me quito la borrachera
[2020:09:10-02:45:27]  (Team - Fuerzas Armadas) -> (TEAM)|S.A.S|C|M/N: cada uno pongase en frente del camion pa la foto
[2020:09:10-02:45:28]  (Global) -> [CAPU]Changua-Curiosa: a
[2020:09:10-02:45:29]  (Global) -> FelipeV: BALA ESPERE Q CAZA ESTA AFK
[2020:09:10-02:45:30]  (Local) -> (LOCAL)[1][EVG]FIPPER: Tirando facha
[2020:09:10-02:45:31]  (Local) -> (LOCAL)[1][CAPU]Naomi09_smp: nice
[2020:09:10-02:45:32]  (Local) -> (LOCAL)[8](CT.S)MAURO: por donde veo los precios?
[2020:09:10-02:45:33]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#A9A9A9 Francine98: q
[2020:09:10-02:45:35]  (Local) -> (LOCAL)[26]Megu: francine
[2020:09:10-02:45:35]  (Local) -> (LOCAL)[26][CAPU]Pastor_Lopez777: balaclava que ricooo
[2020:09:10-02:45:36]  (Local) -> (LOCAL)[3](S.A.S)(CAD)VULKANUS: aqui no se puede
[2020:09:10-02:45:36]  (Local) -> (LOCAL)[1][EVG]FIPPER: A partir de hoy
[2020:09:10-02:45:36]  (Global) -> NegroCachondo: en el discord pa
[2020:09:10-02:45:37]  (Global) -> Judas?Iscariotes: BALA QUE EMPIEZE OTRO ELTRAKE ESE NO ESTA EN EL SV
[2020:09:10-02:45:37]  (Local) -> (LOCAL)[26][CAPU]Changua-Curiosa: aun s puede participar????
[2020:09:10-02:45:37]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: ey hp
[2020:09:10-02:45:38]  (Local) -> (LOCAL)[2][Z]Tartarus: yo a usted lo dejo sano, no lo insulto ni nada, pero usted me deja quieto
[2020:09:10-02:45:40]  (Local) -> (LOCAL)[26]Megu: como tienen esos estilos
[2020:09:10-02:45:40]  (Local) -> (LOCAL)[1][EVG]FIPPER: dime sr agente
[2020:09:10-02:45:40]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#A9A9A9 Francine98: q
[2020:09:10-02:45:41]  (Global) -> FelipeV: BALA ESPERE Q CAZA ESTA AFK
[2020:09:10-02:45:43]  (Global) -> NegroCachondo: vale 8 lucas el bronze
[2020:09:10-02:45:43]  (Global) -> [CAPU]Pastor_Lopez777: balaclava que ricooo
[2020:09:10-02:45:43]  (Local) -> (LOCAL)[8](CT.S)MAURO: cual es el discord?
[2020:09:10-02:45:43]  (Local) -> (LOCAL)[2][C.T.S]ELVIEJOJUANCHO: ven
[2020:09:10-02:45:43]  (Local) -> (LOCAL)[8]Capitanllanerito: /sobrio
[2020:09:10-02:45:45]  (Local) -> (LOCAL)[26]Judas?Iscariotes: BALAAAAAAAAAAAAAAAAA
[2020:09:10-02:45:46]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#A9A9A9 Francine98: q estilos
[2020:09:10-02:45:47]  (Local) -> (LOCAL)[26]Butifarra: bala q espere un momento q cazaputas esta afk
[2020:09:10-02:45:48]  (Global) -> MagsayRayas: gracias 
[2020:09:10-02:45:48]  (Global) -> NegroCachondo: y trae lo mismo
[2020:09:10-02:45:48]  (Local) -> (LOCAL)[26]Butifarra: bala q espere un momento q cazaputas esta afk
[2020:09:10-02:45:49]  (Global) -> [CAPU]Pastor_Lopez777: ahh
[2020:09:10-02:45:49]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Oe
[2020:09:10-02:45:49]  (Local) -> (LOCAL)[26]Butifarra: bala q espere un momento q cazaputas esta afk
[2020:09:10-02:45:51]  (Global) -> (F.A.R.C)Huevardo: q
[2020:09:10-02:45:51]  (Local) -> (LOCAL)[26]EVG|[CrudoPilotoDrift]: Eh loquito te vas conmigo una carrera o q
[2020:09:10-02:45:52]  (Global) -> SlimMall78: hol
[2020:09:10-02:45:53]  (Local) -> (LOCAL)[1][CAPU]Naomi09_smp: señor agente
[2020:09:10-02:45:53]  (Local) -> (LOCAL)[26]Megu: no los ve xd?
[2020:09:10-02:45:53]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#A9A9A9 Balaclava: listo
[2020:09:10-02:45:54]  (Local) -> (LOCAL)[26]Judas?Iscariotes: FALTA UN INTEGRANTE DE XDRIF
[2020:09:10-02:45:54]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Ponga /tele
[2020:09:10-02:45:55]  (Local) -> (LOCAL)[5][C.T.S]ELVIEJOJUANCHO: ven
[2020:09:10-02:45:56]  (Local) -> (LOCAL)[2](S.A.S)(CAD)VULKANUS: aca
[2020:09:10-02:45:56]  (Local) -> (LOCAL)[26][CAPU]Changua-Curiosa: bala, aun se puede partici´par???
[2020:09:10-02:45:57]  (Global) -> NegroCachondo: perate miro como te lo envio
[2020:09:10-02:45:58]  (Team - Unemployed) -> (TEAM)|DV|Carding999: am
[2020:09:10-02:45:58]  (Global) -> neibor_xd: voy a comprar marihuana vengo ahora
[2020:09:10-02:45:59]  (Team - Law Enforcement) -> (TEAM)(CT.S)MAURO: el vip es para siempre?
[2020:09:10-02:46:00]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: camacho
[2020:09:10-02:46:00]  (Global) -> elLoquito: lo acompáño xd
[2020:09:10-02:46:01]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#FF7C00 Francine98: aa de los elegy
[2020:09:10-02:46:02]  (Global) -> (S.AS)(CAD)ANDRES: COMO ME SUBO
[2020:09:10-02:46:02]  (Local) -> (LOCAL)[1]dilan: .___. yo a usted no le digo nada usted me insulta y yo quedo asi ._____________________________.
[2020:09:10-02:46:03]  (Local) -> (LOCAL)[26]EVG|[CrudoPilotoDrift]: epa
[2020:09:10-02:46:04]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Y le da en la bigear
[2020:09:10-02:46:04]  (Global) -> Jhaideru_u: hagale 
[2020:09:10-02:46:04]  (Global) -> Judas?Iscariotes: FALTA UN INTEGRANTE DE XDRIFT
[2020:09:10-02:46:05]  (Local) -> (LOCAL)[2](DV)ESCOBAR: espereeee
[2020:09:10-02:46:05]  (Local) -> (LOCAL)[26]Megu: si
[2020:09:10-02:46:05]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: tunee esos carros
[2020:09:10-02:46:06]  (Local) -> (LOCAL)[26]#7F7F7F|CVR|#FF7C00 Francine98: Mente
[2020:09:10-02:46:06]  (Local) -> (LOCAL)[1][Z]Tartarus: bno
[2020:09:10-02:46:08]  (Global) -> elLoquito: oe
[2020:09:10-02:46:08]  (Local) -> (LOCAL)[2][C.T.S]ELVIEJOJUANCHO: eso
[2020:09:10-02:46:09]  (Local) -> (LOCAL)[26]Megu: wow
[2020:09:10-02:46:09]  (Local) -> (LOCAL)[1][Z]Tartarus: lo dejo quieto
[2020:09:10-02:46:09]  (Local) -> (LOCAL)[26][COSTELAND]Briham: balaaaaaaaaa
[2020:09:10-02:46:10]  (Global) -> |DV|Carding999: donde 
[2020:09:10-02:46:11]  (Local) -> (LOCAL)[2][C.T.S]ELVIEJOJUANCHO: seriedad
[2020:09:10-02:46:11]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Creo que allá está Bala
[2020:09:10-02:46:12]  (Global) -> #7F7F7F|CVR|#A9A9A9 Balaclava: KANA
[2020:09:10-02:46:13]  (Global) -> #7F7F7F|CVR|#A9A9A9 Balaclava: francine
[2020:09:10-02:46:14]  (Global) -> (S.AS)(CAD)ANDRES: COMO ME SUBO
[2020:09:10-02:46:14]  (Global) -> MagsayRayas: oe
[2020:09:10-02:46:14]  (Global) -> YandrixOfYisus(ENP): COMO ME HAGO LA SELFIE?
[2020:09:10-02:46:14]  (Local) -> (LOCAL)[1][Z]Tartarus: no le disparo ni nd
